timestamp,isSummer,isWeekend,isHoliday,universe_id,ccu_playing,daily_rpv,ratings_like_ratio,visits_visits_gained,platform_platform_share,daily_Estimated Revenue,session_session_length,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-06-05 00:00:00+00:00,1,0,0,7266954112,0.0,0.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.0,0.0,0.0,0.0,0.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
2025-06-06 00:00:00+00:00,1,0,0,7266954112,0.0,0.0015961533601105,100.0,114.0,7.618896688654786e-06,12.0,2.32904985298713,0.0,0.0,0.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,62.0,100.0,3.809448344327393e-06,1.164524926493565,6.0,0.0,62.0,100.0,3.809448344327393e-06,1.164524926493565,0.0,inf,0.0,0.0,0.0,1040.0,0.0,inf,0.0,0.0,1.414213562373095,1.414213562373095,12.0,0.10434782608695652,0.0,0.17915768099901003,0.0,0.0,1.0,1.0,1.0,8.48528137423857,8.48528137423857,0.0,0.0,73.53910524340094,73.53910524340094,2,1.0
2025-06-07 00:00:00+00:00,1,1,0,7266954112,0.0,0.0008888470207093,100.0,51.0,0.0,7.0,1.8235930800437927,0.0,12.0,0.0,114.0,100.0,7.618896688654786e-06,2.32904985298713,0.0,0.0,0.0,0.0,0.0,0.0,6.333333333333333,0.0,58.333333333333336,100.0,2.539632229551595e-06,1.3842143110103076,6.333333333333333,0.0,58.333333333333336,100.0,2.539632229551595e-06,1.3842143110103076,0.0,-41.666666666666664,0.0,0.0,0.0,-55.263157894736835,0.0,-100.0,0.0,0.0,0.9517442800013224,0.9517442800013224,7.0,0.1346153846153846,0.0,0.2279491350054741,-6.35528743231302e-15,0.0,1.0,1.0,1.0,6.027713773341708,6.027713773341708,0.0,0.0,52.38638499966698,52.38638499966698,2,0.5833333333333334
2025-06-08 00:00:00+00:00,1,1,0,7266954112,3.0,0.0015188038222101,100.0,91.0,2.390266854490619e-05,11.0,1.681700239578883,0.0,7.0,0.0,51.0,100.0,0.0,1.8235930800437927,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.75,66.5,100.0,7.880391308390244e-06,1.4585857931524515,7.5,0.75,66.5,100.0,7.880391308390244e-06,1.4585857931524515,0.0,57.14285714285714,0.0,inf,0.0,78.43137254901961,0.0,inf,0.0,0.0,0.7262282061496974,0.7262282061496974,2.75,0.11956521739130435,0.03260869565217391,0.1401416866315736,-1.8990053399109597e-14,0.0,1.0,1.0,1.0,5.446711546122731,5.446711546122731,1.5,1.5,45.78573285788198,45.78573285788198,2,0.9166666666666666
2025-06-09 00:00:00+00:00,1,0,0,7266954112,1.0,0.0137675337148865,100.0,392.0,8.618279935035389e-06,104.0,8.472371061642965,0.0,11.0,3.0,91.0,100.0,2.390266854490619e-05,1.681700239578883,0.0,0.0,0.0,0.0,0.0,0.0,26.8,0.8,131.6,100.0,8.027969033719274e-06,2.861342846850554,26.8,0.8,131.6,100.0,8.027969033719274e-06,2.861342846850554,0.0,845.4545454545455,0.0,-66.66666666666667,0.0,330.7692307692308,0.0,-63.9442771051101,0.0,0.0,1.61989297216094,1.61989297216094,52.0,0.26463104325699743,0.002544529262086514,0.08068924820612348,-5.189070459296528e-15,-5.189070459296528e-15,1.0,1.0,1.0,43.4131316539132,43.4131316539132,1.3038404810405297,1.3038404810405297,150.8717998832121,150.8717998832121,3,1.0
2025-06-10 00:00:00+00:00,1,0,0,7266954112,1.0,0.0027341191680435,100.0,131.0,9.205498827213889e-06,22.0,9.540178490181765,0.0,104.0,1.0,392.0,100.0,8.618279935035389e-06,8.472371061642965,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.8333333333333334,131.5,100.0,8.224223999301708e-06,3.9744821207390895,26.0,0.8333333333333334,131.5,100.0,8.224223999301708e-06,3.9744821207390895,0.0,-78.84615384615384,0.0,0.0,0.0,-66.58163265306123,0.0,6.813643750318588,0.0,0.0,1.4953577078934033,1.4953577078934033,11.0,0.16666666666666666,0.007575757575757576,0.4147903691383376,5.748573776684584e-15,5.748573776684584e-15,1.0,1.0,1.0,38.879300405228484,38.879300405228484,1.1690451944500122,1.1690451944500122,134.94406248516458,134.94406248516458,3,0.21153846153846154
2025-06-11 00:00:00+00:00,1,0,0,7266954112,0.0,0.0030883081803345,100.0,133.0,7.5930884122499265e-06,25.0,7.237107641994953,0.0,22.0,1.0,131.0,100.0,9.205498827213889e-06,9.540178490181765,0.0,0.0,0.0,0.0,0.0,0.0,25.857142857142858,0.7142857142857143,131.71428571428572,100.0,8.134061772580026e-06,4.440571480918498,25.857142857142858,0.7142857142857143,131.71428571428572,100.0,8.134061772580026e-06,4.440571480918498,0.0,13.636363636363647,0.0,-100.0,0.0,1.526717557251911,0.0,-17.51573103455568,0.0,0.0,1.3726882263794113,1.3726882263794113,25.0,0.1865671641791045,0.0,0.2783502939228828,0.0,0.0,1.0,1.0,1.0,35.493795567810494,35.493795567810494,1.1126972805283735,1.1126972805283735,123.1878163425186,123.1878163425186,3,0.2403846153846154
2025-06-12 00:00:00+00:00,1,0,0,7266954112,0.0,0.0009661310195111,100.0,98.0,3.793807763941004e-06,8.0,3.411292005668987,0.0,25.0,0.0,133.0,100.0,7.5930884122499265e-06,7.237107641994953,0.0,0.0,10.0,100.0,0.0,0.0,27.0,0.7142857142857143,144.28571428571428,100.0,8.676034310285883e-06,4.927898910299782,23.625,0.625,127.5,100.0,7.591530021500148e-06,4.3119115465123095,inf,-68.0,0.0,0.0,880.0000000000001,-26.315789473684216,inf,-50.03603859240655,0.0,0.0,1.4163752502978384,1.4163752502978384,8.0,0.08080808080808081,0.0,0.37903244507433187,0.0,0.0,1.0,1.1428571428571428,1.1428571428571428,33.46186528828643,33.46186528828643,1.0606601717798212,1.0606601717798212,114.67095783775669,114.67095783775669,3,0.07692307692307693
2025-06-13 00:00:00+00:00,1,0,0,7266954112,0.0,0.0010238804627297,100.0,82.0,0.0,9.0,3.2046621094147363,0.0,8.0,0.0,98.0,100.0,3.793807763941004e-06,3.411292005668987,12.0,0.0,114.0,100.0,7.618896688654786e-06,2.32904985298713,26.571428571428573,0.7142857142857143,139.71428571428572,100.0,7.587620497620914e-06,5.052986375503726,22.0,0.5555555555555556,122.44444444444444,100.0,6.74802668577791e-06,4.188883831279245,-25.0,12.5,0.0,0.0,-28.07017543859649,-16.326530612244895,-100.0,-100.0,0.0,0.0,1.439912187405196,1.439912187405196,9.0,0.10843373493975904,0.0,0.32046621094147365,0.0,-1.9899176834712903e-15,1.0,1.2077922077922079,1.1244206419059555,31.678068122914315,31.678068122914315,1.0137937550497031,1.0137937550497031,108.33179486087073,108.33179486087073,3,0.08653846153846154
2025-06-14 00:00:00+00:00,1,1,0,7266954112,0.0,0.0001241003555099,100.0,81.0,1.4299725989985743e-06,2.0,0.2886904776096344,0.0,9.0,0.0,82.0,100.0,0.0,3.2046621094147363,7.0,0.0,51.0,100.0,0.0,1.8235930800437927,25.857142857142858,0.7142857142857143,144.0,100.0,7.791902297477854e-06,4.833714575155988,20.0,0.5,118.3,100.0,6.216221277099976e-06,3.7988644959122846,-71.42857142857143,-77.77777777777779,0.0,0.0,58.823529411764696,-1.2195121951219523,inf,inf,0.0,0.0,1.5264337522473748,1.5264337522473748,2.0,0.024390243902439025,0.0,0.09623015920321147,0.0,1.6835567685094829e-15,1.0,1.292857142857143,1.2534789143016114,30.528675044947494,30.528675044947494,0.97182531580755,0.97182531580755,102.97362121760439,102.97362121760439,3,0.019230769230769232
