timestamp,isSummer,isWeekend,isHoliday,universe_id,daily_rpv,ratings_like_ratio,ccu_playing,platform_platform_share,sort_sort_position,daily_Estimated Revenue,session_session_length,visits_visits_gained,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-08-23 00:00:00+00:00,1,1,0,7028566528,0.0079525564774754,98.52616119384766,58339,0.3828267455101013,23,5070699.0,21.59033594528834,6175021,5070699.0,65950.0,4644532.0,98.52923583984376,0.4628223776817322,20.59976577758789,8281034.0,53488.0,4757786.0,98.53617095947266,0.3538713753223419,19.32939789692561,5032561.571428572,40909.857142857145,3529739.1428571427,98.53114427839007,0.2967418538672583,21.99047919965926,5178744.7,36679.36666666667,3267075.7,98.54632873535157,0.26649260918299356,20.90524886051814,-38.76732060271701,0.0,9.069323960514497,-11.54056103108415,29.787699572868554,32.952491230548084,8.182456171083041,-17.284305173904368,-0.010158468233067985,-0.0031205418066004853,0.2000762099071838,0.2097869855621412,86.91633527596846,0.8211629043588833,0.009447577676646335,4.257861034036394e-06,-0.001335688999718256,-0.0013758437652099773,0.9998459155489976,0.9717724782665135,1.1135087564979838,1142976.5790851864,1086433.2396089153,11476.409941390953,11559.581991855845,1262811.036767638,1113479.07931597,11,0.18215089038312654
2025-08-24 00:00:00+00:00,1,1,0,7028566528,0.0079047296505365,98.52413940429688,41243,0.2885686755180359,21,5083775.0,21.504952669143677,4160543,5070699.0,58339.0,6175021.0,98.52616119384766,0.3828267455101013,21.59033594528834,6600878.0,38597.0,4337198.0,98.53516387939452,0.2805607318878174,19.054171085357662,4815832.571428572,41287.857142857145,3504502.714285714,98.52956935337612,0.2978858458144324,22.340590854485832,5229821.866666666,36670.1,3267169.6333333333,98.54493052164713,0.2663377414147059,20.89890334341261,-22.983351608679936,0.2578737172133527,6.855455087182949,-29.304581840621204,-4.073021337739247,-32.62301456140797,2.8542638794585518,-24.621600005106835,-0.011188366328929167,-0.0020520332125850693,0.19994553193646405,0.1993220599741451,123.26095916981863,1.2219015109562597,0.009912886391779537,4.230114125630963e-06,-0.001511982509070434,-0.0013827450150793365,0.9998441201572755,0.9208406508304346,1.1184514978318598,1142416.8033752823,1042418.8677618287,11433.69430674093,11555.677659145314,1242245.7234140194,1113556.9216987165,11,0.18262060965509472
2025-08-25 00:00:00+00:00,1,0,0,7028566528,0.0092766482906194,98.5241241455078,34506,0.2646924555301666,18,6000000.0,26.91418310006459,2581556,5083775.0,41243.0,4160543.0,98.52413940429688,0.2885686755180359,21.504952669143677,4656011.0,32882.0,2743548.0,98.53367614746094,0.2537997364997864,21.9190434217453,5007831.0,41519.857142857145,3481361.0,98.52820478166852,0.29944194853305817,23.05418223710287,5330643.4,36847.53333333333,3234114.566666667,98.54360707600911,0.2682763343056043,21.262570807668897,28.865674930750806,18.02253246849044,4.938872331366695,-16.334893193996557,-5.90447114466377,-37.95146450835865,4.291855925701249,-8.274016556026698,-0.009694149580741218,-1.5487360938148953e-05,0.19928843869087523,0.1800627817568082,173.87776393195583,2.324178780480152,0.013366352166541355,4.485696435728026e-06,-0.001508712768559535,-0.0013866556101836207,0.9998437007250129,0.9394421318822413,1.1161698228362993,1144356.3644677887,959850.4791575702,11502.521109462325,11477.35263759972,1255591.5941627175,1118864.7104342883,11,0.21553346832433937
2025-08-26 00:00:00+00:00,1,0,0,7028566528,0.0095505401471421,98.52324676513672,32469,0.2621459066867828,16,6200000.0,23.406213839848835,2223507,6000000.0,34506.0,2581556.0,98.5241241455078,0.2646924555301666,26.91418310006459,4248814.0,30931.0,2369679.0,98.53211212158205,0.2405992448329925,23.689625422159832,5286571.857142857,41739.57142857143,3460479.285714286,98.52693830217633,0.30252004308359964,23.013694868201302,5409168.666666667,36956.433333333334,3209142.9,98.5422752380371,0.2699341416358948,21.41222086350123,45.923074062550164,3.3333333333333437,4.9723578287155235,-5.903321161537123,-6.168430407662806,-13.869503508736592,8.955415412357803,-0.9620783630886698,-0.00899742860924757,-0.0008905233907841037,0.19942926808252504,0.17192132364143084,190.94548814290113,2.788386639490391,0.014602600935098952,3.775195171718333e-06,-0.0014817374093192926,-0.0013828757077095184,0.9998443618657705,0.9773353694294472,1.1207179693914335,1150888.3574701245,929951.436973087,11564.683271509413,11417.652215586753,1273870.2920906632,1133169.9363983506,11,0.222717917268484
2025-08-27 00:00:00+00:00,1,0,0,7028566528,0.0092351082217105,98.52276611328124,30947,0.2535720467567444,16,6014688.0,29.316042979558308,2035312,6200000.0,32469.0,2223507.0,98.52324676513672,0.2621459066867828,23.406213839848835,4231920.0,29510.0,2263310.0,98.53105926513672,0.2206534743309021,22.507360021273296,5541253.0,41944.857142857145,3427908.1428571427,98.52575356619698,0.3072226962872914,23.986363862242012,5474777.5,37063.9,3189455.3666666667,98.540953318278,0.2715531840920448,21.76383946604199,42.12669426643225,-2.9889032258064496,4.869535750593013,-4.687548122824847,-10.073653189355413,-8.463881606849,14.918673964080021,-3.270644214285834,-0.008416789505094613,-0.00048785628901093503,0.19704207513176378,0.1642849643035124,194.34819697557194,2.9551661095860933,0.01520503234637621,4.87407461625336e-06,-0.0013400486537407331,-0.0013697860768689587,0.9998457519278109,1.0121421372832047,1.1313536879138788,1128874.1467215382,899423.6261571728,11649.752389011312,11342.67378120775,1294528.8969979773,1148676.4811985602,11,0.21606109425479733
2025-08-28 00:00:00+00:00,1,0,0,7028566528,0.009284899602605,98.52220153808594,31550,0.2578497231006622,16,6065392.0,62.77138121922811,2012814,6014688.0,30947.0,2035312.0,98.52276611328124,0.2535720467567444,29.316042979558308,5348910.0,30160.0,2174886.0,98.53060150146484,0.2359306663274765,24.573052724202473,5643607.571428572,42143.42857142857,3404755.0,98.52455357142857,0.3103539901120322,29.443267932959966,5507933.933333334,37227.3,3176602.2333333334,98.53965962727865,0.27360747357209525,23.21682424412833,13.394915973534793,0.8430029953340856,4.608753315649872,1.948492584095396,-7.451976793266402,-1.1053833515451195,9.290465336439802,1.6869668398510118,-0.008525233024969658,-0.0005730403414005991,0.1943373901081232,0.16382612480287523,192.24087984532977,3.0133877181956614,0.015674565223331504,1.0349103713350168e-05,-0.0010280609130760047,-0.0013524277191669528,0.9998467007506702,1.0246324011394106,1.1343037748939788,1105957.7072395915,902343.4719682581,11780.508795379852,11222.118461724,1326555.3367187155,1159935.2683135155,11,0.2178824957511169
2025-08-29 00:00:00+00:00,1,0,0,7028566528,0.0115017620126635,98.51903533935548,63615,0.4257959723472595,14,7540618.0,24.31331451733907,3743527,6065392.0,31550.0,2012814.0,98.52220153808594,0.2578497231006622,62.77138121922811,5070699.0,65950.0,4644532.0,98.52923583984376,0.4628223776817322,20.59976577758789,5996453.142857143,41809.857142857145,3276040.0,98.5230963570731,0.305064503635679,29.973774895781563,5597479.333333333,38525.23333333333,3224065.566666667,98.53830235799154,0.2815272554755211,23.437537540329824,48.70963549601346,24.322022385362718,-3.540561031084155,101.63232963549919,-19.399263477999508,85.98474573408174,-8.000132906264634,65.13338359530938,-0.010352765249155294,-0.0032136906007229626,0.2051646123322712,0.17262525708813511,118.53335638832998,2.01430789351649,0.01699332821872843,3.2243128206502766e-06,-0.0009504045758900116,-0.0013469097744225726,0.9998456843627852,1.0712774064475588,1.0836055753124212,1178427.988112509,966266.3089621897,13354.602897688304,11948.747003082757,1320217.6354647435,1152769.6643725268,11,0.27087592514149056
2025-08-30 00:00:00+00:00,1,1,0,7028566528,0.0126947806975991,98.51676177978516,41006,0.2726724147796631,12,8383534.0,22.514867703119915,4331549,7540618.0,63615.0,3743527.0,98.51903533935548,0.4257959723472595,24.31331451733907,5070699.0,58339.0,6175021.0,98.52616119384766,0.3828267455101013,21.59033594528834,6469715.285714285,39333.71428571428,3012686.8571428573,98.5217535836356,0.2893281706741878,30.10585086118607,5718189.433333334,39047.46666666667,3294507.9,98.5369130452474,0.2842668314774831,23.540044877264233,65.33290577886797,11.178341085571496,-29.71082809098544,-35.54035997799261,-29.853696044110624,15.70770025166106,-28.773938086186224,-35.96172052156378,-0.00954001855811848,-0.002307736329831833,0.20788880772240434,0.18853056398889162,204.44153437218037,1.9354582078009026,0.009466819037065253,2.6856054997229586e-06,-0.001191275460372669,-0.0013469929424614695,0.9998461544902991,1.1314272395384533,1.0178048883522508,1195597.3109622162,1078053.478861654,12865.413343107592,11692.172031286418,1288590.7631101995,1153757.1061758408,11,0.3011553599725037
2025-08-31 00:00:00+00:00,1,1,0,7028566528,0.011508496372732,98.51493072509766,32738,0.2479516863822937,12,7642109.0,27.139639457066853,3189709,8383534.0,41006.0,4331549.0,98.51676177978516,0.2726724147796631,22.514867703119915,5083775.0,41243.0,4160543.0,98.52413940429688,0.2885686755180359,21.504952669143677,6835191.571428572,38118.71428571428,2873996.285714286,98.52043805803571,0.28352574365479605,30.91080611660367,5811796.066666666,38600.933333333334,3277708.6,98.53549346923828,0.28175575733184816,23.837837017907034,50.32350959670717,-8.843824096138931,-20.621681255000844,-20.162902989806376,-23.33430996867476,-26.361008498345505,-14.07532853759228,-9.066090685170824,-0.009346622314998498,-0.00185862248659463,0.22003223237133007,0.1926660263652441,233.42524206603744,2.3958632602963905,0.010263628981945067,3.551328030748949e-06,-0.0015814644949732205,-0.0013467111895151755,0.9998472082427103,1.1760893694518209,1.006281988129397,1281800.42578256,1119735.654209822,13013.272854037385,11667.976173930221,1251532.189548461,1151411.1267944628,11,0.2745217096804415
2025-09-01 00:00:00+00:00,0,0,1,7028566528,0.0095944561989136,98.51300811767578,24453,0.190859705209732,16,6400000.0,21.848381559054054,2534414,7642109.0,32738.0,3189709.0,98.51493072509766,0.2479516863822937,27.139639457066853,6000000.0,34506.0,2581556.0,98.5241241455078,0.2646924555301666,26.91418310006459,6892334.428571428,36682.57142857143,2867261.714285714,98.51885005405971,0.272978207894734,30.187120182173594,5838462.733333333,38251.1,3234190.6333333333,98.53406448364258,0.28012833346923194,23.979177041848498,6.666666666666665,-16.253484476601944,-29.13406364110589,-25.306982711222435,-1.826107975190161,-20.544037089276802,-27.893787215261224,-23.025445805815924,-0.011282544177304565,-0.001951589883608662,0.20900124402303397,0.19252252243672882,261.715874703525,2.5252375794808666,0.00964838039547588,3.4138090851945263e-06,-0.001850945608954549,-0.0013511971716618663,0.9998455921851738,1.1805049964986951,0.9744755359590097,1243574.689325665,1124035.5725741717,13537.568610117047,11935.540908679408,1258490.008229559,1154096.6552280784,11,0.22990236621262866
