timestamp,isSummer,isWeekend,isHoliday,universe_id,sort_sort_position,daily_Estimated Revenue,visits_visits_gained,session_session_length,ccu_playing,daily_rpv,platform_platform_share,ratings_like_ratio,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-08-28 00:00:00+00:00,1,0,0,7848646653,0.0,344886,391355,20.25854139328003,8145,0.0995532755233669,0.0688331201672554,98.08968353271484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344886.0,8145.0,391355.0,98.08968353271484,0.0688331201672554,20.25854139328003,344886.0,8145.0,391355.0,98.08968353271484,0.0688331201672554,20.25854139328003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.338080039283085,0.8812590071443903,0.02081225278263269,5.873964919895511e-05,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-08-29 00:00:00+00:00,1,0,0,7848646653,0.0,525999,1487779,20.792903820673622,20982,0.1221477150020355,0.146262913942337,98.3118896484375,344886.0,8145.0,391355.0,98.08968353271484,0.0688331201672554,20.25854139328003,0.0,0.0,0.0,0.0,0.0,0.0,435442.5,14563.5,939567.0,98.20078659057617,0.1075480170547962,20.525722606976828,435442.5,14563.5,939567.0,98.20078659057617,0.1075480170547962,20.525722606976828,0.0,52.513874149719044,0.0,157.6058931860037,0.0,280.16097916214176,0.0,112.48915287718675,0.0,0.22653362486233508,0.2941059507536338,0.2941059507536338,25.067864461707096,0.35354622323192947,0.014102891556547339,3.953023540052019e-05,0.0,0.0,1.0,1.0,1.0,128066.23046103919,128066.23046103919,9077.12975009171,9077.12975009171,775288.8454556792,775288.8454556792,2,1.0
2025-08-30 00:00:00+00:00,1,1,0,7848646653,360.0,142971,2296647,20.783164739608765,20595,0.0227306835896971,0.1382174640893936,98.42497253417967,525999.0,20982.0,1487779.0,98.3118896484375,0.146262913942337,20.792903820673622,0.0,0.0,0.0,0.0,0.0,0.0,337952.0,16574.0,1391927.0,98.27551523844402,0.11777116606632866,20.611536651187475,337952.0,16574.0,1391927.0,98.27551523844402,0.11777116606632866,20.611536651187475,0.0,-72.81914984629249,0.0,-1.844438089791245,0.0,54.36748334262012,0.0,-5.5006765803361946,0.0,0.11502462840105032,0.5669684515010674,0.5669684515010674,6.941687706350748,0.062252029914902064,0.008967416861443285,0.00014536527949254933,0.16764450073241652,0.0,1.0,1.0,1.0,191608.12212168876,191608.12212168876,7302.292311322521,7302.292311322521,956255.7742277952,956255.7742277952,2,0.27180850153707514
2025-08-31 00:00:00+00:00,1,1,0,7848646653,341.0,165642,2350125,19.889740308125813,18665,0.0192458944752468,0.1445066779851913,98.45895385742188,142971.0,20595.0,2296647.0,98.42497253417967,0.1382174640893936,20.783164739608765,0.0,0.0,0.0,0.0,0.0,0.0,294874.5,17096.75,1631476.5,98.32137489318848,0.12445504404604432,20.431087565422057,294874.5,17096.75,1631476.5,98.32137489318848,0.12445504404604432,20.431087565422057,0.0,15.857061921648441,0.0,-9.371206603544547,0.0,2.3285250192998763,0.0,4.550230998110405,0.0,0.03452510309860379,0.605686200859983,0.605686200859983,8.87399549983928,0.0704821784023495,0.007942127358277812,0.00012007594832335694,0.1220893859863172,0.0,1.0,1.0,1.0,178601.41563548706,178601.41563548706,6053.267898416524,6053.267898416524,916052.7217162049,916052.7217162049,2,0.31490934393411396
2025-09-01 00:00:00+00:00,0,0,1,7848646653,200.0,222179,1863406,21.03696012496948,18062,0.0208449201075499,0.1404748409986496,98.4549331665039,165642.0,18665.0,2350125.0,98.45895385742188,0.1445066779851913,19.889740308125813,0.0,0.0,0.0,0.0,0.0,0.0,280335.4,17289.8,1677862.4,98.34808654785157,0.1276590034365654,20.55226207733154,280335.4,17289.8,1677862.4,98.34808654785157,0.1276590034365654,20.55226207733154,0.0,34.13204380531507,0.0,-3.2306455933565514,0.0,-20.710345194404557,0.0,-2.7900696651229295,0.0,-0.004083621408157434,0.563799937285723,0.563799937285723,12.3002269833361,0.11923267434328624,0.009692997826025125,9.468431058137311e-05,0.08775634765624234,0.08775634765624234,1.0,1.0,1.0,158053.08093896808,158053.08093896808,5260.0266824418295,5260.0266824418295,800076.6840227254,800076.6840227254,2,0.42239433915273605
2025-09-02 00:00:00+00:00,0,0,0,7848646653,139.0,464293,2055222,21.052728017171223,17293,0.0365050873749667,0.1520230919122696,98.4750518798828,222179.0,18062.0,1863406.0,98.4549331665039,0.1404748409986496,21.03696012496948,0.0,0.0,0.0,0.0,0.0,0.0,310995.0,17290.333333333332,1740755.6666666667,98.36924743652344,0.13171968484918276,20.635673067304822,310995.0,17290.333333333332,1740755.6666666667,98.36924743652344,0.13171968484918276,20.635673067304822,0.0,108.97249515030674,0.0,-4.257557302624293,0.0,10.293838272496703,0.0,8.220867759324246,0.0,0.020434439120342596,0.5147257351340396,0.5147257351340396,26.8470567826992,0.2259088186537422,0.008414172087408519,4.5343528060175715e-05,0.06828438895090169,0.06828438895090169,1.0,1.0,1.0,160077.12999801064,160077.12999801064,4704.711071539534,4704.711071539534,732005.1490293402,732005.1490293402,2,0.8826879899011215
2025-09-03 00:00:00+00:00,0,0,0,7848646653,116.0,627444,1870420,22.872477690378823,17873,0.0426604457188715,0.1595566421747207,98.45428466796876,464293.0,17293.0,2055222.0,98.4750518798828,0.1520230919122696,21.052728017171223,0.0,0.0,0.0,0.0,0.0,0.0,356202.0,17373.571428571428,1759279.142857143,98.3813956124442,0.1356963930385453,20.95521658488682,356202.0,17373.571428571428,1759279.142857143,98.3813956124442,0.1356963930385453,20.95521658488682,0.0,35.13966396219628,0.0,3.3539582490024866,0.0,-8.991826673712133,0.0,4.955530220894744,0.0,-0.021088805253299814,0.530141715259427,0.530141715259427,35.10372608257805,0.335456028348698,0.009555602722595608,3.645335876511698e-05,0.05178887503488481,0.05178887503488481,1.0,1.0,1.0,188837.5392588384,188837.5392588384,4300.4366389605475,4300.4366389605475,670020.9817827669,670020.9817827669,3,1.0
2025-09-04 00:00:00+00:00,0,0,0,7848646653,100.0,852079,1788029,25.8591628074646,19888,0.051716277244076,0.1729424893856048,98.44544982910156,627444.0,17873.0,1870420.0,98.45428466796876,0.1595566421747207,22.872477690378823,344886.0,8145.0,391355.0,98.08968353271484,0.0688331201672554,20.25854139328003,428658.14285714284,19051.14285714286,1958804.0,98.43221936907086,0.15056916006973808,21.75530535834176,418186.625,17687.875,1762872.875,98.38940238952637,0.14035215508192775,21.568209862709043,147.06105785679907,35.80160141781577,144.17434008594228,11.273988698036153,356.8816036590819,-4.404946482608185,151.2489466776711,8.389401424120013,0.362694917114359,-0.0089735443175476,0.5920626468856168,0.5920626468856168,42.84172155462819,0.4765462548167536,0.011122855880494175,3.0348280451911323e-05,0.016978672572544835,0.039863768078042136,1.0004351787743866,1.0250402983527818,1.0727954977381455,247592.68008966287,247592.68008966287,4079.4710594634694,4079.4710594634694,620402.1657849821,620402.1657849821,4,1.0
2025-09-05 00:00:00+00:00,0,0,0,7848646653,93.0,1005950,1866461,55.16754697716755,20197,0.054410530375638,0.1498639434576034,98.45235443115234,852079.0,19888.0,1788029.0,98.44544982910156,0.1729424893856048,25.8591628074646,525999.0,20982.0,1487779.0,98.3118896484375,0.146262913942337,20.792903820673622,497222.5714285714,18939.0,2012901.4285714286,98.45228576660156,0.1510835928576333,26.665968666412322,483493.6666666667,17966.666666666668,1774382.6666666667,98.39639706081815,0.14140902045700282,25.301469542093322,91.24561073310025,18.05830210579067,-3.7413020684396114,1.5537007240546963,25.452839433813757,4.38650603541666,2.462025005659374,-13.344636133081123,0.1428766990616781,0.007013632486585486,0.6274235833465084,0.6274235833465084,49.80443608278048,0.5389608789249393,0.010821007874791986,5.484118707289674e-05,0.0019460405622304508,0.03210144042968957,1.0005679954495577,1.0283952111649268,1.0684155251861895,303355.3288653423,303355.3288653423,3906.5773702820734,3906.5773702820734,581359.4147640081,581359.4147640081,5,1.0
2025-09-06 00:00:00+00:00,0,1,0,7848646653,88.0,1409775,2414724,42.32101954584537,22604,0.0684984744698441,0.1512226462364196,98.47483825683594,1005950.0,20197.0,1866461.0,98.45235443115234,0.1498639434576034,55.16754697716755,142971.0,20595.0,2296647.0,98.42497253417967,0.1382174640893936,20.783164739608765,678194.5714285715,19226.0,2029769.5714285714,98.45940944126674,0.15294147602149413,29.742805067303266,576121.8,18430.4,1838416.8,98.40424118041992,0.1423903830349445,27.003424542468526,886.056612879535,40.14364531040311,9.754794853119698,11.917611526464334,5.141277697443281,29.37446857984174,9.40921773721357,0.9066242002370384,0.05066368968398294,0.022837265612896118,0.7105942625153184,0.7105942625153184,62.36562707365627,0.5838242449968423,0.009360900309559059,3.001967656269178e-05,0.00046048845564447023,0.027625112822565023,1.0005606288934812,1.1771722080792142,1.0740997584363563,409388.8455899978,409388.8455899978,3964.3571483911483,3964.3571483911483,584319.4972630413,584319.4972630413,6,1.0
