timestamp,isSummer,isWeekend,isHoliday,universe_id,ccu_playing,daily_Estimated Revenue,platform_platform_share,daily_rpv,ratings_like_ratio,sort_sort_position,visits_visits_gained,session_session_length,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-05-23 00:00:00+00:00,0,0,0,7541395924,19035,7950448,0.198843702673912,1.7459399874877717,96.34480285644533,343,466077,23.315194266183035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7950448.0,19035.0,466077.0,96.34480285644533,0.198843702673912,23.315194266183035,7950448.0,19035.0,466077.0,96.34480285644533,0.198843702673912,23.315194266183035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.65328850598866,17.058191976450292,0.04084080347066371,2.9325632132453193e-06,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-05-24 00:00:00+00:00,0,1,0,7541395924,27766,135495,0.2776592671871185,0.0234864969172418,96.71133422851562,343,2195486,23.017614205678303,7950448.0,19035.0,466077.0,96.34480285644533,0.198843702673912,23.315194266183035,0.0,0.0,0.0,0.0,0.0,0.0,4042971.5,23400.5,1330781.5,96.52806854248047,0.23825148493051523,23.16640423593067,4042971.5,23400.5,1330781.5,96.52806854248047,0.23825148493051523,23.16640423593067,0.0,-98.29575641523597,0.0,45.86813764118729,0.0,371.05649924797837,0.0,39.63694271095817,0.0,0.3804370980097671,1.3668180102071343,1.3668180102071343,4.8797133287715635,0.06171523675612746,0.012646852384004096,0.00016987670636534142,0.0,0.0,1.0,1.0,1.0,5526006.260954153,5526006.260954153,6173.749306539747,6173.749306539747,1222876.831345046,1222876.831345046,1,0.017042435847640282
2025-05-25 00:00:00+00:00,0,1,0,7541395924,20783,171403,0.2298892587423324,0.020648336038787,97.0265655517578,343,2610335,22.47208086649577,135495.0,27766.0,2195486.0,96.71133422851562,0.2776592671871185,23.017614205678303,0.0,0.0,0.0,0.0,0.0,0.0,2752448.6666666665,22528.0,1757299.3333333333,96.69423421223958,0.23546407620112095,22.9349631127857,2752448.6666666665,22528.0,1757299.3333333333,96.69423421223958,0.23546407620112095,22.9349631127857,0.0,26.50134691317023,0.0,-25.149463372469928,0.0,18.895542945844348,0.0,-17.204543154179397,0.0,0.32595075412498176,1.6355019911560114,1.6355019911560114,8.24687259430331,0.06566319431674696,0.007961810280362375,0.00013110593023789275,0.3408813476562306,0.0,1.0,1.0,1.0,4501635.274888041,4501635.274888041,4619.6708757226415,4619.6708757226415,1137306.5808190566,1137306.5808190566,1,0.02155891089407792
2025-05-26 00:00:00+00:00,0,0,1,7541395924,24050,128382,0.2660002708435058,0.0121756878924867,97.09700775146484,230,2006838,22.68144154548645,171403.0,20783.0,2610335.0,97.0265655517578,0.2298892587423324,22.47208086649577,0.0,0.0,0.0,0.0,0.0,0.0,2096432.0,22908.5,1819684.0,96.7949275970459,0.24309812486171717,22.871582720960888,2096432.0,22908.5,1819684.0,96.7949275970459,0.24309812486171717,22.871582720960888,0.0,-25.099327316324683,0.0,15.719578501660013,0.0,-23.11952297310499,0.0,15.708003191940278,0.0,0.07260094109944326,1.861602358041976,1.861602358041976,5.337906947736061,0.06397224690171957,0.011984020641416676,0.00017667013191377713,0.25718460083006345,0.0,1.0,1.0,1.0,3902722.754674656,3902722.754674656,3847.9466818897927,3847.9466818897927,936951.5599663269,936951.5599663269,1,0.016147769282938523
2025-05-27 00:00:00+00:00,0,0,0,7541395924,26981,182735,0.2958118915557861,0.0144514571054189,97.16213989257812,183,2295089,21.741411526997883,128382.0,24050.0,2006838.0,97.09700775146484,0.2660002708435058,22.68144154548645,0.0,0.0,0.0,0.0,0.0,0.0,1713692.6,23723.0,1914765.0,96.86837005615234,0.25364087820053094,22.645548482168287,1713692.6,23723.0,1914765.0,96.86837005615234,0.25364087820053094,22.645548482168287,0.0,42.336931968656046,0.0,12.187110187110184,0.0,14.363441393874353,0.0,11.20736479618818,0.0,0.06707945241730684,2.0345121935513024,2.0345121935513024,6.7724779482618045,0.07961997133010035,0.011755965996976153,0.00011897716666118271,0.20203475952148744,0.20203475952148744,1.0,1.0,1.0,3486528.4906986346,3486528.4906986346,3797.640254157837,3797.640254157837,838815.0285357912,838815.0285357912,1,0.02298423937871174
2025-05-28 00:00:00+00:00,0,0,0,7541395924,25425,222126,0.3069083094596863,0.0146275762236867,97.22161865234376,150,2688516,22.17771712938945,182735.0,26981.0,2295089.0,97.16213989257812,0.2958118915557861,21.741411526997883,0.0,0.0,0.0,0.0,0.0,0.0,1465098.1666666667,24006.666666666668,2043723.5,96.92724482218425,0.2625187834103902,22.56757659003848,1465098.1666666667,24006.666666666668,2043723.5,96.92724482218425,0.2625187834103902,22.56757659003848,0.0,21.55635209456317,0.0,-5.767021237166892,0.0,17.14212390020604,0.0,3.751173708920197,0.0,0.06121598374777548,2.16868856343661,2.16868856343661,8.736175568315897,0.0826202698364935,0.009456886454502612,9.984250959761511e-05,0.16591251918248504,0.16591251918248504,1.0,1.0,1.0,3177341.638361945,3177341.638361945,3467.053196399886,3467.053196399886,814045.6314061885,814045.6314061885,1,0.02793880294544408
2025-05-29 00:00:00+00:00,0,0,0,7541395924,26844,212801,0.2867644131183624,0.0119716149293911,97.27246856689452,118,2397933,22.942391951878864,222126.0,25425.0,2688516.0,97.22161865234376,0.3069083094596863,22.17771712938945,0.0,0.0,0.0,0.0,0.0,0.0,1286198.5714285714,24412.0,2094324.857142857,96.9765625,0.26598244479724337,22.621121641729964,1286198.5714285714,24412.0,2094324.857142857,96.9765625,0.26598244479724337,22.621121641729964,0.0,-4.198067763341529,0.0,5.5811209439528,0.0,-10.808304655802681,0.0,-6.56349004586656,0.0,0.05230309395751753,2.2849264805838616,2.2849264805838616,7.927025516856025,0.08874347667617208,0.01119463671644007,0.00010781097899398908,0.1406835828508652,0.1406835828508652,1.0,1.0,1.0,2938869.175146276,2938869.175146276,3341.7232081667084,3341.7232081667084,755081.9313750946,755081.9313750946,1,0.02676591306552788
2025-05-30 00:00:00+00:00,0,0,0,7541395924,28360,273470,0.2751978635787964,0.0135107421351682,97.28119659423828,95,2493512,22.12884831428528,212801.0,26844.0,2397933.0,97.27246856689452,0.2867644131183624,22.942391951878864,7950448.0,19035.0,466077.0,96.34480285644533,0.198843702673912,23.315194266183035,189487.42857142858,25744.14285714286,2383958.4285714286,97.11033303397042,0.2768901820693697,22.451643648601713,1159607.5,24905.5,2144223.25,97.01464176177979,0.26713437214493746,22.55958747579938,-96.56031961972458,28.509734446736612,48.98870501707382,5.64744449411414,435.0000107278411,3.985891182113921,38.39908424462364,-4.033467547032044,0.9719193044467556,0.008972762254688682,2.3665957342401147,2.3665957342401147,9.642466767744438,0.10967257840644905,0.01137351198890882,8.09184458837876e-05,0.0830715724400077,0.11917522975377201,1.0009863590737738,0.16340652209599246,1.036520234540013,2744322.162892844,2744322.162892844,3394.13464671041,3394.13464671041,713174.3842727288,713174.3842727288,1,0.03439680380275426
2025-05-31 00:00:00+00:00,0,1,0,7541395924,39448,415095,0.3575210571289062,0.0180537059148287,97.26060485839844,81,3122365,23.124935905138653,273470.0,28360.0,2493512.0,97.28119659423828,0.2751978635787964,22.12884831428528,135495.0,27766.0,2195486.0,96.71133422851562,0.2776592671871185,23.017614205678303,229430.2857142857,27413.0,2516369.714285714,97.18880026681083,0.2882990092039108,22.46697531995319,1076883.888888889,26521.333333333332,2252905.6666666665,97.04197099473741,0.27717733714315623,22.622403967948188,206.35447802501938,51.78813032508136,42.07303896852266,39.09732016925247,42.2174862422261,25.21956982761664,28.762515564793922,29.914183373207216,0.5679485597675171,-0.0211672312438016,2.3949158666316817,2.3949158666316817,10.52231995741337,0.13294245453607936,0.012634008953466698,5.570985002297939e-05,0.04217229570661292,0.0998202006022094,1.0015130491535604,0.21305016082189518,1.0401247525334674,2579046.312020029,2579046.312020029,5794.686143355824,5794.686143355824,742527.6417868227,742527.6417868227,1,0.052210265383787174
2025-06-01 00:00:00+00:00,1,1,0,7541395924,32552,593487,0.3325075209140777,0.0226217042759004,97.26910400390624,69,3233327,25.41798162460327,415095.0,39448.0,3122365.0,97.26060485839844,0.3575210571289062,23.124935905138653,171403.0,20783.0,2610335.0,97.0265655517578,0.2298892587423324,22.47208086649577,289728.0,29094.285714285714,2605368.5714285714,97.22344861711774,0.3029587609427316,22.88781828539712,1028544.2,27124.4,2350947.8,97.0646842956543,0.28271035552024837,22.901961733613696,246.25239931623133,42.97618617424928,56.62801328008469,-17.48124112756033,23.866361980358853,3.5537805477578788,44.638128259295186,-6.996381252534089,0.24997118136584895,0.00873852832827815,2.3687348188190005,2.3687348188190005,18.231407243572022,0.18355298318017843,0.010067645472404903,4.2828130686051394e-05,0.027599879673548725,0.08498558275627209,1.0016356548482643,0.2816874568929561,1.0716224398120182,2436348.4592343336,2436348.4592343336,5786.566304813245,5786.566304813245,765642.9239033618,765642.9239033618,1,0.07464824623719317
