timestamp,isSummer,isWeekend,isHoliday,universe_id,ratings_like_ratio,daily_rpv,platform_platform_share,ccu_playing,daily_Estimated Revenue,session_session_length,visits_visits_gained,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2024-04-18 00:00:00+00:00,0,0,0,4193032947,94.75069427490234,0.0034679627009421,0.033011756837368,1453,331600.0,0.0,164785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331600.0,1453.0,164785.0,94.75069427490234,0.033011756837368,0.0,331600.0,1453.0,164785.0,94.75069427490234,0.033011756837368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.060522696011,2.0123068707293097,0.008817496631995436,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2024-04-19 00:00:00+00:00,0,0,0,4193032947,94.7516098022461,0.0050302879248354,0.0326732508838176,1692,482116.0,0.0,188799,0.0,331600.0,1453.0,164785.0,94.75069427490234,0.033011756837368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,406858.0,1572.5,176792.0,94.75115203857422,0.0328425038605928,0.0,406858.0,1572.5,176792.0,94.75115203857422,0.0328425038605928,0.0,0.0,45.39083232810614,0.0,16.448726772195464,0.0,14.572928361197924,0.0,-1.0254102961500644,0.0,0.0009662486916361956,0.2615922122142723,0.2615922122142723,284.77023036030715,2.5535805084745764,0.00896186440677966,0.0,0.0,0.0,1.0,1.0,1.0,106430.8842770744,106430.8842770744,168.99852070358486,168.99852070358486,16980.462243413753,16980.462243413753,2,1.0
2024-04-20 00:00:00+00:00,0,1,0,4193032947,94.75121307373048,0.0068108123556052,0.0349009446799755,2599,654734.0,0.0,268582,0.0,482116.0,1692.0,188799.0,94.7516098022461,0.0326732508838176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489483.3333333333,1914.6666666666667,207388.66666666666,94.7511723836263,0.033528650800387035,0.0,489483.3333333333,1914.6666666666667,207388.66666666666,94.7511723836263,0.033528650800387035,0.0,0.0,35.80424628097803,0.0,53.605200945626486,0.0,42.258168740300526,0.0,6.8180965649219605,0.0,-0.00041870372063934624,0.3303338831540395,0.3303338831540395,251.82076923076923,2.4377343316591147,0.009676710737462907,0.0,0.00025939941406423846,0.0,1.0,1.0,1.0,161692.9302391831,161692.9302391831,604.5778141259678,604.5778141259678,54338.164142095695,54338.164142095695,3,1.0
2024-04-21 00:00:00+00:00,0,1,0,4193032947,94.7516860961914,0.0071485675829925,0.0357559695839881,2656,689688.0,0.0,274887,0.0,654734.0,2599.0,268582.0,94.75121307373048,0.0349009446799755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,539534.5,2100.0,224263.25,94.75130081176758,0.034085480496287304,0.0,539534.5,2100.0,224263.25,94.75130081176758,0.034085480496287304,0.0,0.0,5.338656614747372,0.0,2.193151212004607,0.0,2.3475139808326606,0.0,2.4498617783923926,0.0,0.0004992257572000725,0.30708148942123137,0.30708148942123137,259.57395558901015,2.508978202031373,0.009662116934897122,0.0,0.0002578735351461642,0.0,1.0,1.0,1.0,165681.05785413936,165681.05785413936,617.3086748135004,617.3086748135004,55744.32980656718,55744.32980656718,4,1.0
2024-04-22 00:00:00+00:00,0,0,0,4193032947,94.7506332397461,0.0044484507108908,0.0294722542166709,1376,430468.0,0.0,165207,0.0,689688.0,2656.0,274887.0,94.7516860961914,0.0357559695839881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517721.2,1955.2,212452.0,94.75116729736328,0.03316283524036402,0.0,517721.2,1955.2,212452.0,94.75116729736328,0.03316283524036402,0.0,0.0,-37.585110948718835,0.0,-48.19277108433735,0.0,-39.90003164936865,0.0,-17.573891689770072,0.0,-0.0011111743639546923,0.2927210246891423,0.2927210246891423,312.61292665214233,2.605612319016028,0.008328894484528594,0.0,-4.577636724394086e-06,-4.577636724394086e-06,1.0,1.0,1.0,151547.88016729237,151547.88016729237,625.0101599174209,625.0101599174209,55028.182434094626,55028.182434094626,4,0.6241488905128116
2024-04-23 00:00:00+00:00,0,0,0,4193032947,94.74929809570312,0.0039645996322743,0.0275490637868642,1217,384428.0,0.0,144405,0.0,430468.0,1376.0,165207.0,94.7506332397461,0.0294722542166709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495505.6666666667,1832.1666666666667,201110.83333333334,94.75085576375325,0.03222720666478072,0.0,495505.6666666667,1832.1666666666667,201110.83333333334,94.75085576375325,0.03222720666478072,0.0,0.0,-10.69533623869835,0.0,-11.555232558139538,0.0,-12.591476148105107,0.0,-6.525426985218019,0.0,-0.0014091135830063273,0.29477693561500806,0.29477693561500806,315.62233169129723,2.6621331523620904,0.008427627660900517,0.0,-0.00026964460100360667,-0.00026964460100360667,1.0,1.0,1.0,146063.64199987164,146063.64199987164,635.0853223517819,635.0853223517819,56517.369522711044,56517.369522711044,4,0.5573940680423611
2024-04-24 00:00:00+00:00,0,0,0,4193032947,94.74908447265624,0.0037779280550239,0.026602478697896,1164,367016.0,0.0,139345,0.0,384428.0,1217.0,144405.0,94.74929809570312,0.0275490637868642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,477150.0,1736.7142857142858,192287.14285714287,94.75060272216797,0.0314236740980829,0.0,477150.0,1736.7142857142858,192287.14285714287,94.75060272216797,0.0314236740980829,0.0,0.0,-4.529326687962376,0.0,-4.354971240755956,0.0,-3.5040337938437083,0.0,-3.435997303906735,0.0,-0.0002254613503005487,0.2974035064387242,0.2974035064387242,315.0351931330472,2.6338466837942964,0.008353307594046474,0.0,-0.0003583090645894915,-0.0003583090645894915,1.0,1.0,1.0,141906.08309723725,141906.08309723725,632.3679609967903,632.3679609967903,56629.02798161785,56629.02798161785,4,0.5321478697613994
2024-04-25 00:00:00+00:00,0,0,0,4193032947,94.7470245361328,0.0036222712003217,0.0247915480285882,1127,352539.0,0.0,139382,0.0,367016.0,1164.0,139345.0,94.74908447265624,0.026602478697896,0.0,331600.0,1453.0,164785.0,94.75069427490234,0.033011756837368,0.0,480141.28571428574,1690.142857142857,188658.14285714287,94.75007847377232,0.030249358553971505,0.0,461573.625,1660.5,185674.0,94.75015544891357,0.030594658339396064,0.0,6.314535585042225,-3.944514680558886,-22.43633860977289,-3.178694158075601,-15.415844888794494,0.026552800602819282,-24.90085229112934,-6.807375695600227,-0.003873046838998029,-0.002174096493812172,0.30021147749202454,0.30021147749202454,312.5345744680851,2.5292826241363726,0.008085634546537239,0.0,-0.0007286071777393055,-0.0005370548793274362,0.9999991875987866,1.0402268667632075,0.988713723108327,138569.69993259967,138569.69993259967,623.8839177740863,623.8839177740863,55665.0258677488,55665.0258677488,4,0.5111572189163796
2024-04-26 00:00:00+00:00,0,0,0,4193032947,94.74883270263672,0.0041050127276323,0.028740806505084,1569,400275.0,0.0,155722,0.0,352539.0,1127.0,139382.0,94.7470245361328,0.0247915480285882,0.0,482116.0,1692.0,188799.0,94.7516098022461,0.0326732508838176,0.0,468449.71428571426,1672.5714285714287,183932.85714285713,94.7496817452567,0.029687580785580987,0.0,454762.6666666667,1650.3333333333333,182346.0,94.75000847710504,0.030388674802250278,0.0,-16.97537522090119,13.540629547369232,-7.269503546099287,39.21916592724046,-17.519690252596675,11.7231780287268,-12.035669155533169,15.929858320834732,-0.0029309260446086505,0.0019084150798098776,0.28854762583471316,0.28854762583471316,254.95222929936307,2.5704295447685954,0.010075582926093127,0.0,-0.0006433214460080186,-0.00046412150065624797,0.99999655164307,1.0300971223503708,0.9769291020015991,131220.68778492973,131220.68778492973,584.3864303694945,584.3864303694945,53018.40220857283,53018.40220857283,4,0.5803711243344817
2024-04-27 00:00:00+00:00,0,1,0,4193032947,94.74928283691406,0.0062616251126296,0.0323950983583927,2435,612150.0,0.0,246047,0.0,400275.0,1569.0,155722.0,94.74883270263672,0.028740806505084,0.0,654734.0,2599.0,268582.0,94.75121307373048,0.0349009446799755,0.0,462366.28571428574,1649.142857142857,180713.57142857142,94.74940599714007,0.029329602739640585,0.0,470501.4,1728.8,188716.1,94.74993591308593,0.03058931715786452,0.0,-6.504015371127814,52.93235900318531,-6.3101192766448655,55.194391332058636,-8.390361230462206,58.00400714093064,-7.1798810735932195,12.714646169244737,-0.0020371631705873305,0.0004750816073428865,0.2834251604886008,0.2834251604886008,251.29310344827587,2.487929184549356,0.009896442970477305,0.0,-0.0004673004150411835,-0.00037712328361858385,0.9999944072157859,0.9827096916487086,0.9588184851684385,133351.93480511135,133351.93480511135,604.2618637643783,604.2618637643783,53892.53034501989,53892.53034501989,4,0.8875752514180325
