timestamp,isSummer,isWeekend,isHoliday,universe_id,platform_platform_share,session_session_length,daily_Estimated Revenue,visits_visits_gained,daily_rpv,ratings_like_ratio,ccu_playing,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2024-03-05 00:00:00+00:00,0,0,0,5677613211,0.3942629098892212,0.0,2124307.0,1133293,0.6572323399878323,90.05844116210938,17308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2124307.0,17308.0,1133293.0,90.05844116210938,0.3942629098892212,0.0,2124307.0,17308.0,1133293.0,90.05844116210938,0.3942629098892212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.72846496042521,1.8744535839773262,0.01527229474434701,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2024-03-06 00:00:00+00:00,0,0,0,5677613211,0.2483499646186828,0.0,1540910.0,744129,0.3354787790288879,89.04834747314453,10628,0.0,2124307.0,17308.0,1133293.0,90.05844116210938,0.3942629098892212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1832608.5,13968.0,938711.0,89.55339431762695,0.321306437253952,0.0,1832608.5,13968.0,938711.0,89.55339431762695,0.321306437253952,0.0,0.0,-27.462932617554802,0.0,-38.59486942454357,0.0,-34.339222072314925,0.0,-37.00904691022967,0.0,-1.121598015611469,0.22510207435133486,0.22510207435133486,144.9722457427792,2.0707537661430124,0.014282450647064357,0.0,0.0,0.0,1.0,1.0,1.0,412523.9748238883,412523.9748238883,4723.473298326137,4723.473298326137,275180.5033936816,275180.5033936816,1,0.725370673824452
2024-03-07 00:00:00+00:00,0,0,0,5677613211,0.3031589388847351,0.0,1515765.0,805304,0.272934003874394,88.09574890136719,13720,0.0,1540910.0,10628.0,744129.0,89.04834747314453,0.2483499646186828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1726994.0,13885.333333333334,894242.0,89.06751251220703,0.3152572711308797,0.0,1726994.0,13885.333333333334,894242.0,89.06751251220703,0.3152572711308797,0.0,0.0,-1.6318279458242158,0.0,29.092961987203616,0.0,8.221020817627057,0.0,22.06924987897869,0.0,-1.0697543512131258,0.19937114359554634,0.19937114359554634,110.4704467604402,1.8822247471454914,0.017037023239642124,0.0,-0.9813461303710935,0.0,1.0,1.0,1.0,344312.76876264694,344312.76876264694,3343.067653119412,3343.067653119412,209271.66699531974,209271.66699531974,1,0.713533872458171
2024-03-08 00:00:00+00:00,0,0,0,5677613211,0.3061727583408355,0.0,1823175.0,946240,0.2703677317355105,87.1989517211914,16643,0.0,1515765.0,13720.0,805304.0,88.09574890136719,0.3031589388847351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1751039.25,14574.75,907241.5,88.60037231445312,0.3129861429333687,0.0,1751039.25,14574.75,907241.5,88.60037231445312,0.3129861429333687,0.0,0.0,20.280848284529583,0.0,21.304664723032076,0.0,17.500968578325704,0.0,0.9941384104284356,0.0,-1.017980085713155,0.16288255823609912,0.16288255823609912,109.53947368421052,1.9267554460227363,0.017588542453772348,0.0,-0.953106689453137,0.0,1.0,1.0,1.0,285213.75261182035,285213.75261182035,3058.090185611493,3058.090185611493,172836.2473720911,172836.2473720911,1,0.8582445945901417
2024-03-09 00:00:00+00:00,0,1,0,5677613211,0.2857847511768341,0.0,2361378.0,1278482,0.2871907016552125,86.33444213867188,21387,0.0,1823175.0,16643.0,946240.0,87.1989517211914,0.3061727583408355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1873107.0,15937.2,981489.6,88.14718627929688,0.3075458645820618,0.0,1873107.0,15937.2,981489.6,88.14718627929688,0.3075458645820618,0.0,0.0,29.52009543790366,0.0,28.504476356426125,0.0,35.11181095705107,0.0,-6.658987976097208,0.0,-0.9914219901217436,0.1965294501138017,0.1965294501138017,110.40667664110717,1.847015564540162,0.016728419540971606,0.0,-0.9297393798828212,-0.9297393798828212,1.0,1.0,1.0,368120.6887143128,368120.6887143128,4036.7420898541436,4036.7420898541436,223535.6304312581,223535.6304312581,2,1.0
2024-03-10 00:00:00+00:00,0,1,0,5677613211,0.3142142593860626,0.0,2500467.0,1303965,0.2505442864940463,85.49671173095703,22619,0.0,2361378.0,21387.0,1278482.0,86.33444213867188,0.2857847511768341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1977667.0,17050.833333333332,1035235.5,87.70544052124023,0.3086572637160619,0.0,1977667.0,17050.833333333332,1035235.5,87.70544052124023,0.3086572637160619,0.0,0.0,5.890162439050428,0.0,5.760508720250623,0.0,1.9932232131543604,0.0,9.947874437722293,0.0,-0.9703316393349315,0.21092605807211426,0.21092605807211426,110.54230769230769,1.917586041353839,0.017346311176825162,0.0,-0.9099188668387198,-0.9099188668387198,1.0,1.0,1.0,417141.504489304,417141.504489304,4525.185583671311,4525.185583671311,239387.28675245057,239387.28675245057,3,1.0
2024-03-11 00:00:00+00:00,0,0,0,5677613211,0.2990449368953705,0.0,1687866.0,828158,0.1471697470787926,85.04753875732422,14270,0.0,2500467.0,22619.0,1303965.0,85.49671173095703,0.3142142593860626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1936266.857142857,16653.571428571428,1005653.0,87.32574026925224,0.30728407417024883,0.0,1936266.857142857,16653.571428571428,1005653.0,87.32574026925224,0.30728407417024883,0.0,0.0,-32.49796937931995,0.0,-36.91144612936027,0.0,-36.489246260444105,0.0,-4.827700219694419,0.0,-0.5253687124790019,0.20463960253289648,0.20463960253289648,118.27244061383225,2.0380941340974377,0.017230990667251096,0.0,-0.8534744807652,-0.8534744807652,1.0,1.0,1.0,396236.8800433349,396236.8800433349,4262.52737458044,4262.52737458044,232123.02275445807,232123.02275445807,3,0.6750203062068005
2024-03-12 00:00:00+00:00,0,0,0,5677613211,0.3123075067996979,0.0,1808428.0,797606,0.1433373324520345,84.586181640625,14246,0.0,1687866.0,14270.0,828158.0,85.04753875732422,0.2990449368953705,0.0,2124307.0,17308.0,1133293.0,90.05844116210938,0.3942629098892212,0.0,1891141.2857142857,16216.142857142857,957697.7142857143,86.54398890904018,0.2955761594431741,0.0,1920287.0,16352.625,979647.125,86.98329544067383,0.30791200324893,0.0,-14.869743403378132,7.142865606629911,-17.691241044603657,-0.16818500350385124,-29.620495317627483,-3.689151104016386,-20.786992900892177,4.434975573242261,-6.07634270688081,-0.5424696862958767,0.19248056853023673,0.19248056853023673,126.9339510072296,2.267317112312204,0.017860926496382303,0.0,-0.7566127777099596,-0.7972795395623973,0.9949495299136686,0.9848222092397052,0.959937112955668,369617.9335012227,369617.9335012227,4037.090321984033,4037.090321984033,227143.6600444985,227143.6600444985,3,0.723236099496614
2024-03-13 00:00:00+00:00,0,0,0,5677613211,0.3478544056415558,0.0,1747091.0,866920,0.1275739759270409,84.07166290283203,15915,0.0,1808428.0,14246.0,797606.0,84.586181640625,0.3123075067996979,0.0,1540910.0,10628.0,744129.0,89.04834747314453,0.2483499646186828,0.0,1920595.7142857143,16971.428571428572,975239.2857142857,85.83303397042411,0.3097910795892988,0.0,1901043.0,16304.0,967121.8888888889,86.65978071424696,0.3123500479592217,0.0,13.380469982023602,-3.3917302762399126,49.74595408355289,11.715569282605642,16.501305553203814,8.690255589852637,40.06621912576165,11.382018705255238,-5.588744442240645,-0.6082775316409994,0.18438971181995428,0.18438971181995428,109.76947725559185,2.015282822771625,0.018358074149778355,0.0,-0.6637393406459318,-0.7522045135498052,0.9904598564984952,1.0102852561913194,0.9918073700111709,350532.77092734136,350532.77092734136,3779.168625504821,3779.168625504821,215770.47033331764,215770.47033331764,3,0.6987058817412908
2024-03-14 00:00:00+00:00,0,0,0,5677613211,0.3238222301006317,0.0,1794703.0,872114,0.1203870711743786,83.63465881347656,15133,0.0,1747091.0,15915.0,866920.0,84.07166290283203,0.3478544056415558,0.0,1515765.0,13720.0,805304.0,88.09574890136719,0.3031589388847351,0.0,1960444.0,17173.285714285714,984783.5714285715,85.19573538643974,0.3127429783344269,0.0,1890409.0,16186.9,957621.1,86.35726852416992,0.3134972661733627,0.0,18.40245684522337,2.725215801581027,10.298833819241992,-4.913603518693055,8.296245889750953,0.5991325612513254,6.815992723788056,-6.9086879887581105,-5.063910737492339,-0.5197995070711836,0.17572488619240906,0.17572488619240906,118.58748513281353,2.057874248235611,0.017352069394517926,0.0,-0.5760345458984361,-0.7120644771691494,0.9865496772005348,1.0370475383898405,0.997593957203701,332191.90638210584,332191.90638210584,3582.2252689882275,3582.2252689882275,205636.9551739451,205636.9551739451,3,0.7177471248370805
