timestamp,isSummer,isWeekend,isHoliday,universe_id,daily_Estimated Revenue,visits_visits_gained,platform_platform_share,session_session_length,ccu_playing,daily_rpv,ratings_like_ratio,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2024-08-05 00:00:00+00:00,1,0,0,6097519616,520836.0,296652,0.0541530922055244,13.665744066238403,3838,0.0931870786834131,87.05108642578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520836.0,3838.0,296652.0,87.05108642578125,0.0541530922055244,13.665744066238403,520836.0,3838.0,296652.0,87.05108642578125,0.0541530922055244,13.665744066238403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.66970565251367,1.7557078472154335,0.012937674656922398,2.6238043891348738e-05,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2024-08-06 00:00:00+00:00,1,0,0,6097519616,1808776.0,468858,0.0819268524646759,12.508261124293009,5993,0.3039887624765915,87.74545288085938,0.0,520836.0,3838.0,296652.0,87.05108642578125,0.0541530922055244,13.665744066238403,0.0,0.0,0.0,0.0,0.0,0.0,1164806.0,4915.5,382755.0,87.39826965332031,0.06803997233510015,13.087002595265705,1164806.0,4915.5,382755.0,87.39826965332031,0.06803997233510015,13.087002595265705,0.0,247.28321390994478,0.0,56.1490359562272,0.0,58.04983617167589,0.0,51.28748724771468,0.0,0.7976539795056192,0.7818564703147151,0.7818564703147151,301.76443109776443,3.8578250604126185,0.012782094403648005,6.915314117933283e-06,0.0,0.0,1.0,1.0,1.0,910711.107761402,910711.107761402,1523.8151134570098,1523.8151134570098,121768.0303610106,121768.0303610106,2,1.0
2024-08-07 00:00:00+00:00,1,0,0,6097519616,1967455.0,487328,0.0831879451870918,12.983545502026876,5958,0.3048375249278813,88.47267150878906,0.0,1808776.0,5993.0,468858.0,87.74545288085938,0.0819268524646759,12.508261124293009,0.0,0.0,0.0,0.0,0.0,0.0,1432355.6666666667,5263.0,417612.6666666667,87.75640360514323,0.07308929661909737,13.05251689751943,1432355.6666666667,5263.0,417612.6666666667,87.75640360514323,0.07308929661909737,13.05251689751943,0.0,8.77272807688736,0.0,-0.5840146837977622,0.0,3.9393590383442367,0.0,1.5392910681630845,0.0,0.8287821238065707,0.5538961046988305,0.5538961046988305,330.165296190636,4.037221261201365,0.0122258269054376,6.599154187959922e-06,0.7107925415038977,0.0,1.0,1.0,1.0,793376.2243099633,793376.2243099633,1234.2102738188498,1234.2102738188498,105161.29223879542,105161.29223879542,3,1.0
2024-08-08 00:00:00+00:00,1,0,0,6097519616,2013375.0,497208,0.0885014683008194,12.995935996373497,6417,0.2897901762726063,88.9770736694336,0.0,1967455.0,5958.0,487328.0,88.47267150878906,0.0831879451870918,12.983545502026876,0.0,0.0,0.0,0.0,0.0,0.0,1577610.5,5551.5,437511.5,88.06157112121582,0.07694233953952788,13.038371672232946,1577610.5,5551.5,437511.5,88.06157112121582,0.07694233953952788,13.038371672232946,0.0,2.3339796844146443,0.0,7.703927492447127,0.0,2.0273819686125183,0.0,6.387371513717932,0.0,0.570121995914219,0.4500148690619337,0.4500148690619337,313.7075412901215,4.04935349118781,0.012906041523785772,6.454798307108805e-06,0.650518035888661,0.0,1.0,1.0,1.0,709948.1825882317,709948.1825882317,1161.2259326533604,1161.2259326533604,94638.53617316784,94638.53617316784,4,1.0
2024-08-09 00:00:00+00:00,1,0,0,6097519616,2051777.0,503131,0.0877288356423378,13.128908157348633,6841,0.275507600578946,89.36849975585938,0.0,2013375.0,6417.0,497208.0,88.9770736694336,0.0885014683008194,12.995935996373497,0.0,0.0,0.0,0.0,0.0,0.0,1672443.8,5809.4,450635.4,88.32295684814453,0.07909963876008987,13.056478969256085,1672443.8,5809.4,450635.4,88.32295684814453,0.07909963876008987,13.056478969256085,0.0,1.9073446327683596,0.0,6.607448963690188,0.0,1.1912519508938013,0.0,-0.8730167683268175,0.0,0.4399179140010867,0.38887656052252567,0.38887656052252567,299.87971353405436,4.078009349435138,0.013596829460260926,6.398795657887273e-06,0.5866447448730419,0.5866447448730419,1.0,1.0,1.0,650374.1926112229,650374.1926112229,1159.2654139583394,1159.2654139583394,87054.7135587729,87054.7135587729,5,1.0
2024-08-10 00:00:00+00:00,1,1,0,6097519616,2147449.0,539832,0.0666192471981048,12.843833446502686,5345,0.2690042471489338,89.73985290527344,0.0,2051777.0,6841.0,503131.0,89.36849975585938,0.0877288356423378,13.128908157348633,0.0,0.0,0.0,0.0,0.0,0.0,1751611.3333333333,5732.0,465501.5,88.55910619099934,0.07701957349975902,13.021038048797186,1751611.3333333333,5732.0,465501.5,88.55910619099934,0.07701957349975902,13.021038048797186,0.0,4.662884904158693,0.0,-21.868147931588943,0.0,7.294521705082779,0.0,-24.06231461944257,0.0,0.4155302488332513,0.35006836187602414,0.35006836187602414,401.6926674148896,3.977987636917343,0.009901210189076992,5.980969729913472e-06,0.53763929094588,0.53763929094588,1.0,1.0,1.0,613183.7101034784,613183.7101034784,1054.0690679457396,1054.0690679457396,85958.26951201378,85958.26951201378,6,1.0
2024-08-11 00:00:00+00:00,1,1,0,6097519616,1373848.0,372752,0.058217529207468,11.861096739768982,2989,0.1627058020686297,89.96002960205078,0.0,2147449.0,5345.0,539832.0,89.73985290527344,0.0666192471981048,12.843833446502686,0.0,0.0,0.0,0.0,0.0,0.0,1697645.142857143,5340.142857142857,452251.5714285714,88.75923810686383,0.07433356717228888,12.855332147507442,1697645.142857143,5340.142857142857,452251.5714285714,88.75923810686383,0.07433356717228888,12.855332147507442,0.0,-36.02418497482361,0.0,-44.07857811038354,0.0,-30.950369744661298,0.0,-12.611547479143258,0.0,0.24534996397838071,0.34028354514710385,0.34028354514710385,459.4809364548495,3.685679256773252,0.008018714805782918,8.633479181313945e-06,0.4861234937395457,0.4861234937395457,1.0,1.0,1.0,577680.7076131902,577680.7076131902,1414.478281743417,1414.478281743417,85943.45620592091,85943.45620592091,6,0.6397581502517639
2024-08-12 00:00:00+00:00,1,0,0,6097519616,905664.0,261508,0.0353030003607273,11.162028471628824,2624,0.1034291600809959,90.02037048339844,0.0,1373848.0,2989.0,372752.0,89.96002960205078,0.058217529207468,11.861096739768982,520836.0,3838.0,296652.0,87.05108642578125,0.0541530922055244,13.665744066238403,1752620.5714285714,5166.714285714285,447231.0,89.1834215436663,0.07164069690874643,12.497658491134644,1598647.5,5000.625,428408.625,88.91687965393066,0.06945474632084367,12.643669188022614,73.88659770061979,-34.0782968712696,-31.631057842626365,-12.211441953830715,-11.846877823173285,-29.84397132678027,-34.80889285741308,-39.36018783119582,3.4109672601832175,0.06707521286350993,0.37762757467122154,0.37762757467122154,345.0148571428571,3.463223063068575,0.010034071485111411,1.2324676863552002e-05,0.3772231510707362,0.4291766938709095,1.002997652310484,1.0963145855659684,1.0314730195371364,603693.3781792116,603693.3781792116,1623.9170402367938,1623.9170402367938,104302.36764459306,104302.36764459306,6,0.4217394685508247
2024-08-13 00:00:00+00:00,1,0,0,6097519616,844749.0,247953,0.0365469940006732,11.004164457321169,2537,0.0937737664507502,90.06501007080078,0.0,905664.0,2624.0,261508.0,90.02037048339844,0.0353030003607273,11.162028471628824,1808776.0,5993.0,468858.0,87.74545288085938,0.0819268524646759,12.508261124293009,1614902.4285714286,4673.0,415673.14285714284,89.51478685651507,0.06515785998531747,12.282787538710094,1514881.0,4726.888888888889,408358.0,89.04444970024957,0.06579832939638029,12.461501995722452,-53.29720208583042,-6.726004345982616,-57.667278491573505,-3.315548780487809,-47.11554457852911,-5.183397831041503,-55.39070170377774,3.523761797112779,2.6435070009734885,0.04958831780255135,0.4080155431845405,0.4080155431845405,332.8404255319149,3.406877888640635,0.010231736531776055,1.3026533835242579e-05,0.2662549700055848,0.37696571350097446,1.005282049109729,1.0660259311268863,0.9902661751910975,618094.9940749399,618094.9940749399,1726.8037992519912,1726.8037992519912,114618.31867223493,114618.31867223493,6,0.39337325356737224
2024-08-14 00:00:00+00:00,1,0,0,6097519616,830792.0,243596,0.03633439168334,11.006849765777588,2654,0.0897615650200961,90.08902740478516,0.0,844749.0,2537.0,247953.0,90.06501007080078,0.0365469940006732,11.004164457321169,1967455.0,5958.0,487328.0,88.47267150878906,0.0831879451870918,12.983545502026876,1452522.0,4201.0,380854.28571428574,89.74569484165737,0.05846449519906721,12.000402433531624,1446472.1,4519.6,391881.8,89.14890747070312,0.06285193562507627,12.316036772727966,-57.7732654622342,-1.6522067501707594,-55.45485062101376,4.611746156878205,-50.013953641079524,-1.7571878541497776,-56.322527739298,-0.5817231297580272,1.8269550002630197,0.02666666440773735,0.42973721261245246,0.42973721261245246,312.9160075329567,3.410518191931756,0.010895043863430173,1.324860677181631e-05,0.17890712193080696,0.33113384824810527,1.0066942757672086,1.0041825210455146,0.9301940285151922,621602.8883756807,621602.8883756807,1755.0559471930737,1755.0559471930737,119967.92940967366,119967.92940967366,6,0.3868739141185658
