timestamp,isSummer,isWeekend,isHoliday,universe_id,session_session_length,platform_platform_share,daily_Estimated Revenue,visits_visits_gained,daily_rpv,ratings_like_ratio,ccu_playing,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-08-28 00:00:00+00:00,1,0,0,8389267020,19.815402030944824,0.0049990201368927,120311,22683,0.6108876454805001,93.8583984375,645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120311.0,645.0,22683.0,93.8583984375,0.0049990201368927,19.815402030944824,120311.0,645.0,22683.0,93.8583984375,0.0049990201368927,19.815402030944824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.23993808049536,5.303782401692823,0.028434138599894198,0.00016470012992008133,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-08-29 00:00:00+00:00,1,0,0,8389267020,22.491262316703796,0.0067031178623437,156011,91617,0.6229703360792808,94.776123046875,938,409.0,120311.0,645.0,22683.0,93.8583984375,0.0049990201368927,19.815402030944824,0.0,0.0,0.0,0.0,0.0,0.0,138161.0,791.5,57150.0,94.3172607421875,0.0058510689996182,21.15333217382431,138161.0,791.5,57150.0,94.3172607421875,0.0058510689996182,21.15333217382431,0.0,29.67309722303031,0.0,45.42635658914729,0.0,303.9016003174184,0.0,34.08863494817278,0.0,0.9777756968505136,0.18271228558247077,0.18271228558247077,166.14589989350372,1.7028422362417865,0.010238162806435417,0.00014416366892741454,0.0,0.0,1.0,1.0,1.0,25243.712088359745,25243.712088359745,207.18228688765842,207.18228688765842,48743.698854313465,48743.698854313465,2,1.0
2025-08-30 00:00:00+00:00,1,1,0,8389267020,21.481086889902752,0.0067672152072191,459609,99068,1.3242212539954394,95.25306701660156,977,393.0,156011.0,938.0,91617.0,94.776123046875,0.0067031178623437,22.491262316703796,0.0,0.0,0.0,0.0,0.0,0.0,245310.33333333334,853.3333333333334,71122.66666666667,94.62919616699219,0.0061564510688185,21.26258374585046,245310.33333333334,853.3333333333334,71122.66666666667,94.62919616699219,0.0061564510688185,21.26258374585046,0.0,194.60038074238355,0.0,4.157782515991482,0.0,8.13277011908271,0.0,0.9562318042396711,0.0,0.5032322006785162,0.7600353552350073,0.7600353552350073,469.94785276073617,4.639281712745662,0.00986181348353168,4.673764036879692e-05,0.6973342895507745,0.0,1.0,1.0,1.0,186444.52633781807,186444.52633781807,181.47267930279017,181.47267930279017,42115.08435624145,42115.08435624145,3,1.0
2025-08-31 00:00:00+00:00,1,1,0,8389267020,20.70780952771505,0.0114687234163284,181856,141054,0.3915129485033998,95.3847427368164,1630,302.0,459609.0,977.0,99068.0,95.25306701660156,0.0067672152072191,21.481086889902752,0.0,0.0,0.0,0.0,0.0,0.0,229446.75,1047.5,88605.5,94.81808280944824,0.0074845191556959755,21.123890191316605,229446.75,1047.5,88605.5,94.81808280944824,0.0074845191556959755,21.123890191316605,0.0,-60.43245454288319,0.0,66.8372569089048,0.0,42.38099083457827,0.0,69.4747849025674,0.0,0.1382377747394692,0.6777274943044068,0.6777274943044068,111.4996934396076,1.2892559639856793,0.01155577611569955,0.00011386864144748374,0.5055976867675681,0.0,1.0,1.0,1.0,155502.37095378965,155502.37095378965,415.6412716113099,415.6412716113099,49041.32338140968,49041.32338140968,3,0.3956754545711681
2025-09-01 00:00:00+00:00,0,0,1,8389267020,19.79996172587077,0.012058300897479,212526,158336,0.3397250534669361,95.33074188232422,1506,218.0,181856.0,1630.0,141054.0,95.3847427368164,0.0114687234163284,20.70780952771505,0.0,0.0,0.0,0.0,0.0,0.0,226062.6,1139.2,102551.6,94.92061462402344,0.00839927550405258,20.85910449822744,226062.6,1139.2,102551.6,94.92061462402344,0.00839927550405258,20.85910449822744,0.0,16.864992081647024,0.0,-7.6073619631901845,0.0,12.252045315978277,0.0,5.140741996717768,0.0,-0.056613723476917066,0.5966552632184992,0.5966552632184992,141.0258792302588,1.3422383902688568,0.009511358684325205,9.31644531088792e-05,0.3553306579589821,0.3553306579589821,1.0,1.0,1.0,134881.4401068583,134881.4401068583,414.26163230499634,414.26163230499634,52690.19904403474,52690.19904403474,3,0.46240608865361643
2025-09-02 00:00:00+00:00,0,0,0,8389267020,23.17933702468872,0.0088078891858458,248960,141354,0.3199997283932598,95.391845703125,1030,165.0,212526.0,1506.0,158336.0,95.33074188232422,0.012058300897479,19.79996172587077,0.0,0.0,0.0,0.0,0.0,0.0,229878.83333333334,1121.0,109018.66666666667,94.99915313720703,0.00846737778435145,21.245809919304318,229878.83333333334,1121.0,109018.66666666667,94.99915313720703,0.00846737778435145,21.245809919304318,0.0,17.143314229788366,0.0,-31.60690571049137,0.0,-10.725293047696038,0.0,-26.95580197631954,0.0,0.06409665926674357,0.5263783463923893,0.5263783463923893,241.47429679922405,1.761239432634148,0.007286618796646741,9.310428952602504e-05,0.27036481584821875,0.27036481584821875,1.0,1.0,1.0,121003.24016061168,121003.24016061168,373.19914254992597,373.19914254992597,49718.642055738674,49718.642055738674,3,0.5416778174491796
2025-09-03 00:00:00+00:00,0,0,0,8389267020,21.32780448595683,0.0114198541268706,459438,114125,0.5074018587005888,95.39844512939452,1293,147.0,248960.0,1030.0,141354.0,95.391845703125,0.0088078891858458,23.17933702468872,0.0,0.0,0.0,0.0,0.0,0.0,262673.0,1145.5714285714287,109748.14285714286,95.05619485037667,0.008889160118997043,21.257523428826108,262673.0,1145.5714285714287,109748.14285714286,95.05619485037667,0.008889160118997043,21.257523428826108,0.0,84.54289845758353,0.0,25.533980582524272,0.0,-19.26298512953295,0.0,29.654834273144616,0.0,0.006918228933372461,0.5347424707295467,0.5347424707295467,355.05255023183923,4.025708427527469,0.011329583092371589,4.642140629323333e-05,0.21175929478237104,0.21175929478237104,1.0,1.0,1.0,140462.40901394223,140462.40901394223,346.8298608553657,346.8298608553657,45427.72011825882,45427.72011825882,3,0.9996279446224944
2025-09-04 00:00:00+00:00,0,0,0,8389267020,29.357953389485676,0.0076225697994232,484576,107530,0.4777531825888783,95.45742797851562,871,139.0,459438.0,1293.0,114125.0,95.39844512939452,0.0114198541268706,21.32780448595683,120311.0,645.0,22683.0,93.8583984375,0.0049990201368927,19.815402030944824,314710.85714285716,1177.857142857143,121869.14285714286,95.28462764195034,0.009263952927929971,22.620745051474803,290410.875,1111.25,109470.875,95.10634899139404,0.008730836329050314,22.270077173908554,302.76948907414953,5.471467314414569,35.03875968992247,-32.63727764887858,374.0554600361504,-5.778751369112811,52.48127814426551,-33.251600985974896,1.7036616516319603,0.061827893569033066,0.5229689399755959,0.5229689399755959,555.7064220183486,4.50638420548493,0.008099989770391794,6.05847025126774e-05,0.08363478524344506,0.17460895719982442,1.0018745189195772,1.083674490987492,1.0610613438148881,151875.86745613528,151875.86745613528,335.4552343990391,335.4552343990391,42065.2073212785,42065.2073212785,4,1.0
2025-09-05 00:00:00+00:00,0,0,0,8389267020,39.349915504455566,0.0049164071679115,606093,59405,0.5491785370962614,95.4365234375,651,128.0,484576.0,871.0,107530.0,95.45742797851562,0.0076225697994232,29.357953389485676,156011.0,938.0,91617.0,94.776123046875,0.0067031178623437,22.491262316703796,379008.28571428574,1136.857142857143,117267.42857142857,95.37897055489677,0.009008708543011085,25.029124078296483,325486.6666666667,1060.111111111111,103908.0,95.14303504096137,0.008307010866701554,24.16783698841378,288.4937600553807,25.076974509674432,-30.597014925373134,-25.25832376578645,-35.159413645939075,-44.75495210638891,-26.654919861538705,-35.501972467559106,0.6968003853653926,-0.021899334036457052,0.5431653657731434,0.5431653657731434,929.5904907975461,10.202555297444702,0.010958489041510958,6.492378328189285e-05,0.027265821184436916,0.14423789978027346,1.0024797980622946,1.1644356728825114,1.0844705379069948,176793.08435428122,176793.08435428122,349.2858587333749,349.2858587333749,42741.15888695579,42741.15888695579,5,1.0
2025-09-06 00:00:00+00:00,0,1,0,8389267020,53.14494276046753,0.0051306704990565,805457,67536,0.6900545752938064,95.36990356445312,789,126.0,606093.0,651.0,59405.0,95.4365234375,0.0049164071679115,39.349915504455566,459609.0,977.0,99068.0,95.25306701660156,0.0067672152072191,21.481086889902752,428415.14285714284,1110.0,112762.85714285714,95.39566149030414,0.008774916441845,29.552532059805735,373483.7,1033.0,100270.8,95.16572189331055,0.00798937682993705,27.065547565619152,75.24830888864231,32.893301853015956,-19.24257932446264,21.198156682027648,-31.828642952315576,13.687400050500798,-24.183429343532246,4.358128280006124,0.12265909278406095,-0.0698054273639781,0.6035955406203276,0.6035955406203276,1019.5658227848102,11.926158994329034,0.011682485156284703,6.598102292170111e-05,0.00830813816615389,0.11727493748520143,1.0024162018888625,1.1470785548529772,1.0983230142511802,225433.09581438027,225433.09581438027,340.28680713643763,340.28680713643763,41906.09005012146,41906.09005012146,6,1.0
