timestamp,isSummer,isWeekend,isHoliday,universe_id,ccu_playing,session_session_length,daily_rpv,visits_visits_gained,ratings_like_ratio,daily_Estimated Revenue,platform_platform_share,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2024-08-11 00:00:00+00:00,1,1,0,6170013953,670,0.0,0.1818055904344657,101614,73.360107421875,129950.0,0.006888975854963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129950.0,670.0,101614.0,73.360107421875,0.006888975854963,0.0,129950.0,670.0,101614.0,73.360107421875,0.006888975854963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.66616989567808,1.2788466269743641,0.006593514736997491,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2024-08-12 00:00:00+00:00,1,0,0,6170013953,601,0.0,0.1875446006163922,78788,73.79862976074219,156808.0,0.0073179933242499,0.0,129950.0,670.0,101614.0,73.360107421875,0.006888975854963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143379.0,635.5,90201.0,73.5793685913086,0.00710348458960645,0.0,143379.0,635.5,90201.0,73.5793685913086,0.00710348458960645,0.0,0.0,20.667949211235094,0.0,-10.298507462686569,0.0,-22.46344007715473,0.0,6.227594323441044,0.0,0.5977667621795524,0.13245645407701473,0.13245645407701473,260.4784053156146,1.9902270621533462,0.007627968371219333,0.0,0.0,0.0,1.0,1.0,1.0,18991.473929108295,18991.473929108295,48.79036790187178,48.79036790187178,16140.419387364134,16140.419387364134,2,1.0
2024-08-13 00:00:00+00:00,1,0,0,6170013953,828,0.0,0.1829694492924024,34135,72.82828521728516,173133.0,0.0108407586812973,0.0,156808.0,601.0,78788.0,73.79862976074219,0.0073179933242499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153297.0,699.6666666666666,71512.33333333333,73.32900746663411,0.008349242620170066,0.0,153297.0,699.6666666666666,71512.33333333333,73.32900746663411,0.008349242620170066,0.0,0.0,10.410820876485904,0.0,37.7703826955075,0.0,-56.67487434634716,0.0,48.13840626738324,0.0,-1.314854417491118,0.14223726293270395,0.14223726293270395,208.8455971049457,5.071859620342161,0.024255917506444808,0.0,-0.26591110229493825,0.0,1.0,1.0,1.0,21804.545695794717,21804.545695794717,116.37153145565,116.37153145565,34322.81099113727,34322.81099113727,3,1.0
2024-08-14 00:00:00+00:00,1,0,0,6170013953,794,0.0,0.191476333195342,108470,71.67314910888672,210581.0,0.0101651167497038,0.0,173133.0,828.0,34135.0,72.82828521728516,0.0108407586812973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167618.0,723.25,80751.75,72.91504287719727,0.0088032111525535,0.0,167618.0,723.25,80751.75,72.91504287719727,0.0088032111525535,0.0,0.0,21.629614227212613,0.0,-4.106280193236711,0.0,217.7676871246521,0.0,-6.232422946183014,0.0,-1.5861091675467232,0.20119688445254086,0.20119688445254086,264.8817610062893,1.9413575978833053,0.007319928828903578,0.0,-0.6031219482422016,0.0,1.0,1.0,1.0,33724.219378165995,33724.219378165995,106.07976558546248,106.07976558546248,33568.400581251015,33568.400581251015,4,1.0
2024-08-15 00:00:00+00:00,1,0,0,6170013953,799,0.0,0.1785296799077569,126735,71.49470520019531,224686.0,0.0102417860180139,0.0,210581.0,794.0,108470.0,71.67314910888672,0.0101651167497038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179031.6,738.4,89948.4,72.63097534179687,0.00909092612564558,0.0,179031.6,738.4,89948.4,72.63097534179687,0.00909092612564558,0.0,0.0,6.698135159392349,0.0,0.6297229219143663,0.0,16.83875726007191,0.0,0.7542389349569856,0.0,-0.24896898058757166,0.21664258137371337,0.21664258137371337,280.8575,1.7728664310061861,0.006304443883348062,0.0,-0.5856285095214898,-0.5856285095214898,1.0,1.0,1.0,38785.867971466105,38785.867971466105,97.91475884666215,97.91475884666215,35609.26837636516,35609.26837636516,5,1.0
2024-08-16 00:00:00+00:00,1,0,0,6170013953,765,0.0,0.1554832672188394,122612,71.02017974853516,221464.0,0.0096648652106523,0.0,224686.0,799.0,126735.0,71.49470520019531,0.0102417860180139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186103.66666666666,742.8333333333334,95392.33333333333,72.3625094095866,0.009186582639813366,0.0,186103.66666666666,742.8333333333334,95392.33333333333,72.3625094095866,0.009186582639813366,0.0,0.0,-1.4340012283809433,0.0,-4.255319148936165,0.0,-3.2532449599558144,0.0,-5.633009773362541,0.0,-0.6637211109989494,0.20835570426690758,0.20835570426690758,289.11749347258484,1.8062032574033748,0.006239142668395684,0.0,-0.564758518763946,-0.564758518763946,1.0,1.0,1.0,38775.760534987145,38775.760534987145,88.24832387454546,88.24832387454546,34528.74825803372,34528.74825803372,5,0.9856599877161906
2024-08-17 00:00:00+00:00,1,1,0,6170013953,1224,0.0,0.2014568743327225,190702,70.7623291015625,330513.0,0.0145492255687713,0.0,221464.0,765.0,122612.0,71.02017974853516,0.0096648652106523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206733.57142857142,811.5714285714286,109008.0,72.13391222272601,0.009952674486807356,0.0,206733.57142857142,811.5714285714286,109008.0,72.13391222272601,0.009952674486807356,0.0,0.0,49.24005707473902,0.0,60.00000000000001,0.0,55.53290053175872,0.0,50.537283776452654,0.0,-0.3630667338292315,0.31467905127961227,0.31467905127961227,269.8065306122449,1.7331295260168953,0.006418357340996209,0.0,-0.5244219643729064,-0.5244219643729064,1.0,1.0,1.0,65054.724124788816,65054.724124788816,198.9077316604001,198.9077316604001,47866.82948556338,47866.82948556338,6,1.0
2024-08-18 00:00:00+00:00,1,1,0,6170013953,1112,0.0,0.1344750075987269,144061,70.7853012084961,250176.0,0.0114883501082658,0.0,330513.0,1224.0,190702.0,70.7623291015625,0.0145492255687713,0.0,129950.0,670.0,101614.0,73.360107421875,0.006888975854963,0.0,223908.7142857143,874.7142857142857,115071.85714285714,71.76608276367188,0.010609727951564901,0.0,212163.875,849.125,113389.625,71.96533584594727,0.010144633939489663,0.0,92.51712196998845,-24.306759492062334,65.97014925373135,-9.150326797385622,41.77278721436022,-24.457530597476694,66.76426728929947,-21.038064507539247,-3.509817943111593,0.03246375186523043,0.29296473113732097,0.29296473113732097,224.77628032345012,1.736585636739737,0.0077188988074579,0.0,-0.4937452588762509,-0.46199889410109674,0.9972312630805764,1.055357394305295,1.0458463079939022,62156.53259642717,62156.53259642717,212.58977095402716,212.58977095402716,46016.33855471492,46016.33855471492,6,0.7569324050793766
2024-08-19 00:00:00+00:00,1,0,0,6170013953,693,0.0,0.0911459247309691,95314,70.27511596679688,185520.0,0.0090533383190631,0.0,250176.0,1112.0,144061.0,70.7853012084961,0.0114883501082658,0.0,156808.0,601.0,78788.0,73.79862976074219,0.0073179933242499,0.0,228010.42857142858,887.8571428571429,117432.71428571429,71.26272365025112,0.010857634379395357,0.0,209203.44444444444,831.7777777777778,111381.22222222222,71.77753363715277,0.010023378870553377,0.0,18.31029029131166,-25.84420567920184,15.30782029950084,-37.67985611510791,20.975275422653205,-33.83774928676046,23.713399533485834,-21.19548730892806,-4.774497582636251,-0.7207502588658654,0.28114506561890734,0.28114506561890734,267.31988472622476,1.9463882914546504,0.00727062896710906,0.0,-0.36312784467424586,-0.43608055114746136,0.9928277002452591,1.0898980615588214,1.0832309662855157,58816.51611603476,58816.51611603476,205.55642642458164,205.55642642458164,43463.99225444488,43463.99225444488,6,0.5613092374581332
2024-08-20 00:00:00+00:00,1,0,0,6170013953,601,0.0,0.0827354553384312,95871,69.90010833740234,179434.0,0.0080799357965588,0.0,185520.0,693.0,95314.0,70.27511596679688,0.0090533383190631,0.0,173133.0,828.0,34135.0,72.82828521728516,0.0108407586812973,0.0,228910.57142857142,855.4285714285714,126252.14285714286,70.84441266741071,0.010463231110147,0.0,206226.5,808.7,109830.2,71.58979110717773,0.00982903456315392,0.0,3.639398612627276,-3.280508840017249,-27.415458937198068,-13.275613275613274,180.85835652556028,0.584384245756131,-25.467063384609133,-10.751862884154695,-4.020658829390966,-0.5336279054618864,0.2727396525242241,0.2727396525242241,298.063122923588,1.8715996328437918,0.006268775033377837,0.0,-0.28547069004603415,-0.41955450809363226,0.9895882020573141,1.1099959094906398,1.0645227710736203,56246.143951286904,56246.143951286904,207.08562372978855,207.08562372978855,41270.73118863349,41270.73118863349,6,0.5428954383034857
