timestamp,isSummer,isWeekend,isHoliday,universe_id,platform_platform_share,daily_rpv,ccu_playing,ratings_like_ratio,daily_Estimated Revenue,session_session_length,visits_visits_gained,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-06-08 00:00:00+00:00,1,1,0,7703544118,0.0002983676677104,0.0939883964430213,29,99.38931274414062,2332,22.14883327484131,1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2332.0,29.0,1667.0,99.38931274414062,0.0002983676677104,22.14883327484131,2332.0,29.0,1667.0,99.38931274414062,0.0002983676677104,22.14883327484131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.73333333333333,1.3980815347721822,0.01738609112709832,0.009493713362555212,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-06-09 00:00:00+00:00,1,0,0,7703544118,0.0018594800494611,0.1194107248946145,164,98.9350357055664,3314,22.142135858535767,6553,0.0,2332.0,29.0,1667.0,99.38931274414062,0.0002983676677104,22.14883327484131,0.0,0.0,0.0,0.0,0.0,0.0,2823.0,96.5,4110.0,99.16217422485352,0.00107892385858575,22.145484566688538,2823.0,96.5,4110.0,99.16217422485352,0.00107892385858575,22.145484566688538,0.0,42.10977701543739,0.0,465.51724137931035,0.0,293.10137972405516,0.0,523.2176776157726,0.0,-0.45706829641097846,0.24597196568373705,0.24597196568373705,20.084848484848486,0.5056454073848031,0.025022886786695148,0.006679377332891634,0.0,0.0,1.0,1.0,1.0,694.3788591251897,694.3788591251897,95.45941546018392,95.45941546018392,3454.923732877471,3454.923732877471,2,1.0
2025-06-10 00:00:00+00:00,1,0,0,7703544118,0.0036916679237037,0.3315114909508195,331,98.62869262695312,13392,19.192617535591125,20618,0.0,3314.0,164.0,6553.0,98.9350357055664,0.0018594800494611,22.142135858535767,0.0,0.0,0.0,0.0,0.0,0.0,6346.0,174.66666666666666,9612.666666666666,98.98434702555339,0.0019498385469584,21.161195556322735,6346.0,174.66666666666666,9612.666666666666,98.98434702555339,0.0019498385469584,21.161195556322735,0.0,304.10380205190097,0.0,101.82926829268291,0.0,214.6345185411262,0.0,98.53226845717383,0.0,-0.3096406408797048,0.9646607839747072,0.9646607839747072,40.33734939759036,0.6494980357922304,0.01605315485717057,0.0014330334903002407,-0.3803100585937597,0.0,1.0,1.0,1.0,6121.737335103492,6121.737335103492,151.28229682726703,151.28229682726703,9839.017752465605,9839.017752465605,3,1.0
2025-06-11 00:00:00+00:00,1,0,0,7703544118,0.00442801322788,0.3632039765523741,407,98.44255065917967,24434,22.13088035583496,31326,0.0,13392.0,331.0,20618.0,98.62869262695312,0.0036916679237037,19.192617535591125,0.0,0.0,0.0,0.0,0.0,0.0,10868.0,232.75,15041.0,98.84889793395996,0.0025693822171888,21.40361675620079,10868.0,232.75,15041.0,98.84889793395996,0.0025693822171888,21.40361675620079,0.0,82.45221027479093,0.0,22.96072507552871,0.0,51.935202250460755,0.0,19.946141402598183,0.0,-0.18873003668161692,0.9508033013957896,0.9508033013957896,59.88725490196079,0.7799661633734478,0.012991987742203212,0.000905704127515243,-0.3146629333496246,0.0,1.0,1.0,1.0,10333.330279569442,10333.330279569442,169.56488433635073,169.56488433635073,13505.72932746198,13505.72932746198,4,1.0
2025-06-12 00:00:00+00:00,1,0,0,7703544118,0.0066910120658576,0.3254510608001905,620,98.36156463623048,32225,21.88647781718861,40821,0.0,24434.0,407.0,31326.0,98.44255065917967,0.00442801322788,22.13088035583496,0.0,0.0,0.0,0.0,0.0,0.0,15139.4,310.2,20197.0,98.75143127441406,0.0033937081869225604,21.500188968398355,15139.4,310.2,20197.0,98.75143127441406,0.0033937081869225604,21.500188968398355,0.0,31.88589670131783,0.0,52.33415233415233,0.0,30.310285385941384,0.0,51.10641548514651,0.0,-0.08226729438327585,0.8645291095861961,0.8645291095861961,51.892109500805155,0.789402773014551,0.0151878888834452,0.0006791558932907779,-0.2547981262207073,-0.2547981262207073,1.0,1.0,1.0,13088.452001669257,13088.452001669257,227.06100501847516,227.06100501847516,16423.313414168286,16423.313414168286,5,1.0
2025-06-13 00:00:00+00:00,1,0,0,7703544118,0.0070193889550864,0.2131377236676002,726,98.447998046875,32496,25.367655515670776,64245,0.0,32225.0,620.0,40821.0,98.36156463623048,0.0066910120658576,21.88647781718861,0.0,0.0,0.0,0.0,0.0,0.0,18032.166666666668,379.5,27538.333333333332,98.70085906982422,0.003997988314949867,22.144766726277094,18032.166666666668,379.5,27538.333333333332,98.70085906982422,0.003997988314949867,22.144766726277094,0.0,0.8409619860356932,0.0,17.09677419354838,0.0,57.38222973469538,0.0,4.907731237018953,0.0,0.08787315549947383,0.7588717711780778,0.7588717711780778,44.69876203576341,0.5058058089219563,0.011300314416461725,0.0007806153034332639,-0.1889465332031154,-0.1889465332031154,1.0,1.0,1.0,13684.10225651163,13684.10225651163,264.6890628643352,264.6890628643352,23219.63026119638,23219.63026119638,6,1.0
2025-06-14 00:00:00+00:00,1,1,0,7703544118,0.0135638620704412,0.3093953286595003,1607,98.57050323486328,70575,22.08318305015564,92310,0.0,32496.0,726.0,64245.0,98.447998046875,0.0070193889550864,25.367655515670776,0.0,0.0,0.0,0.0,0.0,0.0,25538.285714285714,554.8571428571429,36791.42857142857,98.68223680768695,0.005364541708591485,22.135969058259743,25538.285714285714,554.8571428571429,36791.42857142857,98.68223680768695,0.005364541708591485,22.135969058259743,0.0,117.18057607090104,0.0,121.3498622589532,0.0,43.6843334111604,0.0,93.23422818182105,0.0,0.1244364440300183,0.9186764510898613,0.9186764510898613,43.889925373134325,0.7645351041587677,0.017408542860547497,0.0003128993290942479,-0.1320582798549083,-0.1320582798549083,1.0,1.0,1.0,23461.421686918904,23461.421686918904,523.1008279390085,523.1008279390085,32382.573888112223,32382.573888112223,7,1.0
2025-06-15 00:00:00+00:00,1,1,0,7703544118,0.0179077219218015,0.2256833940296413,1838,98.68365478515624,79297,38.44091931978861,156776,0.0,70575.0,1607.0,92310.0,98.57050323486328,0.0135638620704412,22.08318305015564,2332.0,29.0,1667.0,99.38931274414062,0.0002983676677104,22.14883327484131,36533.28571428572,813.2857142857143,58949.857142857145,98.58142852783203,0.007880163744890215,24.463409921823644,32258.125,715.25,51789.5,98.6824140548706,0.006932439235242737,24.17408784095085,3300.385934819897,12.358483882394623,6237.931034482759,14.374611076540145,9304.679064187163,69.83642075614776,5901.89761150092,32.02524346532969,-0.7099938006423057,0.11479250544490505,0.8947413417066309,0.8947413417066309,43.11963023382273,0.505794855112676,0.011723658444797388,0.00048476530706686945,-0.030895505632667263,-0.08792068844749798,0.9989766613635696,1.1325297336496067,1.1367086645101034,28862.678043440214,28862.678043440214,663.5893200725022,663.5893200725022,51945.77771649423,51945.77771649423,8,1.0
2025-06-16 00:00:00+00:00,1,0,0,7703544118,0.0282444488257169,0.24795959169633,2852,98.68280792236328,130642,21.36879261334737,213088,0.0,79297.0,1838.0,156776.0,98.68365478515624,0.0179077219218015,38.44091931978861,3314.0,164.0,6553.0,98.9350357055664,0.0018594800494611,22.142135858535767,54723.0,1197.2857142857142,88454.85714285714,98.54539598737445,0.011649444998641043,24.352932315368157,43189.666666666664,952.6666666666666,69711.55555555556,98.68245781792535,0.009300440300850978,23.862388371217133,3842.1243210621606,64.75024275823802,1639.0243902439024,55.16866158868334,3151.7625515031286,35.918763075981005,1418.9433645121649,57.722176774093725,-0.25494283334951406,-0.000858159129590863,0.9835302936480347,0.9835302936480347,45.79109709078163,0.6130865506900872,0.013384078952925774,0.00016356630369286813,0.03048188345773165,-0.061518224080405165,0.9986110821154881,1.2670391837553736,1.2525691926193145,42478.3455392274,42478.3455392274,944.7788100926058,944.7788100926058,72469.78006574725,72469.78006574725,9,1.0
2025-06-17 00:00:00+00:00,1,0,0,7703544118,0.0305287633091211,0.1860244136054805,2946,98.72249603271484,143948,22.185287793477375,271711,0.0,130642.0,2852.0,213088.0,98.68280792236328,0.0282444488257169,21.36879261334737,13392.0,331.0,20618.0,98.62869262695312,0.0036916679237037,19.192617535591125,73373.85714285714,1570.857142857143,124325.28571428571,98.55879647391183,0.015483315767986384,24.780456637923333,53265.5,1152.0,89911.5,98.6864616394043,0.01142327260167799,23.694678313443156,974.8805256869773,10.185085960104722,790.0302114803626,3.295932678821889,1217.8339315161509,27.51116909445863,726.9639615497387,8.087658206749303,0.0951076236167081,0.0402178567747935,0.960801522895104,0.960801522895104,48.84560570071259,0.5297815333882935,0.010842362501472146,0.0001541190824075011,0.06135640825543957,-0.0425566239790471,0.998706355832688,1.3775118443055476,1.3554185659293472,51177.57351776916,51177.57351776916,1091.222352328902,1091.222352328902,93534.51542523399,93534.51542523399,10,1.0
