timestamp,isSummer,isWeekend,isHoliday,universe_id,platform_platform_share,ccu_playing,daily_Estimated Revenue,ratings_like_ratio,visits_visits_gained,daily_rpv,session_session_length,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2024-12-12 00:00:00+00:00,0,0,0,6275120808,0.0654373988509178,4161,520001.0,85.06285858154297,270804,0.6039877987464323,14.403689218604049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520001.0,4161.0,270804.0,85.06285858154297,0.0654373988509178,14.403689218604049,520001.0,4161.0,270804.0,85.06285858154297,0.0654373988509178,14.403689218604049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.94017299375301,1.920204575247872,0.01536529975443585,2.7699295807716216e-05,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2024-12-13 00:00:00+00:00,0,0,0,6275120808,0.0803900957107544,5498,1076032.0,82.90340423583984,384939,0.9114597268708952,12.536026080449425,0.0,520001.0,4161.0,270804.0,85.06285858154297,0.0654373988509178,14.403689218604049,0.0,0.0,0.0,0.0,0.0,0.0,798016.5,4829.5,327871.5,83.9831314086914,0.0729137472808361,13.469857649526737,798016.5,4829.5,327871.5,83.9831314086914,0.0729137472808361,13.469857649526737,0.0,106.92883282916763,0.0,32.13169911079068,0.0,42.14671865999024,0.0,22.85038391257337,0.0,-2.538657155088464,0.4926881720489955,0.4926881720489955,195.67775959265322,2.795323946589079,0.0142827453629137,1.1650224556727744e-05,0.0,0.0,1.0,1.0,1.0,393173.29064993723,393173.29064993723,945.4017664464141,945.4017664464141,80705.6324707266,80705.6324707266,2,1.0
2024-12-14 00:00:00+00:00,0,1,0,6275120808,0.0517493151128292,4339,1718615.0,81.03302764892578,571117,1.020278235219018,12.885149240493774,0.0,1076032.0,5498.0,384939.0,82.90340423583984,0.0803900957107544,12.536026080449425,0.0,0.0,0.0,0.0,0.0,0.0,1104882.6666666667,4666.0,408953.3333333333,82.99976348876953,0.06585893655816713,13.27495484651575,1104882.6666666667,4666.0,408953.3333333333,82.99976348876953,0.06585893655816713,13.27495484651575,0.0,59.71783367037411,0.0,-21.080392870134588,0.0,48.365585196615555,0.0,-35.627250278411715,0.0,-2.2560914164553525,0.5428880542164155,0.5428880542164155,395.9942396313364,3.0092117565897065,0.007597379175581929,7.497398628020322e-06,-2.0149154663085986,0.0,1.0,1.0,1.0,599827.6010441111,599827.6010441111,726.0089531128386,726.0089531128386,151589.87646387648,151589.87646387648,3,1.0
2024-12-15 00:00:00+00:00,0,1,0,6275120808,0.0423395968973636,3089,1033141.0,80.25415802001953,357724,0.4792320486942374,12.398212552070618,0.0,1718615.0,4339.0,571117.0,81.03302764892578,0.0517493151128292,12.885149240493774,0.0,0.0,0.0,0.0,0.0,0.0,1086947.25,4271.75,396146.0,82.31336212158203,0.05997910164296625,13.055769272904467,1086947.25,4271.75,396146.0,82.31336212158203,0.05997910164296625,13.055769272904467,0.0,-39.885256441960536,0.0,-28.808481216870252,0.0,-37.36414780158882,0.0,-18.1832710151807,0.0,-0.9611755249732123,0.45178738486627,0.45178738486627,334.3498381877023,2.8880872178349293,0.008635124746662939,1.2000492238308594e-05,-1.6296478271484436,0.0,1.0,1.0,1.0,491069.0555650838,491069.0555650838,986.4709406093352,986.4709406093352,126395.29888145895,126395.29888145895,3,0.6011474355803946
2024-12-16 00:00:00+00:00,0,0,0,6275120808,0.0328064113855361,2308,639253.0,79.84390258789062,221567,0.2616360823502293,12.707326412200928,0.0,1033141.0,3089.0,357724.0,80.25415802001953,0.0423395968973636,12.398212552070618,0.0,0.0,0.0,0.0,0.0,0.0,997408.4,3879.0,361230.2,81.81947021484375,0.05454456359148022,12.98608070076376,997408.4,3879.0,361230.2,81.81947021484375,0.05454456359148022,12.98608070076376,0.0,-38.12528977167686,0.0,-25.283263191971518,0.0,-38.06202547215172,0.0,-22.516004427101944,0.0,-0.511195235549744,0.47127202808627394,0.47127202808627394,276.852750108272,2.8851323295782785,0.010416666666666666,1.9878368242046084e-05,-1.3087158203125038,-1.3087158203125038,1.0,1.0,1.0,470050.6794982856,470050.6794982856,1225.1965148497607,1225.1965148497607,134452.20017798146,134452.20017798146,3,0.37195823381036475
2024-12-17 00:00:00+00:00,0,0,0,6275120808,0.0296006202697753,2067,586492.0,79.41357421875,202634,0.220843536682791,12.720182339350382,0.0,639253.0,2308.0,221567.0,79.84390258789062,0.0328064113855361,12.707326412200928,0.0,0.0,0.0,0.0,0.0,0.0,928922.3333333334,3577.0,334797.5,81.41848754882812,0.0503872397045294,12.941764307194864,928922.3333333334,3577.0,334797.5,81.41848754882812,0.0503872397045294,12.941764307194864,0.0,-8.253539678343314,0.0,-10.441941074523397,0.0,-8.545045065375255,0.0,-9.771843308574091,0.0,-0.5389620937765738,0.48729476459731713,0.48729476459731713,283.6034816247582,2.894327238631036,0.010200607002738915,2.1688549291040783e-05,-1.091537039620526,-1.091537039620526,1.0,1.0,1.0,452658.98975085723,452658.98975085723,1322.1608071637881,1322.1608071637881,136579.7974881351,136579.7974881351,3,0.3412585133959613
2024-12-18 00:00:00+00:00,0,0,0,6275120808,0.0299970190972089,2026,506137.0,79.11344146728516,175612,0.1782133875924547,12.529278675715128,0.0,586492.0,2067.0,202634.0,79.41357421875,0.0296006202697753,12.720182339350382,0.0,0.0,0.0,0.0,0.0,0.0,868524.4285714285,3355.4285714285716,312056.71428571426,81.08919525146484,0.047474351046340756,12.882837788412044,868524.4285714285,3355.4285714285716,312056.71428571426,81.08919525146484,0.047474351046340756,12.882837788412044,0.0,-13.700954147712164,0.0,-1.9835510401548184,0.0,-13.335373135801499,0.0,1.339157165697502,0.0,-0.3779363344585285,0.51010790267969,0.51010790267969,249.69758263443512,2.882115788694459,0.0115367313353795,2.4754669034364398e-05,-0.9291798727852931,-0.9291798727852931,1.0,1.0,1.0,443041.1746846476,443041.1746846476,1341.7954212103098,1341.7954212103098,138437.84735121424,138437.84735121424,3,0.29450284095041646
2024-12-19 00:00:00+00:00,0,0,0,6275120808,0.0279983133077621,2000,505562.0,78.74801635742188,174270,0.1675420297436361,12.542731046676636,0.0,506137.0,2026.0,175612.0,79.11344146728516,0.0299970190972089,12.529278675715128,520001.0,4161.0,270804.0,85.06285858154297,0.0654373988509178,14.403689218604049,866461.7142857143,3046.714285714286,298266.14285714284,80.18707493373326,0.04212591025446137,12.616986620993842,823154.125,3186.0,294833.375,80.79654788970947,0.045039846329018425,12.840324445695117,-2.7767254293741717,-0.1136056048065992,-51.93463109829368,-1.2833168805528095,-35.64718394115302,-0.764184679862423,-57.213590699793826,-6.663014691459024,-7.423736198646036,-0.4619001563904823,0.5221158581376241,0.5221158581376241,252.65467266366818,2.901010495148361,0.01147637874345129,2.4809432349037877e-05,-0.6123542785644529,-0.8145514896937726,0.9924566955904085,1.0526117624517939,0.9353031523848772,429781.82235390006,429781.82235390006,1331.4883187084831,1331.4883187084831,137114.26766432807,137114.26766432807,3,0.29416826921678213
2024-12-20 00:00:00+00:00,0,0,0,6275120808,2.3668115318287164e-05,1,506836.0,78.96610260009766,179997,0.1583799414491576,12.286006212234495,0.0,505562.0,2000.0,174270.0,78.74801635742188,0.0279983133077621,12.542731046676636,1076032.0,5498.0,384939.0,82.90340423583984,0.0803900957107544,12.536026080449425,785148.0,2261.4285714285716,268988.71428571426,79.62460327148438,0.030644992026541924,12.581269496963136,788007.6666666666,2832.1111111111113,282073.77777777775,80.59316507975261,0.04003804874971841,12.778733530866159,-52.89768334027241,0.2519967877332663,-99.98181156784285,-99.95,-53.24012375986844,3.286279910483736,-99.97055841878402,-99.91546592447152,-4.749264124958641,0.27694188725457813,0.5274326996640518,0.5274326996640518,253418.0,2.8157868420760233,5.555617284636496e-06,2.4240547182298246e-05,-0.3551256997244654,-0.692215728759772,0.9879820849905848,0.9963710166948461,0.7653967409377673,415621.01098597026,415621.01098597026,1636.5786296756753,1636.5786296756753,133848.97455320472,133848.97455320472,3,0.2949095638057389
2024-12-21 00:00:00+00:00,0,1,0,6275120808,0.0,0,25.0,78.96610260009766,25,7.363171147546681e-06,2.658252775669098,0.0,506836.0,1.0,179997.0,78.96610260009766,2.3668115318287164e-05,12.286006212234495,1718615.0,4339.0,571117.0,81.03302764892578,0.0517493151128292,12.885149240493774,539635.1428571428,1641.5714285714287,187404.14285714287,79.32932826450893,0.023252232724709186,11.12028428770247,709209.4,2548.9,253868.9,80.4304588317871,0.03603424387474657,11.766685455346453,-99.99854534028854,-99.99506743798783,-100.0,-100.0,-99.99562261322986,-99.98611087962577,-100.0,-100.0,-2.550719266942658,0.0,0.6547707042426624,0.6547707042426624,25.0,0.9615384615384616,0.0,0.10224049137188838,-0.22447586059569646,-0.5921784834428254,0.986309532691078,0.7608967716123656,0.6452815495597165,464369.5382935161,464369.5382935161,1784.0616861532562,1784.0616861532562,154531.81824570053,154531.81824570053,3,1.4546597114536997e-05
