timestamp,isSummer,isWeekend,isHoliday,universe_id,ratings_like_ratio,daily_rpv,ccu_playing,session_session_length,platform_platform_share,daily_Estimated Revenue,visits_visits_gained,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-04-30 00:00:00+00:00,0,0,0,5903289376,78.32991790771484,0.0023651172523165,605,11.049617767333984,0.0072335531003773,14029.0,49689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14029.0,605.0,49689.0,78.32991790771484,0.0072335531003773,11.049617767333984,14029.0,605.0,49689.0,78.32991790771484,0.0072335531003773,11.049617767333984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.15016501650165,0.28233044878245117,0.01217548802575971,0.0007875707603231635,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-05-01 00:00:00+00:00,0,0,0,5903289376,78.48866271972656,0.0026121139201565,660,10.902816891670229,0.0086597064509987,15668.0,84338,0.0,14029.0,605.0,49689.0,78.32991790771484,0.0072335531003773,11.049617767333984,0.0,0.0,0.0,0.0,0.0,0.0,14848.5,632.5,67013.5,78.4092903137207,0.007946629775688,10.976217329502106,14848.5,632.5,67013.5,78.4092903137207,0.007946629775688,10.976217329502106,0.0,11.682942476299086,0.0,9.090909090909083,0.0,69.7317313691159,0.0,19.715806752659514,0.0,0.2026617877970205,0.07805152132301252,0.07805152132301252,23.703479576399396,0.18577407842160804,0.007825561128303632,0.000695820849554549,0.0,0.0,1.0,1.0,1.0,1158.9480143647513,1158.9480143647513,38.890872965260115,38.890872965260115,24500.542861332684,24500.542861332684,2,1.0
2025-05-02 00:00:00+00:00,0,0,0,5903289376,78.68771362304688,0.0027147556818858,902,10.842146515846252,0.0097010731697082,16542.0,107417,0.0,15668.0,660.0,84338.0,78.48866271972656,0.0086597064509987,10.902816891670229,0.0,0.0,0.0,0.0,0.0,0.0,15413.0,722.3333333333334,80481.33333333333,78.5020980834961,0.0085314442403614,10.931527058283487,15413.0,722.3333333333334,80481.33333333333,78.5020980834961,0.0085314442403614,10.931527058283487,0.0,5.578248659688545,0.0,36.66666666666667,0.0,27.364888899428497,0.0,12.02542747380775,0.0,0.25360465629424844,0.0827716206954027,0.0827716206954027,18.31893687707641,0.15399653689325812,0.008397102906403024,0.0006553917980926224,0.17889785766602234,0.0,1.0,1.0,1.0,1275.7589897782418,1275.7589897782418,158.00738379371177,158.00738379371177,29056.598292527866,29056.598292527866,3,1.0
2025-05-03 00:00:00+00:00,0,1,0,5903289376,78.94482421875,0.0036571973128669,967,11.081943154335022,0.0094424989074468,22718.0,126444,0.0,16542.0,902.0,107417.0,78.68771362304688,0.0097010731697082,10.842146515846252,0.0,0.0,0.0,0.0,0.0,0.0,17239.25,783.5,91972.0,78.61277961730957,0.00875920790713275,10.969131082296371,17239.25,783.5,91972.0,78.61277961730957,0.00875920790713275,10.969131082296371,0.0,37.335267803167696,0.0,7.206208425720617,0.0,17.71321113045421,0.0,-2.665419152478954,0.0,0.3267480828516689,0.22031879075239538,0.22031879075239538,23.46900826446281,0.17966704891454782,0.007647593815492902,0.000487783051821604,0.20437698364256546,0.0,1.0,1.0,1.0,3798.1307134782323,3798.1307134782323,177.79107589152684,177.79107589152684,33030.27325550507,33030.27325550507,4,1.0
2025-05-04 00:00:00+00:00,0,1,0,5903289376,79.06427001953125,0.0040269125316401,922,11.02791945139567,0.0103624891489744,25550.0,134749,0.0,22718.0,967.0,126444.0,78.94482421875,0.0094424989074468,11.081943154335022,0.0,0.0,0.0,0.0,0.0,0.0,18901.4,811.2,100527.4,78.70307769775391,0.00907986415550108,10.980888756116233,18901.4,811.2,100527.4,78.70307769775391,0.00907986415550108,10.980888756116233,0.0,12.46588608152126,0.0,-4.653567735263698,0.0,6.568125019771598,0.0,9.743080200963018,0.0,0.15130289029496868,0.26258215996374784,0.26258215996374784,27.681473456121342,0.18961038961038962,0.006842300556586271,0.00043160422102444797,0.1924865722656234,0.1924865722656234,1.0,1.0,1.0,4963.170438338784,4963.170438338784,165.96294767206322,165.96294767206322,34412.549444933604,34412.549444933604,5,1.0
2025-05-05 00:00:00+00:00,0,0,0,5903289376,79.42671966552734,0.0021186458681883,766,11.149930755297342,0.0094140199944376,13706.0,110672,0.0,25550.0,922.0,134749.0,79.06427001953125,0.0103624891489744,11.02791945139567,0.0,0.0,0.0,0.0,0.0,0.0,18035.5,803.6666666666666,102218.16666666667,78.82368469238281,0.009135556795323832,11.009062422646416,18035.5,803.6666666666666,102218.16666666667,78.82368469238281,0.009135556795323832,11.009062422646416,0.0,-46.35616438356165,0.0,-16.919739696312362,0.0,-17.868036126427654,0.0,-9.152908542545235,0.0,0.45842407184251144,0.2727882514214058,0.2727882514214058,17.86962190352021,0.12384231022923387,0.006921290649029122,0.0008134479284524215,0.21336975097657085,0.21336975097657085,1.0,1.0,1.0,4919.872508510764,4919.872508510764,149.58431290301354,149.58431290301354,31056.89937786235,31056.89937786235,5,0.5364383561643835
2025-05-06 00:00:00+00:00,0,0,0,5903289376,79.68397521972656,0.001991295685031,751,12.485473354657492,0.0098386527970433,13094.0,98271,0.0,13706.0,766.0,110672.0,79.42671966552734,0.0094140199944376,11.149930755297342,0.0,0.0,0.0,0.0,0.0,0.0,17329.571428571428,796.1428571428571,101654.28571428571,78.9465833391462,0.009235999081283756,11.21997827007657,17329.571428571428,796.1428571428571,101654.28571428571,78.9465833391462,0.009235999081283756,11.21997827007657,0.0,-4.4651977236246925,0.0,-1.9582245430809442,0.0,-11.20518288275264,0.0,4.510642667602149,0.0,0.323890443017838,0.2806810734476255,0.2806810734476255,17.41223404255319,0.1332424291761641,0.007642054705307717,0.0009534534826008012,0.2255300794328984,0.2255300794328984,1.0,1.0,1.0,4864.082710958729,4864.082710958729,137.9944788405543,137.9944788405543,28390.166687982455,28390.166687982455,5,0.5124853228962818
2025-05-07 00:00:00+00:00,0,0,0,5903289376,79.928955078125,0.0019715663522301,821,12.727690696716309,0.0105105824768543,13158.0,98731,0.0,13094.0,751.0,98271.0,79.68397521972656,0.0098386527970433,12.485473354657492,14029.0,605.0,49689.0,78.32991790771484,0.0072335531003773,11.049617767333984,17205.14285714286,827.0,108660.28571428571,79.17501722063336,0.009704146135066186,11.459702974274046,16808.125,799.25,101288.875,79.06937980651855,0.009395322005730075,11.408442323406538,-6.208567966355405,0.488773484038485,35.702479338842984,9.320905459387486,98.69790094387088,0.46809333374036033,45.30317716622652,6.829488687850915,2.0414130553463306,0.30743930347716386,0.2819251958962428,0.2819251958962428,16.00729927007299,0.13326986184823564,0.0083154397763643,0.0009672232461977588,0.24268913269043255,0.23221769787016783,1.0013360091399894,1.0236205916568837,1.0328699888250517,4738.633933273536,4738.633933273536,128.05997478860107,128.05997478860107,26304.49930789951,26304.49930789951,5,0.5149902152641879
2025-05-08 00:00:00+00:00,0,0,0,5903289376,79.87910461425781,0.0026405481213622,819,12.685996492703756,0.0111561343073844,17902.0,107928,0.0,13158.0,821.0,98731.0,79.928955078125,0.0105105824768543,12.727690696716309,15668.0,660.0,84338.0,78.48866271972656,0.0086597064509987,10.902816891670229,17524.285714285714,849.7142857142857,112030.28571428571,79.37365177699498,0.01006077868597843,11.714442917278834,16929.666666666668,801.4444444444445,102026.55555555556,79.15934922960069,0.009590967817025,11.550392786661783,14.258360990553998,36.05411156710747,24.090909090909097,-0.24360535931789995,27.970784225378843,9.315210015091502,28.828088694597675,6.14192250478689,1.7715194097475573,-0.06236846686968889,0.2627079441664805,0.2627079441664805,21.83170731707317,0.16586830230985183,0.00758832195239463,0.0007085961287328245,0.22007642473492992,0.21653404235839935,1.0027072297774038,1.0351229034408462,1.048984719573291,4447.557925423794,4447.557925423794,119.96990363327703,119.96990363327703,24704.926670155848,24704.926670155848,5,0.700665362035225
2025-05-09 00:00:00+00:00,0,0,0,5903289376,80.00843811035156,0.0018883150893903,942,11.761498053868612,0.0104769803583621,13011.0,114140,0.0,17902.0,819.0,107928.0,79.87910461425781,0.0111561343073844,12.685996492703756,16542.0,902.0,107417.0,78.68771362304688,0.0097010731697082,10.842146515846252,17019.85714285714,855.4285714285714,112990.71428571429,79.56232670375279,0.010171622570071844,11.84577885128203,16537.8,815.5,103237.9,79.24425811767578,0.00967956907115871,11.571503313382468,-21.345665578527385,-27.320969724053178,4.434589800443467,15.01831501831501,6.258785853263449,5.75568897783707,7.9981582973385645,-6.087717575905827,1.6784380006662936,0.16191154960776277,0.26439254451684413,0.26439254451684413,13.79745493107105,0.11399059058532868,0.008252950298315243,0.0009038962537556573,0.19009808131627148,0.2037932424834283,1.0040137745450866,1.0291488071482993,1.050834236038385,4372.471022710664,4372.471022710664,121.52846031554363,121.52846031554363,23604.9175594597,23604.9175594597,5,0.5092367906066536
