timestamp,isSummer,isWeekend,isHoliday,universe_id,ratings_like_ratio,visits_visits_gained,platform_platform_share,ccu_playing,daily_Estimated Revenue,session_session_length,daily_rpv,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2024-04-19 00:00:00+00:00,0,0,0,4867536568,93.6159210205078,0,0.0150814475491642,781,156200.0,0.0,0.0229858569287863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156200.0,781.0,0.0,93.6159210205078,0.0150814475491642,0.0,156200.0,781.0,0.0,93.6159210205078,0.0150814475491642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.74424552429667,156200.0,781.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2024-04-20 00:00:00+00:00,0,1,0,4867536568,93.61534118652344,76635,0.0144894644618034,1079,551743.0,0.0,0.0805287535339468,0.0,156200.0,781.0,0.0,93.6159210205078,0.0150814475491642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353971.5,930.0,38317.5,93.61563110351562,0.0147854560054838,0.0,353971.5,930.0,38317.5,93.61563110351562,0.0147854560054838,0.0,0.0,253.22855313700384,0.0,38.15620998719591,0.0,inf,0.0,-3.9252405011587,0.0,-0.0006193753990135775,0.7901515730810829,0.7901515730810829,510.8731481481482,7.199527637141813,0.01407954486142283,0.0,0.0,0.0,1.0,1.0,1.0,279691.13755087054,279691.13755087054,210.71782079359116,210.71782079359116,54189.12817623107,54189.12817623107,2,1.0
2024-04-21 00:00:00+00:00,0,1,0,4867536568,93.61937713623048,76203,0.0138662084937095,1030,579451.0,0.0,0.0833334913309131,0.0,551743.0,1079.0,76635.0,93.61534118652344,0.0144894644618034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429131.3333333333,963.3333333333334,50946.0,93.61687978108723,0.014479040168225701,0.0,429131.3333333333,963.3333333333334,50946.0,93.61687978108723,0.014479040168225701,0.0,0.0,5.021903313680465,0.0,-4.54124189063948,0.0,-0.5637110980622473,0.0,-4.301442401386913,0.0,0.004311205466844825,0.5517451448858244,0.5517451448858244,562.0281280310378,7.6039446748202195,0.01351635084772453,0.0,0.001728057861323164,0.0,1.0,1.0,1.0,236771.129685047,236771.129685047,159.7946599024302,159.7946599024302,44121.0589514803,44121.0589514803,3,1.0
2024-04-22 00:00:00+00:00,0,0,0,4867536568,93.65653228759766,50202,0.0180774573236703,844,400280.0,0.0,0.0568646133001723,0.0,579451.0,1030.0,76203.0,93.61937713623048,0.0138662084937095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,421918.5,933.5,50760.0,93.62679290771484,0.01537864445708685,0.0,421918.5,933.5,50760.0,93.62679290771484,0.01537864445708685,0.0,0.0,-30.920819879506634,0.0,-18.058252427184463,0.0,-34.12070390929492,0.0,30.37058639260517,0.0,0.03968745841269605,0.4594733089010515,0.4594733089010515,473.70414201183434,7.9732286915124595,0.01681174431806864,0.0,0.012586975097637648,0.0,1.0,1.0,1.0,193860.2892815683,193860.2892815683,143.46776641462012,143.46776641462012,36026.614412125935,36026.614412125935,3,0.6907918012049337
2024-04-23 00:00:00+00:00,0,0,0,4867536568,93.69652557373048,51010,0.0176114812493324,778,408893.0,0.0,0.0575293870706936,0.0,400280.0,844.0,50202.0,93.65653228759766,0.0180774573236703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419313.4,902.4,50810.0,93.64073944091797,0.01582521181553596,0.0,419313.4,902.4,50810.0,93.64073944091797,0.01582521181553596,0.0,0.0,2.1517437793544536,0.0,-7.81990521327014,0.0,1.6094976295765173,0.0,-2.577663805228625,0.0,0.042702078708201086,0.40062865289959343,0.40062865289959343,524.8947368421053,8.015780909999805,0.015251612397326067,0.0,0.02024002075194902,0.02024002075194902,1.0,1.0,1.0,167988.9625847484,167988.9625847484,142.38433902645332,142.38433902645332,31200.163613353056,31200.163613353056,3,0.7056558708156514
2024-04-24 00:00:00+00:00,0,0,0,4867536568,93.67550659179688,45154,0.0178035497665405,779,372946.0,0.0,0.0520094812602884,0.0,408893.0,778.0,51010.0,93.69652557373048,0.0176114812493324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411585.5,881.8333333333334,49867.333333333336,93.64653396606445,0.016154934807370052,0.0,411585.5,881.8333333333334,49867.333333333336,93.64653396606445,0.016154934807370052,0.0,0.0,-8.791297478802518,0.0,0.12853470437017567,0.0,-11.480101940795917,0.0,1.0905869556848247,0.0,-0.022433043066327762,0.36794685982550807,0.36794685982550807,478.13589743589745,8.259240394197763,0.017251688628058908,0.0,0.01653246198383356,0.01653246198383356,1.0,1.0,1.0,151441.59227471164,151441.59227471164,136.9546153536516,136.9546153536516,28001.640849540705,28001.640849540705,3,0.643619564035613
2024-04-25 00:00:00+00:00,0,0,0,4867536568,93.68650817871094,49161,0.0157724395394325,717,395600.0,0.0,0.054681902084986,0.0,372946.0,779.0,45154.0,93.67550659179688,0.0178035497665405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409301.85714285716,858.2857142857143,49766.42857142857,93.6522445678711,0.016100292626236114,0.0,409301.85714285716,858.2857142857143,49766.42857142857,93.6522445678711,0.016100292626236114,0.0,0.0,6.074337839794497,0.0,-7.958921694480104,0.0,8.874075386455239,0.0,-11.408456480545304,0.0,0.011744358065768346,0.3380844499434993,0.3380844499434993,550.974930362117,8.046865465196696,0.014584435132826166,0.0,0.014615740094869361,0.014615740094869361,1.0,1.0,1.0,138378.5932329956,138378.5932329956,139.68501981925175,139.68501981925175,25563.277977450016,25563.277977450016,3,0.6827151907581487
2024-04-26 00:00:00+00:00,0,0,0,4867536568,93.7052230834961,52963,0.0150756426155567,823,409641.0,0.0,0.0561032493495924,0.0,395600.0,717.0,49161.0,93.68650817871094,0.0157724395394325,0.0,156200.0,781.0,0.0,93.6159210205078,0.0150814475491642,0.0,445507.71428571426,864.2857142857143,57332.57142857143,93.66500200544085,0.016099463350006473,0.0,409344.25,853.875,50166.0,93.65886688232422,0.015972211374901187,0.0,162.25416133162614,3.5492922143579353,5.377720870678626,14.783821478382153,inf,7.733772706006792,-0.038490559931836366,-4.417813250345626,0.09539196112671178,0.019976093835682995,0.3129731005250054,0.3129731005250054,497.1371359223301,7.734328978173854,0.015538856581829167,0.0,0.015102931431364262,0.014158703032000524,1.0000655049897662,1.0883448693507096,1.0079670855912446,128113.73910458294,128113.73910458294,129.92353520436546,129.92353520436546,23693.965162945125,23693.965162945125,3,0.7069467478699666
2024-04-27 00:00:00+00:00,0,1,0,4867536568,93.7444839477539,71301,0.0126653527840971,952,512052.0,0.0,0.0693424465488435,0.0,409641.0,823.0,52963.0,93.7052230834961,0.0150756426155567,0.0,551743.0,1079.0,76635.0,93.61534118652344,0.0144894644618034,0.0,439837.5714285714,846.1428571428571,56570.57142857143,93.68345097133091,0.015838875967477,0.0,420756.22222222225,864.7777777777778,52514.333333333336,93.66837988959418,0.015604782642589623,0.0,-7.19374781374662,25.000183087142158,-11.770157553290083,15.67436208991495,-6.960266196907416,34.624171591488405,-12.58922772829153,-15.987974064683641,0.13795042521198564,0.04189826667702068,0.29621382766552706,0.29621382766552706,537.305351521511,7.181453535665199,0.013351659139996074,0.0,0.016524451119559164,0.015618896484374567,1.000160898285574,1.0453501295965895,1.0150013832457028,124633.81109853154,124633.81109853154,125.85684107129194,125.85684107129194,23256.407977157607,23256.407977157607,3,0.8836847291660554
2024-04-28 00:00:00+00:00,0,1,0,4867536568,93.79450988769533,90802,0.0168025754392147,1259,658085.0,0.0,0.087905731426101,0.0,512052.0,952.0,71301.0,93.7444839477539,0.0126653527840971,0.0,579451.0,1030.0,76203.0,93.61937713623048,0.0138662084937095,0.0,451071.0,878.8571428571429,58656.142857142855,93.70846993582589,0.01625835695969203,0.0,444489.1,904.2,56343.1,93.6809928894043,0.015724561922252127,0.0,13.570431322061749,28.519173833907494,22.23300970873787,32.24789915966386,19.158038397438414,27.350247542110218,21.17642286164456,32.66567245021701,0.18706891331907727,0.05336414243775067,0.31368116388593276,0.31368116388593276,522.2896825396825,7.247392707289407,0.013865180665837033,0.0,0.019270215715688647,0.018239015521424613,1.0002933043894404,1.0148077871875825,1.0339465760686484,139427.85822261075,139427.85822261075,172.10771820771623,172.10771820771623,25047.144376821347,25047.144376821347,4,1.0
