timestamp,isSummer,isWeekend,isHoliday,universe_id,session_session_length,daily_Estimated Revenue,visits_visits_gained,sort_sort_position,ratings_like_ratio,daily_rpv,ccu_playing,platform_platform_share,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-09-07 00:00:00+00:00,0,1,0,8280386064,6.947191874186198,183998,21059,425.0,83.83458709716797,0.1551696529506886,1139,0.0089697744697332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183998.0,1139.0,21059.0,83.83458709716797,0.0089697744697332,6.947191874186198,183998.0,1139.0,21059.0,83.83458709716797,0.0089697744697332,6.947191874186198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.40175438596492,8.736847103513771,0.05408357075023742,3.7756682776461816e-05,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-09-08 00:00:00+00:00,0,0,0,8280386064,21.51154256903607,180296,109920,412.0,83.9593276977539,0.1434735767884783,618,0.005620717536658,183998.0,1139.0,21059.0,83.83458709716797,0.0089697744697332,6.947191874186198,0.0,0.0,0.0,0.0,0.0,0.0,182147.0,878.5,65489.5,83.89695739746094,0.0072952460031956,14.229367221611135,182147.0,878.5,65489.5,83.89695739746094,0.0072952460031956,14.229367221611135,0.0,-2.011978391069469,0.0,-45.74187884108868,0.0,421.962106462795,0.0,-37.33713645059813,0.0,0.14879371975835554,0.01437141047589364,0.01437141047589364,291.26978998384493,1.6402325306356382,0.005622219594072106,0.00011931170551388026,0.0,0.0,1.0,1.0,1.0,2617.709303952599,2617.709303952599,368.4026329981913,368.4026329981913,62834.2156830178,62834.2156830178,1,0.9798802160893053
2025-09-09 00:00:00+00:00,0,0,0,8280386064,13.943038629448932,213345,108152,372.0,83.90483856201172,0.1557680127200469,561,0.0062139658257365,180296.0,618.0,109920.0,83.9593276977539,0.005620717536658,21.51154256903607,0.0,0.0,0.0,0.0,0.0,0.0,192546.33333333334,772.6666666666666,79710.33333333333,83.8995844523112,0.006934819277375899,14.133924357557069,192546.33333333334,772.6666666666666,79710.33333333333,83.8995844523112,0.006934819277375899,14.133924357557069,0.0,18.330412211030755,0.0,-9.223300970873783,0.0,-1.608442503639007,0.0,10.554671804967409,0.0,-0.06489944266626635,0.09403986840063788,0.09403986840063788,379.61743772241994,1.9726221186652242,0.0051870960583617655,6.53541131750721e-05,0.03512573242187302,0.0,1.0,1.0,1.0,18107.031847692022,18107.031847692022,318.5315264355058,318.5315264355058,50801.23652366479,50801.23652366479,2,1.0
2025-09-10 00:00:00+00:00,0,0,0,8280386064,16.233888907866046,233226,87380,343.0,83.8777847290039,0.1579090308590114,592,0.0054345154203474,213345.0,561.0,108152.0,83.90483856201172,0.0062139658257365,13.943038629448932,0.0,0.0,0.0,0.0,0.0,0.0,202716.25,727.5,81627.75,83.89413452148438,0.0065597433131187755,14.658915495134313,202716.25,727.5,81627.75,83.89413452148438,0.0065597433131187755,14.658915495134313,0.0,9.318709133094295,0.0,5.525846702317283,0.0,-19.20630224129004,0.0,-12.543525781246423,0.0,-0.032243471856296946,0.124041769186115,0.124041769186115,393.29848229342326,2.669069935111752,0.006774928188050033,6.960552983945274e-05,0.007510375976553946,0.0,1.0,1.0,1.0,25145.282292774784,25145.282292774784,275.32102474505405,275.32102474505405,41655.92836860079,41655.92836860079,3,1.0
2025-09-11 00:00:00+00:00,0,0,0,8280386064,17.111544809843366,240737,117175,328.0,83.99402618408203,0.1525420477968474,753,0.0074034128338098,233226.0,592.0,87380.0,83.8777847290039,0.0054345154203474,16.233888907866046,0.0,0.0,0.0,0.0,0.0,0.0,210320.4,732.6,88737.2,83.9141128540039,0.00672847721725698,15.149441358076123,210320.4,732.6,88737.2,83.9141128540039,0.00672847721725698,15.149441358076123,0.0,3.220481421453858,0.0,27.195945945945944,0.0,34.09819180590523,0.0,36.22949354583924,0.0,0.138584316996071,0.13136346532450005,0.13136346532450005,319.2798408488064,2.054490680685465,0.006426230627432239,7.10795338078881e-05,0.023733520507810576,0.023733520507810576,1.0,1.0,1.0,27628.41657243498,27628.41657243498,238.70756167327417,238.70756167327417,39422.50211110401,39422.50211110401,4,1.0
2025-09-12 00:00:00+00:00,0,0,0,8280386064,14.157872503454035,254010,99386,326.0,84.06792449951172,0.1507525096252141,478,0.0039710160344839,240737.0,753.0,117175.0,83.99402618408203,0.0074034128338098,17.111544809843366,0.0,0.0,0.0,0.0,0.0,0.0,217602.0,690.1666666666666,90512.0,83.9397481282552,0.006268900353461467,14.984179882305774,217602.0,690.1666666666666,90512.0,83.9397481282552,0.006268900353461467,14.984179882305774,0.0,5.51348567108505,0.0,-36.52058432934927,0.0,-15.181566033710258,0.0,-46.36235850108046,0.0,0.08798044192777077,0.14005439791543456,0.14005439791543456,530.2922755741128,2.5557668507953757,0.004809482125428879,5.573724170785531e-05,0.0355351039341585,0.0355351039341585,1.0,1.0,1.0,30476.117095194393,30476.117095194393,237.46276901162142,237.46276901162142,35527.54464355791,35527.54464355791,5,1.0
2025-09-13 00:00:00+00:00,0,1,0,8280386064,13.393647293249764,239951,93518,341.0,84.13031768798828,0.1341442804331747,348,0.0025562620721757,254010.0,478.0,99386.0,84.06792449951172,0.0039710160344839,14.157872503454035,0.0,0.0,0.0,0.0,0.0,0.0,220794.7142857143,641.2857142857143,90941.42857142857,83.96697235107422,0.005738523456134929,14.756960941012059,220794.7142857143,641.2857142857143,90941.42857142857,83.96697235107422,0.005738523456134929,14.756960941012059,0.0,-5.534821463721906,0.0,-27.19665271966527,0.0,-5.904252107942765,0.0,-35.62700200710902,0.0,0.07421759113004356,0.13168286915464114,0.13168286915464114,687.538681948424,2.5657994632106846,0.003721168960318224,5.581802732733948e-05,0.04262760707310719,0.04262760707310719,1.0,1.0,1.0,29074.881471322093,29074.881471322093,252.42009579648123,252.42009579648123,32451.95760842553,32451.95760842553,5,0.9446517853627809
2025-09-14 00:00:00+00:00,0,1,0,8280386064,13.318386932214102,225902,92051,367.0,84.27810668945312,0.1202396432066961,441,0.0041734422557055,239951.0,348.0,93518.0,84.13031768798828,0.0025562620721757,13.393647293249764,183998.0,1139.0,21059.0,83.83458709716797,0.0089697744697332,6.947191874186198,226781.0,541.5714285714286,101083.14285714286,84.03033229282924,0.005053333139845258,15.667131663587472,221433.125,616.25,91080.125,84.00586414337158,0.00554288830608125,14.577139189912314,22.774160588702053,-5.854945384682708,-61.28182616330113,26.724137931034477,337.1100242176742,-1.5686819649693096,-53.47216064586699,63.26347369201375,0.5290413034074959,0.17566675786597763,0.12183635964246906,0.12183635964246906,511.0904977375566,2.454069439012732,0.004790770434102464,5.895621984751908e-05,0.057051249912807786,0.054346266246978844,1.0002912671598247,1.024151196890709,0.9116786882212856,26978.605854255806,26978.605854255806,244.18830555828953,244.18830555828953,30047.235601097436,30047.235601097436,5,0.88934293925436
2025-09-15 00:00:00+00:00,0,0,0,8280386064,13.04416382831076,180296,58398,430.0,84.3515396118164,0.0919549207556295,386,0.0034704646095633,225902.0,441.0,92051.0,84.27810668945312,0.0041734422557055,13.318386932214102,180296.0,618.0,109920.0,83.9593276977539,0.005620717536658,21.51154256903607,226781.0,508.42857142857144,93722.85714285714,84.08636256626674,0.0047461541502603,14.457506129198142,216862.33333333334,590.6666666666666,87448.77777777778,84.04427252875433,0.005312619006468145,14.406808594178809,0.0,-20.188400279767336,-37.54045307443366,-12.471655328798182,-46.87227074235808,-36.55908137880088,-38.255843903752016,-16.844072664025987,0.4671451342183497,0.08713167066491945,0.13243869162512187,0.13243869162512187,465.8811369509044,3.0873131389236117,0.006609702220928441,7.234820229016989e-05,0.08132280622210068,0.06108741760253688,1.0005008079223723,1.0457371573671161,0.8933737097431285,28720.96368943772,28720.96368943772,240.96680269281907,240.96680269281907,30144.020388701378,30144.020388701378,5,0.7097988268178418
2025-09-16 00:00:00+00:00,0,0,0,8280386064,13.079620817433232,98741,43059,488.0,84.39722442626953,0.0489210193424766,253,0.0017876774072647,180296.0,386.0,58398.0,84.3515396118164,0.0034704646095633,13.04416382831076,213345.0,561.0,108152.0,83.90483856201172,0.0062139658257365,13.943038629448932,210409.0,464.42857142857144,84423.85714285714,84.15670340401786,0.0041138272333357566,14.334160727481615,205050.2,556.9,83009.8,84.07956771850586,0.0049601248465477995,14.27408981650425,-53.71768731397501,-45.23394861782846,-54.90196078431373,-34.4559585492228,-60.18658924476663,-26.266310490085274,-71.23129644742103,-48.48881609861311,0.5868384621155132,0.05416002442084622,0.22499715207151377,0.22499715207151377,388.744094488189,2.2931026474686482,0.0058755225267069205,0.00013246258752540188,0.08869743347167783,0.06367913448449071,1.0009174129649459,1.0261340881403676,0.8293797758334535,46135.711031694314,46135.711031694314,251.0283073900454,251.0283073900454,31697.709092824567,31697.709092824567,5,0.38872879020511003
