timestamp,isSummer,isWeekend,isHoliday,universe_id,ccu_playing,ratings_like_ratio,daily_rpv,platform_platform_share,visits_visits_gained,session_session_length,daily_Estimated Revenue,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-09-01 00:00:00+00:00,0,0,1,8348280901,12111,53.312217712402344,0.0111354492352819,0.0983529239892959,1330147,16.39806417318491,248049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248049.0,12111.0,1330147.0,53.312217712402344,0.0983529239892959,16.39806417318491,248049.0,12111.0,1330147.0,53.312217712402344,0.0983529239892959,16.39806417318491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.479607001321003,0.18648225610984642,0.00910500184941826,6.610789829947554e-05,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-09-02 00:00:00+00:00,0,0,0,8348280901,10267,53.37970733642578,0.0078462256896153,0.0897003412246704,1610571,14.03466526667277,185920,248049.0,12111.0,1330147.0,53.312217712402344,0.0983529239892959,16.39806417318491,0.0,0.0,0.0,0.0,0.0,0.0,216984.5,11189.0,1470359.0,53.34596252441406,0.09402663260698316,15.21636471992884,216984.5,11189.0,1470359.0,53.34596252441406,0.09402663260698316,15.21636471992884,0.0,-25.0470673133131,0.0,-15.2258277598877,0.0,21.082181142385004,0.0,-8.797484013355007,0.0,0.12659316554324285,0.202465324520134,0.202465324520134,18.10673938449552,0.11543724838132043,0.006374753814172853,7.548725139533871e-05,0.0,0.0,1.0,1.0,1.0,43931.83720833901,43931.83720833901,1303.9049045079937,1303.9049045079937,198289.7120074564,198289.7120074564,1,0.749529326866869
2025-09-03 00:00:00+00:00,0,0,0,8348280901,10069,53.369239807128906,0.0089332971875382,0.0902262553572654,1417166,22.28178342183431,225638,185920.0,10267.0,1610571.0,53.37970733642578,0.0897003412246704,14.03466526667277,0.0,0.0,0.0,0.0,0.0,0.0,219869.0,10815.666666666666,1452628.0,53.353721618652344,0.09275984019041057,17.571504287230663,219869.0,10815.666666666666,1452628.0,53.353721618652344,0.09275984019041057,17.571504287230663,0.0,21.362951807228914,0.0,-1.9285088146488771,0.0,-12.00847401325369,0.0,0.5863011504914528,0.0,-0.019609566667166956,0.1431020118283213,0.1431020118283213,22.40695134061569,0.1592176504251087,0.007105020085847328,9.874969939520344e-05,0.02851104736327625,0.0,1.0,1.0,1.0,31463.696238681176,31463.696238681176,1126.151558775875,1126.151558775875,143535.95377813882,143535.95377813882,1,0.9096509157464856
2025-09-04 00:00:00+00:00,0,0,0,8348280901,10536,53.39992904663086,0.0071593575621152,0.0919316709041595,1447370,15.372257272402445,190594,225638.0,10069.0,1417166.0,53.369239807128906,0.0902262553572654,22.28178342183431,0.0,0.0,0.0,0.0,0.0,0.0,212550.25,10745.75,1451313.5,53.36527347564697,0.0925527978688478,17.02169253352361,212550.25,10745.75,1451313.5,53.36527347564697,0.0925527978688478,17.02169253352361,0.0,-15.531071893918579,0.0,4.637997815075967,0.0,2.1312958397252,0.0,1.8901544125279557,0.0,0.057503609968700964,0.139107921100044,0.139107921100044,18.088070608332544,0.13168289263775493,0.007279405211241623,8.065404272096563e-05,0.025266647338856228,0.0,1.0,1.0,1.0,29567.423406794624,29567.423406794624,930.0707410371176,930.0707410371176,117226.09916595649,117226.09916595649,1,0.7683723780382102
2025-09-05 00:00:00+00:00,0,0,0,8348280901,11541,53.54719924926758,0.0075047782665787,0.0854286476969719,1611403,55.96394924495531,212291,190594.0,10536.0,1447370.0,53.39992904663086,0.0919316709041595,15.372257272402445,0.0,0.0,0.0,0.0,0.0,0.0,212498.4,10904.8,1483331.4,53.401658630371095,0.09112796783447262,24.81014387580995,212498.4,10904.8,1483331.4,53.401658630371095,0.09112796783447262,24.81014387580995,0.0,11.38388406770412,0.0,9.5387243735763,0.0,11.333176727443561,0.0,-7.073757219062338,0.0,0.27578726276604737,0.1205016238790391,0.1205016238790391,18.39291284006238,0.13174287763962358,0.0071620772940863995,0.0002636177964546724,0.049018478393550675,0.049018478393550675,1.0,1.0,1.0,25606.4022716976,25606.4022716976,880.4874786162493,880.4874786162493,124226.39955460354,124226.39955460354,1,0.8558429987623413
2025-09-06 00:00:00+00:00,0,1,0,8348280901,10568,53.77481842041016,0.0087235629538841,0.0751660615205764,1928351,21.80015659332275,261309,212291.0,11541.0,1611403.0,53.54719924926758,0.0854286476969719,55.96394924495531,0.0,0.0,0.0,0.0,0.0,0.0,220633.5,10848.666666666666,1557501.3333333333,53.46385192871094,0.08846765011548992,24.308479328728748,220633.5,10848.666666666666,1557501.3333333333,53.46385192871094,0.08846765011548992,24.308479328728748,0.0,23.090003815517377,0.0,-8.430811888051293,0.0,19.66907098969035,0.0,-12.013050016662351,0.0,0.4250813755598992,0.1375962827921218,0.1375962827921218,24.72409877944933,0.1355089734654254,0.005480327243158925,8.342641534316616e-05,0.08131910051619022,0.08131910051619022,1.0,1.0,1.0,30358.349459415607,30358.349459415607,799.444974133096,799.444974133096,212962.0453063566,212962.0453063566,2,1.0
2025-09-07 00:00:00+00:00,0,1,0,8348280901,8274,53.923709869384766,0.0070892792542104,0.068324014544487,1723904,33.71909511089325,226777,261309.0,10568.0,1928351.0,53.77481842041016,0.0751660615205764,21.80015659332275,0.0,0.0,0.0,0.0,0.0,0.0,221511.14285714287,10480.857142857143,1581273.142857143,53.52954592023577,0.08558998789106094,25.652853011895104,221511.14285714287,10480.857142857143,1581273.142857143,53.52954592023577,0.08558998789106094,25.652853011895104,0.0,-13.215005989078065,0.0,-21.707040121120357,0.0,-10.60216734401569,0.0,-9.102574802614093,0.0,0.2768795011274028,0.12554836983162362,0.12554836983162362,27.405075528700905,0.1315484321931893,0.004799568421693771,0.000148687681833746,0.10009493146623824,0.10009493146623824,1.0,1.0,1.0,27810.362885254188,27810.362885254188,1216.3800706154618,1216.3800706154618,204327.4817063926,204327.4817063926,2,0.8678499401092193
2025-09-08 00:00:00+00:00,0,0,0,8348280901,6501,54.1700553894043,0.0046559558160608,0.0606096088886261,1012003,42.39076162421185,155470,226777.0,8274.0,1723904.0,53.923709869384766,0.068324014544487,33.71909511089325,248049.0,12111.0,1330147.0,53.312217712402344,0.0983529239892959,16.39806417318491,208285.57142857142,9679.42857142857,1535824.0,53.652094159807476,0.08019808573382238,29.366095504898958,213256.0,9983.375,1510114.375,53.609609603881836,0.08246744051575658,27.745091588434697,-37.3228676592125,-31.443664921927706,-46.32152588555858,-21.42857142857143,-23.91795793998709,-41.295861022423516,-38.37538689218588,-11.290913900906563,1.6090827090136095,0.45684082311145957,0.16298644885773783,0.16298644885773783,23.911104275607507,0.1536258749965415,0.006423887652617974,0.0002726602493340356,0.13767405918666487,0.12010574340820492,1.0007924802332933,0.9766926671632752,0.9724818089691942,34757.83813760574,34757.83813760574,1802.2540599007043,1802.2540599007043,276213.75063730084,276213.75063730084,2,0.5949661129161261
2025-09-09 00:00:00+00:00,0,0,0,8348280901,5721,54.24692916870117,0.0031109308496539,0.0548017174005508,925474,23.87987580506698,106683,155470.0,6501.0,1012003.0,54.1700553894043,0.0606096088886261,42.39076162421185,185920.0,10267.0,1610571.0,53.37970733642578,0.0897003412246704,14.03466526667277,196966.0,9030.0,1437953.0,53.775982992989675,0.07521256804466245,30.772554153240986,201414.55555555556,9509.777777777777,1445154.3333333333,53.68042288886176,0.07939347128073371,27.315623168060508,-42.61886833046472,-31.38033061040715,-44.2777831888575,-11.99815413013382,-42.537522406649565,-8.550271096034301,-38.90578714378557,-9.582459934278177,1.6246283008067408,0.1419119451591122,0.23909267913107315,0.23909267913107315,18.644355120587207,0.11527377833004673,0.006181690483265351,0.00022383746208491415,0.162493978227887,0.12656199137369725,1.0017801667532642,0.9779134355842096,0.9473394579097358,48156.745703772154,48156.745703772154,2204.7117032493034,2204.7117032493034,323628.71420193854,323628.71420193854,2,0.4082637796631574
2025-09-10 00:00:00+00:00,0,0,0,8348280901,7214,54.27013397216797,0.0045565072904132,0.0707665532827377,1084583,12.936730923859969,161377,106683.0,5721.0,925474.0,54.24692916870117,0.0548017174005508,23.87987580506698,225638.0,10069.0,1417166.0,53.369239807128906,0.0902262553572654,22.28178342183431,187785.85714285713,8622.142857142857,1390441.142857143,53.90468215942383,0.07243261060544419,29.437546653530365,197410.8,9280.2,1409097.2,53.73939399719238,0.07853077948093411,25.877733943640454,-28.47968870491673,51.267774622011,-28.354354950839213,26.096836217444498,-23.46817521729988,17.192163150990723,-21.567671181158822,29.13199921363494,1.68804009256045,0.04277625263291451,0.23876551917103478,0.23876551917103478,22.366874566874568,0.14879161042390446,0.00665139813974759,8.016415449354911e-05,0.1573325565883073,0.12421114372484765,1.003075735506807,0.9512440917257675,0.9223467675248219,47134.89215196931,47134.89215196931,2201.7560062620723,2201.7560062620723,325729.0753964439,325729.0753964439,2,0.6175715340841685
