timestamp,isSummer,isWeekend,isHoliday,universe_id,visits_visits_gained,ratings_like_ratio,ccu_playing,platform_platform_share,session_session_length,daily_Estimated Revenue,daily_rpv,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2022-05-14 00:00:00+00:00,0,1,0,3310460039,772774,55.38461685180664,17927,0.3668031096458435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17927.0,772774.0,55.38461685180664,0.3668031096458435,0.0,0.0,17927.0,772774.0,55.38461685180664,0.3668031096458435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023198214227944745,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2022-05-15 00:00:00+00:00,0,1,0,3310460039,2035865,55.39383316040039,19515,0.3951618373394012,0.0,0.0,0.0,0.0,17927.0,772774.0,55.38461685180664,0.3668031096458435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18721.0,1404319.5,55.389225006103516,0.3809824734926224,0.0,0.0,18721.0,1404319.5,55.389225006103516,0.3809824734926224,0.0,0.0,0.0,0.0,8.858146929212918,0.0,163.44895143987765,0.0,7.731321504045763,0.0,0.016640556742331114,0.0,0.0,0.0,0.0,0.009585601409915977,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1122.8855685242374,1122.8855685242374,893140.2113556975,893140.2113556975,0,0.0
2022-05-16 00:00:00+00:00,0,0,0,3310460039,1437717,55.426544189453125,13104,0.4317003190517425,0.0,0.0,0.0,0.0,19515.0,2035865.0,55.39383316040039,0.3951618373394012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16848.666666666668,1415452.0,55.40166473388672,0.3978884220123291,0.0,0.0,16848.666666666668,1415452.0,55.40166473388672,0.3978884220123291,0.0,0.0,0.0,0.0,-32.85165257494235,0.0,-29.380533581548875,0.0,9.246460123364276,0.0,0.059051752129191115,0.0,0.0,0.0,0.0,0.009114443861730883,0.0,0.020963668823232636,0.0,1.0,0.0,1.0,0.0,0.0,3338.7620959471396,3338.7620959471396,631839.7868439435,631839.7868439435,0,0.0
2022-05-17 00:00:00+00:00,0,0,0,3310460039,1305109,55.445030212402344,13035,0.4545931816101074,0.0,0.0,0.0,0.0,13104.0,1437717.0,55.426544189453125,0.4317003190517425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15895.25,1387866.25,55.412506103515625,0.4120646119117737,0.0,0.0,15895.25,1387866.25,55.412506103515625,0.4120646119117737,0.0,0.0,0.0,0.0,-0.5265567765567747,0.0,-9.223511998536571,0.0,5.302952429743524,0.0,0.0333522921545093,0.0,0.0,0.0,0.0,0.009987663875075664,0.0,0.021395111083973288,0.0,1.0,0.0,1.0,0.0,0.0,3326.7954926625716,3326.7954926625716,518836.7487995782,518836.7487995782,0,0.0
2022-05-18 00:00:00+00:00,0,0,0,3310460039,1342041,55.45856475830078,13767,0.4674601256847381,0.0,0.0,0.0,0.0,13035.0,1305109.0,55.445030212402344,0.4545931816101074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15469.6,1378701.2,55.42171783447266,0.4231437146663666,0.0,0.0,15469.6,1378701.2,55.42171783447266,0.4231437146663666,0.0,0.0,0.0,0.0,5.615650172612208,0.0,2.8298019552389864,0.0,2.8304305025116605,0.0,0.0244107467280541,0.0,0.0,0.0,0.0,0.010258248251545034,0.0,0.01990928649901889,0.01990928649901889,1.0,0.0,1.0,0.0,0.0,3034.2323246580845,3034.2323246580845,449792.918615,449792.918615,0,0.0
2022-05-19 00:00:00+00:00,0,0,0,3310460039,1343543,55.487892150878906,13184,0.4608191847801208,0.0,0.0,0.0,0.0,13767.0,1342041.0,55.45856475830078,0.4674601256847381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15088.666666666666,1372841.5,55.43274688720703,0.4294229596853256,0.0,0.0,15088.666666666666,1372841.5,55.43274688720703,0.4294229596853256,0.0,0.0,0.0,0.0,-4.234764291421511,0.0,0.11191908443930476,0.0,-1.4206432890697673,0.0,0.05288162920540351,0.0,0.0,0.0,0.0,0.009812853170420917,0.0,0.02083020891462428,0.02083020891462428,1.0,0.0,1.0,0.0,0.0,2869.828194625363,2869.828194625363,402562.9791889711,402562.9791889711,0,0.0
2022-05-20 00:00:00+00:00,0,0,0,3310460039,1450049,55.51335525512695,14702,0.4533958733081817,0.0,0.0,0.0,0.0,13184.0,1343543.0,55.487892150878906,0.4608191847801208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15033.42857142857,1383871.142857143,55.44426236833845,0.4328476616314479,0.0,0.0,15033.42857142857,1383871.142857143,55.44426236833845,0.4328476616314479,0.0,0.0,0.0,0.0,11.513956310679617,0.0,7.927249072043097,0.0,-1.610894623556336,0.0,0.04588947833665813,0.0,0.0,0.0,0.0,0.010138960725492224,0.0,0.021655491420202504,0.021655491420202504,1.0,0.0,1.0,0.0,0.0,2623.8559956130002,2623.8559956130002,368644.85799860215,368644.85799860215,0,0.0
2022-05-21 00:00:00+00:00,0,1,0,3310460039,1930831,55.59218215942383,18394,0.3814436793327331,0.0,0.0,0.0,0.0,14702.0,1450049.0,55.51335525512695,0.4533958733081817,0.0,0.0,17927.0,772774.0,55.38461685180664,0.3668031096458435,0.0,0.0,15100.142857142857,1549307.857142857,55.4739145551409,0.4349391715867178,0.0,0.0,15453.5,1452241.125,55.46275234222412,0.4264221638441085,0.0,0.0,0.0,2.60500920399398,25.11222962862196,149.8571380507108,33.1562588574593,3.9913973742004005,-15.869618188284951,0.3747706843807874,0.14199628888329485,0.0,0.0,0.0,0.0,0.009526463203427331,0.0,0.028983252389094626,0.026763643537248534,1.0002012560222022,0.0,1.0199731825987426,0.0,0.0,2704.2158092240243,2704.2158092240243,392276.07582140324,392276.07582140324,0,0.0
2022-05-22 00:00:00+00:00,0,1,0,3310460039,2027856,55.615684509277344,20044,0.4144830107688904,0.0,0.0,0.0,0.0,18394.0,1930831.0,55.59218215942383,0.3814436793327331,0.0,0.0,19515.0,2035865.0,55.39383316040039,0.3951618373394012,0.0,0.0,15175.714285714286,1548163.7142857143,55.50560760498047,0.437699339219502,0.0,0.0,15963.555555555555,1516198.3333333333,55.479744805230034,0.4250955912801954,0.0,0.0,0.0,2.7107353317960436,8.970316407524193,-0.3933954363378733,5.025038441997265,4.889433038265389,8.661653928557334,0.4004982797174428,0.0422763578269203,0.0,0.0,0.0,0.0,0.009884326163038124,0.0,0.03273269108363572,0.02893002827962353,1.000466166523318,0.0,1.0296492087846636,0.0,0.0,2956.365213869521,2956.365213869521,414077.4990074322,414077.4990074322,0,0.0
2022-05-23 00:00:00+00:00,0,0,0,3310460039,1374189,55.64314270019531,13485,0.4177575409412384,0.0,0.0,0.0,0.0,20044.0,2027856.0,55.615684509277344,0.4144830107688904,0.0,0.0,13104.0,1437717.0,55.426544189453125,0.4317003190517425,0.0,0.0,15230.142857142857,1539088.2857142857,55.53655024937221,0.4357075137751442,0.0,0.0,15715.7,1501997.4,55.49608459472656,0.4243617862462997,0.0,0.0,0.0,2.907509157509147,-32.7230093793654,-4.418672103063404,-32.23438942410112,-3.229735419498947,0.7900275975783799,0.39078480159584483,0.04937130804061329,0.0,0.0,0.0,0.0,0.009813053507884644,0.0,0.03617382049560695,0.029952633019651637,1.000729162335346,0.0,1.0267359783481056,0.0,0.0,2895.392433582095,2895.392433582095,392970.3674370371,392970.3674370371,0,0.0
