timestamp,isSummer,isWeekend,isHoliday,universe_id,daily_Estimated Revenue,platform_platform_share,ccu_playing,ratings_like_ratio,visits_visits_gained,sort_sort_position,daily_rpv,session_session_length,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-09-08 00:00:00+00:00,0,0,0,8481415969,166812,0.0401092208921909,4376,93.7370376586914,77300,452,0.0599861814339922,48.50844097137451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166812.0,4376.0,77300.0,93.7370376586914,0.0401092208921909,48.50844097137451,166812.0,4376.0,77300.0,93.7370376586914,0.0401092208921909,48.50844097137451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.111034955448936,2.157953972134901,0.056609875680780325,0.00029079532753067516,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-09-09 00:00:00+00:00,0,0,0,8481415969,168391,0.0424726977944374,4388,93.47985076904295,413967,450,0.0557612795387704,16.485214730967645,166812.0,4376.0,77300.0,93.7370376586914,0.0401092208921909,48.50844097137451,0.0,0.0,0.0,0.0,0.0,0.0,167601.5,4382.0,245633.5,93.60844421386719,0.04129095934331415,32.496827851171076,167601.5,4382.0,245633.5,93.60844421386719,0.04129095934331415,32.496827851171076,0.0,0.9465745869601694,0.0,0.2742230347349217,0.0,435.5329883570504,0.0,5.892602373402522,0.0,-0.2743706181380534,0.006661763811741294,0.006661763811741294,38.36659831396673,0.40677298728404127,0.01059985312874425,9.789784984421852e-05,0.0,0.0,1.0,1.0,1.0,1116.5216074935586,1116.5216074935586,8.48528137423857,8.48528137423857,238059.5187017314,238059.5187017314,2,1.0
2025-09-10 00:00:00+00:00,0,0,0,8481415969,193919,0.042795144021511,4466,93.07642364501952,409825,403,0.0561015823711174,61.079815159673274,168391.0,4388.0,413967.0,93.47985076904295,0.0424726977944374,16.485214730967645,0.0,0.0,0.0,0.0,0.0,0.0,176374.0,4410.0,300364.0,93.4311040242513,0.041792354236046436,42.02449028733847,176374.0,4410.0,300364.0,93.4311040242513,0.041792354236046436,42.02449028733847,0.0,15.159955104488954,0.0,1.7775752051048421,0.0,-1.0005628467969707,0.0,0.7591847088080028,0.0,-0.4315658622735419,0.08626505633532937,0.08626505633532937,43.41146183120663,0.4731739811529771,0.010897307637875586,0.00031497429434649996,-0.3303070068359549,0.0,1.0,1.0,1.0,15214.913046087382,15214.913046087382,48.86716689148246,48.86716689148246,193190.19155485093,193190.19155485093,3,1.0
2025-09-11 00:00:00+00:00,0,0,0,8481415969,207851,0.0438874624669551,4497,92.89324951171876,408129,374,0.0536710512690476,45.39209265708923,193919.0,4466.0,409825.0,93.07642364501952,0.042795144021511,61.079815159673274,0.0,0.0,0.0,0.0,0.0,0.0,184243.25,4431.75,327305.25,93.29664039611816,0.0423161312937736,42.86639087977616,184243.25,4431.75,327305.25,93.29664039611816,0.0423161312937736,42.86639087977616,0.0,7.184442989083073,0.0,0.6941334527541532,0.0,-0.41383517354968147,0.0,2.552435493370564,0.0,-0.19679971159973775,0.10882717104931473,0.10882717104931473,46.20964873277012,0.5092764560311666,0.011018548011662951,0.00021838660516660522,-0.29347915649414785,0.0,1.0,1.0,1.0,20050.671682431657,20050.671682431657,59.02753594721704,59.02753594721704,166688.20358656658,166688.20358656658,4,1.0
2025-09-12 00:00:00+00:00,0,0,0,8481415969,223827,0.0559353046119213,7150,92.74346160888672,493632,354,0.0520501832131954,27.804478298534047,207851.0,4497.0,408129.0,92.89324951171876,0.0438874624669551,45.39209265708923,0.0,0.0,0.0,0.0,0.0,0.0,192160.0,4975.4,360570.6,93.18600463867188,0.04503996595740314,39.85400836352774,192160.0,4975.4,360570.6,93.18600463867188,0.04503996595740314,39.85400836352774,0.0,7.686275264492348,0.0,58.99488547920837,0.0,20.949993751975484,0.0,27.45167177081056,0.0,-0.16124734963992582,0.1290440846353921,0.1290440846353921,31.300097888407215,0.4534279515348447,0.014484444921632063,0.00012422252041091394,-0.25737533569335763,-0.25737533569335763,1.0,1.0,1.0,24797.11130353695,24797.11130353695,1216.7127023254093,1216.7127023254093,162393.45881007647,162393.45881007647,5,1.0
2025-09-13 00:00:00+00:00,0,1,0,8481415969,236857,0.0443420000374317,6584,92.37069702148438,909385,337,0.0473726218544205,33.655435479205586,223827.0,7150.0,493632.0,92.74346160888672,0.0559353046119213,27.804478298534047,0.0,0.0,0.0,0.0,0.0,0.0,199609.5,5243.5,452039.6666666667,93.0501200358073,0.044923638304074566,38.820912882807384,199609.5,5243.5,452039.6666666667,93.0501200358073,0.044923638304074566,38.820912882807384,0.0,5.8214603242682905,0.0,-7.916083916083916,0.0,84.22326753532997,0.0,-20.726274139246847,0.0,-0.4019308541386435,0.14388522594228592,0.14388522594228592,35.96917236142749,0.2604581552827952,0.007240049879809014,0.0001420911916811152,-0.2635441371372736,-0.2635441371372736,1.0,1.0,1.0,28720.85800772672,28720.85800772672,1271.0536967414084,1271.0536967414084,267014.69868280034,267014.69868280034,6,1.0
2025-09-14 00:00:00+00:00,0,1,0,8481415969,259126,0.0459945015609264,5154,92.1509780883789,736844,307,0.0436840049635917,39.00621289792268,236857.0,6584.0,909385.0,92.37069702148438,0.0443420000374317,33.655435479205586,0.0,0.0,0.0,0.0,0.0,0.0,208111.85714285713,5230.714285714285,492726.0,92.92167118617466,0.04507661876933911,38.84738431353814,208111.85714285713,5230.714285714285,492726.0,92.92167118617466,0.04507661876933911,38.84738431353814,0.0,9.401875393169723,0.0,-21.719319562575944,0.0,-18.97337211412108,0.0,3.726718510891991,0.0,-0.2378664881725001,0.16599802229086075,0.16599802229086075,50.26692531522794,0.3516696184407847,0.006994686806587546,0.00015052932692433702,-0.2610517229352686,-0.2610517229352686,1.0,1.0,1.0,34546.156700992426,34546.156700992426,1160.8009755172957,1160.8009755172957,266461.4139695777,266461.4139695777,7,1.0
2025-09-15 00:00:00+00:00,0,0,0,8481415969,290771,0.0455183796584606,5050,92.1592788696289,444516,274,0.0445731643132683,21.274387223379954,259126.0,5154.0,736844.0,92.1509780883789,0.0459945015609264,39.00621289792268,166812.0,4376.0,77300.0,93.7370376586914,0.0401092208921909,48.50844097137451,225820.2857142857,5327.0,545185.4285714285,92.69627707345145,0.045849355735949074,34.95680520668177,218444.25,5208.125,486699.75,92.82637214660645,0.0451318388804793,36.65075967726837,74.31060115579216,12.212205645130169,15.402193784277873,-2.017850213426464,475.0530401034929,-39.67298369804192,13.486072892836587,-1.0351713494168524,-1.6831754325406845,0.00900780590959993,0.19833208920547676,0.19833208920547676,57.56701643238963,0.6541279636099406,0.01136064537464259,7.316518517388178e-05,-0.22625568934849577,-0.23756717500231503,0.9985985117144347,1.0337662159305439,1.015898241092501,43324.50447742347,43324.50447742347,1076.5904430854184,1076.5904430854184,247283.4664323228,247283.4664323228,8,1.0
2025-09-16 00:00:00+00:00,0,0,0,8481415969,313871,0.0370213761925697,4963,92.01107025146484,414004,261,0.0451595934455182,15.20017901710842,290771.0,5050.0,444516.0,92.1592788696289,0.0455183796584606,21.274387223379954,168391.0,4388.0,413967.0,93.47985076904295,0.0424726977944374,16.485214730967645,246603.14285714287,5409.142857142857,545190.7142857143,92.48645128522601,0.04507059550711083,34.77322867613046,229047.22222222222,5180.888888888889,478622.44444444444,92.73578304714627,0.04423067635960046,34.26736182613948,86.3941659589883,7.944396105526352,13.103919781221517,-1.7227722772277243,0.008937910509776437,-6.864094880724203,-12.834884254942846,-18.667192307034476,-1.5712268531610785,-0.16081790133549712,0.22492682014698123,0.22492682014698123,63.22945205479452,0.7581333558773444,0.011987777925387374,4.842795476215916e-05,-0.1877316066196998,-0.2206504821777347,0.9973113748142559,1.0766476033395762,1.0189895162507066,51518.86335794342,51518.86335794342,1010.3674386633367,1010.3674386633367,232578.28673325846,232578.28673325846,9,1.0
2025-09-17 00:00:00+00:00,0,0,0,8481415969,317842,0.0439313612878322,3719,91.99469757080078,449133,258,0.043152927518366,79.37395556767781,313871.0,4963.0,414004.0,92.01107025146484,0.0370213761925697,15.20017901710842,193919.0,4466.0,409825.0,93.07642364501952,0.042795144021511,61.079815159673274,264306.4285714286,5302.428571428572,550806.1428571428,92.33191898890904,0.045232912259442426,37.386677305845396,237926.7,5034.7,475673.5,92.66167449951172,0.04420074485242363,38.77802120029331,63.90451683434837,1.265169448595116,-16.726377071204656,-25.065484585935927,9.591410968096149,8.485183718031708,2.655014470216699,18.66485205552504,-1.1621912744996354,-0.01779425086494424,0.23580653865329565,0.23580653865329565,85.44139784946236,0.7076774414762632,0.008280379574915281,0.00024972692671437725,-0.1561377389090384,-0.20089592211174,0.996441295580036,1.1108733428044375,1.0233518102571568,56104.67158020108,56104.67158020108,1058.8330106510869,1058.8330106510869,219475.11635174297,219475.11635174297,10,1.0
