timestamp,isSummer,isWeekend,isHoliday,universe_id,sort_sort_position,daily_rpv,session_session_length,ccu_playing,platform_platform_share,daily_Estimated Revenue,ratings_like_ratio,visits_visits_gained,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-05-02 00:00:00+00:00,0,0,0,7546582051,345,0.1115513324203206,8.495165498633133,3893,0.0399778522551059,170856,92.75140380859376,473609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170856.0,3893.0,473609.0,92.75140380859376,0.0399778522551059,8.495165498633133,170856.0,3893.0,473609.0,92.75140380859376,0.0399778522551059,8.495165498633133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.87673343605547,0.36075251789447016,0.008219843331010748,4.972090987570385e-05,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-05-03 00:00:00+00:00,0,1,0,7546582051,311,0.1136662516273542,8.612167159716288,2535,0.0267188791185617,246109,92.73495483398438,724006,170856.0,3893.0,473609.0,92.75140380859376,0.0399778522551059,8.495165498633133,0.0,0.0,0.0,0.0,0.0,0.0,208482.5,3214.0,598807.5,92.74317932128906,0.0333483656868338,8.55366632917471,208482.5,3214.0,598807.5,92.74317932128906,0.0333483656868338,8.55366632917471,0.0,44.0446926066395,0.0,-34.88312355509889,0.0,52.86998346737499,0.0,-33.165796531380174,0.0,-0.017734475095743107,0.25523440386905977,0.25523440386905977,97.0461356466877,0.33992627143107734,0.0035013473626636206,3.499316224337202e-05,0.0,0.0,1.0,1.0,1.0,53211.90660463126,53211.90660463126,960.2510088513316,960.2510088513316,177057.41668876793,177057.41668876793,2,1.0
2025-05-04 00:00:00+00:00,0,1,0,7546582051,216,0.0683720167830539,8.608249048391977,3123,0.0325738787651062,189984,92.85713958740234,573576,246109.0,2535.0,724006.0,92.73495483398438,0.0267188791185617,8.612167159716288,0.0,0.0,0.0,0.0,0.0,0.0,202316.33333333334,3183.6666666666665,590397.0,92.78116607666016,0.03309020337959127,8.571860568913799,202316.33333333334,3183.6666666666665,590397.0,92.78116607666016,0.03309020337959127,8.571860568913799,0.0,-22.80493602428192,0.0,23.19526627218935,0.0,-20.777452120562533,0.0,21.913343073126935,0.0,0.13175695576355118,0.19332543031332303,0.19332543031332303,60.81434058898848,0.33122667052549176,0.005444778992184136,4.5310151056093786e-05,0.052867889404292025,0.0,1.0,1.0,1.0,39112.892201080365,39112.892201080365,681.0296126699142,681.0296126699142,126043.14314154499,126043.14314154499,2,0.7719506397571808
2025-05-05 00:00:00+00:00,0,0,0,7546582051,194,0.0938626046176521,7.902978161970775,5735,0.0666082054376602,334222,92.4407730102539,1074895,189984.0,3123.0,573576.0,92.85713958740234,0.0325738787651062,8.608249048391977,0.0,0.0,0.0,0.0,0.0,0.0,235292.75,3821.5,711521.5,92.6960678100586,0.041469703894108506,8.404639967178044,235292.75,3821.5,711521.5,92.6960678100586,0.041469703894108506,8.404639967178044,0.0,75.92113020043794,0.0,83.63752801793147,0.0,87.40236690517035,0.0,104.48349402286183,0.0,-0.44839479117976255,0.3114330153287821,0.3114330153287821,58.267433751743376,0.310934267129099,0.005335399889849809,2.364582378223753e-05,-0.08097076416017479,0.0,1.0,1.0,1.0,73277.93061750129,73277.93061750129,1391.5912953641716,1391.5912953641716,263203.0153506351,263203.0153506351,3,1.0
2025-05-06 00:00:00+00:00,0,0,0,7546582051,190,0.0937624614135705,8.660690208276113,6047,0.0786391869187355,461432,92.65418243408205,1467915,334222.0,5735.0,1074895.0,92.4407730102539,0.0666082054376602,7.902978161970775,0.0,0.0,0.0,0.0,0.0,0.0,280520.6,4266.6,862800.2,92.68769073486328,0.0489036004990339,8.455850015397658,280520.6,4266.6,862800.2,92.68769073486328,0.0489036004990339,8.455850015397658,0.0,38.06152796644147,0.0,5.440278988666081,0.0,36.56357132557133,0.0,18.06231139545609,0.0,0.2308607088394421,0.42561738658892595,0.42561738658892595,76.29497354497354,0.31434496251829125,0.00411944552685576,1.8769117527953382e-05,-0.04886245727539056,-0.04886245727539056,1.0,1.0,1.0,119394.44465635745,119394.44465635745,1562.998656429365,1562.998656429365,407900.84069011186,407900.84069011186,4,1.0
2025-05-07 00:00:00+00:00,0,0,0,7546582051,163,0.0751612332196432,8.821328847304635,5954,0.0776561051607132,481898,92.72623443603516,1530668,461432.0,6047.0,1467915.0,92.65418243408205,0.0786391869187355,8.660690208276113,0.0,0.0,0.0,0.0,0.0,0.0,314083.5,4547.833333333333,974111.5,92.6941146850586,0.05369568460931379,8.51676315404882,314083.5,4547.833333333333,974111.5,92.6941146850586,0.05369568460931379,8.51676315404882,0.0,4.435323081190723,0.0,-1.537952703820078,0.0,4.2749750496452465,0.0,-1.2501168902448234,0.0,0.0777644355173912,0.42908833892981507,0.42908833892981507,80.92325776658271,0.3148283528313437,0.003889802432792459,1.8305347899258215e-05,-0.02241516113280077,-0.02241516113280077,1.0,1.0,1.0,134769.56730026257,134769.56730026257,1558.5008715642946,1558.5008715642946,455464.2792960827,455464.2792960827,5,1.0
2025-05-08 00:00:00+00:00,0,0,0,7546582051,163,0.0693688803759099,8.283969144026438,8265,0.1067737266421318,561923,92.6888427734375,1805661,481898.0,5954.0,1530668.0,92.72623443603516,0.0776561051607132,8.821328847304635,0.0,0.0,0.0,0.0,0.0,0.0,349489.14285714284,5078.857142857143,1092904.2857142857,92.693361554827,0.06127826204257351,8.483506866902767,349489.14285714284,5078.857142857143,1092904.2857142857,92.693361554827,0.06127826204257351,8.483506866902767,0.0,16.606211272924988,0.0,38.81424252603291,0.0,17.965554908053207,0.0,37.495598602528716,0.0,-0.04032479354421081,0.44244742617738547,0.44244742617738547,67.98003871279941,0.31120054583858997,0.00457726861394879,1.4742152219920198e-05,-0.014574323381699028,-0.014574323381699028,1.0,1.0,1.0,154630.57173408344,154630.57173408344,1999.5019737067382,1999.5019737067382,521205.4997726311,521205.4997726311,6,1.0
2025-05-09 00:00:00+00:00,0,0,0,7546582051,149,0.0647732059296557,8.471236626307169,10085,0.1061445996165275,651170,92.75322723388672,2081208,561923.0,8265.0,1805661.0,92.6888427734375,0.1067737266421318,8.283969144026438,170856.0,3893.0,473609.0,92.75140380859376,0.0399778522551059,8.495165498633133,418105.4285714286,5963.428571428572,1322561.2857142857,92.69362204415458,0.07073065452277659,8.480088456570485,387199.25,5704.625,1216442.25,92.70084476470947,0.06688655423931775,8.481973086828315,281.12211452919416,15.88242517213212,159.05471358849215,22.020568663036897,339.4359059899622,15.260173421256805,165.5085094096592,-0.5892151987098027,0.00196592743406665,0.06946301035022362,0.46106791284526166,0.46106791284526166,64.56176878841958,0.31288063812908745,0.0048457411052902424,1.3009235095400699e-05,0.00013160705566647789,-0.0047274089994867,0.9999220857094321,1.0798198306722664,1.057471943758753,178525.1500527507,178525.1500527507,2561.161340234989,2561.161340234989,595768.6800226482,595768.6800226482,7,1.0
2025-05-10 00:00:00+00:00,0,1,0,7546582051,144,0.0841322948867479,8.340031464894613,17870,0.1838322728872299,1076926,92.5747528076172,3449548,651170.0,10085.0,2081208.0,92.75322723388672,0.1061445996165275,8.471236626307169,246109.0,2535.0,724006.0,92.73495483398438,0.0267188791185617,8.612167159716288,536793.5714285715,8154.142857142857,1711924.4285714286,92.67073604038784,0.09317542506115775,8.441211928738818,463835.55555555556,7056.333333333333,1464565.111111111,92.68683454725478,0.07988052297797466,8.46620179550235,337.58090927190796,65.38323325706037,604.930966469428,77.19385225582549,376.4529575721748,65.74739286030035,588.0238952820478,73.19041529325798,-0.1727525792771134,-0.1924185622344754,0.6126253364204879,0.6126253364204879,60.26109339152818,0.3121932751208926,0.005180387349186807,7.74428672035766e-06,-0.006699698311938938,-0.011715316772463572,0.9998263129068375,1.1572928487244385,1.16643484027826,284157.4132660061,284157.4132660061,4709.951459410171,4709.951459410171,929869.5435046849,929869.5435046849,8,1.0
2025-05-11 00:00:00+00:00,0,1,0,7546582051,140,0.0729943134736772,8.799120326836904,12932,0.146356850862503,1208791,92.60220336914062,3873035,1076926.0,17870.0,3449548.0,92.5747528076172,0.1838322728872299,8.340031464894613,189984.0,3123.0,573576.0,92.85713958740234,0.0325738787651062,8.608249048391977,682337.4285714285,9555.42857142857,2183275.714285714,92.63431658063617,0.10943013536078586,8.468479254230951,538331.1,7643.9,1705412.1,92.67837142944336,0.0865281557664275,8.499493648635804,536.2593692100387,12.24457390758511,314.08901697086134,-27.6329043088976,575.2435597026375,12.276593918971423,349.30740952865403,-20.385659947595723,-0.2745467062570395,0.029652319548145734,0.662693694669041,0.662693694669041,93.4656305574886,0.31210425103200695,0.0033389826482377134,7.279267505771799e-06,0.01258659362792929,-0.01313647645892341,0.9995246480044081,1.2675051256957448,1.264676617587685,356748.625614249,356748.625614249,4813.6409747023445,4813.6409747023445,1161316.945378866,1161316.945378866,9,1.0
