timestamp,isSummer,isWeekend,isHoliday,universe_id,daily_Estimated Revenue,platform_platform_share,visits_visits_gained,ratings_like_ratio,daily_rpv,session_session_length,ccu_playing,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2021-09-16 00:00:00+00:00,0,0,0,1165835263,0.0,0.0044290642254054,3214,80.10325622558594,0.0,0.0,159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,3214.0,80.10325622558594,0.0044290642254054,0.0,0.0,159.0,3214.0,80.10325622558594,0.0044290642254054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049455676516329705,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2021-09-17 00:00:00+00:00,0,0,0,1165835263,0.0,0.0045228162780404,8023,80.09678649902344,0.0,0.0,169,0.0,0.0,159.0,3214.0,80.10325622558594,0.0044290642254054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,5618.5,80.10002136230469,0.004475940251722901,0.0,0.0,164.0,5618.5,80.10002136230469,0.004475940251722901,0.0,0.0,0.0,0.0,6.2893081761006275,0.0,149.62663347853146,0.0,2.116746289142357,0.0,-0.008076733540374192,0.0,0.0,0.0,0.0,0.021061814556331007,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7.0710678118654755,7.0710678118654755,3400.476510726107,3400.476510726107,0,0.0
2021-09-18 00:00:00+00:00,0,1,0,1165835263,0.0,0.0044246735051274,16809,80.05537414550781,0.0,0.0,225,0.0,0.0,169.0,8023.0,80.09678649902344,0.0045228162780404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.33333333333334,9348.666666666666,80.08513895670573,0.004458851336191067,0.0,0.0,184.33333333333334,9348.666666666666,80.08513895670573,0.004458851336191067,0.0,0.0,0.0,0.0,33.136094674556205,0.0,109.51015829490215,0.0,-2.1699482552389515,0.0,-0.051702890122973244,0.0,0.0,0.0,0.0,0.01338488994646044,0.0,-0.02394104003905248,0.0,1.0,0.0,1.0,0.0,0.0,35.57152419187759,35.57152419187759,6893.768949807742,6893.768949807742,0,0.0
2021-09-19 00:00:00+00:00,0,1,0,1165835263,0.0,0.0038760248571634,10721,80.13082885742188,0.0,0.0,191,0.0,0.0,225.0,16809.0,80.05537414550781,0.0044246735051274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,9691.75,80.09656143188477,0.00431314471643415,0.0,0.0,186.0,9691.75,80.09656143188477,0.00431314471643415,0.0,0.0,0.0,0.0,-15.111111111111109,0.0,-36.21869236718425,0.0,-12.39975440737524,0.0,0.09425315004700785,0.0,0.0,0.0,0.0,0.017813840701361685,0.0,0.004130554199208623,0.0,1.0,0.0,1.0,0.0,0.0,29.23468259904093,29.23468259904093,5670.407826309027,5670.407826309027,0,0.0
2021-09-20 00:00:00+00:00,0,0,0,1165835263,0.0,0.0045607723295688,7132,80.1161880493164,0.0,0.0,152,0.0,0.0,191.0,10721.0,80.13082885742188,0.0038760248571634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.2,9179.8,80.1004867553711,0.00436267023906108,0.0,0.0,179.2,9179.8,80.1004867553711,0.00436267023906108,0.0,0.0,0.0,0.0,-20.418848167539274,0.0,-33.476354817647604,0.0,17.666230162066586,0.0,-0.018271130243163736,0.0,0.0,0.0,0.0,0.021309406981634655,0.0,0.005990600585933626,0.005990600585933626,1.0,0.0,1.0,0.0,0.0,29.533032353620577,29.533032353620577,5042.381153780424,5042.381153780424,0,0.0
2021-09-21 00:00:00+00:00,0,0,0,1165835263,0.0,0.0041493014432489,6537,80.08741760253906,0.0,0.0,133,0.0,0.0,152.0,7132.0,80.1161880493164,0.0045607723295688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.5,8739.333333333334,80.09830856323242,0.004327108773092383,0.0,0.0,171.5,8739.333333333334,80.09830856323242,0.004327108773092383,0.0,0.0,0.0,0.0,-12.5,0.0,-8.342680874929897,0.0,-9.021956295696143,0.0,-0.03591090324920332,0.0,0.0,0.0,0.0,0.020342612419700215,0.0,0.001556178501679705,0.001556178501679705,1.0,0.0,1.0,0.0,0.0,32.45766473423496,32.45766473423496,4637.30001904844,4637.30001904844,0,0.0
2021-09-22 00:00:00+00:00,0,0,0,1165835263,0.0,0.004283991176635,6832,80.09934997558594,0.0,0.0,131,0.0,0.0,133.0,6537.0,80.08741760253906,0.0041493014432489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.71428571428572,8466.857142857143,80.09845733642578,0.004320949116455614,0.0,0.0,165.71428571428572,8466.857142857143,80.09845733642578,0.004320949116455614,0.0,0.0,0.0,0.0,-1.5037593984962405,0.0,4.512773443475604,0.0,3.2460821472791945,0.0,0.014899185669947634,0.0,0.0,0.0,0.0,0.019171666910581003,0.0,0.0010841914585662386,0.0010841914585662386,1.0,0.0,1.0,0.0,0.0,33.35023381084599,33.35023381084599,4294.2010288516385,4294.2010288516385,0,0.0
2021-09-23 00:00:00+00:00,0,0,0,1165835263,0.0,0.0045746881514787,6596,80.1293716430664,0.0,0.0,143,0.0,0.0,131.0,6832.0,80.09934997558594,0.004283991176635,0.0,0.0,159.0,3214.0,80.10325622558594,0.0044290642254054,0.0,0.0,163.42857142857142,8950.0,80.10218811035156,0.004341752534466086,0.0,0.0,162.875,8233.0,80.10232162475586,0.0043526664958335,0.0,0.0,0.0,-10.062893081761004,9.160305343511443,105.22713130056003,-3.4543325526932067,3.2879163331611005,6.785657646289489,0.03260219210929893,0.03748053821861497,0.0,0.0,0.0,0.0,0.02167651963013491,0.0,0.005081994192948567,0.003298986525764561,0.999998333201815,0.0,0.9974925803808169,0.0,0.0,31.90359361755797,31.90359361755797,4030.3060500590836,4030.3060500590836,0,0.0
2021-09-24 00:00:00+00:00,0,0,0,1165835263,0.0,0.0051805707626044,7778,80.14920806884766,0.0,0.0,186,0.0,0.0,143.0,6596.0,80.1293716430664,0.0045746881514787,0.0,0.0,169.0,8023.0,80.09678649902344,0.0045228162780404,0.0,0.0,165.85714285714286,8915.0,80.10967690604073,0.004435717460832371,0.0,0.0,165.44444444444446,8182.444444444444,80.10753122965495,0.004444655858808044,0.0,0.0,0.0,10.059171597633142,30.069930069930063,-3.053720553408945,17.919951485748943,14.543029036080712,13.244238537436882,0.06544778150976427,0.02475549898184326,0.0,0.0,0.0,0.0,0.0239105283455457,0.0,0.009348188127791708,0.005435053507486744,1.0000267849520867,0.0,0.9979889561172751,0.0,0.0,30.822520626609656,30.822520626609656,3773.055628767985,3773.055628767985,0,0.0
2021-09-25 00:00:00+00:00,0,1,0,1165835263,0.0,0.0049426346085965,11213,80.18877410888672,0.0,0.0,233,0.0,0.0,186.0,7778.0,80.14920806884766,0.0051805707626044,0.0,0.0,225.0,16809.0,80.05537414550781,0.0044246735051274,0.0,0.0,167.0,8115.571428571428,80.1287340436663,0.0045097119041851005,0.0,0.0,172.2,8485.5,80.11565551757812,0.00449445373378689,0.0,0.0,0.0,3.5555555555555562,25.268817204301076,-33.29168897614373,44.16302391360247,11.706199403614237,-4.592855978832033,0.16663461360688636,0.04936547845248995,0.0,0.0,0.0,0.0,0.020777599429284824,0.0,0.01006535121372797,0.00838419596354358,1.0001632455729619,0.0,1.0033948887455462,0.0,0.0,36.06722119105441,36.06722119105441,3684.1014357491417,3684.1014357491417,0,0.0
