timestamp,isSummer,isWeekend,isHoliday,universe_id,ccu_playing,platform_platform_share,ratings_like_ratio,daily_rpv,visits_visits_gained,daily_Estimated Revenue,session_session_length,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-09-01 00:00:00+00:00,0,0,1,8071474537,2454,0.0191780105233192,92.34317016601562,0.2901807872580178,293854,1942932,10.04350918989915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1942932.0,2454.0,293854.0,92.34317016601562,0.0191780105233192,10.04350918989915,1942932.0,2454.0,293854.0,92.34317016601562,0.0191780105233192,10.04350918989915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,791.4183299389002,6.611873202770074,0.008351057494342447,5.169251430645911e-06,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-09-02 00:00:00+00:00,0,0,0,8071474537,1911,0.0163710918277502,92.17992401123048,0.2009852190854686,405943,1412654,9.904480735460917,1942932.0,2454.0,293854.0,92.34317016601562,0.0191780105233192,10.04350918989915,0.0,0.0,0.0,0.0,0.0,0.0,1677793.0,2182.5,349898.5,92.26154708862305,0.017774551175534697,9.973994962680035,1677793.0,2182.5,349898.5,92.26154708862305,0.017774551175534697,9.973994962680035,0.0,-27.292669017752548,0.0,-22.127139364303183,0.0,38.14445268738898,0.0,-14.63613075066348,0.0,-0.17678205598925523,0.2234859542947432,0.2234859542947432,738.8357740585774,3.479923339179788,0.004707545868395641,7.0112523832506284e-06,0.0,0.0,1.0,1.0,1.0,374963.16971404006,374963.16971404006,383.9589821842953,383.9589821842953,79258.89199641893,79258.89199641893,1,0.7270733098224745
2025-09-03 00:00:00+00:00,0,0,0,8071474537,1929,0.0166467111557722,91.99288940429688,0.1921877349922246,420172,1430779,9.10596752166748,1412654.0,1911.0,405943.0,92.17992401123048,0.0163710918277502,9.904480735460917,0.0,0.0,0.0,0.0,0.0,0.0,1595455.0,2098.0,373323.0,92.17199452718098,0.01739860450228053,9.684652482342516,1595455.0,2098.0,373323.0,92.17199452718098,0.01739860450228053,9.684652482342516,0.0,1.283045954635753,0.0,0.9419152276295195,0.0,3.505171908371363,0.0,1.68357328223403,0.0,-0.20290167185516017,0.18869873456477726,0.18869873456477726,741.3362694300519,3.405214042787138,0.004590966102057962,6.3643379986213675e-06,-0.1751403808593712,0.0,1.0,1.0,1.0,301060.3395550467,301060.3395550467,308.43637917729484,308.43637917729484,69188.92672241708,69188.92672241708,1,0.736401994511388
2025-09-04 00:00:00+00:00,0,0,0,8071474537,2420,0.0206113718450069,91.79991149902344,0.1742059222773753,418715,1363486,9.523372451464336,1430779.0,1929.0,420172.0,91.99288940429688,0.0166467111557722,9.10596752166748,0.0,0.0,0.0,0.0,0.0,0.0,1537462.75,2178.5,384671.0,92.0789737701416,0.018201796337962123,9.64433247462297,1537462.75,2178.5,384671.0,92.0789737701416,0.018201796337962123,9.64433247462297,0.0,-4.703242080013759,0.0,25.45360290305858,0.0,-0.3467627543006224,0.0,23.816480337378643,0.0,-0.2097748059910587,0.176787223241459,0.176787223241459,563.1912432878976,3.256350366358104,0.0057795737444950755,6.984571507806335e-06,-0.18168106079103008,0.0,1.0,1.0,1.0,271803.77040967747,271803.77040967747,298.9029942974811,298.9029942974811,60881.14215420075,60881.14215420075,1,0.7017672260274678
2025-09-05 00:00:00+00:00,0,0,0,8071474537,1766,0.0127047635614871,91.65470886230467,0.1845778056815829,403758,1530474,16.404431429776277,1363486.0,2420.0,418715.0,91.79991149902344,0.0206113718450069,9.523372451464336,0.0,0.0,0.0,0.0,0.0,0.0,1536065.0,2096.0,388488.4,91.99412078857422,0.01710238978266712,10.996352265653632,1536065.0,2096.0,388488.4,91.99412078857422,0.01710238978266712,10.996352265653632,0.0,12.24713711765284,0.0,-27.024793388429757,0.0,-3.572119460731049,0.0,-38.360417457779135,0.0,-0.1581729593718717,0.15325505031121425,0.15325505031121425,866.1426146010186,3.7905631824925266,0.004373896309432111,1.0718522961679398e-05,-0.17569351196289845,-0.17569351196289845,1.0,1.0,1.0,235409.7188562953,235409.7188562953,317.86553760985163,317.86553760985163,53411.12071750601,53411.12071750601,1,0.7877136204458005
2025-09-06 00:00:00+00:00,0,1,0,8071474537,2140,0.0137885371223092,91.43999481201172,0.20202256702124,444284,1757613,10.599677920341492,1530474.0,1766.0,403758.0,91.65470886230467,0.0127047635614871,16.404431429776277,0.0,0.0,0.0,0.0,0.0,0.0,1572989.6666666667,2103.3333333333335,397787.6666666667,91.90176645914714,0.0165500810059408,10.930239874768276,1572989.6666666667,2103.3333333333335,397787.6666666667,91.90176645914714,0.0165500810059408,10.930239874768276,0.0,14.841088447108541,0.0,21.177802944507352,0.0,10.037200501290378,0.0,8.530450453304162,0.0,-0.2342640688712705,0.1456850151247066,0.1456850151247066,820.9308734236338,3.9560484823930584,0.00481672800117042,6.030720010389933e-06,-0.17955714634486486,-0.17955714634486486,1.0,1.0,1.0,229161.02337934054,229161.02337934054,284.874475281073,284.874475281073,52925.00747535768,52925.00747535768,1,0.9046188955660825
2025-09-07 00:00:00+00:00,0,1,0,8071474537,1014,0.0085549382492899,91.22150421142578,0.2049373271216746,385210,1878377,9.892514394677203,1757613.0,2140.0,444284.0,91.43999481201172,0.0137885371223092,10.599677920341492,0.0,0.0,0.0,0.0,0.0,0.0,1616616.4285714286,1947.7142857142858,395990.85714285716,91.80458613804409,0.01540791775499067,10.781993377612409,1616616.4285714286,1947.7142857142858,395990.85714285716,91.80458613804409,0.01540791775499067,10.781993377612409,0.0,6.870909580209061,0.0,-52.61682242990654,0.0,-13.296450018456662,0.0,-37.956157543004224,0.0,-0.23894423991943636,0.14779353345853585,0.14779353345853585,1850.6177339901478,4.876228871968869,0.002632323583698285,5.266519515601867e-06,-0.1851084572928333,-0.1851084572928333,1.0,1.0,1.0,238925.45422569016,238925.45422569016,486.9793679016646,486.9793679016646,48547.02206599484,48547.02206599484,1,0.966774441925914
2025-09-08 00:00:00+00:00,0,0,0,8071474537,924,0.00868796184659,91.13887786865234,0.0017000780404826,205782,16040,22.89702731912786,1878377.0,1014.0,385210.0,91.22150421142578,0.0085549382492899,9.892514394677203,1942932.0,2454.0,293854.0,92.34317016601562,0.0191780105233192,10.04350918989915,1341346.142857143,1729.142857142857,383409.14285714284,91.6325443812779,0.013909339372600785,12.618210253216509,1416544.375,1819.75,372214.75,91.72137260437012,0.014567923266440587,12.29637262030184,-99.1744435729094,-99.14607131582211,-62.34718826405867,-8.875739644970416,-29.971346314836623,-46.579268450974794,-54.69831536474542,1.5549334597610098,-1.3041487477614133,-0.09057770257979714,0.42892136876745945,0.42892136876745945,17.34054054054054,0.07794618603091606,0.004490166826219853,0.001427406478344733,-0.1794937678745734,-0.1788813273111955,0.9990315428065455,0.9469143124140696,0.9547921909118681,607586.1522448454,607586.1522448454,578.1603213148211,578.1603213148211,80886.04265746789,80886.04265746789,1,0.008255564270906032
2025-09-09 00:00:00+00:00,0,0,0,8071474537,983,0.0101960422471165,91.04393005371094,0.0020363161117548,200792,19620,17.682813326517742,16040.0,924.0,205782.0,91.13887786865234,0.00868796184659,22.89702731912786,1412654.0,1911.0,405943.0,92.17992401123048,0.0163710918277502,9.904480735460917,1142341.2857142857,1596.5714285714287,354101.85714285716,91.47025953020368,0.013027189432510258,13.729400623367486,1261330.5555555555,1726.7777777777778,353167.77777777775,91.64610120985243,0.01408215870873791,12.894866032103607,-98.61112487558879,22.31920199501247,-48.560962846677135,6.385281385281383,-50.536898037409195,-2.4248962494290094,-37.71922878208122,17.35827605088318,-1.2323659079835458,-0.10417926702832592,0.5825091107220268,0.5825091107220268,19.9390243902439,0.09771256966129298,0.004895588989656014,0.0009012187618631947,-0.1643624986921003,-0.17037976582845432,0.9980812966691719,0.9056636903647666,0.9250846906324776,734736.5402431866,734736.5402431866,608.506527856887,608.506527856887,94814.64690222943,94814.64690222943,1,0.010098140336357628
2025-09-10 00:00:00+00:00,0,0,0,8071474537,876,0.0087795266881585,90.9832992553711,0.0015903865931846,198208,15664,12.815238289211107,19620.0,983.0,200792.0,91.04393005371094,0.0101960422471165,17.682813326517742,1430779.0,1929.0,420172.0,91.99288940429688,0.0166467111557722,9.10596752166748,940182.0,1446.142857142857,322392.71428571426,91.32603236607143,0.011903305937136873,14.25929644730229,1136763.9,1641.7,337671.8,91.5798210144043,0.01355189550667997,12.886903257814357,-98.90521177624217,-20.16309887869521,-54.58786936236392,-10.885045778229907,-52.82693753986463,-1.2869038607115857,-47.25969228393667,-13.892798054643196,-1.0974654187550947,-0.0665951022809308,0.7010111201212358,0.7010111201212358,17.860889395667048,0.079027692990732,0.004419577314854522,0.0008180809632436073,-0.14187540326799813,-0.16006539084694896,0.9972287710816452,0.8270688398883885,0.8783498907049219,796884.1348523844,796884.1348523844,633.6562422428532,633.6562422428532,101942.15004032652,101942.15004032652,1,0.008062042315428435
