timestamp,isSummer,isWeekend,isHoliday,universe_id,daily_rpv,ratings_like_ratio,platform_platform_share,ccu_playing,sort_sort_position,daily_Estimated Revenue,visits_visits_gained,session_session_length,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-08-11 00:00:00+00:00,1,0,0,7922860790,0.1525260281870099,94.52645111083984,0.0083112465217709,1042,464,143802,36547,21.150840997695923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143802.0,1042.0,36547.0,94.52645111083984,0.0083112465217709,21.150840997695923,143802.0,1042.0,36547.0,94.52645111083984,0.0083112465217709,21.150840997695923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.87344199424737,3.934606544817774,0.028510452008317828,0.0001470820566865498,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-08-12 00:00:00+00:00,1,0,0,7922860790,0.1438277255983266,94.5519027709961,0.008815499022603,1137,454,144646,97796,23.13674759864807,143802.0,1042.0,36547.0,94.52645111083984,0.0083112465217709,21.150840997695923,0.0,0.0,0.0,0.0,0.0,0.0,144224.0,1089.5,67171.5,94.53917694091797,0.00856337277218695,22.143794298171997,144224.0,1089.5,67171.5,94.53917694091797,0.00856337277218695,22.143794298171997,0.0,0.5869181235309773,0.0,9.11708253358925,0.0,167.58967904342353,0.0,6.0671103848410235,0.0,0.026925437120661755,0.0041379945315720415,0.0041379945315720415,127.1054481546573,1.4790433244373549,0.011626123500720882,0.00015995317980081213,0.0,0.0,1.0,1.0,1.0,596.7981233214462,596.7981233214462,67.17514421272202,67.17514421272202,43309.58324089485,43309.58324089485,2,1.0
2025-08-13 00:00:00+00:00,1,0,0,7922860790,0.1400353515251823,94.63587951660156,0.0094721093773841,1188,411,154967,97338,20.84052888552348,144646.0,1137.0,97796.0,94.5519027709961,0.008815499022603,23.13674759864807,0.0,0.0,0.0,0.0,0.0,0.0,147805.0,1122.3333333333333,77227.0,94.5714111328125,0.008866284973919334,21.709372493955826,147805.0,1122.3333333333333,77227.0,94.5714111328125,0.008866284973919334,21.709372493955826,0.0,7.13535113311119,0.0,4.485488126649084,0.0,-0.4683218127530808,0.0,7.448362856119051,0.0,0.08881550042294517,0.04206091303525727,0.04206091303525727,130.33389402859547,1.5920340254163285,0.012204768900440728,0.00013448278925664317,0.05471420288086354,0.0,1.0,1.0,1.0,6216.8132511762005,6216.8132511762005,74.09678355592324,74.09678355592324,35230.657686168735,35230.657686168735,3,1.0
2025-08-14 00:00:00+00:00,1,0,0,7922860790,0.1323790022386479,94.61457824707033,0.0101772816851735,1284,386,160167,98188,31.063718557357788,154967.0,1188.0,97338.0,94.63587951660156,0.0094721093773841,20.84052888552348,0.0,0.0,0.0,0.0,0.0,0.0,150895.5,1162.75,82467.25,94.58220291137695,0.009194034151732875,24.047959009806316,150895.5,1162.75,82467.25,94.58220291137695,0.009194034151732875,24.047959009806316,0.0,3.3555531177605458,0.0,8.080808080808088,0.0,0.8732458032834067,0.0,7.44472302519108,0.0,-0.022508661239317718,0.05300464654793655,0.05300464654793655,124.64357976653696,1.6312112354744421,0.013076821232520955,0.00019394459915437408,0.03483581542968603,0.0,1.0,1.0,1.0,7998.16264317416,7998.16264317416,100.96657862877203,100.96657862877203,30615.470613999496,30615.470613999496,4,1.0
2025-08-15 00:00:00+00:00,1,0,0,7922860790,0.1264041069734702,94.6309585571289,0.0084180254489183,1160,358,165157,96738,25.35889979203542,160167.0,1284.0,98188.0,94.61457824707033,0.0101772816851735,31.063718557357788,0.0,0.0,0.0,0.0,0.0,0.0,153747.8,1162.2,85321.4,94.59195404052734,0.00903883241116996,24.310147166252136,153747.8,1162.2,85321.4,94.59195404052734,0.00903883241116996,24.310147166252136,0.0,3.115498198755051,0.0,-9.657320872274145,0.0,-1.476758870737771,0.0,-17.28611126896611,0.0,0.017312670374969308,0.06124141709499709,0.06124141709499709,142.25409130060294,1.7072432007773493,0.011991027403632455,0.00015354327245447038,0.02716903686522627,0.02716903686522627,1.0,1.0,1.0,9415.733147238194,9415.733147238194,87.4482704231479,87.4482704231479,27271.067852212902,27271.067852212902,5,1.0
2025-08-16 00:00:00+00:00,1,1,0,7922860790,0.1216228762131107,94.6832504272461,0.0071331025101244,1011,337,171679,108379,19.834168752034504,165157.0,1160.0,96738.0,94.6309585571289,0.0084180254489183,25.35889979203542,0.0,0.0,0.0,0.0,0.0,0.0,156736.33333333334,1137.0,89164.33333333333,94.60717010498047,0.008721210760995699,23.564150763882534,156736.33333333334,1137.0,89164.33333333333,94.60717010498047,0.008721210760995699,23.564150763882534,0.0,3.9489697681599933,0.0,-12.844827586206897,0.0,12.03353387500259,0.0,-15.263946950398088,0.0,0.055258734471785864,0.07119300761539227,0.07119300761539227,169.64328063241106,1.5840468721166268,0.009328289352279018,0.0001155298739051404,0.028567504882819488,0.028567504882819488,1.0,1.0,1.0,11158.530972608662,11158.530972608662,99.63934965664922,99.63934965664922,26145.31952504438,26145.31952504438,6,1.0
2025-08-17 00:00:00+00:00,1,1,0,7922860790,0.1171593138357063,94.73123931884766,0.0070433025248348,1062,310,178688,116754,21.99069853623708,171679.0,1011.0,108379.0,94.6832504272461,0.0071331025101244,19.834168752034504,0.0,0.0,0.0,0.0,0.0,0.0,159872.2857142857,1126.2857142857142,93105.71428571429,94.62489427839007,0.008481509584401286,23.339371874218894,159872.2857142857,1126.2857142857142,93105.71428571429,94.62489427839007,0.008481509584401286,23.339371874218894,0.0,4.0826193069624095,0.0,5.044510385756684,0.0,7.727511787338881,0.0,-1.2589190350501989,0.0,0.05068361234432661,0.0821764329929776,0.0821764329929776,168.0978363123236,1.5304526572737784,0.009095970193995974,0.00012306688456612932,0.031147820608955944,0.031147820608955944,1.0,1.0,1.0,13137.734174434168,13137.734174434168,95.27279129901027,95.27279129901027,26045.911340773408,26045.911340773408,7,1.0
2025-08-18 00:00:00+00:00,1,0,0,7922860790,0.1099903854102752,94.7620086669922,0.0094041973352432,1186,297,182509,154911,17.08389087518056,178688.0,1062.0,116754.0,94.73123931884766,0.0070433025248348,21.99069853623708,143802.0,1042.0,36547.0,94.52645111083984,0.0083112465217709,21.150840997695923,165401.85714285713,1146.857142857143,110014.85714285714,94.6585453578404,0.00863764541489733,22.758378999573843,162701.875,1133.75,100831.375,94.64203357696533,0.008596845553256524,22.557436749339104,26.916871809849653,2.138364075931243,13.819577735124767,11.67608286252355,323.8678961337456,32.68153553625572,13.150263448561784,33.51971326070186,0.2491975033275473,0.03248067729904047,0.08948923092303135,0.08948923092303135,153.75652906486943,1.178146302416856,0.007655959512497418,9.360523190609041e-05,0.03177533830915781,0.032191412789486534,1.0001744656179818,1.0165946590526822,1.00474591073994,14560.065663485182,14560.065663485182,90.69690497160624,90.69690497160624,32541.71753276313,32541.71753276313,8,1.0
2025-08-19 00:00:00+00:00,1,0,0,7922860790,0.0953104525375116,94.84996795654295,0.0122283576056361,1572,297,173605,164659,18.74683431784312,182509.0,1186.0,154911.0,94.7620086669922,0.0094041973352432,17.08389087518056,144646.0,1137.0,97796.0,94.5519027709961,0.008815499022603,23.13674759864807,169538.85714285713,1209.0,119566.71428571429,94.70112609863281,0.009125196641044914,22.131248530887422,163913.33333333334,1182.4444444444443,107923.33333333333,94.6651373969184,0.009000346892409812,22.13403647917288,20.020602021486944,-4.878663517963499,38.25857519788918,32.54637436762226,68.36987197840403,6.292645454486778,38.7142982408881,30.030848670189727,0.31523975384055714,0.09282125905525351,0.08599829628391535,0.08599829628391535,110.36554354736172,1.054324061702903,0.009546945220454269,0.00010798494474754974,0.03705024719238349,0.03639628092447762,1.0003801684833935,1.034320111092389,1.0138716596290738,14096.26740488418,14096.26740488418,168.93202117354124,168.93202117354124,37138.33349115171,37138.33349115171,8,0.951213364820365
2025-08-20 00:00:00+00:00,1,0,0,7922860790,0.0953368382371991,94.90435791015624,0.0112950140610337,1483,298,187625,133662,24.264885505040485,173605.0,1572.0,164659.0,94.84996795654295,0.0122283576056361,18.74683431784312,154967.0,1188.0,97338.0,94.63587951660156,0.0094721093773841,20.84052888552348,174204.2857142857,1251.142857142857,124755.85714285714,94.73948015485492,0.009385611595852,22.620442333675566,166284.5,1212.5,110497.2,94.68905944824219,0.0092298136092722,22.347121381759642,21.074164176889276,8.07580426831025,24.831649831649827,-5.661577608142498,37.317388892313375,-18.824965534832593,19.244970798183793,-7.632615717520553,0.2836961995028364,0.05734314389880257,0.09176711175922982,0.09176711175922982,126.43194070080862,1.4037168101868132,0.011095067445740407,0.00012932581574536838,0.049504143851139194,0.03951841412168663,1.000532487141667,1.0476279251180098,1.0168798627117763,15259.44829532765,15259.44829532765,185.47371781468124,185.47371781468124,35947.92156192376,35947.92156192376,9,1.0
