timestamp,isSummer,isWeekend,isHoliday,universe_id,ratings_like_ratio,platform_platform_share,ccu_playing,session_session_length,visits_visits_gained,daily_Estimated Revenue,daily_rpv,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2021-08-06 00:00:00+00:00,1,0,0,2316994223,96.10693359375,2.0447089672088623,88987,0.0,4559221,0.0,0.0,0.0,0.0,97188.0,4680632.0,96.13191223144533,2.246458053588867,0.0,0.0,82210.0,2862831.0,96.22876739501952,1.863109350204468,0.0,0.0,93462.71428571429,4441629.428571428,96.09107971191406,2.1834754262651717,0.0,0.0,73394.90909090909,3126285.6363636362,78.5993915904652,1.7030962705612183,0.0,0.0,0.0,8.243522685804638,-8.43828456188007,59.25568082782393,-2.5939018491519916,9.747126060231759,-8.980763565012806,-0.12660850239242238,-0.025983710419896777,0.0,0.0,0.0,0.0,0.019518023031122416,0.0,0.023298808506565988,7.87535455877131,1.2225422839477902,0.0,1.2820622439303768,0.0,0.0,37235.425877662645,37235.425877662645,1986253.9117869232,1986253.9117869232,0,0.0
2021-08-07 00:00:00+00:00,1,1,0,2316994223,96.05970001220705,1.7940256595611572,79487,0.0,4187497,0.0,0.0,0.0,0.0,88987.0,4559221.0,96.10693359375,2.0447089672088623,0.0,0.0,85522.0,4310104.0,95.98333740234376,2.0211329460144043,0.0,0.0,92600.57142857143,4424114.142857143,96.10198865618024,2.151031528200422,0.0,0.0,73902.58333333333,3214719.9166666665,80.05441729227702,1.7106737196445465,0.0,0.0,0.0,-7.05666378241856,-10.675716677716974,-2.8446413358007128,-8.153234949567045,-11.236632746059271,-12.260097239652701,0.07955819408860254,-0.049146903117947005,0.0,0.0,0.0,0.0,0.018981979215273656,0.0,0.004544939313626702,6.729515369121848,1.2004582870838203,0.0,1.2574177667541275,0.0,0.0,35546.116239607625,35546.116239607625,1918436.108254631,1918436.108254631,0,0.0
2021-08-08 00:00:00+00:00,1,1,0,2316994223,96.05035400390624,3.911986351013184,177319,0.0,4491241,0.0,0.0,0.0,0.0,79487.0,4187497.0,96.05970001220705,1.7940256595611572,0.0,0.0,89364.0,3934044.0,96.03717041015624,2.0753440856933594,0.0,0.0,105165.57142857143,4503713.714285715,96.10387202671596,2.4134089946746826,0.0,0.0,81857.69230769231,3312913.846153846,81.28487396240234,1.880005460519057,0.0,0.0,0.0,98.42330244841324,123.07924566281278,14.163466397427182,7.253593256305613,88.4982050919144,118.0563209987815,0.013727594944423771,-0.009729374857114781,0.0,0.0,0.0,0.0,0.0394810611407713,0.0,-0.010247094290590368,5.814814934363736,1.1823094180003038,0.0,1.2837244600387259,0.0,0.0,44507.54294570868,44507.54294570868,1870573.1646333185,1870573.1646333185,0,0.0
2021-08-09 00:00:00+00:00,1,0,0,2316994223,96.02484893798828,3.129359483718872,138471,0.0,5768175,0.0,0.0,0.0,0.0,177319.0,4491241.0,96.05035400390624,3.911986351013184,0.0,0.0,94746.0,4271725.0,96.07003021240234,2.194993734359741,0.0,0.0,111412.0,4717492.285714285,96.09741755894252,2.5468898160117015,0.0,0.0,85901.5,3488289.6428571427,82.33772931780133,1.9692450336047582,0.0,0.0,0.0,46.14970552846558,-21.908537720154076,35.03151537142488,28.43165174169011,42.56803719905271,-20.005869066787916,-0.04702952035527952,-0.02655384894980628,0.0,0.0,0.0,0.0,0.024006028942251414,0.0,-0.023548398699075723,5.072994089650584,1.167112796954025,0.0,1.2933331162702228,0.0,0.0,45359.410716817336,45359.410716817336,1913238.1234958146,1913238.1234958146,0,0.0
2021-08-10 00:00:00+00:00,1,0,0,2316994223,95.93937683105467,2.8331916332244873,121193,0.0,5486036,0.0,0.0,0.0,0.0,138471.0,5768175.0,96.02484893798828,3.129359483718872,0.0,0.0,101027.0,4624157.0,96.14604949951172,2.323687791824341,0.0,0.0,114292.85714285714,4840617.857142857,96.06789289202008,2.619676079068865,0.0,0.0,88254.26666666666,3621472.7333333334,83.2445058186849,2.026841473579407,0.0,0.0,0.0,19.961000524612228,-12.477702912523203,18.63861888772376,-4.891304442046229,21.926518837547103,-9.464168371683023,-0.21495700502816018,-0.08901040499298407,0.0,0.0,0.0,0.0,0.022091174375965746,0.0,-0.033533913748604975,4.461848885672433,1.1540448459297223,0.0,1.292491846657603,0.0,0.0,38793.82145464591,44649.14583644137,1692957.8290368894,1914440.7239492936,0,0.0
2021-08-11 00:00:00+00:00,1,0,0,2316994223,95.90691375732422,2.7558629512786865,112783,0.0,5253240,0.0,0.0,0.0,0.0,121193.0,5486036.0,95.93937683105467,2.8331916332244873,0.0,0.0,97405.0,4711523.0,96.16212463378906,2.378002405166626,0.0,0.0,116489.71428571429,4918006.0,96.03143419538226,2.673656157084874,0.0,0.0,89787.3125,3723458.1875,84.03590631484985,2.0724053159356117,0.0,0.0,0.0,15.787690570299272,-6.939344681623528,11.497704670018582,-4.243428223948953,15.88983027481774,-2.729384099507315,-0.2653964618988591,-0.0338370696191026,0.0,0.0,0.0,0.0,0.021469222523771515,0.0,-0.037320000784742714,3.953781610376694,1.1427428870177212,0.0,1.2901222248977973,0.0,0.0,27799.86002306843,43568.874380255686,1304381.1386055676,1893980.1808888505,0,0.0
2021-08-12 00:00:00+00:00,1,0,0,2316994223,95.88014221191406,2.429574966430664,100242,0.0,4952104,0.0,0.0,0.0,0.0,112783.0,5253240.0,95.90691375732422,2.7558629512786865,0.0,0.0,97188.0,4680632.0,96.13191223144533,2.246458053588867,0.0,0.0,116926.0,4956787.714285715,95.99546704973493,2.699815716062273,0.0,0.0,90402.29411764706,3795731.470588235,84.73262607350068,2.0934152953764973,0.0,0.0,0.0,3.142363254722813,-11.119583625191742,5.799900526253721,-5.732386108382636,8.151361319622929,-11.839775439363876,-0.2619005631814608,-0.027914093323755385,0.0,0.0,0.0,0.0,0.02024230100129137,0.0,-0.039175851004457654,3.5270579281975243,1.1329221280887054,0.0,1.2896703879182825,0.0,0.0,26289.55401625572,42261.51712220691,709814.1671616338,1857891.7176121338,0,0.0
2021-08-13 00:00:00+00:00,1,0,0,2316994223,95.84833526611328,2.2474477291107178,93569,0.0,4829038,0.0,0.0,0.0,0.0,100242.0,4952104.0,95.88014221191406,2.429574966430664,0.0,0.0,88987.0,4559221.0,96.10693359375,2.0447089672088623,0.0,0.0,117580.57142857143,4995333.0,95.95852443150112,2.728778396333967,0.0,0.0,90578.22222222222,3853137.388888889,85.35016547309027,2.101972652806176,0.0,0.0,0.0,5.14906671761044,-6.656890325412501,5.918050473973513,-2.485125514326836,9.91528697497741,-7.496259215557899,-0.2690735391993937,-0.033173653132967384,0.0,0.0,0.0,0.0,0.01937631897360945,0.0,-0.039016178676051276,3.165166486773576,1.1242921897058948,0.0,1.2981988099088695,0.0,0.0,25710.63479336951,41006.48742441723,511016.7671304833,1818800.358081348,0,0.0
2021-08-14 00:00:00+00:00,1,1,0,2316994223,95.8152313232422,1.9898940324783323,89981,0.0,4629887,0.0,0.0,0.0,0.0,93569.0,4829038.0,95.84833526611328,2.2474477291107178,0.0,0.0,79487.0,4187497.0,96.05970001220705,1.7940256595611572,0.0,0.0,119079.71428571429,5058531.571428572,95.92360033307757,2.756759592464992,0.0,0.0,90546.78947368421,3894018.947368421,85.90095841257195,2.096073778052079,0.0,0.0,0.0,13.202158843584488,-3.8346033408500624,10.564544882061998,-4.124030500484777,10.917813347501792,-11.45983033537762,-0.25449661922094524,-0.03453783811598887,0.0,0.0,0.0,0.0,0.01943481138204639,0.0,-0.03991535731724124,2.8556293956020435,1.1166767182313388,0.0,1.3152016027922935,0.0,0.0,25470.319549978616,39851.37812140803,498348.6876544402,1776516.1888616744,0,0.0
2021-08-15 00:00:00+00:00,1,1,0,2316994223,95.7808609008789,3.547586679458618,162327,0.0,5451541,0.0,0.0,0.0,0.0,89981.0,4629887.0,95.8152313232422,1.9898940324783323,0.0,0.0,177319.0,4491241.0,96.05035400390624,3.911986351013184,0.0,0.0,116938.0,5195717.285714285,95.88510131835938,2.7047024965286255,0.0,0.0,94135.8,3971895.05,86.3949535369873,2.168649423122406,0.0,0.0,0.0,-8.454818716550394,80.40141807714963,21.38161813182593,17.746739823239754,-9.314952529427622,78.28018083155126,-0.2805748149729559,-0.03587156435216343,0.0,0.0,0.0,0.0,0.029776345848569082,0.0,-0.0371012006487131,2.5888238032061377,1.1098460893009123,0.0,1.2471829091833637,0.0,0.0,29052.509440609505,41978.165238609465,473675.76830452966,1763858.7639542927,0,0.0
2021-08-16 00:00:00+00:00,1,0,0,2316994223,95.66563415527344,3.00871205329895,124351,0.0,5974353,0.0,0.0,0.0,0.0,162327.0,5451541.0,95.7808609008789,3.547586679458618,0.0,0.0,138471.0,5768175.0,96.02484893798828,3.129359483718872,0.0,0.0,114920.85714285714,5225171.285714285,95.83378492082868,2.6874671493257796,0.0,0.0,95574.61904761905,4067250.1904761903,86.83641451881046,2.2086524055117653,0.0,0.0,0.0,-10.197080977244333,-23.39475256734862,3.5744061163192953,9.5901690916385,-3.855339440790184,-15.189893154123112,-0.3740852359443103,-0.12030247433745256,0.0,0.0,0.0,0.0,0.020814133210050826,0.0,-0.040651593889502,2.3562008250843394,1.1036128731463137,0.0,1.2167904477042726,0.0,0.0,28851.09571766541,41443.120590124716,529183.8949107885,1773860.9052965124,0,0.0
