timestamp,isSummer,isWeekend,isHoliday,universe_id,daily_rpv,ratings_like_ratio,platform_platform_share,ccu_playing,daily_Estimated Revenue,visits_visits_gained,session_session_length,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-05-30 00:00:00+00:00,0,0,0,7658839393,0.1881171906279021,78.3216781616211,0.0025548452977091,252,22993,32624,14.59502192905971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22993.0,252.0,32624.0,78.3216781616211,0.0025548452977091,14.59502192905971,22993.0,252.0,32624.0,78.3216781616211,0.0025548452977091,14.59502192905971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.88142292490119,0.7047662835249042,0.007724137931034483,0.0006347317530251244,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-05-31 00:00:00+00:00,0,1,0,7658839393,0.1201795748191072,79.26829528808594,0.0021449567284435,241,18682,35364,14.252598524093628,0.0,22993.0,252.0,32624.0,78.3216781616211,0.0025548452977091,14.59502192905971,0.0,0.0,0.0,0.0,0.0,0.0,20837.5,246.5,33994.0,78.79498672485352,0.0023499010130763,14.42381022657667,20837.5,246.5,33994.0,78.79498672485352,0.0023499010130763,14.42381022657667,0.0,-18.749184534423524,0.0,-4.36507936507936,0.0,8.398724865129958,0.0,-16.0435768707069,0.0,1.2086272264384412,0.1462909338306038,0.1462909338306038,77.19834710743801,0.5282624063339459,0.006814647250106037,0.0007628645573030899,0.0,0.0,1.0,1.0,1.0,3048.3373336952063,3048.3373336952063,7.7781745930520225,7.7781745930520225,1937.4725804511402,1937.4725804511402,1,0.8125081546557648
2025-06-01 00:00:00+00:00,1,1,0,7658839393,0.0844442122916425,81.25,0.002870547119528,271,16009,33329,12.936415433883669,0.0,18682.0,241.0,35364.0,79.26829528808594,0.0021449567284435,14.252598524093628,0.0,0.0,0.0,0.0,0.0,0.0,19228.0,254.66666666666666,33772.333333333336,79.61332448323567,0.0025234497152268665,13.92801196234567,19228.0,254.66666666666666,33772.333333333336,79.61332448323567,0.0025234497152268665,13.92801196234567,0.0,-14.307889947543085,0.0,12.448132780082988,0.0,-5.754439543038115,0.0,33.8277402738576,0.0,2.4999966313289823,0.18326756577128184,0.18326756577128184,58.856617647058826,0.48031803180318033,0.008130813081308131,0.0008080209515230274,1.46416091918945,0.0,1.0,1.0,1.0,3523.868754650207,3523.868754650207,15.176736583776284,15.176736583776284,1422.7818994256759,1422.7818994256759,1,0.6962553820728048
2025-06-02 00:00:00+00:00,1,0,0,7658839393,0.126788920868167,81.44796752929688,0.0042647528462111,424,29713,51375,17.91179656982422,0.0,16009.0,271.0,33329.0,81.25,0.002870547119528,12.936415433883669,0.0,0.0,0.0,0.0,0.0,0.0,21849.25,297.0,38173.0,80.07198524475098,0.002958775497972925,14.923958114215306,21849.25,297.0,38173.0,80.07198524475098,0.002958775497972925,14.923958114215306,0.0,85.60184895996001,0.0,56.45756457564575,0.0,54.145038855051155,0.0,48.56933778228127,0.0,0.24365234374998934,0.2737006471653437,0.2737006471653437,69.91294117647058,0.5783439738399253,0.00825288072251635,0.0006028066423175681,1.1360572814941297,0.0,1.0,1.0,1.0,5980.153865077386,5980.153865077386,85.56868586112562,85.56868586112562,8877.669025894878,8877.669025894878,2,1.0
2025-06-03 00:00:00+00:00,1,0,0,7658839393,0.1922222720985494,81.50943756103516,0.0088739842176437,552,58094,97637,16.254894614219666,0.0,29713.0,424.0,51375.0,81.44796752929688,0.0042647528462111,17.91179656982422,0.0,0.0,0.0,0.0,0.0,0.0,29098.2,348.0,50065.8,80.3594757080078,0.004141817241907079,15.190145414216179,29098.2,348.0,50065.8,80.3594757080078,0.004141817241907079,15.190145414216179,0.0,95.51711372126678,0.0,30.188679245283012,0.0,90.04768856447689,0.0,108.0773385385637,0.0,0.07547153551274999,0.5847923800776578,0.5847923800776578,105.05244122965642,0.5949937524324546,0.005653536532907269,0.00027979851302555584,0.8555191040039034,0.8555191040039034,1.0,1.0,1.0,17016.4056339757,17016.4056339757,136.0018382228711,136.0018382228711,27682.182260436042,27682.182260436042,3,1.0
2025-06-04 00:00:00+00:00,1,0,0,7658839393,0.1254021758674398,81.57099914550781,0.0083891842514276,788,51450,114428,15.558722337086996,0.0,58094.0,552.0,97637.0,81.50943756103516,0.0088739842176437,16.254894614219666,0.0,0.0,0.0,0.0,0.0,0.0,32823.5,421.3333333333333,60792.833333333336,80.56139628092448,0.004849711743493833,15.251574901361314,32823.5,421.3333333333333,60792.833333333336,80.56139628092448,0.004849711743493833,15.251574901361314,0.0,-11.436637174234864,0.0,42.75362318840579,0.0,17.1973739463523,0.0,-5.463160113043653,0.0,0.07552694057857412,0.5406433011261769,0.5406433011261769,65.20912547528518,0.4496237841805836,0.006886366218353739,0.0003023988326191327,0.6619428362165278,0.6619428362165278,1.0,1.0,1.0,17745.805394515068,17745.805394515068,216.94208136428182,216.94208136428182,36103.43524606303,36103.43524606303,3,0.8856336282576514
2025-06-05 00:00:00+00:00,1,0,0,7658839393,0.118812945955916,81.72589111328125,0.0134389288723468,1367,63625,137271,16.608542044957478,0.0,51450.0,788.0,114428.0,81.57099914550781,0.0083891842514276,15.558722337086996,0.0,0.0,0.0,0.0,0.0,0.0,37223.71428571428,556.4285714285714,71718.28571428571,80.72775268554688,0.0060767427619014,15.445427350446481,37223.71428571428,556.4285714285714,71718.28571428571,80.72775268554688,0.0060767427619014,15.445427350446481,0.0,23.663751214771622,0.0,73.4771573604061,0.0,19.962771349669662,0.0,60.19351190266058,0.0,0.18988607396746016,0.5359208629861969,0.5359208629861969,46.509502923976605,0.46349583309050646,0.009958330905064398,0.00026103388622508846,0.538481576102119,0.538481576102119,1.0,1.0,1.0,19948.965083551626,19948.965083551626,408.62568737287233,408.62568737287233,43838.038260983216,43838.038260983216,4,1.0
2025-06-06 00:00:00+00:00,1,0,0,7658839393,0.1219477916448906,82.4427490234375,0.019624100998044,2018,89617,258571,14.73691439628601,0.0,63625.0,1367.0,137271.0,81.72589111328125,0.0134389288723468,16.608542044957478,22993.0,252.0,32624.0,78.3216781616211,0.0025548452977091,14.59502192905971,46741.42857142857,808.7142857142857,103996.42857142857,81.31647709437779,0.008515207861949243,15.465697702907379,43772.875,739.125,95074.875,80.9421272277832,0.007770162541419225,15.356863231176423,289.75775235941376,40.85186640471512,700.7936507936508,47.62253108997805,692.5790828837665,88.36535029248714,668.1130836235251,46.02429393330885,5.261724414679092,0.8771490899531553,0.5975849932935179,0.5975849932935179,44.38682516097078,0.34658431694073605,0.007804402642204105,0.00016444145591606608,0.37850625174386193,0.5019040788923009,1.0046249076891827,1.0678171943567465,1.095885422802743,26158.013213312996,26158.013213312996,640.4258488358686,640.4258488358686,77533.71278065801,77533.71278065801,5,1.0
2025-06-07 00:00:00+00:00,1,1,0,7658839393,0.1252341971365913,82.73809814453125,0.014599154703319,1626,128214,294337,15.37319072087606,0.0,89617.0,2018.0,258571.0,82.4427490234375,0.019624100998044,14.73691439628601,18682.0,241.0,35364.0,79.26829528808594,0.0021449567284435,14.252598524093628,62388.857142857145,1006.5714285714286,140992.57142857142,81.81216321672711,0.010294379001217172,15.625782302447728,53155.22222222222,837.6666666666666,117215.11111111111,81.14167955186632,0.008528939448296977,15.358677396698605,586.2969703457874,43.06883738576386,574.688796680498,-19.42517343904856,732.3068657391698,13.83217762239386,580.6270033201537,-25.605994869399893,4.377289613501789,0.3582475409811714,0.7016370891286537,0.7016370891286537,78.80393362015981,0.435601247545339,0.00552426122349136,0.00011990165519538322,0.23822539193289852,0.4710642496744814,1.0082631228311243,1.173710776375509,1.2069940305734859,37295.675391986726,37295.675391986726,668.035365830283,668.035365830283,98345.06869112,98345.06869112,6,1.0
2025-06-08 00:00:00+00:00,1,1,0,7658839393,0.1189353091519963,81.46002197265625,0.0141961062327027,1543,156857,317196,13.712188283602396,0.0,128214.0,1626.0,294337.0,82.73809814453125,0.014599154703319,15.37319072087606,16009.0,271.0,33329.0,81.25,0.002870547119528,12.936415433883669,82510.0,1188.2857142857142,181545.0,81.84216635567802,0.011912316017384987,15.73660699526469,63525.4,908.2,137213.2,81.17351379394532,0.00909565612673755,15.194028485388984,879.8051096258355,22.339994072410185,469.3726937269373,-5.104551045510453,851.7117225239281,7.766267917387215,394.54357101920505,-2.7607658032740012,0.2584885817307647,-1.5447251031107667,0.7568846992400938,0.7568846992400938,101.59132124352331,0.49450972108815655,0.004864484846956308,8.741784469776739e-05,0.1201869419642864,0.3599563136245272,1.0082373243497877,1.2988505385247475,1.309670885904272,48081.403273106655,48081.403273106655,668.157965354501,668.157965354501,112233.45738811082,112233.45738811082,7,1.0
