timestamp,isSummer,isWeekend,isHoliday,universe_id,platform_platform_share,ccu_playing,daily_rpv,ratings_like_ratio,visits_visits_gained,session_session_length,daily_Estimated Revenue,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-06-20 00:00:00+00:00,1,0,0,7789353543,0.0157701037824153,1900,0.2585401122304804,96.8194580078125,53506,25.343557929992677,29071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29071.0,1900.0,53506.0,96.8194580078125,0.0157701037824153,25.343557929992677,29071.0,1900.0,53506.0,96.8194580078125,0.0157701037824153,25.343557929992677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.292477643345608,0.5433120900069149,0.03550937260545349,0.0008717514422809809,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-06-21 00:00:00+00:00,1,1,0,7789353543,0.009000145830214,1120,0.3165817528679986,96.6480484008789,145460,30.57401990890503,71971,0.0,29071.0,1900.0,53506.0,96.8194580078125,0.0157701037824153,25.343557929992677,0.0,0.0,0.0,0.0,0.0,0.0,50521.0,1510.0,99483.0,96.7337532043457,0.01238512480631465,27.958788919448853,50521.0,1510.0,99483.0,96.7337532043457,0.01238512480631465,27.958788919448853,0.0,147.56974304289497,0.0,-41.05263157894738,0.0,171.85736179120096,0.0,-42.929064041736034,0.0,-0.17704045288061687,0.6004410228004768,0.6004410228004768,64.20249776984835,0.4947786691965544,0.00769965832766171,0.0004248043670997753,0.0,0.0,1.0,1.0,1.0,30334.88091290289,30334.88091290289,551.5432893255071,551.5432893255071,65021.296957227794,65021.296957227794,2,1.0
2025-06-22 00:00:00+00:00,1,1,0,7789353543,0.0175399184226989,1961,0.1456699107248624,96.56499481201172,135037,21.333966692288715,52116,0.0,71971.0,1120.0,145460.0,96.6480484008789,0.009000145830214,30.57401990890503,0.0,0.0,0.0,0.0,0.0,0.0,51052.666666666664,1660.3333333333333,111334.33333333333,96.67750040690105,0.014103389345109399,25.75051484372881,51052.666666666664,1660.3333333333333,111334.33333333333,96.67750040690105,0.014103389345109399,25.75051484372881,0.0,-27.587500521043196,0.0,75.08928571428572,0.0,-7.165543792107798,0.0,94.88482468602228,0.0,-0.08593405686030398,0.4205413624026612,0.4205413624026612,26.56269113149847,0.3859358106607029,0.014521838297368148,0.00040934755823030325,-0.12723159790038976,0.0,1.0,1.0,1.0,21469.757994288928,21469.757994288928,468.9353189229122,468.9353189229122,50351.23468529181,50351.23468529181,2,0.724124994789568
2025-06-23 00:00:00+00:00,1,0,0,7789353543,0.0312932804226875,3905,0.2685348433905834,96.85958862304688,325355,30.569413622220356,152548,0.0,52116.0,1961.0,135037.0,96.56499481201172,0.0175399184226989,21.333966692288715,0.0,0.0,0.0,0.0,0.0,0.0,76426.5,2221.5,164839.5,96.7230224609375,0.018400862114503924,26.955239538351695,76426.5,2221.5,164839.5,96.7230224609375,0.018400862114503924,26.955239538351695,0.0,192.7085731828997,0.0,99.13309535951045,0.0,140.9376689351807,0.0,78.41177859863929,0.0,0.3050730874150087,0.702506228838168,0.702506228838168,39.05478750640041,0.468864874168603,0.012002237549023223,0.00020039078343496422,0.0037338256835786894,0.0,1.0,1.0,1.0,53690.09229830025,53690.09229830025,1185.8466736190364,1185.8466736190364,114635.84080178996,114635.84080178996,3,1.0
2025-06-24 00:00:00+00:00,1,0,0,7789353543,0.0409844405949115,4443,0.2298621418486915,96.65340423583984,472850,21.49272493521373,224856,0.0,152548.0,3905.0,325355.0,96.85958862304688,0.0312932804226875,30.569413622220356,0.0,0.0,0.0,0.0,0.0,0.0,106112.4,2665.8,226441.6,96.70909881591797,0.022917577810585437,25.862736617724103,106112.4,2665.8,226441.6,96.70909881591797,0.022917577810585437,25.862736617724103,0.0,47.40016257178068,0.0,13.777208706786181,0.0,45.33355872815847,0.0,30.968821553134273,0.0,-0.21286936083266816,0.7637621487209517,0.7637621487209517,50.597659765976594,0.4755324615999543,0.009396194572920433,9.558397085798409e-05,-0.012056732177739324,-0.012056732177739324,1.0,1.0,1.0,81044.6346299371,81044.6346299371,1428.8760268126834,1428.8760268126834,169794.36274299567,169794.36274299567,4,1.0
2025-06-25 00:00:00+00:00,1,0,0,7789353543,0.0264871306717395,2909,0.0626419352958563,96.37549591064452,425072,20.33306495348613,91394,0.0,224856.0,4443.0,472850.0,96.65340423583984,0.0409844405949115,21.49272493521373,0.0,0.0,0.0,0.0,0.0,0.0,103659.33333333333,2706.3333333333335,259546.66666666666,96.65349833170573,0.023512503287444447,24.941124673684442,103659.33333333333,2706.3333333333335,259546.66666666666,96.65349833170573,0.023512503287444447,24.941124673684442,0.0,-59.354431280463935,0.0,-34.52622102183209,0.0,-10.104261393676639,0.0,-35.372716359515074,0.0,-0.28753081941864655,0.7016940697083444,0.7016940697083444,31.406872852233676,0.21500777513509445,0.006843530405365667,0.0002224745878164684,-0.0545471191406224,-0.0545471191406224,1.0,1.0,1.0,72737.1394699205,72737.1394699205,1281.8763850959526,1281.8763850959526,172162.05484794453,172162.05484794453,4,0.40645568719536057
2025-06-26 00:00:00+00:00,1,0,0,7789353543,0.1225387006998062,13636,0.1184252017922763,96.48450469970705,1076720,19.36234180132548,251166,0.0,91394.0,2909.0,425072.0,96.37549591064452,0.0264871306717395,20.33306495348613,0.0,0.0,0.0,0.0,0.0,0.0,124731.71428571429,4267.714285714285,376285.71428571426,96.62935638427734,0.03765910291778184,24.144155691918876,124731.71428571429,4267.714285714285,376285.71428571426,96.62935638427734,0.03765910291778184,24.144155691918876,0.0,174.81672757511433,0.0,368.7521485046408,0.0,153.30296984981368,0.0,362.6348630150004,0.0,0.11310840793348209,0.6951074108849683,0.6951074108849683,18.4179804942436,0.23326934275452973,0.012664376379767832,7.708951335695168e-05,-0.05219841003417733,-0.05219841003417733,1.0,1.0,1.0,86701.93897238647,86701.93897238647,4293.566416329038,4293.566416329038,346548.47801460343,346548.47801460343,5,1.0
2025-06-27 00:00:00+00:00,1,0,0,7789353543,0.0871794447302818,10477,0.1668265646491616,96.50848388671876,1156314,18.957362333933514,550663,0.0,251166.0,13636.0,1076720.0,96.48450469970705,0.1225387006998062,19.36234180132548,29071.0,1900.0,53506.0,96.8194580078125,0.0157701037824153,25.343557929992677,199244.85714285713,5493.0,533829.7142857143,96.58493150983539,0.047860437338905625,23.231842035338993,177973.125,5043.875,473789.25,96.61424732208252,0.043849145644344334,23.495806522170703,1794.2004059027897,119.2426522698136,451.42105263157896,-23.16661777647404,2061.092213957313,7.392265398618014,452.81465444439624,-28.855582577252115,-0.3211896941920922,0.02485288916220796,0.958837765921476,0.958837765921476,52.55420881847681,0.476222309664754,0.009060679832052684,3.44263694992473e-05,-0.037991659981858106,-0.04487164815265606,0.9996965684351977,1.1195221589937083,1.0914793580494462,170647.3535690636,170647.3535690636,4540.989522040952,4540.989522040952,423077.7869013654,423077.7869013654,6,1.0
2025-06-28 00:00:00+00:00,1,1,0,7789353543,0.0949533432722091,11519,0.1350500025549742,96.58513641357422,1261364,20.481518626213074,611037,0.0,550663.0,10477.0,1156314.0,96.50848388671876,0.0871794447302818,18.957362333933514,71971.0,1120.0,145460.0,96.6480484008789,0.009000145830214,30.57401990890503,276254.28571428574,6978.571428571428,693244.5714285715,96.57594408307757,0.06013946554490494,21.790056137811572,226091.33333333334,5763.333333333333,561297.5555555555,96.6110127766927,0.0495273898252182,23.16088564484208,749.0044601297745,10.963874456791167,928.4821428571428,9.945595113104888,767.1552316788121,9.08490254377272,955.0200526023184,8.917123257642201,-0.06509390344204835,0.0794256875337851,0.9519065665512305,0.9519065665512305,53.04140625,0.4844252060268043,0.009132170307563631,3.351922241532126e-05,-0.028953007289339014,-0.03335088094075624,0.9996370114275047,1.2218703018881119,1.214266807864026,215217.82484032313,215217.82484032313,4764.619108596195,4764.619108596195,474910.3009190554,474910.3009190554,7,1.0
2025-06-29 00:00:00+00:00,1,1,0,7789353543,0.1046844124794006,11763,0.0372121040192141,96.66007995605467,1399105,27.54824372132619,219317,449.0,611037.0,11519.0,1261364.0,96.58513641357422,0.0949533432722091,20.481518626213074,52116.0,1961.0,135037.0,96.56499481201172,0.0175399184226989,21.333966692288715,300140.14285714284,8378.857142857143,873825.7142857143,96.5895276750837,0.0725886789815766,22.67780999910264,225413.9,6363.3,645078.3,96.61591949462891,0.05504309209063644,23.59962145249049,320.8246987489447,-64.10741084418783,499.8470168281489,2.1182394305061303,936.0901086368921,10.92000405909792,496.8352301110225,10.248263907143107,0.09846750805306836,0.07759324598306527,0.9002134262959927,0.9002134262959927,18.643063583815028,0.15675509932771356,0.0084075116538704,0.00012560867653966474,-0.021502631051197305,-0.021578794537168062,0.9997268377749416,1.331506809727097,1.3187609239329943,202920.61925374225,202920.61925374225,4876.350663035718,4876.350663035718,520261.42295346735,520261.42295346735,7,0.3589258915581217
