timestamp,isSummer,isWeekend,isHoliday,universe_id,daily_rpv,ratings_like_ratio,ccu_playing,platform_platform_share,daily_Estimated Revenue,session_session_length,visits_visits_gained,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-06-20 00:00:00+00:00,1,0,0,6057699512,0.0328683207950361,0.0,23,0.0001884741068352,984,13.30792999267578,2036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,984.0,23.0,2036.0,0.0,0.0001884741068352,13.30792999267578,984.0,23.0,2036.0,0.0,0.0001884741068352,13.30792999267578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.48306332842415317,0.011291114383897889,0.013510588825051554,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-06-21 00:00:00+00:00,1,1,0,6057699512,0.025706424690196,0.0,17,0.0001376562722725,835,14.79026581843694,2584,0.0,984.0,23.0,2036.0,0.0,0.0001884741068352,13.30792999267578,0.0,0.0,0.0,0.0,0.0,0.0,909.5,20.0,2310.0,0.0,0.00016306518955385,14.049097905556359,909.5,20.0,2310.0,0.0,0.00016306518955385,14.049097905556359,0.0,-15.142276422764223,0.0,-26.086956521739136,0.0,26.915520628683698,0.0,-26.962767149301115,0.0,0.0,0.11584267223396985,0.11584267223396985,46.388888888888886,0.3230174081237911,0.0065764023210831725,0.0176917055244461,0.0,0.0,0.0,1.0,1.0,105.35891039679558,105.35891039679558,4.242640687119285,4.242640687119285,387.49451609022805,387.49451609022805,1,0.8485772357723578
2025-06-22 00:00:00+00:00,1,1,0,6057699512,0.0265653156162995,0.0,19,0.0001915659668156,919,16.114280104637146,2197,0.0,835.0,17.0,2584.0,0.0,0.0001376562722725,14.79026581843694,0.0,0.0,0.0,0.0,0.0,0.0,912.6666666666666,19.666666666666668,2272.3333333333335,0.0,0.0001725654486411,14.73749197191662,912.6666666666666,19.666666666666668,2272.3333333333335,0.0,0.0001725654486411,14.73749197191662,0.0,10.059880239520957,0.0,11.764705882352944,0.0,-14.976780185758509,0.0,39.16254134528796,0.0,0.0,0.08184984885253657,0.08184984885253657,45.95,0.4181073703366697,0.008644222020018199,0.017515521852866464,-0.0,0.0,0.0,1.0,1.0,74.70162871941504,74.70162871941504,3.0550504633038935,3.0550504633038935,281.6599604724345,281.6599604724345,1,0.9339430894308943
2025-06-23 00:00:00+00:00,1,0,0,6057699512,0.0197913517270077,0.0,19,0.0001683515292825,733,13.881248513857525,2295,0.0,919.0,19.0,2197.0,0.0,0.0001915659668156,16.114280104637146,0.0,0.0,0.0,0.0,0.0,0.0,867.75,19.5,2278.0,0.0,0.00017151196880145,14.523431107401848,867.75,19.5,2278.0,0.0,0.00017151196880145,14.523431107401848,0.0,-20.239390642002174,0.0,0.0,0.0,4.460628129267175,0.0,-12.118247264372407,0.0,0.0,0.12513156741595569,0.12513156741595569,36.65,0.3192508710801394,0.008275261324041812,0.018911782716427145,0.0,0.0,0.0,1.0,1.0,108.58291762519553,108.58291762519553,2.516611478423583,2.516611478423583,230.25348350604096,230.25348350604096,1,0.7449186991869918
2025-06-24 00:00:00+00:00,1,0,0,6057699512,0.0197150487593348,0.0,13,0.0001496920740464,772,15.593933343887327,1974,0.0,733.0,19.0,2295.0,0.0,0.0001683515292825,13.881248513857525,0.0,0.0,0.0,0.0,0.0,0.0,848.6,18.2,2217.2,0.0,0.00016714798985044,14.737531554698943,848.6,18.2,2217.2,0.0,0.00016714798985044,14.737531554698943,0.0,5.320600272851306,0.0,-31.57894736842105,0.0,-13.986928104575158,0.0,-11.083626810890902,0.0,0.0,0.12176076189992653,0.12176076189992653,55.142857142857146,0.3908860759493671,0.006582278481012658,0.020173264351730048,0.0,0.0,0.0,1.0,1.0,103.32618254827766,103.32618254827766,3.63318042491699,3.63318042491699,241.34145934753937,241.34145934753937,1,0.7845528455284553
2025-06-25 00:00:00+00:00,1,0,0,6057699512,0.0532214977708347,0.0,16,0.000151179920067,2186,15.356237053871157,1785,0.0,772.0,13.0,1974.0,0.0,0.0001496920740464,15.593933343887327,0.0,0.0,0.0,0.0,0.0,0.0,1071.5,17.833333333333332,2145.1666666666665,0.0,0.00016448664488653334,14.840649137894312,1071.5,17.833333333333332,2145.1666666666665,0.0,0.00016448664488653334,14.840649137894312,0.0,183.160621761658,0.0,23.076923076923084,0.0,-9.57446808510638,0.0,0.99393774191332,0.0,0.0,0.5168059901612234,0.5168059901612234,128.58823529411765,1.2239641657334825,0.008958566629339306,0.007021599018688229,0.0,0.0,0.0,1.0,1.0,553.7576184577509,553.7576184577509,3.371448748930742,3.371448748930742,278.7998684839479,278.7998684839479,2,1.0
2025-06-26 00:00:00+00:00,1,0,0,6057699512,0.0501613714238155,0.0,13,0.0001334062981186,2149,15.177688519159952,1743,0.0,2186.0,16.0,1785.0,0.0,0.000151179920067,15.356237053871157,0.0,0.0,0.0,0.0,0.0,0.0,1225.4285714285713,17.142857142857142,2087.714285714286,0.0,0.00016004659534825714,14.88879762093226,1225.4285714285713,17.142857142857142,2087.714285714286,0.0,0.00016004659534825714,14.88879762093226,0.0,-1.6925892040256185,0.0,-18.75,0.0,-2.352941176470591,0.0,-11.756602292502249,0.0,0.0,0.5297342300699297,0.5297342300699297,153.5,1.2322247706422018,0.007454128440366973,0.007059390008911605,0.0,0.0,0.0,1.0,1.0,649.1514607914081,649.1514607914081,3.579039509354962,3.579039509354962,296.44544989239546,296.44544989239546,2,0.9830741079597438
2025-06-27 00:00:00+00:00,1,0,0,6057699512,0.0415897333021075,0.0,11,0.0001002923745545,1848,20.962325652440388,1475,0.0,2149.0,13.0,1743.0,0.0,0.0001334062981186,15.177688519159952,984.0,23.0,2036.0,0.0,0.0001884741068352,13.30792999267578,1348.857142857143,15.428571428571429,2007.5714285714287,0.0,0.00014744920502244286,15.982282715184349,1303.25,16.375,2011.125,0.0,0.00015257731774903752,15.647988624870777,87.80487804878048,-14.006514657980452,-52.17391304347826,-15.384615384615385,-27.554027504911595,-15.375788869764772,-46.78718671833542,-24.82185926084336,0.0,0.0,0.4911083803556622,0.4911083803556622,154.0,1.2520325203252032,0.007452574525745257,0.011337115009432335,0.0,0.0,0.0,1.0349949302567756,0.9663900715896089,640.0369966985168,640.0369966985168,3.961871851969542,3.961871851969542,349.64693927282866,349.64693927282866,2,0.8453796889295517
2025-06-28 00:00:00+00:00,1,1,0,6057699512,0.0420146843488721,0.0,19,0.000156858965056,1933,15.470293203989664,1697,0.0,1848.0,11.0,1475.0,0.0,0.0001002923745545,20.962325652440388,835.0,17.0,2584.0,0.0,0.0001376562722725,14.79026581843694,1505.7142857142858,15.714285714285714,1880.857142857143,0.0,0.00015019244684865714,16.07942948454902,1373.2222222222222,16.666666666666668,1976.2222222222222,0.0,0.0001530530563387,15.628244689217318,131.49700598802397,4.599567099567103,11.764705882352944,72.72727272727273,-34.3266253869969,15.050847457627125,13.949740514175012,56.40168632238443,0.0,0.0,0.4620038517212461,0.4620038517212461,96.65,1.1383981154299176,0.011189634864546525,0.00799911747879507,0.0,0.0,0.0,1.09648260955001,0.9813096872517694,634.4339559358756,634.4339559358756,3.807886552931954,3.807886552931954,343.41693965855035,343.41693965855035,2,0.8842634949679781
2025-06-29 00:00:00+00:00,1,1,0,6057699512,0.0536082972134357,0.0,13,0.0001393549173371,2580,12.031568666299185,2239,0.0,1933.0,19.0,1697.0,0.0,0.000156858965056,15.470293203989664,919.0,19.0,2197.0,0.0,0.0001915659668156,16.114280104637146,1743.0,14.857142857142858,1886.857142857143,0.0,0.00014273372549458572,15.496184993357884,1493.9,16.3,2002.5,0.0,0.00015168324243854,15.268577086925507,180.7399347116431,33.471288153129855,-31.57894736842105,-31.57894736842105,1.9116977696859383,31.938715380082506,-27.25486700294628,-11.159099330185484,0.0,0.0,0.47494295281816457,0.47494295281816457,184.28571428571428,1.1517857142857142,0.005803571428571429,0.004661591889306154,0.0,0.0,0.0,1.1667447620322644,0.9409986442795056,709.5172772150561,709.5172772150561,3.7727090178455764,3.7727090178455764,334.27010036795093,334.27010036795093,3,1.0
