timestamp,isSummer,isWeekend,isHoliday,universe_id,ccu_playing,platform_platform_share,daily_rpv,ratings_like_ratio,visits_visits_gained,sort_sort_position,session_session_length,daily_Estimated Revenue,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-06-01 00:00:00+00:00,1,1,0,7364297396,3996,0.0408420823514461,0.0459076990267867,90.9342803955078,96209,476,13.377360105514526,143136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143136.0,3996.0,96209.0,90.9342803955078,0.0408420823514461,13.377360105514526,143136.0,3996.0,96209.0,90.9342803955078,0.0408420823514461,13.377360105514526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.8108581436077,1.4877455565949484,0.041534144059869035,9.34584356631376e-05,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-06-02 00:00:00+00:00,1,0,0,7364297396,3541,0.0374475307762622,0.0366195684298377,90.67967987060548,571153,476,11.154342532157898,126366,143136.0,3996.0,96209.0,90.9342803955078,0.0408420823514461,13.377360105514526,0.0,0.0,0.0,0.0,0.0,0.0,134751.0,3768.5,333681.0,90.80698013305664,0.03914480656385415,12.265851318836212,134751.0,3768.5,333681.0,90.80698013305664,0.03914480656385415,12.265851318836212,0.0,-11.716130114017442,0.0,-11.386386386386382,0.0,493.658597428515,0.0,-8.311406715195835,0.0,-0.2799829984852398,0.08800068808764612,0.08800068808764612,35.67645398080181,0.22124680909176858,0.006199728969769974,8.826942581653357e-05,0.0,0.0,1.0,1.0,1.0,11858.180720498402,11858.180720498402,321.7335854398791,321.7335854398791,335836.12308386364,335836.12308386364,1,0.8828386988598256
2025-06-03 00:00:00+00:00,1,0,0,7364297396,3587,0.0364727638661861,0.027049369377737,90.38058471679688,504374,476,11.523629347483316,107714,126366.0,3541.0,571153.0,90.67967987060548,0.0374475307762622,11.154342532157898,0.0,0.0,0.0,0.0,0.0,0.0,125738.66666666667,3708.0,390578.6666666667,90.66484832763672,0.03825412566463147,12.018443995051912,125738.66666666667,3708.0,390578.6666666667,90.66484832763672,0.03825412566463147,12.018443995051912,0.0,-14.760299447636227,0.0,1.299068059870101,0.0,-11.691963449373466,0.0,-2.603020519296828,0.0,-0.32983701997558734,0.14092189136800226,0.14092189136800226,30.020624303233,0.21355935563816605,0.007111771995043371,0.00010698258689582061,-0.27684783935545926,0.0,1.0,1.0,1.0,17719.33072475745,17719.33072475745,250.47355149795757,250.47355149795757,257108.89560715968,257108.89560715968,1,0.7525290632684999
2025-06-04 00:00:00+00:00,1,0,0,7364297396,21125,0.234185442328453,0.0973222768672748,89.20556640625,2469945,331,11.484251618385317,498784,107714.0,3587.0,504374.0,90.38058471679688,0.0364727638661861,11.523629347483316,0.0,0.0,0.0,0.0,0.0,0.0,219000.0,8062.25,910420.25,90.30002784729004,0.08723695483058685,11.884895900885265,219000.0,8062.25,910420.25,90.30002784729004,0.08723695483058685,11.884895900885265,0.0,363.0632972501253,0.0,488.9322553666016,0.0,389.7050601339482,0.0,542.0830710489872,0.0,-1.3000782349757323,0.8542599413687989,0.8542599413687989,23.609959291867842,0.20194125701533555,0.008552818563644711,2.302445265672648e-05,-0.5485237121582218,0.0,1.0,1.0,1.0,187082.92715976696,187082.92715976696,8710.90103931084,8710.90103931084,1060665.393287118,1060665.393287118,2,1.0
2025-06-05 00:00:00+00:00,1,0,0,7364297396,20324,0.2093132436275482,0.0508978383773946,88.79776763916016,2967593,204,11.97975512345632,417617,498784.0,21125.0,2469945.0,89.20556640625,0.234185442328453,11.484251618385317,0.0,0.0,0.0,0.0,0.0,0.0,258723.4,10514.6,1321854.8,89.99957580566407,0.11165221258997912,11.903867745399475,258723.4,10514.6,1321854.8,89.99957580566407,0.11165221258997912,11.903867745399475,0.0,-16.27297587733367,0.0,-3.7917159763313557,0.0,20.14814095050699,0.0,-10.620727938340725,0.0,-0.4571449781874515,0.7141583430555118,0.7141583430555118,20.546961869618695,0.1407257866136675,0.006848645737927763,2.868591661148782e-05,-0.5747138977050832,-0.5747138977050832,1.0,1.0,1.0,184769.4746536884,184769.4746536884,9326.30421442492,9326.30421442492,1300057.787967981,1300057.787967981,2,0.8372702412266633
2025-06-06 00:00:00+00:00,1,0,0,7364297396,24812,0.2363717257976532,0.0322714858472008,87.5850601196289,3360164,178,11.17688004175822,367153,417617.0,20324.0,2967593.0,88.79776763916016,0.2093132436275482,11.97975512345632,0.0,0.0,0.0,0.0,0.0,0.0,276795.0,12897.5,1661573.0,89.5971565246582,0.13243879812459147,11.782703128125933,276795.0,12897.5,1661573.0,89.5971565246582,0.13243879812459147,11.782703128125933,0.0,-12.083799270623564,0.0,22.0822672702224,0.0,13.228599743967596,0.0,12.927267143331278,0.0,-1.3656959535956137,0.6181057584194031,0.6181057584194031,14.796800064482328,0.10926636043170498,0.0073841611944651525,3.0441940008166113e-05,-0.6733387538364924,-0.6733387538364924,1.0,1.0,1.0,171088.58340169868,171088.58340169868,10181.023263896415,10181.023263896415,1429884.9373681785,1429884.9373681785,2,0.7360961859241676
2025-06-07 00:00:00+00:00,1,1,0,7364297396,23875,0.2185065001249313,0.0258047873778291,87.04651641845703,4021202,140,11.633072217305502,391250,367153.0,24812.0,3360164.0,87.5850601196289,0.2363717257976532,11.17688004175822,0.0,0.0,0.0,0.0,0.0,0.0,293145.71428571426,14465.714285714286,1998662.857142857,89.23277936662946,0.14473418412464004,11.761327283723015,293145.71428571426,14465.714285714286,1998662.857142857,89.23277936662946,0.14473418412464004,11.761327283723015,0.0,6.563203895923508,0.0,-3.7763985168466907,0.0,19.6727897804988,0.0,-7.558106035074374,0.0,-0.6148807803937117,0.5528385543220065,0.5528385543220065,16.386748199028315,0.09729675423001524,0.005937277973780483,2.9733015934286434e-05,-0.6941195896693583,-0.6941195896693583,1.0,1.0,1.0,162062.2528914062,162062.2528914062,10178.05324729449,10178.05324729449,1580890.9242197818,1580890.9242197818,2,0.7844076794764868
2025-06-08 00:00:00+00:00,1,1,0,7364297396,24249,0.2274047881364822,0.0226903986110445,86.59228515625,4192660,116,10.9138312737147,435047,391250.0,23875.0,4021202.0,87.04651641845703,0.2185065001249313,11.633072217305502,143136.0,3996.0,96209.0,90.9342803955078,0.0408420823514461,13.377360105514526,334847.28571428574,17359.0,2583870.1428571427,88.61249433244977,0.17138599923678804,11.409394593465896,310883.375,15688.625,2272912.5,88.90271759033203,0.1550680096261203,11.655390282471975,203.9396098815113,11.194121405750801,506.8318318318318,1.566492146596854,4257.866727645022,4.263849465905967,456.79038639524816,4.072321878966201,-4.774871720953644,-0.5218258936674935,0.508891874352698,0.508891874352698,17.940082474226806,0.10376393416973134,0.00578367771684856,2.508649913047457e-05,-0.7339581080845383,-0.6827875773111954,0.9967354962171165,1.0770832815176616,1.1052311798546428,158206.0234088427,158206.0234088427,10037.822771006811,10037.822771006811,1656468.585174497,1656468.585174497,2,0.8722152274331173
2025-06-09 00:00:00+00:00,1,0,0,7364297396,21811,0.2240900099277496,0.0168391044947871,86.19800567626953,3414335,97,12.020254055658976,387056,435047.0,24249.0,4192660.0,86.59228515625,0.2274047881364822,10.9138312737147,126366.0,3541.0,571153.0,90.67967987060548,0.0374475307762622,11.154342532157898,372088.71428571426,19969.0,2990039.0,87.97225516183036,0.1980492105441434,11.533096239680336,319347.0,16368.888888888889,2399737.222222222,88.60219404432509,0.16273712077074576,11.695930701714977,206.29758004526533,-11.031221913954125,515.9559446484044,-10.054022846302946,497.79691256108254,-18.563990402274456,498.41064359255193,-1.457655415216308,-4.942313648141495,-0.45532864650588145,0.4701800493813423,0.4701800493813423,17.745094443425636,0.11336201240885489,0.006388064912182047,3.105551393117545e-05,-0.6973411015101826,-0.6582654317220087,0.9928902563950099,1.1651548763123318,1.21698853713372,150150.58822978352,150150.58822978352,9608.74502009035,9608.74502009035,1595513.3166043912,1595513.3166043912,2,0.7759992301276705
2025-06-10 00:00:00+00:00,1,0,0,7364297396,21335,0.2198296338319778,0.016827898797678,86.29544067382812,3265560,94,11.388396461804708,443994,387056.0,21811.0,3414335.0,86.19800567626953,0.2240900099277496,12.020254055658976,107714.0,3587.0,504374.0,90.38058471679688,0.0364727638661861,11.523629347483316,420128.71428571426,22504.428571428572,3384494.1428571427,87.38866315569196,0.22424304911068504,11.513777256011963,331811.7,16865.5,2486319.5,88.37151870727538,0.16844637207686897,11.665177277723949,312.19711458120577,14.710532842792778,494.7867298578199,-2.1823850350740415,547.4481238128849,-4.357363879056974,502.72271835088935,-1.9011896590773625,-4.519935399587583,0.11303625506664527,0.4428671732170301,0.4428671732170301,20.809617547806525,0.13596254977322425,0.006533333782464942,2.5649830430083017e-05,-0.5329527173723447,-0.6045614069158357,0.9888781412160736,1.266166064324176,1.3312429727388475,146948.50961933724,146948.50961933724,9194.321197227002,9194.321197227002,1528978.8212312202,1528978.8212312202,2,0.8901528517354206
