timestamp,isSummer,isWeekend,isHoliday,universe_id,session_session_length,visits_visits_gained,daily_Estimated Revenue,ratings_like_ratio,platform_platform_share,ccu_playing,daily_rpv,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2024-11-08 00:00:00+00:00,0,0,0,6593208232,11.025265557425362,31855,149691.0,80.72412109375,0.0125692626461386,881,0.1706579417547362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149691.0,881.0,31855.0,80.72412109375,0.0125692626461386,11.025265557425362,149691.0,881.0,31855.0,80.72412109375,0.0125692626461386,11.025265557425362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.71768707482994,4.698989201406328,0.027655700652938223,7.36530045521829e-05,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2024-11-09 00:00:00+00:00,0,1,0,6593208232,9.060746192932127,141520,375775.0,81.27753448486328,0.0149859124794602,1113,0.3936631710409435,0.0,149691.0,881.0,31855.0,80.72412109375,0.0125692626461386,11.025265557425362,0.0,0.0,0.0,0.0,0.0,0.0,262733.0,997.0,86687.5,81.00082778930664,0.0137775875627994,10.043005875178745,262733.0,997.0,86687.5,81.00082778930664,0.0137775875627994,10.043005875178745,0.0,151.03379628701794,0.0,26.333711691259932,0.0,344.2630670224455,0.0,19.226663499342322,0.0,0.6855613707711594,0.6084714501710079,0.6084714501710079,337.3204667863555,2.6552596434451425,0.007864557203524565,2.411209388819969e-05,0.0,0.0,1.0,1.0,1.0,159865.52951777942,159865.52951777942,164.04877323527901,164.04877323527901,77544.86515882274,77544.86515882274,2,1.0
2024-11-10 00:00:00+00:00,0,1,0,6593208232,9.59851864973704,116324,325113.0,81.11943054199219,0.010924756526947,742,0.297394955705089,0.0,375775.0,1113.0,141520.0,81.27753448486328,0.0149859124794602,9.060746192932127,0.0,0.0,0.0,0.0,0.0,0.0,283526.3333333333,912.0,96566.33333333333,81.04036204020183,0.012826643884181935,9.894843466698177,283526.3333333333,912.0,96566.33333333333,81.04036204020183,0.012826643884181935,9.894843466698177,0.0,-13.482003858692037,0.0,-33.333333333333336,0.0,-17.803843979649514,0.0,-27.099824305523256,0.0,-0.19452354684865725,0.41844634380781104,0.41844634380781104,437.5679676985195,2.7948678272082526,0.0063786804212336125,2.952354758557626e-05,0.1976547241210926,0.0,1.0,1.0,1.0,118640.55755656803,118640.55755656803,187.43265457224896,187.43265457224896,57440.204563818654,57440.204563818654,2,0.8651799614130796
2024-11-11 00:00:00+00:00,0,0,1,6593208232,9.390332539876304,95067,260991.0,81.36148834228516,0.0192361157387495,1225,0.2194784954807605,0.0,325113.0,742.0,116324.0,81.11943054199219,0.010924756526947,9.59851864973704,0.0,0.0,0.0,0.0,0.0,0.0,277892.5,990.25,96191.5,81.12064361572266,0.014429011847823825,9.768715734992709,277892.5,990.25,96191.5,81.12064361572266,0.014429011847823825,9.768715734992709,0.0,-19.722988622417436,0.0,65.09433962264151,0.0,-18.273958942264713,0.0,76.07820999307128,0.0,0.2983968189565367,0.3509368672703892,0.3509368672703892,212.88009787928223,2.7453086211974584,0.012885513527159506,3.597938840989879e-05,0.1753997802734278,0.0,1.0,1.0,1.0,97522.72338793662,97522.72338793662,218.890193171523,218.890193171523,46905.721758295826,46905.721758295826,2,0.6945406160601424
2024-11-12 00:00:00+00:00,0,0,0,6593208232,10.193134744962055,88362,252635.0,81.67913055419922,0.0166827905923128,921,0.1959901822264179,0.0,260991.0,1225.0,95067.0,81.36148834228516,0.0192361157387495,9.390332539876304,0.0,0.0,0.0,0.0,0.0,0.0,272841.0,976.4,94625.6,81.23234100341797,0.014879767596721622,9.853599536986577,272841.0,976.4,94625.6,81.23234100341797,0.014879767596721622,9.853599536986577,0.0,-3.201642968531482,0.0,-24.816326530612244,0.0,-7.0529205718072525,0.0,-13.273600456111046,0.0,0.3904085561681869,0.31230332382307363,0.31230332382307363,274.0075921908894,2.859058655772212,0.010422914568314793,4.034711895755971e-05,0.199397277832029,0.199397277832029,1.0,1.0,1.0,85209.15117521123,85209.15117521123,192.07758848965176,192.07758848965176,40772.175123483416,40772.175123483416,2,0.6723039052624575
2024-11-13 00:00:00+00:00,0,0,0,6593208232,9.501388768355053,87341,237287.0,81.75135803222656,0.0194040089845657,1066,0.1723078528396627,0.0,252635.0,921.0,88362.0,81.67913055419922,0.0166827905923128,10.193134744962055,0.0,0.0,0.0,0.0,0.0,0.0,266915.3333333333,991.3333333333334,93411.5,81.31884384155273,0.015633807828028968,9.794897742214657,266915.3333333333,991.3333333333334,93411.5,81.31884384155273,0.015633807828028968,9.794897742214657,0.0,-6.075167732103626,0.0,15.74375678610207,0.0,-1.1554740725651325,0.0,16.31152999970402,0.0,0.08842831398581108,0.2906661419824772,0.2906661419824772,222.3870665417057,2.716757115706075,0.012204895697373543,4.0041589833261916e-05,0.18808659144810358,0.18808659144810358,1.0,1.0,1.0,77583.2501759669,77583.2501759669,175.65041038001212,175.65041038001212,36588.80217088283,36588.80217088283,2,0.6314603153482802
2024-11-14 00:00:00+00:00,0,0,0,6593208232,10.005441707113516,102621,261959.0,82.04193115234375,0.0233058612793684,1328,0.1786286392365579,462.0,237287.0,1066.0,87341.0,81.75135803222656,0.0194040089845657,9.501388768355053,0.0,0.0,0.0,0.0,0.0,0.0,266207.28571428574,1039.4285714285713,94727.14285714286,81.4221420288086,0.0167298154639346,9.824975451485923,266207.28571428574,1039.4285714285713,94727.14285714286,81.4221420288086,0.0167298154639346,9.824975451485923,0.0,10.397535473919772,0.0,24.57786116322702,0.0,17.494647416448174,0.0,20.108485302734636,0.0,0.3554352210303868,0.26613946446626147,0.26613946446626147,197.10985703536494,2.552659273839917,0.012940694977685097,3.819454003326277e-05,0.1950277600969602,0.1950277600969602,1.0,1.0,1.0,70848.26445701707,70848.26445701707,204.70210643994943,204.70210643994943,33581.74280482661,33581.74280482661,2,0.6971166256403433
2024-11-15 00:00:00+00:00,0,0,0,6593208232,9.063770731290182,154054,410749.0,81.99092102050781,0.0247307028621435,1714,0.2583028422106824,446.0,261959.0,1328.0,102621.0,82.04193115234375,0.0233058612793684,10.005441707113516,149691.0,881.0,31855.0,80.72412109375,0.0125692626461386,11.025265557425362,303501.28571428574,1158.4285714285713,112184.14285714286,81.60311344691685,0.018467164066221013,9.544761904895182,284275.0,1123.75,102143.0,81.493239402771,0.017729926388710713,9.729824861461456,174.39792639504046,56.798964723487266,94.5516458569807,29.06626506024097,383.61010830324915,50.1193712787831,96.75539893138449,6.1136619912710355,1.5692954095921419,-0.06217568396972295,0.29249897692110305,0.29249897692110305,239.50379008746356,2.6662490668916945,0.011125896595371783,2.2066392529008356e-05,0.15625108991350808,0.17741675603957563,1.0013482596219156,1.0676326997248642,1.0415815419278742,83150.14666424657,83150.14666424657,304.6270553597347,304.6270553597347,37504.50864324753,37504.50864324753,3,1.0
2024-11-16 00:00:00+00:00,0,1,0,6593208232,8.752670447031656,212132,549615.0,81.72457885742188,0.0217622555792331,1626,0.3101480927432817,420.0,410749.0,1714.0,154054.0,81.99092102050781,0.0247307028621435,9.063770731290182,375775.0,1113.0,141520.0,81.27753448486328,0.0149859124794602,9.060746192932127,328335.5714285714,1231.7142857142858,122271.57142857143,81.66697692871094,0.019435213080474283,9.500751084052258,313757.22222222225,1179.5555555555557,114364.0,81.5189437866211,0.01817796296543542,9.621252148747033,46.26172576674872,33.807994663407584,46.09164420485175,-5.1341890315052545,49.89542114188807,37.69976761395355,45.218088048095886,-12.00308498896061,0.5500220637743913,-0.3248434823891255,0.3753910306200489,0.3753910306200489,337.80885064535954,2.590898162944945,0.0076650026162831805,1.5925064858067553e-05,0.12275396074567307,0.1396143595377616,1.0018159354772471,1.0464637884766328,1.0691634215247037,117781.64701448372,117781.64701448372,330.49399053201824,330.49399053201824,50743.86875771298,50743.86875771298,4,1.0
2024-11-17 00:00:00+00:00,0,1,0,6593208232,8.904683868090311,194821,505412.0,81.66627502441406,0.0198122859001159,1348,0.2546832726744186,405.0,549615.0,1626.0,212132.0,81.72457885742188,0.0217622555792331,8.752670447031656,325113.0,742.0,116324.0,81.11943054199219,0.010924756526947,9.59851864973704,354092.5714285714,1318.2857142857142,133485.42857142858,81.74509756905692,0.02070486013378413,9.401631829531297,332922.7,1196.4,122409.7,81.53367691040039,0.01834139525890347,9.54959532068136,55.45733329642309,-8.042538868116777,81.67115902964959,-17.09717097170972,67.48134520821154,-8.160484981049532,81.35219628233293,-8.960328914517401,0.6741226840082382,-0.07134185801009885,0.37999219521547994,0.37999219521547994,374.6567828020756,2.594224471568919,0.006919136442496227,1.761862846442476e-05,0.04445784432547881,0.109573965361627,1.0025930470287618,1.0635879482791994,1.1288596010019118,126508.02761006467,126508.02761006467,316.11291934651734,316.11291934651734,54186.42480271235,54186.42480271235,4,0.9195746113188322
