timestamp,isSummer,isWeekend,isHoliday,universe_id,ccu_playing,platform_platform_share,daily_rpv,ratings_like_ratio,visits_visits_gained,session_session_length,daily_Estimated Revenue,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2024-02-11 00:00:00+00:00,0,1,0,5239362765,413,0.0058024898171424,0.6269961810430754,89.66666412353516,27762,0.0,47160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47160.0,413.0,27762.0,89.66666412353516,0.0058024898171424,0.0,47160.0,413.0,27762.0,89.66666412353516,0.0058024898171424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.91304347826087,1.698663689082592,0.01487591398624068,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2024-02-12 00:00:00+00:00,0,0,0,5239362765,199,0.0038009451236575,0.2461565121675624,88.62782287597656,18851,0.0,27066.0,0.0,47160.0,413.0,27762.0,89.66666412353516,0.0058024898171424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37113.0,306.0,23306.5,89.14724349975586,0.00480171747039995,0.0,37113.0,306.0,23306.5,89.14724349975586,0.00480171747039995,0.0,0.0,-42.60814249363868,0.0,-51.81598062953996,0.0,-32.09783156833082,0.0,-34.49458347297225,0.0,-1.1585590450062577,0.3828470794913504,0.3828470794913504,135.33,1.4357097390197326,0.010555909187354127,0.0,0.0,0.0,1.0,1.0,1.0,14208.603661162486,14208.603661162486,151.32085117392117,151.32085117392117,6301.028527153325,6301.028527153325,1,0.5739185750636132
2024-02-13 00:00:00+00:00,0,0,0,5239362765,174,0.0033105802722275,0.2087584757585114,88.96940612792969,17125,0.0,28337.0,0.0,27066.0,199.0,18851.0,88.62782287597656,0.0038009451236575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34187.666666666664,262.0,21246.0,89.0879643758138,0.0043046717376758,0.0,34187.666666666664,262.0,21246.0,89.0879643758138,0.0043046717376758,0.0,0.0,4.695928471144617,0.0,-12.562814070351758,0.0,-9.156012943610413,0.0,-12.90112946850811,0.0,0.38541311392825683,0.3291341957673168,0.3291341957673168,161.9257142857143,1.65461870839659,0.010159990657479856,0.0,-0.3486289978027334,0.0,1.0,1.0,1.0,11252.330173494436,11252.330173494436,131.36590120727678,131.36590120727678,5708.630396163339,5708.630396163339,1,0.6008693808312129
2024-02-14 00:00:00+00:00,0,0,0,5239362765,177,0.0034563846420496,0.1663634656533643,88.81856536865234,18240,0.0,26820.0,0.0,28337.0,174.0,17125.0,88.96940612792969,0.0033105802722275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32345.75,240.75,20494.5,89.02061462402344,0.00409259996376925,0.0,32345.75,240.75,20494.5,89.02061462402344,0.00409259996376925,0.0,0.0,-5.353424850901645,0.0,1.724137931034475,0.0,6.5109489051094815,0.0,4.404193761596864,0.0,-0.16954227957917123,0.306022097016525,0.306022097016525,150.67415730337078,1.470314127514939,0.009703415382928567,0.0,-0.22027130126954514,0.0,1.0,1.0,1.0,9898.514244572263,9898.514244572263,115.37294599110602,115.37294599110602,4897.412548138728,4897.412548138728,1,0.5687022900763359
2024-02-15 00:00:00+00:00,0,0,0,5239362765,1089,0.0217133704572916,0.5155651928506002,87.44075775146484,69782,0.0,106253.0,0.0,26820.0,177.0,18240.0,88.81856536865234,0.0034563846420496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47127.2,410.4,30352.0,88.70464324951172,0.00761675406247372,0.0,47127.2,410.4,30352.0,88.70464324951172,0.00761675406247372,0.0,0.0,296.17076808351976,0.0,515.2542372881355,0.0,282.57675438596493,0.0,528.2104773042794,0.0,-1.5512608332151512,0.7245473810930796,0.7245473810930796,97.47981651376146,1.522620122379376,0.015605519969046902,0.0,-0.4261070251464861,-0.4261070251464861,1.0,1.0,1.0,34145.88933824978,34145.88933824978,392.28662990216736,392.28662990216736,22446.380966650282,22446.380966650282,2,1.0
2024-02-16 00:00:00+00:00,0,0,0,5239362765,1542,0.0259093958884477,0.5226895047768914,86.55461883544922,112098,0.0,180109.0,0.0,106253.0,1089.0,69782.0,87.44075775146484,0.0217133704572916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69290.83333333333,599.0,43976.333333333336,88.34630584716797,0.010665527700136049,0.0,69290.83333333333,599.0,43976.333333333336,88.34630584716797,0.010665527700136049,0.0,0.0,69.50956678870244,0.0,41.5977961432507,0.0,60.64027972829669,0.0,19.324615860118687,0.0,-1.0134163275829833,0.8989725215245788,0.8989725215245788,116.72650680492546,1.6066958670460931,0.013755698088296952,0.0,-0.5506360735211948,-0.5506360735211948,1.0,1.0,1.0,62290.555160206,62290.555160206,580.1127476620385,580.1127476620385,38946.20350517707,38946.20350517707,3,1.0
2024-02-17 00:00:00+00:00,0,1,0,5239362765,16259,0.2187280058860778,1.458164667235065,81.53367614746094,1112913,0.0,1371563.0,0.0,180109.0,1542.0,112098.0,86.55461883544922,0.0259093958884477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255329.7142857143,2836.1428571428573,196681.57142857142,87.37307303292411,0.040388738869556295,0.0,255329.7142857143,2836.1428571428573,196681.57142857142,87.37307303292411,0.040388738869556295,0.0,0.0,661.5183028055233,0.0,954.4098573281452,0.0,892.8036182625917,0.0,744.203418820748,0.0,-5.80089515215092,1.9405744149187936,1.9405744149187936,84.3519680196802,1.232406996407629,0.014609394796004004,0.0,-1.0740721566336486,-1.0740721566336486,1.0,1.0,1.0,495486.3109113827,495486.3109113827,5942.566741416581,5942.566741416581,405581.3529140844,405581.3529140844,4,1.0
2024-02-18 00:00:00+00:00,0,1,0,5239362765,16057,0.2168700844049453,0.6968499539875083,81.2273941040039,1268885,0.0,1915415.0,0.0,1371563.0,16259.0,1112913.0,81.53367614746094,0.2187280058860778,0.0,47160.0,413.0,27762.0,89.66666412353516,0.0058024898171424,0.0,522223.28571428574,5071.0,373984.85714285716,86.16746303013393,0.07054125238209957,0.0,462840.375,4488.75,330707.0,86.60486316680908,0.06244890706147992,0.0,3961.5245971162003,39.651988279065556,3787.8934624697335,-1.2423888308013997,4470.582090627477,14.014752276233633,3637.534941711438,-0.8494209388532514,-9.41182556753125,-0.37565096770945106,1.6094735087850447,1.6094735087850447,119.28104371652759,1.509524890336878,0.01265440709409671,0.0,-1.4048818860735193,-1.2281880151657816,0.994949473728367,1.1283010599805294,1.1295834579242976,744929.3223586358,744929.3223586358,7219.287435157889,7219.287435157889,533572.203066946,533572.203066946,5,1.0
2024-02-19 00:00:00+00:00,0,0,1,5239362765,12526,0.1979695409536361,0.3319640665512207,80.96041107177734,876327,0.0,1437997.0,0.0,1915415.0,16057.0,1268885.0,81.2273941040039,0.2168700844049453,0.0,27066.0,199.0,18851.0,88.62782287597656,0.0038009451236575,0.0,723784.8571428572,6832.0,496481.4285714286,85.0721184866769,0.09827962321495365,0.0,571191.1111111111,5381.777777777777,391331.44444444444,85.97770182291667,0.0775067552717195,0.0,5212.9276583167075,-24.925042353745795,6194.472361809045,-21.99040916734135,4548.702986578962,-30.937240175429615,5108.429338309882,-8.71514552279955,-8.651246928324973,-0.3286859503146444,1.3461417498243589,1.3461417498243589,114.7918096910673,1.640934672862216,0.014293734765978035,0.0,-1.6113003322056283,-1.2360284169514957,0.9894672302580854,1.2671500712518313,1.2680136443644119,768904.2017952309,768904.2017952309,7265.041960955521,7265.041960955521,531215.3925459783,531215.3925459783,5,0.750749576462542
2024-02-20 00:00:00+00:00,0,0,0,5239362765,8611,0.1744370311498642,0.2037297351721646,81.05985260009766,646796,0.0,1115549.0,0.0,1437997.0,12526.0,876327.0,80.96041107177734,0.1979695409536361,0.0,28337.0,174.0,17125.0,88.96940612792969,0.0033105802722275,0.0,879100.8571428572,8037.285714285715,586434.4285714285,83.94218226841518,0.12272625905461602,0.0,625626.9,5704.7,416877.9,85.48591690063476,0.08719978285953398,0.0,3836.7223065250378,-22.423412566229274,4848.850574712644,-31.254989621587104,3676.9109489051098,-26.192391652887558,5169.077225319641,-11.886934571052599,-8.890194811977093,0.12282735105204612,1.1909458975218636,1.1909458975218636,129.5342545285648,1.7247281604583817,0.013313296134645028,0.0,-1.484430585588722,-1.1671760790275758,0.9819416497103967,1.4051519478188312,1.4074147323544368,745087.7899343212,745087.7899343212,6925.2498238130165,6925.2498238130165,507308.1762765005,507308.1762765005,5,0.5824059015931273
