timestamp,isSummer,isWeekend,isHoliday,universe_id,session_session_length,visits_visits_gained,ratings_like_ratio,ccu_playing,platform_platform_share,daily_rpv,daily_Estimated Revenue,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2020-06-17 00:00:00+00:00,1,0,0,1016936714,0.0,212209,87.08296203613281,7655,0.2637376189231872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7655.0,212209.0,87.08296203613281,0.2637376189231872,0.0,0.0,7655.0,212209.0,87.08296203613281,0.2637376189231872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03607275811695961,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2020-06-18 00:00:00+00:00,1,0,0,1016936714,0.0,314738,87.10327911376953,8860,0.2932801842689514,0.0,0.0,0.0,0.0,7655.0,212209.0,87.08296203613281,0.2637376189231872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8257.5,263473.5,87.09312057495117,0.27850890159606934,0.0,0.0,8257.5,263473.5,87.09312057495117,0.27850890159606934,0.0,0.0,0.0,0.0,15.741345525800131,0.0,48.31510444891593,0.0,11.201498468964498,0.0,0.023330714943159414,0.0,0.0,0.0,0.0,0.02815030866845227,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,852.0636713297897,852.0636713297897,72498.95116827553,72498.95116827553,0,0.0
2020-06-19 00:00:00+00:00,1,0,0,1016936714,0.0,301781,87.08401489257812,7772,0.2604319453239441,0.0,0.0,0.0,0.0,8860.0,314738.0,87.10327911376953,0.2932801842689514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8095.666666666667,276242.6666666667,87.09008534749348,0.2724832495053609,0.0,0.0,8095.666666666667,276242.6666666667,87.09008534749348,0.2724832495053609,0.0,0.0,0.0,0.0,-12.279909706546277,0.0,-4.116757429989393,0.0,-11.200292657646438,0.0,-0.022116528088733656,0.0,0.0,0.0,0.0,0.025753689749554314,0.0,0.0005264282226509928,0.0,1.0,0.0,1.0,0.0,0.0,664.5121017207538,664.5121017207538,55831.92466979204,55831.92466979204,0,0.0
2020-06-20 00:00:00+00:00,1,1,0,1016936714,0.0,286627,87.07146453857422,6587,0.2307113260030746,0.0,0.0,0.0,0.0,7772.0,301781.0,87.08401489257812,0.2604319453239441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7718.5,278838.75,87.08543014526367,0.26204026862978935,0.0,0.0,7718.5,278838.75,87.08543014526367,0.26204026862978935,0.0,0.0,0.0,0.0,-15.247040658775092,0.0,-5.021522229696373,0.0,-11.412048273840158,0.0,-0.014411776971223755,0.0,0.0,0.0,0.0,0.02298100674044406,0.0,-0.005375671386726739,0.0,1.0,0.0,1.0,0.0,0.0,929.1948127276648,929.1948127276648,45881.30849903186,45881.30849903186,0,0.0
2020-06-21 00:00:00+00:00,1,1,0,1016936714,0.0,241153,87.06912994384766,5598,0.1949105262756347,0.0,0.0,0.0,0.0,6587.0,286627.0,87.07146453857422,0.2307113260030746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7294.4,271301.6,87.08217010498046,0.2486143201589584,0.0,0.0,7294.4,271301.6,87.08217010498046,0.2486143201589584,0.0,0.0,0.0,0.0,-15.01442234704722,0.0,-15.865218559312277,0.0,-15.517573561586994,0.0,-0.002681239759705356,0.0,0.0,0.0,0.0,0.02321338232001128,0.0,-0.005947875976562163,-0.005947875976562163,1.0,0.0,1.0,0.0,0.0,1243.7267786776965,1243.7267786776965,43160.9082712586,43160.9082712586,0,0.0
2020-06-22 00:00:00+00:00,1,0,0,1016936714,0.0,218083,87.07549285888672,5667,0.1882620453834533,0.0,0.0,0.0,0.0,5598.0,241153.0,87.06912994384766,0.1949105262756347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7023.166666666667,262431.8333333333,87.08105723063152,0.2385556076963742,0.0,0.0,7023.166666666667,262431.8333333333,87.08105723063152,0.2385556076963742,0.0,0.0,0.0,0.0,1.2325830653804992,0.0,-9.566540743843122,0.0,-3.4110425020244306,0.0,0.007307888620422531,0.0,0.0,0.0,0.0,0.025985400121054273,0.0,-0.004352678571428271,-0.004352678571428271,1.0,0.0,1.0,0.0,0.0,1295.7199414482536,1295.7199414482536,44298.16888503029,44298.16888503029,0,0.0
2020-06-23 00:00:00+00:00,1,0,0,1016936714,0.0,205950,87.07108306884766,5294,0.1774087697267532,0.0,0.0,0.0,0.0,5667.0,218083.0,87.07549285888672,0.1882620453834533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6776.142857142857,254363.0,87.07963235037667,0.2298203451292855,0.0,0.0,6776.142857142857,254363.0,87.07963235037667,0.2298203451292855,0.0,0.0,0.0,0.0,-6.5819657667196,0.0,-5.563478125300914,0.0,-5.7649833956675,0.0,-0.00506432969171744,0.0,0.0,0.0,0.0,0.025705143456453233,0.0,-0.00378908429826926,-0.00378908429826926,1.0,0.0,1.0,0.0,0.0,1351.3772516179467,1351.3772516179467,45727.62445539165,45727.62445539165,0,0.0
2020-06-24 00:00:00+00:00,1,0,0,1016936714,0.0,205866,87.0577392578125,5178,0.1788835227489471,0.0,0.0,0.0,0.0,5294.0,205950.0,87.07108306884766,0.1774087697267532,0.0,0.0,7655.0,212209.0,87.08296203613281,0.2637376189231872,0.0,0.0,6422.285714285715,253456.85714285713,87.07602909633091,0.21769833139010836,0.0,0.0,6576.375,248300.875,87.07689571380615,0.2234532423317432,0.0,0.0,0.0,-32.35793598954931,-2.1911598035511903,-2.989034395336676,-0.04078659868900214,-32.17367947761507,0.831274025779738,-0.028964079460047643,-0.015325192434556545,0.0,0.0,0.0,0.0,0.02515216134688901,0.0,-0.00565910339355427,-0.0043504805791873226,0.9999900476760438,0.0,0.9742455697595518,0.0,0.0,1372.8034858326537,1372.8034858326537,45675.967364648415,45675.967364648415,0,0.0
2020-06-25 00:00:00+00:00,1,0,0,1016936714,0.0,214409,87.03571319580078,5070,0.1731576323509216,0.0,0.0,0.0,0.0,5178.0,205866.0,87.0577392578125,0.1788835227489471,0.0,0.0,8860.0,314738.0,87.10327911376953,0.2932801842689514,0.0,0.0,5880.857142857143,239124.14285714287,87.06637682233539,0.20053796683038977,0.0,0.0,6409.0,244535.11111111112,87.07231987847223,0.217864841222763,0.0,0.0,0.0,-42.7765237020316,-2.085747392815762,-31.87698975020493,4.149786754490781,-40.958291204519945,-3.200904314737496,-0.07756989019953586,-0.02530052146942907,0.0,0.0,0.0,0.0,0.023646285154610328,0.0,-0.006085804530549867,-0.005790837605797224,0.9999317457471544,0.0,0.9204696164138902,0.0,0.0,1378.8202384647534,1378.8202384647534,44194.29877666473,44194.29877666473,0,0.0
2020-06-26 00:00:00+00:00,1,0,0,1016936714,0.0,358039,86.98529052734375,8495,0.2882584631443023,0.0,0.0,0.0,0.0,5070.0,214409.0,87.03571319580078,0.1731576323509216,0.0,0.0,7772.0,301781.0,87.08401489257812,0.2604319453239441,0.0,0.0,5984.142857142857,247161.0,87.05227334158761,0.20451318366186952,0.0,0.0,6617.6,255885.5,87.06361694335938,0.22490420341491696,0.0,0.0,0.0,9.302624806999482,67.55424063116371,18.641995354246955,66.9887924480782,10.684755967915383,66.47170513403482,-0.11336680486786488,-0.057933308759816615,0.0,0.0,0.0,0.0,0.02372639928499609,0.0,-0.01225389753068908,-0.008958573774858956,0.9998697090452933,0.0,0.9093346436241174,0.0,0.0,1457.7539191814537,1457.7539191814537,54994.856192294115,54994.856192294115,0,0.0
