timestamp,isSummer,isWeekend,isHoliday,universe_id,daily_rpv,visits_visits_gained,session_session_length,platform_platform_share,ccu_playing,daily_Estimated Revenue,ratings_like_ratio,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2021-07-18 00:00:00+00:00,1,1,0,2380077519,0.0,39717,0.0,0.0169428400695323,691,0.0,75.36636352539062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,691.0,39717.0,75.36636352539062,0.0169428400695323,0.0,0.0,691.0,39717.0,75.36636352539062,0.0169428400695323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01739765345687094,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2021-07-19 00:00:00+00:00,1,0,0,2380077519,0.0,57172,0.0,0.015315088443458,651,0.0,75.45724487304688,0.0,0.0,691.0,39717.0,75.36636352539062,0.0169428400695323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,671.0,48444.5,75.41180419921875,0.01612896425649515,0.0,0.0,671.0,48444.5,75.41180419921875,0.01612896425649515,0.0,0.0,0.0,0.0,-5.788712011577424,0.0,43.94843517889064,0.0,-9.607312701967995,0.0,0.12058608562908191,0.0,0.0,0.0,0.0,0.011386493624613017,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,28.284271247461902,28.284271247461902,12342.548865611187,12342.548865611187,0,0.0
2021-07-20 00:00:00+00:00,1,0,0,2380077519,0.0,33779,0.0,0.0174605920910835,504,0.0,75.41704559326172,0.0,0.0,651.0,57172.0,75.45724487304688,0.015315088443458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615.3333333333334,43556.0,75.4135513305664,0.016572840201357932,0.0,0.0,615.3333333333334,43556.0,75.4135513305664,0.016572840201357932,0.0,0.0,0.0,0.0,-22.580645161290324,0.0,-40.91688238998111,0.0,14.009084280162764,0.0,-0.05327424802321623,0.0,0.0,0.0,0.0,0.01492007104795737,0.0,0.02534103393555792,0.0,1.0,0.0,1.0,0.0,0.0,98.46996157881517,98.46996157881517,12159.833592611372,12159.833592611372,0,0.0
2021-07-21 00:00:00+00:00,1,0,0,2380077519,0.0,55017,0.0,0.0175256878137588,724,0.0,75.56655883789062,0.0,0.0,504.0,33779.0,75.41704559326172,0.0174605920910835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.5,46421.25,75.45180320739746,0.01681105210445815,0.0,0.0,642.5,46421.25,75.45180320739746,0.01681105210445815,0.0,0.0,0.0,0.0,43.65079365079365,0.0,62.87338287101454,0.0,0.3728150931865848,0.0,0.19824861004933414,0.0,0.0,0.0,0.0,0.013159329673924898,0.0,0.05603866577146782,0.0,1.0,0.0,1.0,0.0,0.0,97.03779332473165,97.03779332473165,11463.550886032943,11463.550886032943,0,0.0
2021-07-22 00:00:00+00:00,1,0,0,2380077519,0.0,56241,0.0,0.0176039952784776,728,0.0,75.54838562011719,0.0,0.0,724.0,55017.0,75.56655883789062,0.0175256878137588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659.6,48385.2,75.4711196899414,0.01696964073926204,0.0,0.0,659.6,48385.2,75.4711196899414,0.01696964073926204,0.0,0.0,0.0,0.0,0.5524861878453136,0.0,2.22476689023392,0.0,0.4468153578390366,0.0,-0.024049285891691863,0.0,0.0,0.0,0.0,0.012944063155648803,0.0,0.04733581542968617,0.04733581542968617,1.0,0.0,1.0,0.0,0.0,92.327135772751,92.327135772751,10855.65507926629,10855.65507926629,0,0.0
2021-07-23 00:00:00+00:00,1,0,0,2380077519,0.0,57564,0.0,0.0177937261760234,766,0.0,75.43748474121094,0.0,0.0,728.0,56241.0,75.54838562011719,0.0176039952784776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,677.3333333333334,49915.0,75.465513865153,0.0171069883120556,0.0,0.0,677.3333333333334,49915.0,75.465513865153,0.0171069883120556,0.0,0.0,0.0,0.0,5.219780219780223,0.0,2.352376380220833,0.0,1.077771804323091,0.0,-0.14679450526434712,0.0,0.0,0.0,0.0,0.013306696777555806,0.0,0.022244044712613122,0.022244044712613122,1.0,0.0,1.0,0.0,0.0,93.30737734320189,93.30737734320189,10407.589826660158,10407.589826660158,0,0.0
2021-07-24 00:00:00+00:00,1,1,0,2380077519,0.0,59500,0.0,0.0160884279757738,676,0.0,75.53719329833984,0.0,0.0,766.0,57564.0,75.43748474121094,0.0177937261760234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,677.1428571428571,51284.28571428572,75.47575378417969,0.01696147969258677,0.0,0.0,677.1428571428571,51284.28571428572,75.47575378417969,0.01696147969258677,0.0,0.0,0.0,0.0,-11.749347258485642,0.0,3.3632131193106707,0.0,-9.583704859679399,0.0,0.13217375615179883,0.0,0.0,0.0,0.0,0.011361153594057243,0.0,0.021582467215406454,0.021582467215406454,1.0,0.0,1.0,0.0,0.0,85.17908305726347,85.17908305726347,10168.064806282555,10168.064806282555,0,0.0
2021-07-25 00:00:00+00:00,1,1,0,2380077519,0.0,58673,0.0,0.0189224947243928,801,0.0,75.48223114013672,0.0,0.0,676.0,59500.0,75.53719329833984,0.0160884279757738,0.0,0.0,691.0,39717.0,75.36636352539062,0.0169428400695323,0.0,0.0,692.8571428571429,53992.28571428572,75.49230630057198,0.017244287500423987,0.0,0.0,692.625,52207.875,75.47656345367432,0.017206606571562526,0.0,0.0,0.0,15.918958031837915,18.49112426035502,47.72767328851626,-1.3899159663865568,11.684314121694639,17.615560407061402,0.15373916071599325,-0.0727617161866867,0.0,0.0,0.0,0.0,0.01365170262808058,0.0,0.006649289812362144,0.014928091140024408,1.0002085792751723,0.0,1.0021899105267937,0.0,0.0,90.20284680334964,90.20284680334964,9769.531447128289,9769.531447128289,0,0.0
2021-07-26 00:00:00+00:00,1,0,0,2380077519,0.0,56519,0.0,0.0161236431449651,708,0.0,75.6026840209961,0.0,0.0,801.0,58673.0,75.48223114013672,0.0189224947243928,0.0,0.0,651.0,57172.0,75.45724487304688,0.015315088443458,0.0,0.0,701.0,53899.0,75.51308332170758,0.017359795314924997,0.0,0.0,694.3333333333334,52686.88888888889,75.4905768500434,0.017086277301940588,0.0,0.0,0.0,8.75576036866359,-11.610486891385763,-1.1421674945777616,-3.671194586948001,5.279464787240462,-14.791134151141971,0.19274378251408208,0.15957779604547362,0.0,0.0,0.0,0.0,0.012526539278131636,0.0,0.013466698782784321,0.018857701619465,1.0002981361727954,0.0,1.0160080518506711,0.0,0.0,84.53253811403036,84.53253811403036,9250.857547336414,9250.857547336414,0,0.0
2021-07-27 00:00:00+00:00,1,0,0,2380077519,0.0,58829,0.0,0.0178824365139007,797,0.0,75.66744995117188,0.0,0.0,708.0,56519.0,75.6026840209961,0.0161236431449651,0.0,0.0,504.0,33779.0,75.41704559326172,0.0174605920910835,0.0,0.0,742.8571428571429,57477.57142857143,75.54885537283761,0.017420058803898884,0.0,0.0,704.6,53301.1,75.50826416015624,0.0171658932231366,0.0,0.0,0.0,58.134920634920626,12.570621468926557,74.15850084371947,4.087121145101658,2.4159800573579915,10.908163577688823,0.3320262096458082,0.08566617840948254,0.0,0.0,0.0,0.0,0.013547509773924868,0.0,0.016286305018831618,0.02336231578480537,1.0005375731137889,0.0,1.014806429089266,0.0,0.0,86.05708699591344,86.05708699591344,8935.446882439002,8935.446882439002,0,0.0
