timestamp,isSummer,isWeekend,isHoliday,universe_id,daily_rpv,ratings_like_ratio,ccu_playing,daily_Estimated Revenue,platform_platform_share,session_session_length,visits_visits_gained,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2024-02-05 00:00:00+00:00,0,0,0,4491246195,0.0053395581574474,92.74098205566406,2478,459005.0,0.0494821332395076,0.0,212188,0.0,723142.0,4107.0,361012.0,92.74735260009766,0.0566906332969665,0.0,548598.0,2846.0,249323.0,92.79573059082033,0.0527061522006988,0.0,543432.5714285715,3133.4285714285716,234156.14285714287,92.77400861467633,0.05843979386346676,0.0,653554.8,3794.1,294487.1666666667,92.84321645100911,0.061019635200500445,0.0,-16.331266245957877,-36.52629773958641,-12.930428671820094,-39.66398831263697,-14.894333856082277,-41.22411443386923,-6.1169689430458085,-12.715504552044976,-0.058998980672586576,-0.006868707574936295,0.24685802056660278,0.26944494775689415,185.1573215006051,2.163189420752254,0.01167826795922503,0.0,-0.008781433105471512,-0.005970942377379677,0.9992545730428318,0.8315026856639588,0.9577211281490499,148829.73080023832,176097.03894226742,815.9908559065153,1050.016727288736,69835.96816185747,86754.97893416471,4,0.42026035715332105
2024-02-06 00:00:00+00:00,0,0,0,4491246195,0.004913203135743,92.7339859008789,2072,423673.0,0.0458728596568107,0.0,188904,0.0,459005.0,2478.0,212188.0,92.74098205566406,0.0494821332395076,0.0,512338.0,2920.0,246019.0,92.7904052734375,0.0571896396577358,0.0,530766.1428571428,3012.285714285714,225996.85714285713,92.76594870431083,0.056823111006191744,0.0,648262.7666666667,3754.766666666667,291816.2,92.83699035644531,0.06108070003489648,0.0,-17.30595817604784,-7.69751963486236,-29.04109589041096,-16.384180790960457,-23.2156865933119,-10.9732878390861,-19.788164549825638,-7.29409454767641,-0.06080302418373096,-0.007543757495431791,0.26021351431847406,0.27864488029624973,204.37674867342017,2.2427834096503534,0.010968476218204917,0.0,-0.010727201189318109,-0.0061408122468984555,0.9992347699784135,0.8187515466703643,0.9302956739809416,155078.7418345564,180635.10101834903,892.6927439857488,1092.2747754376699,72854.4678663771,88775.62443497784,4,0.38791073364390144
2024-02-07 00:00:00+00:00,0,0,0,4491246195,0.0045409373378587,92.7301788330078,2082,392674.0,0.0462051220238208,0.0,194971,0.0,423673.0,2072.0,188904.0,92.7339859008789,0.0458728596568107,0.0,490313.0,2706.0,233831.0,92.78728485107422,0.0544676780700683,0.0,516817.71428571426,2923.1428571428573,220445.42857142858,92.75779070172992,0.05564274585672781,0.0,647000.8,3743.1666666666665,291832.36666666664,92.83063049316407,0.06116381635268524,0.0,-19.913606206647593,-7.31672775938047,-23.059866962305986,0.4826254826254761,-16.618840102467168,3.2116842417312608,-15.169649852924483,0.7243114327204925,-0.061545090103753974,-0.004105364213691232,0.28150795301531173,0.28181254358732366,188.51368218915027,2.014002010545104,0.010678456393738588,0.0,-0.011511666434148898,-0.006250716263513047,0.9992153474446184,0.798789915384516,0.9097330607344445,164295.11929398315,182332.9411510333,956.6081908332175,1108.555539906509,74982.30526384794,88757.33100580628,4,0.3595283613137617
2024-02-08 00:00:00+00:00,0,0,0,4491246195,0.0048254071512214,92.7324447631836,2212,418515.0,0.0473186261951923,0.0,206261,0.0,392674.0,2082.0,194971.0,92.7301788330078,0.0462051220238208,0.0,476232.0,2725.0,228610.0,92.7917022705078,0.0550697408616542,0.0,508572.4285714286,2849.8571428571427,217252.7142857143,92.74932534354073,0.054535443761518976,0.0,646608.8,3733.733333333333,292287.36666666664,92.82439524332682,0.061209795375664976,0.0,-12.119513178450836,6.580776929463128,-18.8256880733945,6.243996157540832,-9.776037793622327,5.790604756604822,-14.075088324701202,2.4099150107155687,-0.06386078267155426,0.0024435736071248826,0.29710524435577595,0.28274734600524726,189.1165838228649,2.029045582802455,0.010724224529966742,0.0,-0.00938279288154745,-0.00627126386088814,0.9991912697132117,0.7865225907402258,0.8909594195964343,170147.12265339884,182826.92210363774,998.6350272158434,1120.6809485780009,76053.94701553899,88264.76995693198,4,0.3831881207699745
2024-02-09 00:00:00+00:00,0,0,0,4491246195,0.0052932658412068,92.72241973876952,2487,460552.0,0.0461017526686191,0.0,234333,0.0,418515.0,2212.0,206261.0,92.7324447631836,0.0473186261951923,0.0,477625.0,3043.0,140977.0,92.786376953125,0.0676835253834724,0.0,506133.4285714286,2770.4285714285716,230589.2857142857,92.74018859863281,0.05145233337368278,0.0,646457.5,3714.366666666667,293553.56666666665,92.8180435180664,0.060771481568614595,0.0,-3.574561633080342,10.044323381479758,-18.271442655274406,12.432188065099448,66.22073104123368,13.609940803157162,-31.886301123616324,-2.571658613995942,-0.06892953088123432,-0.010810697851948436,0.30650913937365537,0.28305670390953425,185.10932475884243,1.9653656746353496,0.010613056577363934,0.0,-0.006972449166432655,-0.006318299629796308,0.9991612092166279,0.7829338024099474,0.846652608190736,171957.73547789815,182984.12916759774,986.9090191541886,1137.4766229756249,74331.15398019204,87105.85625772529,4,0.4216767747795259
2024-02-10 00:00:00+00:00,0,1,0,4491246195,0.0070596691695192,92.71353912353516,3608,616682.0,0.0503917075693607,0.0,319516,0.0,460552.0,2487.0,234333.0,92.72241973876952,0.0461017526686191,0.0,665373.0,3955.0,216456.0,92.77395629882812,0.0684952065348625,0.0,499177.5714285714,2720.8571428571427,245312.14285714287,92.73155757359096,0.04886611923575396,0.0,646904.5,3713.766666666667,295517.2,92.81183191935222,0.060112926115592276,0.0,-7.317850288484806,33.90062359950667,-8.77370417193426,45.07438681141937,47.61244779539491,36.351260812604295,-26.43031517291292,9.305405223046371,-0.0651229910885398,-0.009577635332835843,0.2487549832095303,0.28271769952481357,170.87337212524244,1.930044410782525,0.01129204392880504,0.0,-0.005003792898991888,-0.0064280831376218395,0.9991350849983114,0.7716402829607328,0.8129053498708144,133725.29520487832,182891.35205224977,782.0912652962683,1137.5295883482574,74681.11577328236,87001.46087770435,4,0.5646278310040725
2024-02-11 00:00:00+00:00,0,1,0,4491246195,0.0074796163537811,92.69852447509766,3677,656502.0,0.0516604259610176,0.0,333460,0.0,616682.0,3608.0,319516.0,92.71353912353516,0.0503917075693607,0.0,723142.0,4107.0,361012.0,92.74735260009766,0.0566906332969665,0.0,489657.5714285714,2659.4285714285716,241376.14285714287,92.72458212716239,0.04814751818776126,0.0,645329.6333333333,3699.9,296202.7,92.80514221191406,0.05966566403706864,0.0,-9.215340832091067,6.457136741464797,-10.469929388848309,1.9124168514412343,-7.631879272711162,4.364100702312257,-8.873083688444282,2.517712641332115,-0.05264638141266875,-0.016194666474222963,0.1975714686789441,0.28293782442290333,178.49429037520392,1.9687519679962575,0.011026776744506854,0.0,-0.006286621093754644,-0.006556452156041371,0.9991319437389825,0.7587712482678565,0.8069552055575636,103318.92701482384,182588.16249096324,675.7545558708358,1135.2805926896976,60084.671385283946,87223.83858000393,4,0.6010866221323723
2024-02-12 00:00:00+00:00,0,0,0,4491246195,0.0052867934198958,92.68859100341795,2600,466002.0,0.0496605895459651,0.0,242353,0.0,656502.0,3677.0,333460.0,92.69852447509766,0.0516604259610176,0.0,459005.0,2478.0,212188.0,92.74098205566406,0.0494821332395076,0.0,490657.14285714284,2676.8571428571427,245685.42857142858,92.71709769112724,0.04817301194582661,0.0,628199.5666666667,3576.766666666667,288959.23333333334,92.79807586669922,0.058694161102175665,0.0,1.524384265966594,-29.017428735936836,4.92332526230832,-29.290182213761216,14.216166795483254,-27.321717747256045,0.36064796477897065,-3.8711187100190725,-0.056491802313096695,-0.01071588974684845,0.20133002512434248,0.27701767269068867,179.16262975778545,1.9228153857580235,0.010728108469429017,0.0,-0.007799965994693695,-0.0066501944163213575,0.999127372256206,0.781052978849783,0.8207462384881236,104096.6540789835,174022.38194329911,681.0801214747811,1040.5994520180031,60034.07023602458,82051.36957048005,4,0.4266667399138613
2024-02-13 00:00:00+00:00,0,0,0,4491246195,0.0052257557718091,92.68327331542967,2641,462254.0,0.050248522311449,0.0,234206,0.0,466002.0,2600.0,242353.0,92.68859100341795,0.0496605895459651,0.0,423673.0,2072.0,188904.0,92.7339859008789,0.0458728596568107,0.0,496168.71428571426,2758.1428571428573,252157.14285714287,92.70985303606305,0.04879810661077494,0.0,607201.6333333333,3458.7,279857.5333333333,92.79104614257812,0.05768449554840719,0.0,9.106315483875527,-0.8042883936120404,27.46138996138996,1.5769230769230758,23.981493245246256,-3.3616253976637367,9.538674256137547,1.1839021059943722,-0.0546860840247243,-0.0057371548436657704,0.2047381386757463,0.2516767178740064,174.96366389099168,1.973698480404087,0.011276349554026992,0.0,-0.009011404854906913,-0.006728172090081533,0.9991249898574232,0.8171399532671123,0.8459483982108321,105126.365596336,152818.5141650692,684.6842257646657,929.7308527851633,60024.78178987919,71462.35168579263,4,0.4232351088453312
2024-02-14 00:00:00+00:00,0,0,0,4491246195,0.0062194951664996,92.67617797851562,3699,552105.0,0.0722325816750526,0.0,249462,0.0,462254.0,2641.0,234206.0,92.68327331542967,0.050248522311449,0.0,392674.0,2082.0,194971.0,92.7301788330078,0.0462051220238208,0.0,518944.5714285714,2989.1428571428573,259941.57142857142,92.70213862827846,0.05251631513237948,0.0,599077.9,3416.9666666666667,276059.4,92.78401718139648,0.057802763581275896,0.0,40.60136398131784,19.437581935472714,77.6657060518732,40.060583112457394,27.948258971847096,6.513923639872599,56.33024762452414,43.75065843198853,-0.05823439054228885,-0.007655466472256123,0.20347587272378043,0.24850348772932693,149.21756756756756,2.2131738975318984,0.014827850222277452,0.0,-0.009715761457174494,-0.0068071834237477865,0.9991175360196148,0.8662388838389321,0.9085433269732305,105376.31751004595,148872.94757156094,715.4342260949657,887.5794081360064,60065.056572336616,69879.18914842186,4,0.5055017799068295
