timestamp,isSummer,isWeekend,isHoliday,universe_id,session_session_length,visits_visits_gained,daily_rpv,ratings_like_ratio,platform_platform_share,ccu_playing,daily_Estimated Revenue,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2024-11-02 00:00:00+00:00,0,1,0,5421899973,11.44199514389038,10954,0.0083483921342254,78.39244079589844,0.0036821919493377,263,27080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27080.0,263.0,10954.0,78.39244079589844,0.0036821919493377,11.44199514389038,27080.0,263.0,10954.0,78.39244079589844,0.0036821919493377,11.44199514389038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.57575757575758,2.4719306252852578,0.024007302601551803,0.00042251006771870984,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2024-11-03 00:00:00+00:00,0,1,0,5421899973,10.91899730682373,27118,0.0061803103582478,78.46044158935547,0.0024190209805965,158,20169.0,27080.0,263.0,10954.0,78.39244079589844,0.0036821919493377,11.44199514389038,0.0,0.0,0.0,0.0,0.0,0.0,23624.5,210.5,19036.0,78.42644119262695,0.0030506064649671,11.180496225357055,23624.5,210.5,19036.0,78.42644119262695,0.0030506064649671,11.180496225357055,0.0,-25.520679468242246,0.0,-39.92395437262357,0.0,147.56253423406974,0.0,-34.30486476861701,0.0,0.0867440696662003,0.20685368853437025,0.20685368853437025,126.84905660377359,0.7437221136472584,0.0058261735314723995,0.0005413484039079688,0.0,0.0,1.0,1.0,1.0,4886.81496478023,4886.81496478023,74.24621202458749,74.24621202458749,11429.674011099354,11429.674011099354,1,0.7447932053175775
2024-11-04 00:00:00+00:00,0,0,0,5421899973,9.448282996813456,26676,0.0080831693139766,78.53765869140625,0.0043963487260043,268,26586.0,20169.0,158.0,27118.0,78.46044158935547,0.0024190209805965,10.91899730682373,0.0,0.0,0.0,0.0,0.0,0.0,24611.666666666668,229.66666666666666,21582.666666666668,78.46351369222005,0.0034991872186461667,10.603091815842523,24611.666666666668,229.66666666666666,21582.666666666668,78.46351369222005,0.0034991872186461667,10.603091815842523,0.0,31.8161535029005,0.0,69.62025316455696,0.0,-1.6299137104506256,0.0,81.74082660995423,0.0,0.09841532941519127,0.15664857511459307,0.15664857511459307,98.83271375464685,0.9965888218315403,0.010046107133485775,0.00035537228708818055,0.07260894775389809,0.0,1.0,1.0,1.0,3855.38251452866,3855.38251452866,62.11548384528075,62.11548384528075,9207.348007615077,9207.348007615077,1,0.9817577548005908
2024-11-05 00:00:00+00:00,0,0,0,5421899973,9.844843943913778,29639,0.0073693117940859,78.61054229736328,0.003778635058552,202,24449.0,26586.0,268.0,26676.0,78.53765869140625,0.0043963487260043,9.448282996813456,0.0,0.0,0.0,0.0,0.0,0.0,24571.0,222.75,23596.75,78.50027084350586,0.003569049178622625,10.413529847860335,24571.0,222.75,23596.75,78.50027084350586,0.003569049178622625,10.413529847860335,0.0,-8.038065147069883,0.0,-24.626865671641795,0.0,11.10736242315189,0.0,-14.050606672726795,0.0,0.09280083869498412,0.12815746945110612,0.12815746945110612,120.4384236453202,0.8248650472334683,0.006815114709851552,0.0004026521040455533,0.07315216064452267,0.0,1.0,1.0,1.0,3148.957181883128,3148.957181883128,52.569794876272184,52.569794876272184,8528.948640756764,8528.948640756764,1,0.9028434268833088
2024-11-06 00:00:00+00:00,0,0,0,5421899973,10.616894761721293,20290,0.0061276828942455,78.63420867919922,0.0038045765832066,219,20479.0,24449.0,202.0,29639.0,78.61054229736328,0.003778635058552,9.844843943913778,0.0,0.0,0.0,0.0,0.0,0.0,23752.6,222.0,22935.4,78.52705841064453,0.0036161546595394195,10.454202830632529,23752.6,222.0,22935.4,78.52705841064453,0.0036161546595394195,10.454202830632529,0.0,-16.23788293999755,0.0,8.415841584158423,0.0,-31.54289955801478,0.0,0.6865316245845854,0.0,0.03010586257810033,0.13826614606135512,0.13826614606135512,93.08636363636364,1.009265191464196,0.010792962397121877,0.0005184030645371724,0.0633636474609311,0.0633636474609311,1.0,1.0,1.0,3284.1804609369437,3284.1804609369437,45.557655778145566,45.557655778145566,7532.870820610161,7532.870820610161,1,0.7562407680945347
2024-11-07 00:00:00+00:00,0,0,0,5421899973,10.395896037419638,23012,0.0067222732639188,78.64498901367188,0.0037588197737932,207,22615.0,20479.0,219.0,20290.0,78.63420867919922,0.0038045765832066,10.616894761721293,0.0,0.0,0.0,0.0,0.0,0.0,23563.0,219.5,22948.166666666668,78.5467135111491,0.003639932178581717,10.444485031763712,23563.0,219.5,22948.166666666668,78.5467135111491,0.003639932178581717,10.444485031763712,0.0,10.430196786952495,0.0,-5.47945205479452,0.0,13.415475603745698,0.0,-1.2026781012996368,0.0,0.013709471556633268,0.12621258789956213,0.12621258789956213,108.72596153846153,0.9827054273671403,0.00899491591709034,0.0004596699698186964,0.053055027553022716,0.053055027553022716,1.0,1.0,1.0,2973.9472086773826,2973.9472086773826,41.20558214611219,41.20558214611219,6737.677060134796,6737.677060134796,1,0.8351181683899557
2024-11-08 00:00:00+00:00,0,0,0,5421899973,9.47498643398285,36889,0.0107083990135015,78.69495391845703,0.0056146928109228,397,36322.0,22615.0,207.0,23012.0,78.64498901367188,0.0037588197737932,10.395896037419638,0.0,0.0,0.0,0.0,0.0,0.0,25385.714285714286,244.85714285714286,24939.714285714286,78.56789071219308,0.003922040840344729,10.305985232080731,25385.714285714286,244.85714285714286,24939.714285714286,78.56789071219308,0.003922040840344729,10.305985232080731,0.0,60.61021445942958,0.0,91.78743961352657,0.0,60.30332000695289,0.0,49.3738234024653,0.0,0.06353221662536157,0.21800074222204355,0.21800074222204355,91.26130653266331,0.9846028734074275,0.010761724044456493,0.00026085363086702227,0.04904229300362909,0.04904229300362909,1.0,1.0,1.0,5534.104556122448,5534.104556122448,76.91429986556156,76.91429986556156,8099.017033243103,8099.017033243103,2,1.0
2024-11-09 00:00:00+00:00,0,1,0,5421899973,10.27141042550405,38825,0.0126785334670661,78.73734283447266,0.0029903373215347,254,43535.0,36322.0,397.0,36889.0,78.69495391845703,0.0056146928109228,9.47498643398285,27080.0,263.0,10954.0,78.39244079589844,0.0036821919493377,11.44199514389038,27736.428571428572,243.57142857142858,28921.285714285714,78.6171624319894,0.0038232044649443,10.138758843739827,27654.375,246.0,26675.375,78.58907222747803,0.003805577900493475,10.301663381258647,60.764401772525844,19.85848796872418,-3.4220532319391594,-36.02015113350126,254.43673543910901,5.248176963322404,-18.789205921962893,-46.74085613878448,0.43996849067653443,0.05386484635285793,0.29692644250707706,0.29692644250707706,170.72549019607843,1.1212847061247617,0.0065420079328285165,0.00023592912590738812,0.042133603777205146,0.04681587219238678,1.0003574314305437,1.0029671099574144,1.0046317707616863,8211.315188506649,8211.315188506649,71.28213561014329,71.28213561014329,8962.34564222527,8962.34564222527,3,1.0
2024-11-10 00:00:00+00:00,0,1,0,5421899973,10.162588596343994,37754,0.0106239063179145,78.81855010986328,0.0041054901666939,280,36861.0,43535.0,254.0,38825.0,78.73734283447266,0.0029903373215347,10.27141042550405,20169.0,158.0,27118.0,78.46044158935547,0.0024190209805965,10.91899730682373,30121.0,261.0,30440.714285714286,78.66832079206195,0.0040641286343867855,10.030700456528438,28677.333333333332,249.77777777777777,27906.333333333332,78.61456976996527,0.003838901485626855,10.28621062737924,82.76067231890525,-15.330194096703798,77.21518987341771,10.236220472440948,39.221181503060684,-2.758531873792658,69.71701360281457,37.29187463663401,0.4564192008784218,0.10313692647889727,0.28842866562827735,0.28842866562827735,131.1779359430605,0.97632101708383,0.007416236260098,0.0002756928163513644,0.041322163173135605,0.04806963602701689,1.000683728502922,1.0503417333085363,1.0586696870454213,8271.364987110652,8271.364987110652,67.6346393828225,67.6346393828225,9160.813842121233,9160.813842121233,3,0.846698059032962
2024-11-11 00:00:00+00:00,0,0,1,5421899973,9.742798646291098,34711,0.0061876235998153,78.86141967773438,0.0043303864076733,270,21695.0,36861.0,280.0,37754.0,78.81855010986328,0.0041054901666939,10.162588596343994,26586.0,268.0,26676.0,78.53765869140625,0.0043963487260043,9.448282996813456,29422.285714285714,261.2857142857143,31588.571428571428,78.71457236153739,0.0040547054460537855,10.072774120739528,27979.1,251.8,28586.8,78.63925476074219,0.0038880499778315,10.231869429270427,-18.396900624388778,-41.143756273568265,0.746268656716409,-3.57142857142857,30.1207077522867,-8.060073104836574,-1.5003886734651917,5.477938853778963,0.41223661581288873,0.05439020105209025,0.28967617179097627,0.28967617179097627,80.05535055350553,0.625,0.007778289928554966,0.00044905967211887436,0.0433453151157903,0.04842427571614822,1.0009577608666862,1.0515808483577282,1.0428635097728953,8104.878578156903,8104.878578156903,64.08640001331536,64.08640001331536,8900.918938826235,8900.918938826235,3,0.4983346732514069
