timestamp,isSummer,isWeekend,isHoliday,universe_id,daily_rpv,ratings_like_ratio,platform_platform_share,ccu_playing,session_session_length,daily_Estimated Revenue,visits_visits_gained,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-08-31 00:00:00+00:00,1,1,0,8343243056,0.0111163513730621,98.20477294921876,0.0163939576596021,2167,52.79455057779948,100397,26897,485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100397.0,2167.0,26897.0,98.20477294921876,0.0163939576596021,52.79455057779948,100397.0,2167.0,26897.0,98.20477294921876,0.0163939576596021,52.79455057779948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.30857933579336,3.732507993159343,0.08056361067737378,0.0005258526123807195,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-09-01 00:00:00+00:00,0,0,1,8343243056,0.0126234299901993,98.18904113769533,0.018401451408863,2374,12.67798113822937,117071,463431,476,100397.0,2167.0,26897.0,98.20477294921876,0.0163939576596021,52.79455057779948,0.0,0.0,0.0,0.0,0.0,0.0,108734.0,2270.5,245164.0,98.19690704345705,0.01739770453423255,32.73626585801442,108734.0,2270.5,245164.0,98.19690704345705,0.01739770453423255,32.73626585801442,0.0,16.608065978067078,0.0,9.55237655745269,0.0,1622.983975908094,0.0,12.245327156161668,0.0,-0.016019396054789414,0.1084324909366389,0.1084324909366389,49.293052631578945,0.2526174282311105,0.005122650140689465,0.00010829217181076065,0.0,0.0,1.0,1.0,1.0,11790.298469504494,11790.298469504494,146.37110370561533,146.37110370561533,308676.15161848837,308676.15161848837,2,1.0
2025-09-02 00:00:00+00:00,0,0,0,8343243056,0.0152646536022774,98.18395233154295,0.0203389301896095,2267,11.238951226075493,148537,427386,416,117071.0,2374.0,463431.0,98.18904113769533,0.018401451408863,12.67798113822937,0.0,0.0,0.0,0.0,0.0,0.0,122001.66666666667,2269.3333333333335,305904.6666666667,98.19258880615234,0.018378113086024866,25.57049431403478,122001.66666666667,2269.3333333333335,305904.6666666667,98.19258880615234,0.018378113086024866,25.57049431403478,0.0,26.877706690811554,0.0,-4.507160909856777,0.0,-7.777856897790613,0.0,10.528945449451443,0.0,-0.0051826620297013015,0.20037290179624453,0.20037290179624453,65.49250440917108,0.3475468369416945,0.0053043260557761466,7.566381145616268e-05,-0.010410308837911327,0.0,1.0,1.0,1.0,24445.82797397816,24445.82797397816,103.51972436851507,103.51972436851507,242298.92498798532,242298.92498798532,3,1.0
2025-09-03 00:00:00+00:00,0,0,0,8343243056,0.0154497064475561,98.19271850585938,0.0206194687634706,2308,9.821526328722635,156647,386540,380,148537.0,2267.0,427386.0,98.18395233154295,0.0203389301896095,11.238951226075493,0.0,0.0,0.0,0.0,0.0,0.0,130663.0,2279.0,326063.5,98.1926212310791,0.0189384520053863,21.633252317706745,130663.0,2279.0,326063.5,98.1926212310791,0.0189384520053863,21.633252317706745,0.0,5.459919077401598,0.0,1.8085575650639507,0.0,-9.557168461297284,0.0,1.3793182396801829,0.0,0.008928316805612013,0.20226578756527347,0.20226578756527347,67.8419229103508,0.40525325903332376,0.005970906061711435,6.269806399521625e-05,-0.004125213623061588,0.0,1.0,1.0,1.0,26428.654600641326,26428.654600641326,86.70640114778146,86.70640114778146,201902.68351939588,201902.68351939588,4,1.0
2025-09-04 00:00:00+00:00,0,0,0,8343243056,0.0160627778510826,98.21065521240234,0.0224699154496192,2571,30.53254477183024,168716,366949,341,156647.0,2308.0,386540.0,98.19271850585938,0.0206194687634706,9.821526328722635,0.0,0.0,0.0,0.0,0.0,0.0,138273.6,2337.4,334240.6,98.19622802734375,0.019644744694232878,23.413110808531442,138273.6,2337.4,334240.6,98.19622802734375,0.019644744694232878,23.413110808531442,0.0,7.704584192483743,0.0,11.395147313691512,0.0,-5.06829823562891,0.0,8.974269450757365,0.0,0.018266839757474784,0.20626675274921658,0.20626675274921658,65.59720062208397,0.4597792614797656,0.007006404142253713,0.00018096898813889674,0.001544189453115036,0.001544189453115036,1.0,1.0,1.0,28521.246462944073,28521.246462944073,150.63631700224215,150.63631700224215,175806.27130822153,175806.27130822153,5,1.0
2025-09-05 00:00:00+00:00,0,0,0,8343243056,0.016360591409642,98.22840118408205,0.0271854549646377,3864,38.56755048578436,178998,486501,317,168716.0,2571.0,366949.0,98.21065521240234,0.0224699154496192,30.53254477183024,0.0,0.0,0.0,0.0,0.0,0.0,145061.0,2591.8333333333335,359617.3333333333,98.20159022013347,0.02090152973930035,25.938850754740262,145061.0,2591.8333333333335,359617.3333333333,98.20159022013347,0.02090152973930035,25.938850754740262,0.0,6.094264918561376,0.0,50.29171528588099,0.0,32.580004305775454,0.0,20.98601361269661,0.0,0.018069293643674378,0.2099093709262838,0.2099093709262838,46.31254851228978,0.367928600499073,0.007942413391928502,0.00021546237959868132,0.005478559221543904,0.005478559221543904,1.0,1.0,1.0,30449.663255937656,30449.663255937656,637.6291764549883,637.6291764549883,169086.2134920132,169086.2134920132,6,1.0
2025-09-06 00:00:00+00:00,0,1,0,8343243056,0.0196119144933662,98.27872467041016,0.0325080826878547,5209,15.974812643868583,227764,720003,300,178998.0,3864.0,486501.0,98.22840118408205,0.0271854549646377,38.56755048578436,0.0,0.0,0.0,0.0,0.0,0.0,156875.7142857143,2965.714285714286,411101.0,98.21260942731585,0.02255960873195097,24.51541673890145,156875.7142857143,2965.714285714286,411101.0,98.21260942731585,0.02255960873195097,24.51541673890145,0.0,27.243879819886253,0.0,34.80848861283643,0.0,47.99620144665684,0.0,19.57895400367795,0.0,0.051231095814952,0.2666453529440709,0.2666453529440709,43.71669865642994,0.3163371314603808,0.00723468202954428,7.01372583314758e-05,0.011688504900252396,0.011688504900252396,1.0,1.0,1.0,41830.18020406751,41830.18020406751,1147.7447036522994,1147.7447036522994,205861.84330354506,205861.84330354506,7,1.0
2025-09-07 00:00:00+00:00,0,1,0,8343243056,0.0220724759475154,98.3030776977539,0.0270254388451576,3323,15.156528256156228,274712,843968,276,227764.0,5209.0,720003.0,98.27872467041016,0.0325080826878547,15.974812643868583,100397.0,2167.0,26897.0,98.20477294921876,0.0163939576596021,52.79455057779948,181777.85714285713,3130.8571428571427,527825.4285714285,98.22665296282086,0.0240783917584589,19.13855640723813,171605.25,3010.375,465209.375,98.2239179611206,0.0231178374961018,23.3455556785583,173.62570594738887,20.61256388191286,53.34563913244117,-36.20656555960837,3037.7774472989554,17.217289372405386,64.84999782421994,-16.865478949779657,0.10010180318422712,0.024779551653142384,0.33146541212624475,0.33146541212624475,82.64500601684718,0.32550010723142675,0.003937348409716471,5.517222794755337e-05,0.020262037004740052,0.015331359136676895,1.0000278445592177,1.0592791137966766,1.0415503510014321,56881.20491427726,56881.20491427726,1070.0870375147729,1070.0870375147729,244431.3227817566,244431.3227817566,8,1.0
2025-09-08 00:00:00+00:00,0,0,0,8343243056,0.0259018452648905,98.30972290039062,0.0302448142319917,3277,14.056015636609947,337714,467178,236,274712.0,3323.0,843968.0,98.3030776977539,0.0270254388451576,15.156528256156228,117071.0,2374.0,463431.0,98.18904113769533,0.018401451408863,12.67798113822937,213298.2857142857,3259.8571428571427,528360.7142857143,98.24389321463448,0.02577030073319157,19.335418478435354,190061.77777777778,3040.0,465428.1111111111,98.23345184326172,0.023909723800089565,22.313384562786258,188.46939036994647,22.933836162963384,38.03706823925863,-1.38429130303942,0.8085346038568808,-44.645057632516874,64.36102544294076,11.912388935770956,0.12290756819395288,0.006759913109899429,0.4040307818475757,0.4040307818475757,103.02440512507627,0.7228792390068903,0.007014442001887927,4.16209396580251e-05,0.023789269583567318,0.016452280680332842,1.00010629140254,1.1222576585791821,1.0778167472221087,76790.80867489574,76790.80867489574,1004.9125583850567,1004.9125583850567,228645.50776608562,228645.50776608562,9,1.0
2025-09-09 00:00:00+00:00,0,0,0,8343243056,0.0277924115042612,98.32867431640624,0.0362914875149726,3767,14.322551354118016,376047,548427,217,337714.0,3277.0,467178.0,98.30972290039062,0.0302448142319917,14.056015636609947,148537.0,2267.0,427386.0,98.18395233154295,0.0203389301896095,11.238951226075493,245799.7142857143,3474.1428571428573,545652.2857142857,98.26456778390067,0.02804923749395773,19.77593278244143,208660.3,3112.7,473728.0,98.24297409057617,0.02514790017157787,21.514301241919433,153.1672243279452,11.350728723120751,66.16674018526687,14.952700640830031,28.32123654027039,17.39144394641872,78.43361069950838,19.992429897568954,0.14739881765462037,0.019277255043026464,0.4470299870472467,0.4470299870472467,99.80015923566879,0.685681620923804,0.0068687229681927255,3.808702972524256e-05,0.02430997576031979,0.017159248120856837,1.0002197988560952,1.1779898441903625,1.1153709575187096,93277.41120627461,93277.41120627461,974.9341915112926,974.9341915112926,217160.99500754426,217160.99500754426,10,1.0
