timestamp,isSummer,isWeekend,isHoliday,universe_id,ratings_like_ratio,platform_platform_share,daily_Estimated Revenue,ccu_playing,session_session_length,visits_visits_gained,daily_rpv,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2024-06-08 00:00:00+00:00,1,1,0,4165164803,69.9562759399414,0.4156959056854248,746149.0,8331,15.200719157854715,700074,0.0234724400916157,0.0,627695.0,7626.0,592504.0,69.76789855957031,0.4099203944206238,15.097137133280436,362869.0,3786.0,320612.0,68.00347137451172,0.1967276036739349,16.124459544817608,554579.2857142857,7554.571428571428,576460.4285714285,68.8568834577288,0.4243257450205939,14.986345637412299,462105.36666666664,5997.366666666667,467847.56666666665,72.81839396158854,0.23007456250488756,7.606524023934017,105.62489493453562,18.871267096280842,120.0475435816165,9.244689221085768,118.35552006787017,18.15515169517843,111.3053267168433,1.408934842816012,2.8716248243786158,0.2700058110683301,0.5319586431934941,0.5612856192675996,89.55220835333654,1.0658129486126486,0.011900153554976253,2.037220285177875e-05,0.34850338527134644,-0.39673557981633206,0.94559739252215,1.2001143585816085,1.8442966506198606,290367.04158804467,259373.09689638115,4403.372322174481,3558.1143154217516,382418.38417930127,328309.4012242933,14,0.6098863598281216
2024-06-09 00:00:00+00:00,1,1,0,4165164803,70.23522186279297,0.4362692832946777,818851.0,8281,15.917519569396973,736653,0.0251866296905371,0.0,746149.0,8331.0,700074.0,69.9562759399414,0.4156959056854248,15.200719157854715,366809.0,3718.0,319043.0,68.13275909423828,0.207018107175827,16.44469952583313,619156.7142857143,8206.42857142857,636119.0,69.15723528180804,0.4570759130375725,14.911034215064277,479110.4666666667,6098.5,480343.9666666667,72.59768803914388,0.2348550447573264,7.731999449124412,123.23634371021433,9.743630293681282,122.7272727272727,-0.6001680470531734,130.89458160812177,5.225019069412662,110.73967357074733,4.949141265976675,3.085832419683232,0.3987432422661197,0.5351202906942354,0.5543957193024104,98.87116638493117,1.1115815566059506,0.011241369761109015,1.9438823583989502e-05,0.39273616245815024,-0.3855528919529722,0.9526093343980764,1.2923047133438696,1.9462043640998425,298181.4866330255,265616.79179298016,4410.889574752389,3579.1071873612136,383894.3336004777,331253.732627452,14,0.6693114319413646
2024-06-10 00:00:00+00:00,1,0,0,4165164803,70.38652038574219,0.3668379485607147,581967.0,6608,15.806028842926024,523542,0.0175550554931409,0.0,818851.0,8281.0,736653.0,70.23522186279297,0.4362692832946777,15.917519569396973,267712.0,3720.0,238875.0,68.2172622680664,0.2177747040987014,15.845083435376486,664050.2857142857,8619.0,676785.7142857143,69.46712929861886,0.47837066224643154,14.905454987571355,482630.7,6151.366666666667,479945.26666666666,72.38504079182943,0.23818018424014248,7.833451738811675,117.3854739421468,-28.928828321636047,77.63440860215054,-20.202874049027898,119.16985871271586,-28.929631726199446,68.44837424022114,-15.914788730854934,3.179925499137548,0.21541687907640217,0.5283840575236035,0.551722190821544,88.0567408079891,1.1115935080786106,0.012621694875110544,2.7159618472022557e-05,0.39016342163086504,-0.37107193960628954,0.9596890260571639,1.3758973179996334,2.0084402225674647,297697.0882996838,266278.0671617353,4410.116579780259,3574.368190934983,383303.459253039,331192.24588436,14,0.47568747685796325
2024-06-11 00:00:00+00:00,1,0,0,4165164803,70.50704956054688,0.3443229496479034,479805.0,5942,15.07504669825236,463259,0.0142653480521315,0.0,581967.0,6608.0,523542.0,70.38652038574219,0.3668379485607147,15.806028842926024,252207.0,3272.0,223270.0,68.23162841796875,0.1974936127662658,15.843090375264486,696564.2857142857,9000.42857142857,711069.8571428572,69.7921894618443,0.4993462818009512,14.795734462283905,482947.2,6187.833333333333,478068.2,72.17841466267903,0.23940007773538427,7.904577027616047,90.24253886688317,-17.554603611544984,81.60146699266504,-10.078692493946729,107.48824293456352,-11.514453472691777,74.3463724345407,-6.137587182882454,3.334848068757057,0.17123900164994765,0.44949970272618683,0.5513409342698348,80.73447753659768,1.0357142857142858,0.012826490523680007,3.141904581904428e-05,0.32508332388742184,-0.3533894421128719,0.9669399056215547,1.4423197519610542,2.085823390387086,229377.38658841627,266268.56045100075,3887.9747517608257,3566.183636590391,270355.0635626037,331119.48773916677,14,0.39218242586578805
2024-06-12 00:00:00+00:00,1,0,0,4165164803,70.62456512451172,0.3221095502376556,467638.0,5553,14.9972771803538,442367,0.0137158246580325,0.0,479805.0,5942.0,463259.0,70.50704956054688,0.3443229496479034,15.07504669825236,625238.0,17830.0,795965.0,68.27445983886719,1.0351077318191528,13.96452291806539,674050.0,7246.571428571428,660555.8571428572,70.12791878836495,0.39748939871788025,14.943270785467965,490291.76666666666,6227.7,482815.6,71.97532501220704,0.24066088882585362,8.01203322164596,-25.20640140234599,-2.5358218442909086,-68.85586090858105,-6.5466173005721995,-44.423812604825585,-4.509788260994386,-68.88154340499773,-6.45132699779748,3.4421440919356394,0.1666720770437724,0.4438191105046549,0.5355127147527835,84.19841555635578,1.0571243851273149,0.012552897135416666,3.207020197279055e-05,0.1974479130336241,-0.3321119331809659,0.9743327838599025,1.3747936347833158,1.6516576526296736,228135.54483858185,262557.47498860495,3833.5941511047563,3551.666380631823,269043.973170652,329494.5924290296,14,0.3822373782412134
2024-06-13 00:00:00+00:00,1,0,0,4165164803,70.70791625976562,0.3108009397983551,444756.0,5379,15.142989794413248,417528,0.0128821401630874,0.0,467638.0,5553.0,442367.0,70.62456512451172,0.3221095502376556,14.9972771803538,996245.0,8385.0,1165492.0,69.41790008544922,0.4872697591781616,12.509166916211448,595265.8571428572,6817.142857142857,553703.8571428572,70.3122068132673,0.3722795673779079,15.31953119663965,497663.86666666664,6278.266666666666,486972.73333333334,71.77488250732422,0.24270549652477102,8.154784894178784,-55.3567646512655,-4.893101073907591,-35.84973166368515,-3.133441383036195,-64.17581587861608,-5.615021011965182,-36.21583651680788,-3.5107963830805056,1.858333618171204,0.11802003326597532,0.42050522057242895,0.5181690566718113,82.66840148698884,1.0652098417115936,0.012882937472606694,3.404778293408141e-05,0.15815925598144806,-0.30755865077951083,0.9796213432476512,1.1961203073269613,1.533873656379728,220597.06874838343,257874.01633031273,3760.934329786551,3527.5405805073947,262827.9090329693,327797.1048631836,14,0.3635341169816163
2024-06-14 00:00:00+00:00,1,0,0,4165164803,70.887939453125,0.3275583684444427,515048.0,6288,15.00550107161204,490104,0.0147292436217725,0.0,444756.0,5379.0,417528.0,70.70791625976562,0.3108009397983551,15.142989794413248,627695.0,7626.0,592504.0,69.76789855957031,0.4099203944206238,15.097137133280436,579173.4285714285,6626.0,539075.2857142857,70.47221265520368,0.36051356366702486,15.306440330687023,508998.6666666667,6380.7,496400.13333333336,71.58072967529297,0.24616651323934394,8.304531092113919,-17.946136260444955,15.80462096070654,-17.545239968528715,16.899051868377015,-17.282583746270063,17.382307294361098,-20.09220011914521,5.391691755166406,1.605381438568565,0.2546011859520858,0.39219838743065194,0.4922850407667935,81.89664493560184,1.0508931759520919,0.01282990379612532,2.913412330013657e-05,0.1420865740094929,-0.27922816122731836,0.9845137507661939,1.1378682627291006,1.4645109886107988,211590.7218629609,250572.42937024357,3663.769845121546,3479.815930030863,254757.67963323471,323514.8527816402,14,0.4209893062334123
2024-06-15 00:00:00+00:00,1,1,0,4165164803,71.00618743896484,0.2223822772502899,570017.0,5031,15.34386694431305,530445,0.0160559830880703,0.0,515048.0,6288.0,490104.0,70.887939453125,0.3275583684444427,15.00550107161204,746149.0,8331.0,700074.0,69.9562759399414,0.4156959056854248,15.200719157854715,554011.7142857143,6154.571428571428,514842.5714285714,70.62220001220703,0.33289733103343416,15.326890014466784,520861.93333333335,6489.8,508365.4666666667,71.39202372233073,0.25223088736335436,8.81599332359102,-23.605472901525026,10.672597505475224,-39.611091105509544,-19.990458015267176,-24.23015281241697,8.23111013172715,-46.50361617499878,-32.10911438276741,1.500811020765025,0.1668097376677613,0.37063722575998154,0.46937761193376987,113.27841812400636,1.0745994879780412,0.009484471557896562,2.691821476569696e-05,0.1255929129464317,-0.2478546346254933,0.9892169507182228,1.0636440846045976,1.3198119172212035,205442.54637124186,244480.93041520644,3600.4457141664166,3379.755647155984,247518.86212375495,317668.6666933648,14,0.4659198004287969
2024-06-16 00:00:00+00:00,1,1,0,4165164803,71.11848449707031,0.2593051195144653,490417.0,5236,15.582163691520693,452852,0.0136290961537305,0.0,570017.0,5031.0,530445.0,71.00618743896484,0.2223822772502899,15.34386694431305,818851.0,8281.0,736653.0,70.23522186279297,0.4362692832946777,15.917519569396973,507092.5714285714,5719.571428571428,474299.5714285714,70.74838038853237,0.3076167362076895,15.27898203191303,528414.2,6555.7,517527.7,71.20635604858398,0.2587621971964836,9.335398779975042,-40.10912852277154,-13.96449579573943,-36.770921386306,4.074736632876164,-38.5257373553084,-14.62790675753377,-40.56305831201096,16.603320516688,1.2575779087063088,0.15815108817383017,0.353972191691523,0.4536609444457211,93.64464388008402,1.0829496547444757,0.011562250884945004,3.177322955421843e-05,0.12348365783691652,-0.21309187977146735,0.993568331740791,0.9596497812295193,1.188800912731892,199330.464027649,239720.88503053013,3520.6950799740985,3333.546109703187,240581.67485218254,311719.3791504488,14,0.40085644948640003
2024-06-17 00:00:00+00:00,1,0,0,4165164803,71.23615264892578,0.6979213356971741,653754.0,14561,13.857420126597086,753595,0.0179344066357701,0.0,490417.0,5236.0,452852.0,71.11848449707031,0.2593051195144653,15.582163691520693,581967.0,6608.0,523542.0,70.38652038574219,0.3668379485607147,15.806028842926024,517347.85714285716,6855.714285714285,507164.28571428574,70.86975642613002,0.3549143629414694,15.000609358151753,534308.7666666667,6809.733333333334,531176.5,71.02103169759114,0.2788143038749694,9.797312784194947,12.335235503043984,33.30573777010177,120.35411622276028,178.09396485867074,43.94165129063188,66.41088037592854,90.25330897074906,169.1506195496617,1.207095134874292,0.16545368294555995,0.3067514730228456,0.4502706144259229,44.89451998351875,0.867512566414896,0.019322024002250544,2.1196656433368903e-05,0.12405068533761163,-0.17435118067383756,0.9978699933266916,0.9682563517914525,1.2729417322169598,181197.8102739414,240583.53666015711,3921.896805749104,3640.1236899535343,227494.63432860925,312827.63961554115,14,0.5343646473868809
