timestamp,isSummer,isWeekend,isHoliday,universe_id,ccu_playing,platform_platform_share,ratings_like_ratio,daily_rpv,visits_visits_gained,session_session_length,daily_Estimated Revenue,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-09-01 00:00:00+00:00,0,0,1,8279026449,1664,0.0127402190119028,97.19298553466795,0.0849771301920748,232366,13.817357833568868,191878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191878.0,1664.0,232366.0,97.19298553466795,0.0127402190119028,13.817357833568868,191878.0,1664.0,232366.0,97.19298553466795,0.0127402190119028,13.817357833568868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.24204204204204,0.825754087284339,0.007161085696333817,7.201078718134277e-05,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-09-02 00:00:00+00:00,0,0,0,8279026449,1531,0.0130359614267945,97.13206481933594,0.0622410066023704,347774,10.168355743090313,158505,0.0,191878.0,1664.0,232366.0,97.19298553466795,0.0127402190119028,13.817357833568868,0.0,0.0,0.0,0.0,0.0,0.0,175191.5,1597.5,290070.0,97.16252517700195,0.01288809021934865,11.99285678832959,175191.5,1597.5,290070.0,97.16252517700195,0.01288809021934865,11.99285678832959,0.0,-17.3928225226446,0.0,-7.992788461538458,0.0,49.666474441183304,0.0,2.3213291279796433,0.0,-0.06268015638873914,0.13469988331933141,0.13469988331933141,103.46279373368147,0.4557688160448566,0.004402271583638847,6.41512355563216e-05,0.0,0.0,1.0,1.0,1.0,23598.27460853865,23598.27460853865,94.04520189781083,94.04520189781083,81605.77940317708,81605.77940317708,1,0.826071774773554
2025-09-03 00:00:00+00:00,0,0,0,8279026449,1501,0.013982524164021,96.99031829833984,0.0500048834997624,350239,9.44873305161794,144476,454.0,158505.0,1531.0,347774.0,97.13206481933594,0.0130359614267945,10.168355743090313,0.0,0.0,0.0,0.0,0.0,0.0,164953.0,1565.3333333333333,310126.3333333333,97.10512288411458,0.013252901534239433,11.14481554275904,164953.0,1565.3333333333333,310126.3333333333,97.10512288411458,0.013252901534239433,11.14481554275904,0.0,-8.850824895113718,0.0,-1.9595035924232507,0.0,0.7087936418478602,0.0,7.261165526931568,0.0,-0.14593174896440075,0.14761748623750381,0.14761748623750381,96.18908122503329,0.412505710370032,0.004285632708999543,6.53995656860119e-05,-0.10133361816407171,0.0,1.0,1.0,1.0,24349.947207334968,24349.947207334968,86.75444272965696,86.75444272965696,67353.7017270271,67353.7017270271,1,0.7529576084803886
2025-09-04 00:00:00+00:00,0,0,0,8279026449,1854,0.0179521664977073,97.04373168945312,0.044518567650154,405930,11.76370765765508,144646,449.0,144476.0,1501.0,350239.0,96.99031829833984,0.013982524164021,9.44873305161794,0.0,0.0,0.0,0.0,0.0,0.0,159876.25,1637.5,334077.25,97.08977508544922,0.0144277177751064,11.299538571483051,159876.25,1637.5,334077.25,97.08977508544922,0.0144277177751064,11.299538571483051,0.0,0.11766660206540269,0.0,23.517654896735518,0.0,15.900856272431119,0.0,28.39002662981802,0.0,0.05507084835929543,0.13963475399012773,0.13963475399012773,77.97628032345014,0.35633149476142495,0.004567278675439915,8.132700752628869e-05,-0.058950805664072015,0.0,1.0,1.0,1.0,22324.28083761416,22324.28083761416,160.77831528743755,160.77831528743755,72931.01576775595,72931.01576775595,1,0.7538435881132803
2025-09-05 00:00:00+00:00,0,0,0,8279026449,2903,0.0236574877053499,96.94025421142578,0.0401830852339086,552119,19.386314682338547,151558,435.0,144646.0,1854.0,405930.0,97.04373168945312,0.0179521664977073,11.76370765765508,0.0,0.0,0.0,0.0,0.0,0.0,158212.6,1890.6,377685.6,97.05987091064453,0.0162736717611551,12.91689379365415,158212.6,1890.6,377685.6,97.05987091064453,0.0162736717611551,12.91689379365415,0.0,4.778562836165534,0.0,56.580366774541524,0.0,36.01335205577316,0.0,31.780683453282556,0.0,-0.10662973921744534,0.12444038460875938,0.12444038460875938,52.18939393939394,0.2745019198724915,0.005257914946026226,0.00012791265897992563,-0.05937957763672627,-0.05937957763672627,1.0,1.0,1.0,19688.036793951804,19688.036793951804,582.8252739886973,582.8252739886973,116179.34732257709,116179.34732257709,1,0.7898664776576784
2025-09-06 00:00:00+00:00,0,1,0,8279026449,1918,0.0146072683855891,96.86302185058594,0.0420487867088443,671220,19.030894886363637,185232,430.0,151558.0,2903.0,552119.0,96.94025421142578,0.0236574877053499,19.386314682338547,0.0,0.0,0.0,0.0,0.0,0.0,162715.83333333334,1895.1666666666667,426608.0,97.0270627339681,0.015995937865227433,13.935893975772396,162715.83333333334,1895.1666666666667,426608.0,97.0270627339681,0.015995937865227433,13.935893975772396,0.0,22.21855659219574,0.0,-33.93041681019635,0.0,21.571617712848145,0.0,-38.255200351278994,0.0,-0.0796700622131663,0.12770157824621317,0.12770157824621317,96.52527357998957,0.2759627604023116,0.0028574791313144255,0.00010274030483965404,-0.06205248151505676,-0.06205248151505676,1.0,1.0,1.0,20779.06872231445,20779.06872231445,521.414774116218,521.414774116218,158614.37490341158,158614.37490341158,1,0.9653634079988326
2025-09-07 00:00:00+00:00,0,1,0,8279026449,1396,0.0116923181340098,96.78833770751952,0.0368503180197551,431943,34.41404732413914,182593,420.0,185232.0,1918.0,671220.0,96.86302185058594,0.0146072683855891,19.030894886363637,0.0,0.0,0.0,0.0,0.0,0.0,165555.42857142858,1823.857142857143,427370.14285714284,96.99295915876117,0.015381135046482058,16.861344454110505,165555.42857142858,1823.857142857143,427370.14285714284,96.99295915876117,0.015381135046482058,16.861344454110505,0.0,-1.4246998358814933,0.0,-27.21584984358707,0.0,-35.648073656923216,0.0,-19.955478153978913,0.0,-0.07710284238460208,0.1232350703858073,0.1232350703858073,130.70365068002863,0.42272377900839,0.0032319004315374215,0.00018847304579635223,-0.06436048235212374,-0.06436048235212374,1.0,1.0,1.0,20402.234892752494,20402.234892752494,512.0121836348,512.0121836348,144808.49182216328,144808.49182216328,1,0.9516098771094132
2025-09-08 00:00:00+00:00,0,0,0,8279026449,1274,0.0122866667807102,96.76708221435548,0.0364972299749602,303439,10.672585357319225,193919,407.0,182593.0,1396.0,431943.0,96.78833770751952,0.0116923181340098,34.41404732413914,191878.0,1664.0,232366.0,97.19298553466795,0.0127402190119028,13.817357833568868,165847.0,1768.142857142857,437523.4285714286,96.93211582728794,0.0153163418705974,16.4120912432177,169100.875,1755.125,411878.75,96.96472454071045,0.014994326513260575,16.087749567011596,1.063696723960006,6.20286648447641,-23.4375,-8.739255014326652,30.58666069906957,-29.750221672767008,-3.5600034094300903,5.083240465135819,-0.4382037633369751,-0.0219607998933391,0.12646712882139843,0.12646712882139843,152.09333333333333,0.6390686791457949,0.004198523596098075,5.503602185086234e-05,-0.05998638698033006,-0.061730066935214475,0.9996637053982573,0.9807577873266475,1.0214758133386013,21385.702142436192,21385.702142436192,512.3459873115878,512.3459873115878,141045.10827163467,141045.10827163467,2,1.0
2025-09-09 00:00:00+00:00,0,0,0,8279026449,1188,0.0118730096146464,96.70748901367188,0.0333341954353753,283421,19.197946185157413,186386,419.0,193919.0,1274.0,303439.0,96.76708221435548,0.0122866667807102,10.672585357319225,158505.0,1531.0,347774.0,97.13206481933594,0.0130359614267945,10.168355743090313,169830.0,1719.142857142857,428330.14285714284,96.8714621407645,0.015150205897433388,17.70203273494157,171021.44444444444,1692.111111111111,397605.6666666667,96.93614281548395,0.014647513524525667,16.433326969027796,17.58998138859973,-3.88461161619027,-22.403657740039186,-6.750392464678178,-18.50425851271228,-6.5970425686876055,-8.921105042223687,-3.366715916095586,-0.4371118913756966,-0.06158416614402418,0.1217257230171693,0.1217257230171693,156.75862068965517,0.6576271425647974,0.004191629443021361,0.00010300045703379213,-0.05548940386090592,-0.06036008199056803,0.999332749655177,0.9930333622879003,1.0343192974060762,20817.708976440652,20817.708976440652,515.1920623525862,515.1920623525862,138710.11288655203,138710.11288655203,2,0.9611538838380973
2025-09-10 00:00:00+00:00,0,0,0,8279026449,1656,0.0156867206096649,96.65752410888672,0.0307750735366794,305540,20.304006533189252,182129,430.0,186386.0,1188.0,283421.0,96.70748901367188,0.0118730096146464,19.197946185157413,144476.0,1501.0,350239.0,96.99031829833984,0.013982524164021,9.44873305161794,175209.0,1741.2857142857142,421944.5714285714,96.82392011369977,0.015393662532525372,19.252786089451753,172132.2,1688.5,388399.1,96.90828094482421,0.01475143423303959,16.820394925443942,26.061768044519496,-2.283969826059895,10.326449033977347,39.393939393939405,-12.762427942062416,7.804291142858144,12.188045775233046,32.12084483039541,-0.34312104062743654,-0.05166601397136317,0.11583510498973236,0.11583510498973236,109.91490645745323,0.5960869408688195,0.005419894547703909,0.00011148084628116869,-0.061431884765629226,-0.059095625443894975,0.9991294775812557,1.017874633566526,1.0435366683225518,19938.95145911361,19938.95145911361,485.86194884280997,485.86194884280997,133978.6225140663,133978.6225140663,2,0.9392014191492324
