timestamp,isSummer,isWeekend,isHoliday,universe_id,platform_platform_share,ccu_playing,ratings_like_ratio,session_session_length,visits_visits_gained,daily_rpv,daily_Estimated Revenue,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2021-12-05 00:00:00+00:00,0,1,0,2626227051,0.0157950222492218,763,67.03907012939453,0.0,138528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,763.0,138528.0,67.03907012939453,0.0157950222492218,0.0,0.0,763.0,138528.0,67.03907012939453,0.0157950222492218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005507871997921013,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2021-12-06 00:00:00+00:00,0,0,0,2626227051,0.0214267745614051,708,67.11129760742188,0.0,96821,0.0,0.0,0.0,0.0,763.0,138528.0,67.03907012939453,0.0157950222492218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.5,117674.5,67.0751838684082,0.01861089840531345,0.0,0.0,735.5,117674.5,67.0751838684082,0.01861089840531345,0.0,0.0,0.0,0.0,-7.2083879423328945,0.0,-30.10727073227073,0.0,35.65523506914192,0.0,0.10773937927230914,0.0,0.0,0.0,0.0,0.00731238768048584,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,38.890872965260115,38.890872965260115,29491.30252294734,29491.30252294734,0,0.0
2021-12-07 00:00:00+00:00,0,0,0,2626227051,0.0177125521004199,461,67.1006088256836,0.0,70153,0.0,0.0,0.0,0.0,708.0,96821.0,67.11129760742188,0.0214267745614051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,644.0,101834.0,67.08365885416667,0.0183114496370156,0.0,0.0,644.0,101834.0,67.08365885416667,0.0183114496370156,0.0,0.0,0.0,0.0,-34.887005649717516,0.0,-27.543611406616332,0.0,-17.33449171428455,0.0,-0.01592694839668285,0.0,0.0,0.0,0.0,0.006571257519172107,0.0,0.03076934814452755,0.0,1.0,0.0,1.0,0.0,0.0,160.85086260259843,160.85086260259843,34462.04844462964,34462.04844462964,0,0.0
2021-12-08 00:00:00+00:00,0,0,0,2626227051,0.0211800448596477,698,67.13019561767578,0.0,97995,0.0,0.0,0.0,0.0,461.0,70153.0,67.1006088256836,0.0177125521004199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,657.5,100874.25,67.09529304504395,0.019028598442673624,0.0,0.0,657.5,100874.25,67.09529304504395,0.019028598442673624,0.0,0.0,0.0,0.0,51.40997830802603,0.0,39.68754009094408,0.0,19.576471756125958,0.0,0.04409317964468862,0.0,0.0,0.0,0.0,0.007122739703661374,0.0,0.02626876831054104,0.0,1.0,0.0,1.0,0.0,0.0,134.0808213976431,134.0808213976431,28203.540006826566,28203.540006826566,0,0.0
2021-12-09 00:00:00+00:00,0,0,0,2626227051,0.020654160529375,705,67.19509887695312,0.0,90318,0.0,0.0,0.0,0.0,698.0,97995.0,67.13019561767578,0.0211800448596477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,667.0,98763.0,67.11525421142578,0.0193537108600139,0.0,0.0,667.0,98763.0,67.11525421142578,0.0193537108600139,0.0,0.0,0.0,0.0,1.002865329512903,0.0,-7.834073166998312,0.0,-2.4829235903773506,0.0,0.0966826607313731,0.0,0.0,0.0,0.0,0.007805666581782349,0.0,0.033095550537109185,0.033095550537109185,1.0,0.0,1.0,0.0,0.0,118.04448314089058,118.04448314089058,24877.030258855255,24877.030258855255,0,0.0
2021-12-10 00:00:00+00:00,0,0,0,2626227051,0.0165569800883531,645,67.27745819091797,0.0,88651,0.0,0.0,0.0,0.0,705.0,90318.0,67.19509887695312,0.020654160529375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663.3333333333334,97077.66666666667,67.14228820800781,0.0188875890647371,0.0,0.0,663.3333333333334,97077.66666666667,67.14228820800781,0.0188875890647371,0.0,0.0,0.0,0.0,-8.510638297872342,0.0,-1.8457007462521324,0.0,-19.837070769323972,0.0,0.12256744218155369,0.0,0.0,0.0,0.0,0.007275639579479312,0.0,0.04208374023437918,0.04208374023437918,1.0,0.0,1.0,0.0,0.0,105.96351573379711,105.96351573379711,22630.408707459675,22630.408707459675,0,0.0
2021-12-11 00:00:00+00:00,0,1,0,2626227051,0.0135233532637357,695,67.36312866210938,0.0,97951,0.0,0.0,0.0,0.0,645.0,88651.0,67.27745819091797,0.0165569800883531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,667.8571428571429,97202.42857142857,67.17383684430804,0.018121269664594042,0.0,0.0,667.8571428571429,97202.42857142857,67.17383684430804,0.018121269664594042,0.0,0.0,0.0,0.0,7.751937984496116,0.0,10.490575402420731,0.0,-18.32234385998559,0.0,0.12733904266759577,0.0,0.0,0.0,0.0,0.0070953119895459,0.0,0.04996381487165296,0.04996381487165296,1.0,0.0,1.0,0.0,0.0,97.46867628701467,97.46867628701467,20661.27917834988,20661.27917834988,0,0.0
2021-12-12 00:00:00+00:00,0,1,0,2626227051,0.0158178247511386,777,67.38650512695312,0.0,101316,0.0,0.0,0.0,0.0,695.0,97951.0,67.36312866210938,0.0135233532637357,0.0,0.0,763.0,138528.0,67.03907012939453,0.0157950222492218,0.0,0.0,669.8571428571429,91886.42857142857,67.22347041538784,0.01812452716486787,0.0,0.0,681.5,97716.625,67.20042037963867,0.017833339050412112,0.0,0.0,0.0,1.83486238532109,11.798561151079134,-26.86243936243936,3.4353911649702473,0.14436511425570675,16.966734822758546,0.5182574831184228,0.03470216616721089,0.0,0.0,0.0,0.0,0.007668999279489128,0.0,0.05349731445312264,0.05103156680152781,1.0003430043386476,0.0,1.016328300248911,0.0,0.0,98.14275317108238,98.14275317108238,19183.836313324522,19183.836313324522,0,0.0
2021-12-13 00:00:00+00:00,0,0,0,2626227051,0.0206025261431932,716,67.46829986572266,0.0,49750,0.0,0.0,0.0,0.0,777.0,101316.0,67.38650512695312,0.0158178247511386,0.0,0.0,708.0,96821.0,67.11129760742188,0.0214267745614051,0.0,0.0,671.0,85162.0,67.27447073800224,0.018006777390837597,0.0,0.0,685.3333333333334,92387.0,67.23018476698134,0.018141026505165567,0.0,0.0,0.0,1.1299435028248483,-7.85070785070785,-48.61651914357422,-50.8962059299617,-3.8468151883978563,30.248795060839107,0.5319555291407374,0.12138148226479295,0.0,0.0,0.0,0.0,0.014391670519185544,0.0,0.06370435442243215,0.05358072916666536,1.0006587215426284,0.0,0.9925996958171169,0.0,0.0,92.52161909521472,92.52161909521472,24034.584508578468,24034.584508578468,0,0.0
2021-12-14 00:00:00+00:00,0,0,0,2626227051,0.01996386423707,695,67.5087890625,0.0,92478,0.0,0.0,0.0,0.0,716.0,49750.0,67.46829986572266,0.0206025261431932,0.0,0.0,461.0,70153.0,67.1006088256836,0.0177125521004199,0.0,0.0,704.4285714285714,88351.28571428571,67.33278220040458,0.018328393410359044,0.0,0.0,686.3,92396.1,67.2580451965332,0.018323310278356007,0.0,0.0,0.0,50.7592190889371,-2.9329608938547524,31.823300500334973,85.8854271356784,12.710264020037677,-3.09992037716309,0.6083107798273257,0.060012178842394626,0.0,0.0,0.0,0.0,0.007515219671492988,0.0,0.06397247314453444,0.054164400967686474,1.0011111979786655,0.0,1.0002774134108858,0.0,0.0,87.28376455879729,87.28376455879729,22660.04185761555,22660.04185761555,0,0.0
