timestamp,isSummer,isWeekend,isHoliday,universe_id,ratings_like_ratio,daily_rpv,ccu_playing,platform_platform_share,daily_Estimated Revenue,session_session_length,visits_visits_gained,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-04-30 00:00:00+00:00,0,0,0,7007827767,79.08154296875,0.0102835855065217,1417,0.016134051606059,54217.0,14.970858742209042,87879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54217.0,1417.0,87879.0,79.08154296875,0.016134051606059,14.970858742209042,54217.0,1417.0,87879.0,79.08154296875,0.016134051606059,14.970858742209042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.234837799717916,0.6169435593991807,0.016124260355029587,0.00027612340444518505,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-05-01 00:00:00+00:00,0,0,0,7007827767,79.03083038330078,0.0124603833488706,1437,0.0172783117741346,67181.0,14.734753926595053,148495,0.0,54217.0,1417.0,87879.0,79.08154296875,0.016134051606059,14.970858742209042,0.0,0.0,0.0,0.0,0.0,0.0,60699.0,1427.0,118187.0,79.05618667602539,0.0167061816900968,14.852806334402047,60699.0,1427.0,118187.0,79.05618667602539,0.0167061816900968,14.852806334402047,0.0,23.911319327886083,0.0,1.4114326040931546,0.0,68.97666109081806,0.0,7.092205950586417,0.0,-0.06412695497008958,0.1510227896885023,0.1510227896885023,46.71835883171071,0.4524094925115828,0.009677028337463636,0.00021932591954087482,0.0,0.0,1.0,1.0,1.0,9166.932311302402,9166.932311302402,14.142135623730951,14.142135623730951,42861.98464840376,42861.98464840376,2,1.0
2025-05-02 00:00:00+00:00,0,0,0,7007827767,78.94965362548828,0.0140432758488734,1553,0.0170673690736293,77834.0,14.890249927838644,152374,0.0,67181.0,1437.0,148495.0,79.03083038330078,0.0172783117741346,14.734753926595053,0.0,0.0,0.0,0.0,0.0,0.0,66410.66666666667,1469.0,129582.66666666667,79.02067565917969,0.016826577484607634,14.865287532214246,66410.66666666667,1469.0,129582.66666666667,79.02067565917969,0.016826577484607634,14.865287532214246,0.0,15.857161995206969,0.0,8.0723729993041,0.0,2.612209165291768,0.0,-1.220852495676572,0.0,-0.1027153041652129,0.178093828656127,0.178093828656127,50.08622908622909,0.510805578342904,0.010191960623461853,0.00019130532444065838,-0.06594467163085731,0.0,1.0,1.0,1.0,11827.329890272498,11827.329890272498,73.43023900274328,73.43023900274328,36168.47412227026,36168.47412227026,3,1.0
2025-05-03 00:00:00+00:00,0,1,0,7007827767,78.66621398925781,0.011463359894532,1382,0.0139577966183424,65448.0,14.53811744848887,181593,0.0,77834.0,1553.0,152374.0,78.94965362548828,0.0170673690736293,14.890249927838644,0.0,0.0,0.0,0.0,0.0,0.0,66170.0,1447.25,142585.25,78.93206024169922,0.016109382268041324,14.783495011282902,66170.0,1447.25,142585.25,78.93206024169922,0.016109382268041324,14.783495011282902,0.0,-15.913354061207185,0.0,-11.010946555054735,0.0,19.175843647866444,0.0,-18.219401255530844,0.0,-0.3590131472584024,0.14612305491085725,0.14612305491085725,47.3232104121475,0.360408383536901,0.007610383602982477,0.00022212894694325155,-0.13271636962891567,0.0,1.0,1.0,1.0,9668.962543451424,9668.962543451424,74.07372453621235,74.07372453621235,39349.38847788277,39349.38847788277,3,0.8408664593879281
2025-05-04 00:00:00+00:00,0,1,0,7007827767,78.30648803710938,0.0112683321652332,1360,0.0146766947582364,66329.0,14.579648812611898,164820,0.0,65448.0,1382.0,181593.0,78.66621398925781,0.0139577966183424,14.53811744848887,0.0,0.0,0.0,0.0,0.0,0.0,66201.8,1429.8,147032.2,78.80694580078125,0.01582284476608034,14.742725771548702,66201.8,1429.8,147032.2,78.80694580078125,0.01582284476608034,14.742725771548702,0.0,1.3461068329055026,0.0,-1.591895803183796,0.0,-9.236589516115712,0.0,5.150513075604435,0.0,-0.45728138409909524,0.12649005162646712,0.12649005162646712,48.73548861131521,0.4024305155289678,0.008251375734888152,0.0002198047461572727,-0.19147262573242585,-0.19147262573242585,1.0,1.0,1.0,8373.869099765052,8373.869099765052,75.08461893091021,75.08461893091021,35498.69859163854,35498.69859163854,3,0.8521854202533597
2025-05-05 00:00:00+00:00,0,0,0,7007827767,78.23960876464844,0.0069395929176811,1159,0.0133417239412665,41774.0,14.676216204961142,103118,0.0,66329.0,1360.0,164820.0,78.30648803710938,0.0146766947582364,14.579648812611898,0.0,0.0,0.0,0.0,0.0,0.0,62130.5,1384.6666666666667,139713.16666666666,78.71238962809245,0.015409324628611366,14.731640843784108,62130.5,1384.6666666666667,139713.16666666666,78.71238962809245,0.015409324628611366,14.731640843784108,0.0,-37.020006332071944,0.0,-14.779411764705886,0.0,-37.435990777818226,0.0,-9.095854611411935,0.0,-0.08540706413655563,0.20073842244866735,0.20073842244866735,36.012068965517244,0.4051047818539745,0.01123944180994773,0.000351315767922469,-0.19046107700892156,-0.19046107700892156,1.0,1.0,1.0,12471.978555946927,12471.978555946927,129.3532630692657,129.3532630692657,36462.797135802226,36462.797135802226,3,0.536706323714572
2025-05-06 00:00:00+00:00,0,0,0,7007827767,78.14543151855469,0.0083553760775287,895,0.012087513692677,51129.0,15.688944339752195,88822,0.0,41774.0,1159.0,103118.0,78.23960876464844,0.0133417239412665,14.676216204961142,0.0,0.0,0.0,0.0,0.0,0.0,60558.857142857145,1314.7142857142858,132443.0,78.6313956124442,0.014934780209192172,14.868398486065264,60558.857142857145,1314.7142857142858,132443.0,78.6313956124442,0.014934780209192172,14.868398486065264,0.0,22.394312251639768,0.0,-22.778257118205346,0.0,-13.863728931903252,0.0,-9.400661069820037,0.0,-0.12037029272097266,0.2001503435244389,0.2001503435244389,57.06361607142857,0.5756279342062304,0.010076218997331772,0.0003068442077010013,-0.17978368486676424,-0.17978368486676424,1.0,1.0,1.0,12120.876060590277,12120.876060590277,219.53793467623024,219.53793467623024,38443.90167503815,38443.90167503815,3,0.6568980137215099
2025-05-07 00:00:00+00:00,0,0,0,7007827767,77.96528625488281,0.0064401933553857,1001,0.0127331679686903,39949.0,15.09029309645943,86909,0.0,51129.0,895.0,88822.0,78.14543151855469,0.012087513692677,15.688944339752195,54217.0,1417.0,87879.0,79.08154296875,0.016134051606059,14.970858742209042,58520.57142857143,1255.2857142857142,132304.42857142858,78.47193036760602,0.014448939689568072,14.88546053667246,57982.625,1275.5,126751.25,78.54813194274902,0.014659578679129438,14.896135312364535,-26.31646900418688,-21.86625985252988,-29.357798165137616,11.843575418994412,-1.1037904391265285,-2.153745693634457,-21.07891880109971,5.341497783820159,-1.411526219598791,-0.23052564963967903,0.23075818064013712,0.23075818064013712,39.86926147704591,0.4596594177885169,0.01151766194914279,0.00037772948927307707,-0.1868457794189477,-0.17536490304128932,0.9990298741261149,1.009277717739951,0.9856313067263489,13379.96505373933,13379.96505373933,231.54635450750297,231.54635450750297,39063.64489522196,39063.64489522196,3,0.5132589870750571
2025-05-08 00:00:00+00:00,0,0,0,7007827767,77.88179016113281,0.0063013980896324,839,0.0102846650406718,39647.0,14.92717452843984,83650,0.0,39949.0,1001.0,86909.0,77.96528625488281,0.0127331679686903,15.09029309645943,67181.0,1437.0,148495.0,79.03083038330078,0.0172783117741346,14.734753926595053,54587.142857142855,1169.857142857143,123040.85714285714,78.30778176443917,0.013449847299073387,14.91294919407886,55945.333333333336,1227.0,121962.22222222222,78.47409396701389,0.014173477163745254,14.899584114150677,-40.98480225063634,-0.7559638539137437,-41.61447459986082,-16.18381618381618,-43.6681369743089,-3.749899319978367,-40.47644714880187,-19.229330313077988,-1.4539138923317707,-0.10709393598201666,0.2489646072400911,0.2489646072400911,47.19880952380952,0.47395727486820244,0.010029766529987686,0.00037649249718623486,-0.17023222787039502,-0.16717821756998386,0.9978806738100777,0.9757228995652217,0.9489447891782786,13928.40794024931,13928.40794024931,260.9257557237306,260.9257557237306,39263.66503453855,39263.66503453855,3,0.509378934655806
2025-05-09 00:00:00+00:00,0,0,0,7007827767,77.79438018798828,0.0048596290810908,825,0.0087902406230568,30964.0,16.550636529922485,84900,0.0,39647.0,839.0,83650.0,77.88179016113281,0.0102846650406718,14.92717452843984,77834.0,1553.0,152374.0,78.94965362548828,0.0170673690736293,14.890249927838644,47891.42857142857,1065.857142857143,113401.71428571429,78.14274270193917,0.012267400377563029,15.150147280090838,53447.2,1186.8,118256.0,78.40612258911133,0.01363515350967641,15.06468935572786,-60.21789963255133,-21.90077433349308,-46.87701223438506,-1.6686531585220488,-44.28183285862417,1.4943215780035768,-48.496803548717104,-14.530608548797064,-1.463303997482046,-0.11223416021085564,0.2867291410901424,0.2867291410901424,37.48668280871671,0.36470712948021816,0.009717200032979588,0.0005344949630202644,-0.1335435594831164,-0.15865945527047595,0.9966408249958691,0.8960512163673415,0.8996892018015982,15324.86974967306,15324.86974967306,276.90784668469666,276.90784668469666,38829.15659941925,38829.15659941925,3,0.39782100367448675
