timestamp,isSummer,isWeekend,isHoliday,universe_id,platform_platform_share,ccu_playing,visits_visits_gained,ratings_like_ratio,session_session_length,daily_Estimated Revenue,daily_rpv,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2020-02-11 00:00:00+00:00,0,0,0,66654135,5.940036773681641,31656,1054559,93.00972747802734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31656.0,1054559.0,93.00972747802734,5.940036773681641,0.0,0.0,31656.0,1054559.0,93.00972747802734,5.940036773681641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03001820664542558,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2020-02-12 00:00:00+00:00,0,0,0,66654135,6.052458763122559,30166,1746806,93.00931549072266,0.0,0.0,0.0,0.0,0.0,31656.0,1054559.0,93.00972747802734,5.940036773681641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30911.0,1400682.5,93.009521484375,5.9962477684021,0.0,0.0,30911.0,1400682.5,93.009521484375,5.9962477684021,0.0,0.0,0.0,0.0,-4.706848622693959,0.0,65.64326889249439,0.0,1.8926143679618868,0.0,-0.0004429507706960045,0.0,0.0,0.0,0.0,0.017269223216989628,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1053.589103967956,1053.589103967956,489492.54795604397,489492.54795604397,0,0.0
2020-02-13 00:00:00+00:00,0,0,0,66654135,6.0548882484436035,31254,1699395,93.00970458984376,0.0,0.0,0.0,0.0,0.0,30166.0,1746806.0,93.00931549072266,6.052458763122559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31025.333333333332,1500253.3333333333,93.00958251953125,6.015794595082601,0.0,0.0,31025.333333333332,1500253.3333333333,93.00958251953125,6.015794595082601,0.0,0.0,0.0,0.0,3.606709540542341,0.0,-2.7141537182720943,0.0,0.04014046879341482,0.0,0.00041834424762132727,0.0,0.0,0.0,0.0,0.01839124018180577,0.0,-1.1444091793306753e-05,0.0,1.0,0.0,1.0,0.0,0.0,770.8705036083126,770.8705036083126,386709.87807959254,386709.87807959254,0,0.0
2020-02-14 00:00:00+00:00,0,0,0,66654135,5.693246364593506,37142,1936159,93.00935363769533,0.0,0.0,0.0,0.0,0.0,31254.0,1699395.0,93.00970458984376,6.0548882484436035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32554.5,1609229.75,93.00952529907227,5.935157537460327,0.0,0.0,32554.5,1609229.75,93.00952529907227,5.935157537460327,0.0,0.0,0.0,0.0,18.839188583861265,0.0,13.932252360398856,0.0,-5.972725986198957,0.0,-0.0003773285271568838,0.0,0.0,0.0,0.0,0.019183331956036692,0.0,-7.324218750061877e-05,0.0,1.0,0.0,1.0,0.0,0.0,3122.429129166372,3122.429129166372,383666.24918139033,383666.24918139033,0,0.0
2020-02-15 00:00:00+00:00,0,1,0,66654135,4.70010232925415,49911,2787176,93.00943756103516,0.0,0.0,0.0,0.0,0.0,37142.0,1936159.0,93.00935363769533,5.693246364593506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36025.8,1844819.0,93.00950775146484,5.688146495819092,0.0,0.0,36025.8,1844819.0,93.00950775146484,5.688146495819092,0.0,0.0,0.0,0.0,34.37887028162188,0.0,43.953879820820504,0.0,-17.444248355661408,0.0,9.023107521155538e-05,0.0,0.0,0.0,0.0,0.017907366485874418,0.0,-5.416870117466481e-05,-5.416870117466481e-05,1.0,0.0,1.0,0.0,0.0,8219.597995036009,8219.597995036009,622825.2697574978,622825.2697574978,0,0.0
2020-02-16 00:00:00+00:00,0,1,0,66654135,4.936440944671631,51031,2812695,93.00748443603516,0.0,0.0,0.0,0.0,0.0,49911.0,2787176.0,93.00943756103516,4.70010232925415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38526.666666666664,2006131.6666666667,93.00917053222656,5.562862237294515,0.0,0.0,38526.666666666664,2006131.6666666667,93.00917053222656,5.562862237294515,0.0,0.0,0.0,0.0,2.2439943098715665,0.0,0.9155862421318162,0.0,5.028371700472833,0.0,-0.002099921310372288,0.0,0.0,0.0,0.0,0.018143091183689956,0.0,-0.0003199986049132206,-0.0003199986049132206,1.0,0.0,1.0,0.0,0.0,9569.505601997767,9569.505601997767,682978.5588738981,682978.5588738981,0,0.0
2020-02-17 00:00:00+00:00,0,0,1,66654135,4.969046115875244,46313,2196834,93.0062026977539,0.0,0.0,0.0,0.0,0.0,51031.0,2812695.0,93.00748443603516,4.936440944671631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39639.0,2033374.857142857,93.00874655587333,5.478031362806048,0.0,0.0,39639.0,2033374.857142857,93.00874655587333,5.478031362806048,0.0,0.0,0.0,0.0,-9.245360663126334,0.0,-21.895761893842025,0.0,0.6604995698126892,0.0,-0.0013781022989989289,0.0,0.0,0.0,0.0,0.02108169252583831,0.0,-0.0005179813929988517,-0.0005179813929988517,1.0,0.0,1.0,0.0,0.0,9218.126852385285,9218.126852385285,627623.9053439113,627623.9053439113,0,0.0
2020-02-18 00:00:00+00:00,0,0,0,66654135,5.284759521484375,33066,1849920,93.0038070678711,0.0,0.0,0.0,0.0,0.0,46313.0,2196834.0,93.0062026977539,4.969046115875244,0.0,0.0,31656.0,1054559.0,93.00972747802734,5.940036773681641,0.0,0.0,39840.42857142857,2146997.8571428573,93.00790078299386,5.3844203267778665,0.0,0.0,38817.375,2010443.0,93.00812911987305,5.453872382640839,0.0,0.0,0.0,4.454131918119786,-28.603199965452465,75.42119502085707,-15.791543648723572,-11.03153527770374,6.35360184322864,-0.006365366630767255,-0.002575774317548074,0.0,0.0,0.0,0.0,0.01787427679344145,0.0,-0.0009070805140922943,-0.0007569449288470762,0.999997544979333,0.0,0.9872655517052377,0.0,0.0,8845.070975044317,8845.070975044317,584675.6516453009,584675.6516453009,0,0.0
2020-02-19 00:00:00+00:00,0,0,0,66654135,5.555161952972412,32136,1826213,93.0034637451172,0.0,0.0,0.0,0.0,0.0,33066.0,1849920.0,93.0038070678711,5.284759521484375,0.0,0.0,30166.0,1746806.0,93.00931549072266,6.052458763122559,0.0,0.0,40121.857142857145,2158341.714285714,93.00706481933594,5.313377925327846,0.0,0.0,38075.0,1989973.0,93.00761074490018,5.465126779344347,0.0,0.0,0.0,6.530531061459932,-2.8125567047722733,4.545839663935203,-1.2815148763189788,-8.216442765048814,5.116645902027472,-0.006291569370853178,-0.00036914913993379983,0.0,0.0,0.0,0.0,0.017597061461581173,0.0,-0.0011803763253328626,-0.0008408864339169407,0.9999941303129941,0.0,0.9722332417630198,0.0,0.0,8568.311166735251,8568.311166735251,550350.8912716504,550350.8912716504,0,0.0
2020-02-20 00:00:00+00:00,0,0,0,66654135,5.441131591796875,32901,1822139,93.0017547607422,0.0,0.0,0.0,0.0,0.0,32136.0,1826213.0,93.0034637451172,5.555161952972412,0.0,0.0,31254.0,1699395.0,93.00970458984376,6.0548882484436035,0.0,0.0,40357.142857142855,2175876.5714285714,93.00592912946429,5.2256984029497415,0.0,0.0,37557.6,1973189.6,93.00702514648438,5.4627272605896,0.0,0.0,0.0,5.269725475139175,2.3805078416728964,7.222805763227491,-0.22308460185093137,-10.136548049495275,-2.0526919312320424,-0.008547311419404569,-0.0018375491687927514,0.0,0.0,0.0,0.0,0.018056241562119265,0.0,-0.0013722011021177702,-0.0009309710878293714,0.9999882157609238,0.0,0.9566097946441727,0.0,0.0,8242.30886207122,8242.30886207122,521583.08751002356,521583.08751002356,0,0.0
