timestamp,isSummer,isWeekend,isHoliday,universe_id,sort_sort_position,daily_rpv,session_session_length,daily_Estimated Revenue,ccu_playing,platform_platform_share,visits_visits_gained,ratings_like_ratio,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2024-04-25 00:00:00+00:00,0,0,0,4730278139,0.0,0.0042230715727052,0.0,1404383.0,7941,0.1746847331523895,712849,83.75796508789062,1372957.0,7585.0,693943.0,83.74130249023438,0.1733503490686416,0.0,1351864.0,7790.0,681512.0,83.57405853271484,0.1769866496324539,0.0,1509774.0,8990.0,759402.5714285715,83.68468366350446,0.1675280481576919,0.0,1395111.7333333334,8461.7,692673.2666666667,83.3520991007487,0.15022176181276636,0.0,3.88493221211601,2.288928203869456,1.9383825417201628,4.693473961766648,4.598158212914805,2.7244312573222906,-1.3006158853477112,0.7697614056834112,0.2200522008917405,0.019897705386417996,0.2364603240277797,0.20828639509285626,176.82989171493327,1.970096093147226,0.011139790979869538,0.0,0.02802712576730458,0.0308442995200841,1.0039901162219533,1.08218859029499,1.1152049219506277,359771.6806045636,290582.7936877462,2483.2902757041065,2074.577898903942,162538.86965925965,140717.38988751097,2,0.5027437525886569
2024-04-26 00:00:00+00:00,0,0,0,4730278139,0.0,0.004645359308861,0.0,1549386.0,10056,0.1842049360275268,800957,83.77627563476562,1404383.0,7941.0,712849.0,83.75796508789062,0.1746847331523895,0.0,1432137.0,8806.0,717363.0,83.5961685180664,0.1700476706027984,0.0,1526523.857142857,9168.57142857143,771344.5714285715,83.71041325160435,0.1695505146469388,0.0,1405420.5,8548.633333333333,699941.3666666667,83.38331756591796,0.15188460275530813,0.0,8.186996076492692,10.32503241637075,14.194867136043609,26.63392519833774,11.652956731808018,12.359980865512888,8.325468602152908,5.449934120363098,0.21544900907783937,0.021861260425537488,0.21306745262732493,0.2066146393176744,154.0604554041961,1.9344160367959369,0.012554965428898893,0.0,0.02519553048269994,0.030047284933564795,1.0039227952932888,1.0861687709428296,1.1163114072865643,331941.8783870207,290380.44969716563,2361.4895385453915,2085.2504436263,147940.14973587645,140483.60349078898,2,0.5546522080147145
2024-04-27 00:00:00+00:00,0,1,0,4730278139,0.0,0.0060156021709143,0.0,2013599.0,13591,0.1808138787746429,1003594,83.7946548461914,1549386.0,10056.0,800957.0,83.77627563476562,0.1842049360275268,0.0,1760741.0,11834.0,878738.0,83.62549591064453,0.158914104104042,0.0,1562646.4285714286,9419.57142857143,789181.1428571428,83.73457881382534,0.17267905388559607,0.0,1429613.2333333334,8727.633333333333,713260.2666666667,83.41395517985026,0.15343307976921397,0.0,14.36088555897772,29.961094265728484,14.8470508703735,35.15314240254575,14.208558182302355,25.2993606398346,13.780887979749723,-1.8409155183426562,0.20228153352612743,0.02193844413174162,0.21323473732698478,0.21672104368598594,148.14589464390818,2.006386042178369,0.01354231537622248,0.0,0.022090366908485776,0.02919906599237962,1.003843764910605,1.0930553747938598,1.1254356240866108,343212.68732412363,309827.27199529693,2620.841137732456,2277.7537404861932,152682.22955359268,149714.3493599428,2,0.7208320789049476
2024-04-28 00:00:00+00:00,0,1,0,4730278139,0.0,0.0061297561347897,0.0,2059969.0,13051,0.1741782426834106,994268,83.8131332397461,2013599.0,13591.0,1003594.0,83.7946548461914,0.1808138787746429,0.0,1731322.0,10926.0,834329.0,83.65277099609375,0.1470895111560821,0.0,1609596.0,9723.142857142857,812029.5714285715,83.75748770577567,0.17654887267521444,0.0,1454181.7,8871.0,725567.3666666667,83.4442148844401,0.15521058688561118,0.0,18.982430766778215,2.302841826997337,19.44902068460552,-3.9732175704510375,19.169775951692912,-0.929260238702101,18.41649436075945,-3.669870994528368,0.1916998585256957,0.022051995546257253,0.15242418638756483,0.2266999230256542,157.82784247624886,2.071842730689582,0.013126226403518565,0.0,0.0188200814383416,0.02826673191567144,1.0037542784933553,1.1068740584481294,1.1374795767335728,239526.7372875754,329662.87945531495,2116.192726063989,2410.687983071249,107577.63768870014,157201.65410388843,2,0.7374317015203851
2024-04-29 00:00:00+00:00,0,0,0,4730278139,0.0,0.0047293063520725,0.0,1595030.0,8308,0.1769271492958068,791357,83.83623504638672,2059969.0,13051.0,994268.0,83.8131332397461,0.1741782426834106,0.0,1495501.0,8138.0,762370.0,83.69855499267578,0.174306109547615,0.0,1623814.4285714286,9747.42857142857,816170.5714285715,83.77715628487724,0.17692330692495611,0.0,1457190.5,8802.033333333333,724871.0666666667,83.47267278035481,0.15639208753903705,0.0,6.655227913588835,-22.57019401748279,2.0889653477512926,-36.342042755344416,3.802222018180146,-20.4080791094554,1.503699299464789,1.578214689760471,0.16449513820517847,0.027563468573044148,0.15208643742975034,0.22684144290168648,191.964135275003,2.015560593309223,0.010498409063912919,0.0,0.01883833748953838,0.027611641040501775,1.0036477028275304,1.1143460162356458,1.1312804228717406,238281.66483603444,330551.19560263,2129.9699528397073,2395.6664968997266,107411.77101793225,156850.3555340808,2,0.5709919357408096
2024-04-30 00:00:00+00:00,0,0,0,4730278139,0.0,0.0045478019928886,0.0,1538455.0,8772,0.1815450340509414,794300,83.85397338867188,1595030.0,8308.0,791357.0,83.83623504638672,0.1769271492958068,0.0,1371377.0,7700.0,716226.0,83.72052764892578,0.1743038594722747,0.0,1647682.7142857143,9900.57142857143,827324.0,83.79621996198382,0.1779577604361942,0.0,1458599.5333333334,8774.833333333334,727911.1,83.50016911824544,0.1579327786962191,0.0,12.18322897350619,-3.5469552296822027,13.922077922077914,5.584978334135782,10.900749204859927,0.3718928372403285,4.154339783749039,2.6100486971696535,0.15939428894391483,0.0211583240532498,0.14905744566626167,0.22680189211652305,175.3624757779551,1.936866502748958,0.011043672360981542,0.0,0.01897893633161132,0.027012406838219084,1.0035455119057202,1.1296333754613712,1.1267943355729388,234788.42112403433,330813.13400027755,2087.3864264688937,2391.0629880125853,105947.04230587353,157297.00511438513,2,0.5507391074149873
2024-05-01 00:00:00+00:00,0,0,0,4730278139,0.0,0.0053033364277373,0.0,1799895.0,11273,0.20501309633255,902336,83.8721923828125,1538455.0,8772.0,794300.0,83.85397338867188,0.1815450340509414,0.0,1372957.0,7585.0,693943.0,83.74130249023438,0.1733503490686416,0.0,1708673.857142857,10427.42857142857,857094.4285714285,83.8149185180664,0.18248101004532402,0.0,1471586.8666666667,8796.6,732012.5,83.52689081827799,0.15915615061918892,0.0,31.096239722001485,16.993672223106948,48.62228081740276,28.51117191062471,30.03027626188317,13.601410046581886,18.26517652489461,12.926854432726298,0.15630267106652163,0.02172704930292202,0.1460129481775732,0.2286311024419493,159.65007982969664,1.9947037525891103,0.012493115100012523,0.0,0.019273485456196567,0.026449607025927826,1.0034483230127056,1.1611097488340751,1.1465533021211616,234419.7833725152,336450.5276650939,2080.6887345035766,2411.3257706941604,105535.10106475082,160259.19582948595,2,0.6443299061335552
2024-05-02 00:00:00+00:00,0,0,0,4730278139,0.0,0.0044639094387175,0.0,1519967.0,8086,0.182745411992073,763842,83.89671325683594,1799895.0,11273.0,902336.0,83.8721923828125,0.20501309633255,0.0,1404383.0,7941.0,712849.0,83.75796508789062,0.1746847331523895,0.0,1725185.857142857,10448.142857142857,864379.1428571428,83.8347396850586,0.1836325355938502,0.0,1476389.0,8818.7,732609.1333333333,83.55296783447265,0.16078555434942243,0.0,8.230233490436722,-15.552462782551203,1.8259665029593197,-28.2710902155593,7.153408365586533,-15.348384637208312,4.614415177685638,-10.861591156282413,0.16565370087455733,0.02923599983117864,0.13881272550303086,0.22762675247682101,187.9518981080747,1.989894520208996,0.010585945017497052,0.0,0.01990100315639396,0.025990813088761753,1.0033723739310394,1.1685171436138153,1.1420959820480903,224526.79733144768,336065.6334625013,2061.2228806551343,2401.3199696316433,100224.26918117695,160346.14117368613,2,0.5441207372852869
2024-05-03 00:00:00+00:00,0,0,0,4730278139,0.0,0.0046268451456866,0.0,1580171.0,9258,0.1822278499603271,825197,83.9093246459961,1519967.0,8086.0,763842.0,83.89671325683594,0.182745411992073,0.0,1549386.0,10056.0,800957.0,83.77627563476562,0.1842049360275268,0.0,1729583.7142857143,10334.142857142857,867842.0,83.85374668666294,0.1833500947271074,0.0,1488306.0333333334,8886.533333333333,740274.6666666666,83.57819035847982,0.16235402027765908,0.0,1.9869161074128616,3.9608754663752466,-7.93556085918854,14.494187484541188,3.026379693291892,8.032420317290745,-1.073307865596096,-0.28321478832440405,0.15881466467966288,0.015032041984230915,0.13422933567383394,0.22380044781371625,170.663246570904,1.9148992120678916,0.01121912559167618,0.0,0.019540241786416827,0.02552906923219816,1.0032969884487954,1.1621156372066808,1.1293227874095182,218532.57809769895,333083.5567438557,2049.326553816109,2383.365307397449,96474.27226063794,159043.76042641356,2,0.56567268207588
2024-05-04 00:00:00+00:00,0,1,0,4730278139,0.0,0.0059511905631288,0.0,2039559.0,13638,0.1864257007837295,1014781,83.92951202392578,1580171.0,9258.0,825197.0,83.9093246459961,0.1822278499603271,0.0,2013599.0,13591.0,1003594.0,83.7946548461914,0.1808138787746429,0.0,1733292.2857142857,10340.857142857143,869440.1428571428,83.87301199776786,0.18415178358554835,0.0,1515887.5666666667,9101.166666666666,754814.0666666667,83.60320841471354,0.16404324720303212,0.0,1.289233854406957,29.072043468713193,0.3458170848355424,47.31043421905379,1.1146937905168741,22.974392781360088,3.1036456090192566,2.3036274775322774,0.16093768508493866,0.024058563234596875,0.1473941740338409,0.22661299046869665,149.53874917515947,2.0098494060793355,0.013439339680837855,0.0,0.019216264997209652,0.02504241909413264,1.0032271917330728,1.1434174432380082,1.1225807018903278,242901.08222915116,343519.8146966491,2238.350085307388,2512.582941960298,108936.4231909226,163625.46546008537,2,0.7301252900996157
