timestamp,isSummer,isWeekend,isHoliday,universe_id,session_session_length,platform_platform_share,visits_visits_gained,ratings_like_ratio,ccu_playing,daily_Estimated Revenue,daily_rpv,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2022-12-02 00:00:00+00:00,0,0,0,4069560710,0.0,0.0629885047674179,70219,95.8615493774414,2532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2532.0,70219.0,95.8615493774414,0.0629885047674179,0.0,0.0,2532.0,70219.0,95.8615493774414,0.0629885047674179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03605810310452862,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2022-12-03 00:00:00+00:00,0,1,0,4069560710,0.0,0.1273247003555297,377930,93.6904525756836,7466,0.0,0.0,0.0,0.0,2532.0,70219.0,95.8615493774414,0.0629885047674179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4999.0,224074.5,94.7760009765625,0.09515660256147379,0.0,0.0,4999.0,224074.5,94.7760009765625,0.09515660256147379,0.0,0.0,0.0,0.0,194.8657187993681,0.0,438.2161523234452,0.0,102.13958217562107,0.0,-2.2648254861909467,0.0,0.0,0.0,0.0,0.019754928809756277,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3488.8648583744257,3488.8648583744257,217584.53474569373,217584.53474569373,0,0.0
2022-12-04 00:00:00+00:00,0,1,0,4069560710,0.0,0.1213229969143867,302740,93.69839477539062,6914,0.0,0.0,0.0,0.0,7466.0,377930.0,93.6904525756836,0.1273247003555297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5637.333333333333,250296.33333333334,94.4167989095052,0.10387873401244478,0.0,0.0,5637.333333333333,250296.33333333334,94.4167989095052,0.10387873401244478,0.0,0.0,0.0,0.0,-7.393517278328421,0.0,-19.895218691292037,0.0,-4.713699246402625,0.0,0.00847706408571014,0.0,0.0,0.0,0.0,0.022838003441885968,0.0,-1.0815773010254002,0.0,1.0,0.0,1.0,0.0,0.0,2703.423261964973,2703.423261964973,160419.0403609663,160419.0403609663,0,0.0
2022-12-05 00:00:00+00:00,0,0,0,4069560710,0.0,0.1446198970079422,199419,94.0724639892578,5257,0.0,0.0,0.0,0.0,6914.0,302740.0,93.69839477539062,0.1213229969143867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5542.25,237577.0,94.33071517944336,0.11406402476131913,0.0,0.0,5542.25,237577.0,94.33071517944336,0.11406402476131913,0.0,0.0,0.0,0.0,-23.965866358113974,0.0,-34.128625222963606,0.0,19.202377691012117,0.0,0.39922691820268863,0.0,0.0,0.0,0.0,0.02636144819977936,0.0,-0.5359313964843954,0.0,1.0,0.0,1.0,0.0,0.0,2215.5123372860435,2215.5123372860435,133429.02521065896,133429.02521065896,0,0.0
2022-12-06 00:00:00+00:00,0,0,0,4069560710,0.0,0.1599533557891845,223495,94.28736114501952,5394,0.0,0.0,0.0,0.0,5257.0,199419.0,94.0724639892578,0.1446198970079422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5512.6,234760.6,94.3220443725586,0.1232418909668922,0.0,0.0,5512.6,234760.6,94.3220443725586,0.1232418909668922,0.0,0.0,0.0,0.0,2.6060490774205913,0.0,12.07307227495875,0.0,10.602592795651212,0.0,0.22843789420277094,0.0,0.0,0.0,0.0,0.02413466012814547,0.0,-0.2766365051269642,-0.2766365051269642,1.0,0.0,1.0,0.0,0.0,1919.8350970851639,1919.8350970851639,115724.41022230357,115724.41022230357,0,0.0
2022-12-07 00:00:00+00:00,0,0,0,4069560710,0.0,0.1624441295862198,224363,94.38664245605467,5516,0.0,0.0,0.0,0.0,5394.0,223495.0,94.28736114501952,0.1599533557891845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5513.166666666667,233027.66666666666,94.33281071980794,0.1297755974034468,0.0,0.0,5513.166666666667,233027.66666666666,94.33281071980794,0.1297755974034468,0.0,0.0,0.0,0.0,2.261772339636625,0.0,0.38837557887201335,0.0,1.5571875843093164,0.0,0.1052965210071477,0.0,0.0,0.0,0.0,0.024585049294895793,0.0,-0.1488497052873883,-0.1488497052873883,1.0,0.0,1.0,0.0,0.0,1717.1532740750508,1717.1532740750508,103594.06182145127,103594.06182145127,0,0.0
2022-12-08 00:00:00+00:00,0,0,0,4069560710,0.0,0.1472154259681701,245360,94.19823455810548,5267,0.0,0.0,0.0,0.0,5516.0,224363.0,94.38664245605467,0.1624441295862198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5478.0,234789.42857142858,94.31358555385044,0.13226700148412157,0.0,0.0,5478.0,234789.42857142858,94.31358555385044,0.13226700148412157,0.0,0.0,0.0,0.0,-4.514140681653367,0.0,9.35849493900509,0.0,-9.37473312014443,0.0,-0.19961288276242328,0.0,0.0,0.0,0.0,0.02146632920472284,0.0,-0.10744994027274105,-0.10744994027274105,1.0,0.0,1.0,0.0,0.0,1570.2981670158485,1570.2981670158485,94682.8108596577,94682.8108596577,0,0.0
2022-12-09 00:00:00+00:00,0,0,0,4069560710,0.0,0.1075242385268211,203000,94.19505310058594,4549,0.0,0.0,0.0,0.0,5267.0,245360.0,94.19823455810548,0.1472154259681701,0.0,0.0,2532.0,70219.0,95.8615493774414,0.0629885047674179,0.0,0.0,5766.142857142857,253758.14285714287,94.0755146571568,0.1386292491640363,0.0,0.0,5361.875,230815.75,94.29876899719238,0.129174156114459,0.0,0.0,0.0,79.66034755134281,-13.632048604518697,189.09554394109858,-17.264427779589177,70.70454192213217,-26.9612964676207,-1.738440790575868,-0.0033774067364156224,0.0,0.0,0.0,0.0,0.02240875660711031,0.0,0.10098784310477535,-0.08151099795386861,0.9976324787437869,0.0,1.073196476245599,0.0,0.0,1490.4543350938332,1490.4543350938332,88376.83506399496,88376.83506399496,0,0.0
2022-12-10 00:00:00+00:00,0,1,0,4069560710,0.0,0.1290617436170578,375111,94.10618591308594,7764,0.0,0.0,0.0,0.0,4549.0,203000.0,94.19505310058594,0.1075242385268211,0.0,0.0,7466.0,377930.0,93.6904525756836,0.1273247003555297,0.0,0.0,5808.714285714285,253355.42857142858,94.13490513392857,0.13887739820139747,0.0,0.0,5628.777777777777,246848.55555555556,94.27737087673611,0.12916166583696997,0.0,0.0,0.0,3.991427806054104,70.67487359859311,-0.7459053263831894,84.78374384236453,1.3642625952998477,20.030372114529627,0.4437307388034162,-0.09434379468431509,0.0,0.0,0.0,0.0,0.020697818251615516,0.0,0.04926518031529286,-0.06989657084147277,0.9984888659761862,0.0,1.0752214854265727,0.0,0.0,1607.764346676603,1607.764346676603,95643.16253542528,95643.16253542528,0,0.0
2022-12-11 00:00:00+00:00,0,1,0,4069560710,0.0,0.1236272230744361,335034,94.08899688720705,7285,0.0,0.0,0.0,0.0,7764.0,375111.0,94.10618591308594,0.1290617436170578,0.0,0.0,6914.0,302740.0,93.69839477539062,0.1213229969143867,0.0,0.0,5861.714285714285,257968.85714285713,94.19070543561664,0.13920657336711878,0.0,0.0,5794.4,255667.1,94.2585334777832,0.12860822156071658,0.0,0.0,0.0,5.3659242117442885,-6.16950025759918,10.667239215168124,-10.68403752489263,1.8992492920987036,-4.210791199866781,0.4168717220319085,-0.018265564279451585,0.0,0.0,0.0,0.0,0.021743996895846704,0.0,-0.018012183053148938,-0.06110881458629261,0.999280404227989,0.0,1.0824080426413383,0.0,0.0,1603.7461145705076,1603.7461145705076,94386.86447505995,94386.86447505995,0,0.0
