timestamp,isSummer,isWeekend,isHoliday,universe_id,session_session_length,ccu_playing,daily_rpv,visits_visits_gained,ratings_like_ratio,daily_Estimated Revenue,platform_platform_share,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2024-07-12 00:00:00+00:00,1,0,0,465016798,34.02624151441786,10,5.697002584148389e-05,1232,80.82962036132812,1249,0.00035767769441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1249.0,10.0,1232.0,80.82962036132812,0.00035767769441,34.02624151441786,1249.0,10.0,1232.0,80.82962036132812,0.00035767769441,34.02624151441786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.54545454545455,1.0129764801297647,0.008110300081103,0.02722099321153429,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2024-07-13 00:00:00+00:00,1,1,0,465016798,10.21217159430186,10,3.1970783411429126e-05,1700,80.82781982421875,701,0.0002115376846631,0.0,1249.0,10.0,1232.0,80.82962036132812,0.00035767769441,34.02624151441786,0.0,0.0,0.0,0.0,0.0,0.0,975.0,10.0,1466.0,80.82872009277344,0.00028460768953655,22.119206554359863,975.0,10.0,1466.0,80.82872009277344,0.00028460768953655,22.119206554359863,0.0,-43.87510008006406,0.0,0.0,0.0,37.98701298701299,0.0,-40.85801603814359,0.0,-0.0022275709094299323,0.3974302729130544,0.3974302729130544,63.72727272727273,0.41211052322163433,0.005878894767783657,0.014547252983335984,0.0,0.0,1.0,1.0,1.0,387.49451609022805,387.49451609022805,0.0,0.0,330.92597359530424,330.92597359530424,1,0.5612489991993594
2024-07-14 00:00:00+00:00,1,1,0,465016798,10.365710059801737,15,3.253335004811271e-05,1460,80.82572937011719,713,0.0002117687836289,0.0,701.0,10.0,1700.0,80.82781982421875,0.0002115376846631,10.21217159430186,0.0,0.0,0.0,0.0,0.0,0.0,887.6666666666666,11.666666666666666,1464.0,80.82772318522136,0.00026032805423400004,18.201374389507155,887.6666666666666,11.666666666666666,1464.0,80.82772318522136,0.00026032805423400004,18.201374389507155,0.0,1.7118402282453538,0.0,50.0,0.0,-14.117647058823534,0.0,0.10924718504319308,0.0,-0.0025863051930752334,0.35258884258063805,0.35258884258063805,44.5625,0.48802190280629704,0.01026694045174538,0.014517801204204114,-0.0019454956054659003,0.0,1.0,1.0,1.0,312.981362597413,312.981362597413,2.886751345948129,2.886751345948129,234.0256396209612,234.0256396209612,1,0.5708566853482786
2024-07-15 00:00:00+00:00,1,0,0,465016798,11.222287595272064,16,5.270288494606023e-05,1863,80.82454681396484,1155,0.0003067600482609,0.0,713.0,15.0,1460.0,80.82572937011719,0.0002117687836289,10.365710059801737,0.0,0.0,0.0,0.0,0.0,0.0,954.5,12.75,1563.75,80.82692909240723,0.000271936052740725,16.45660269094838,954.5,12.75,1563.75,80.82692909240723,0.000271936052740725,16.45660269094838,0.0,61.991584852734924,0.0,6.666666666666665,0.0,27.6027397260274,0.0,44.856122325593105,0.0,-0.0014630936974624476,0.30214246597710415,0.30214246597710415,67.94117647058823,0.6196351931330472,0.008583690987124463,0.00970786124158483,-0.0017311096191505418,0.0,1.0,1.0,1.0,288.39498377514593,288.39498377514593,3.2015621187164247,3.2015621187164247,276.2467194375347,276.2467194375347,1,0.9247397918334668
2024-07-16 00:00:00+00:00,1,0,0,465016798,10.670757015546164,13,5.452171586141011e-05,2266,80.8235855102539,1195,0.0003285188577137,0.0,1155.0,16.0,1863.0,80.82454681396484,0.0003067600482609,11.222287595272064,0.0,0.0,0.0,0.0,0.0,0.0,1002.6,12.8,1704.2,80.82626037597656,0.00028325261373532,15.299433555867939,1002.6,12.8,1704.2,80.82626037597656,0.00028325261373532,15.299433555867939,0.0,3.463203463203457,0.0,-18.75,0.0,21.63177670424048,0.0,7.093104064938105,0.0,-0.0011893709879418068,0.2712264203561142,0.2712264203561142,85.35714285714286,0.5271283634759594,0.005734450816056462,0.008922037638416525,-0.0015342712402389924,-0.0015342712402389924,1.0,1.0,1.0,271.9316090490401,271.9316090490401,2.774887385102322,2.774887385102322,394.797669699303,394.797669699303,1,0.9567654123298639
2024-07-17 00:00:00+00:00,1,0,0,465016798,11.686070124308268,13,4.126853575747898e-05,2031,80.8214340209961,905,0.0002624186745379,0.0,1195.0,13.0,2266.0,80.8235855102539,0.0003285188577137,10.670757015546164,0.0,0.0,0.0,0.0,0.0,0.0,986.3333333333334,12.833333333333334,1758.6666666666667,80.82545598347981,0.00027978029053575,14.697206317274658,986.3333333333334,12.833333333333334,1758.6666666666667,80.82545598347981,0.00027978029053575,14.697206317274658,0.0,-24.26778242677824,0.0,0.0,0.0,-10.370697263901151,0.0,-20.120666325159785,0.0,-0.002661957204974641,0.2498801719201971,0.2498801719201971,64.64285714285714,0.4453740157480315,0.0063976377952755905,0.012898532146035615,-0.0015662057059138978,-0.0015662057059138978,1.0,1.0,1.0,246.46514290395442,246.46514290395442,2.4832774042918904,2.4832774042918904,377.48094874664423,377.48094874664423,1,0.7245796637309848
2024-07-18 00:00:00+00:00,1,0,0,465016798,11.001219491163887,5,5.299485065807392e-05,1611,80.82250213623047,1162,0.0002038397360593,0.0,905.0,13.0,2031.0,80.8214340209961,0.0002624186745379,11.686070124308268,0.0,0.0,0.0,0.0,0.0,0.0,1011.4285714285714,11.714285714285714,1737.5714285714287,80.82503400530133,0.00026893163989625716,14.169208199258835,1011.4285714285714,11.714285714285714,1737.5714285714287,80.82503400530133,0.00026893163989625716,14.169208199258835,0.0,28.397790055248628,0.0,-61.53846153846154,0.0,-20.679468242245203,0.0,-22.322701912031672,0.0,0.0013215742176830858,0.23193255921496517,0.23193255921496517,193.66666666666666,0.7208436724565757,0.003101736972704715,0.009459346080106524,-0.0012953622000550329,-0.0012953622000550329,1.0,1.0,1.0,234.58321703456477,234.58321703456477,3.728908942943218,3.728908942943218,349.082061576194,349.082061576194,1,0.9303442754203363
2024-07-19 00:00:00+00:00,1,0,0,465016798,10.65857309103012,8,4.208322735931306e-05,1682,80.81742858886719,923,0.0002622359606903,0.0,1162.0,5.0,1611.0,80.82250213623047,0.0002038397360593,11.001219491163887,1249.0,10.0,1232.0,80.82962036132812,0.00035767769441,34.02624151441786,964.8571428571429,11.428571428571429,1801.857142857143,80.8232923235212,0.00025529710650772856,10.830969853060585,1000.375,11.25,1730.625,80.82408332824707,0.0002680946799955125,13.730378810730246,-26.100880704563657,-20.567986230636837,-19.999999999999996,60.00000000000001,36.525974025974016,4.407200496585961,-26.683725379390523,28.648106478126344,-0.015083297937612539,-0.006277394573517281,0.21933837319868185,0.21933837319868185,102.55555555555556,0.5484254307783719,0.004753416518122401,0.01153525226301961,-0.001455034528459924,-0.0014973595028772557,0.9999902132545981,0.9644954570607451,0.9522647242086335,219.42062508863137,219.42062508863137,3.6936238496708276,3.6936238496708276,323.7838509605708,323.7838509605708,1,0.7389911929543634
2024-07-20 00:00:00+00:00,1,1,0,465016798,11.110552509625752,16,6.670471477351067e-05,2297,80.81263732910156,1463,0.0002687694504857,0.0,923.0,8.0,1682.0,80.81742858886719,0.0002622359606903,10.65857309103012,701.0,10.0,1700.0,80.82781982421875,0.0002115376846631,10.21217159430186,1073.7142857142858,12.285714285714286,1887.142857142857,80.82112339564732,0.00026347307305381426,10.959309983821141,1051.7777777777778,11.777777777777779,1793.5555555555557,80.82281155056424,0.0002681696544944222,13.439286999496412,108.70185449358058,58.504875406283865,60.00000000000001,100.0,35.11764705882352,36.563614744351966,27.055115930643115,2.49145455802533,-0.018783749394957194,-0.005928498158480622,0.24408621078871057,0.24408621078871057,86.05882352941177,0.6366405570060922,0.006962576153176675,0.007589175211492999,-0.0019498552594837317,-0.0018112182617155493,0.9999791128904757,1.020856599559325,0.9824865290986694,256.72445236954826,256.72445236954826,3.80058475033046,3.80058475033046,356.8946311977497,356.8946311977497,2,1.0
2024-07-21 00:00:00+00:00,1,1,0,465016798,10.727647523226857,23,6.392064904127978e-05,2305,80.80992889404297,1401,0.0003570512053556,0.0,1463.0,16.0,2297.0,80.81263732910156,0.0002687694504857,11.110552509625752,713.0,15.0,1460.0,80.82572937011719,0.0002117687836289,10.365710059801737,1172.0,13.428571428571429,2007.857142857143,80.81886618477958,0.0002842277047290571,11.011015335739017,1086.7,12.9,1844.7,80.8215232849121,0.00027705780958053996,13.168123051869458,96.4936886395512,-4.237867395762129,53.33333333333334,43.75,57.87671232876712,0.3482803656943867,68.60426699210325,32.84664782785538,-0.01954881966096389,-0.00335149940419166,0.24481929680603123,0.24481929680603123,58.375,0.6075455333911535,0.00997398091934085,0.0076516744102901975,-0.0024912697928236045,-0.0020199400005873817,0.9999671238548281,1.078494524707831,1.0258786971548364,266.04512983911417,266.04512983911417,5.043147165543886,5.043147165543886,373.3345386885303,373.3345386885303,2,0.9576213260423787
