timestamp,isSummer,isWeekend,isHoliday,universe_id,ccu_playing,session_session_length,daily_rpv,ratings_like_ratio,visits_visits_gained,daily_Estimated Revenue,platform_platform_share,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-06-23 00:00:00+00:00,1,0,0,7628118889,116,19.655306975046795,0.9846163563405343,98.34436798095705,9764,4741,0.0010765335755422,0.0,60.0,31.0,68.0,100.0,0.0001395907020196,6.013523419698079,93.0,0.0,90.0,100.0,1.982530375244096e-05,2.8935702641805015,686.8571428571429,21.0,1406.142857142857,99.76348114013672,0.00017392549232550232,3.982877129600162,445.54545454545456,13.363636363636363,903.0,72.57676072554155,0.00011248215909372338,2.7976100155801484,4997.8494623655915,7801.666666666667,inf,274.19354838709677,10748.888888888889,14258.823529411766,5330.098771675332,671.2072222339303,-1.6556320190429519,-1.6556320190429519,3.1982861354021086,3.1982861354021086,40.52136752136752,0.4855094726062468,0.01187916026625704,0.004144940315277687,-0.17738914489746008,10.833834908225322,1.3745926401621213,1.5416095840499024,1.5462495895067463,1424.9818499641576,1424.9818499641576,35.28816438204948,35.28816438204948,2939.029805905343,2939.029805905343,5,1.0
2025-06-24 00:00:00+00:00,1,0,0,7628118889,123,17.783447742462158,0.2377552530585426,97.47126770019533,9743,3603,0.0011774884769693,0.0,4741.0,116.0,9764.0,98.34436798095705,0.0010765335755422,19.655306975046795,4.0,0.0,4.0,100.0,0.0,0.9375,1201.0,38.57142857142857,2797.4285714285716,99.40223366873605,0.00034213813189254514,6.389441092809041,708.6666666666666,22.5,1639.6666666666667,74.65130297342937,0.00020123268558335474,4.046429826153649,89975.0,-24.00337481543978,inf,6.034482758620685,243475.0,-0.21507578861122978,inf,9.377775456399839,-2.52873229980467,-0.8877989646857931,2.308678396734962,2.308678396734962,29.056451612903224,0.36976600985221675,0.012623152709359606,0.004934363968496714,-0.38919503348213674,9.291200197660007,1.3315539007285146,1.6947318908748825,1.7002115282649968,1636.0834238195096,1636.0834238195096,46.19228585735147,46.19228585735147,3790.0878937597536,3790.0878937597536,5,0.7599662518456022
2025-06-25 00:00:00+00:00,1,0,0,7628118889,97,20.016428867975872,0.0745455561626129,97.88461303710938,9618,1879,0.0008399400394409,0.0,3603.0,123.0,9743.0,97.47126770019533,0.0011774884769693,17.783447742462158,0.0,0.0,0.0,100.0,0.0,0.0,1469.4285714285713,52.42857142857143,4171.428571428572,99.10003553118024,0.00046212956609838804,9.248930931091309,798.6923076923077,28.23076923076923,2253.3846153846152,76.43848067063551,0.00025036402049547364,5.274891290909205,inf,-47.849014709963924,inf,-21.138211382113823,inf,-1.2829723904341561,inf,-28.66681450651688,-2.1153869628906197,0.42406890426973654,2.002908677536731,2.002908677536731,19.1734693877551,0.19534255120074853,0.010084208337665037,0.010647036631902059,-0.4664020538330029,8.066162025535503,1.29646788713908,1.839793068339731,1.84583058373894,1599.70775375876,1599.70775375876,48.81453650664906,48.81453650664906,4250.193966916129,4250.193966916129,5,0.39632988820923853
2025-06-26 00:00:00+00:00,1,0,0,7628118889,75,17.86081612110138,0.053753332881089,98.26087188720705,9054,1847,0.0007676258683204,0.0,1879.0,97.0,9618.0,97.88461303710938,0.0008399400394409,20.016428867975872,1.0,0.0,3.0,100.0,1.3541687167162308e-06,0.3571428457895915,1733.142857142857,63.142857142857146,5464.428571428572,98.85158865792411,0.0005715969517560572,11.749455684707277,873.5714285714286,31.571428571428573,2739.1428571428573,77.99722290039062,0.0002873112953401112,6.1738859216372175,184600.0,-1.7030335284725973,inf,-22.680412371134018,301700.0,-5.864004990642546,56586.132152117774,-8.60944445137244,-1.7391281127929537,0.3843901900649316,1.788379482416983,1.788379482416983,24.30263157894737,0.20397570403092213,0.008282716731087797,0.009664943788474772,-0.4277460915701641,7.076426512330445,1.2673731830704582,1.9839738348323794,1.9894691264379858,1562.2772192828359,1562.2772192828359,48.53660678088445,48.53660678088445,4469.681624475711,4469.681624475711,5,0.38958025732967727
2025-06-27 00:00:00+00:00,1,0,0,7628118889,92,20.383951981862385,0.0712012883641591,97.9332275390625,8433,3099,0.0005860457895323,0.0,1847.0,75.0,9054.0,98.26087188720705,0.0007676258683204,17.86081612110138,0.0,0.0,0.0,100.0,0.0,0.0,2175.8571428571427,76.28571428571429,6669.142857142857,98.55633544921875,0.0006553177788321,14.661448824973332,1021.9333333333333,35.6,3118.733333333333,79.32628987630208,0.0003072269282862571,7.121223658985562,inf,67.78559826746076,inf,22.666666666666657,inf,-6.8588469184890695,inf,-23.65476285803205,-2.066772460937505,-0.3334433552763971,1.503540724631287,1.5767947024702187,33.32258064516129,0.3674413089874318,0.010908228598529761,0.006575468381245931,-0.3620831625802166,6.247996657235282,1.2424170549625244,2.1291576190786836,2.133008921084909,1646.2696977052142,1611.3790662777321,50.13498263205527,49.30488240094918,4637.241616272793,4551.0860158658315,5,0.6536595654925121
2025-06-28 00:00:00+00:00,1,1,0,7628118889,226,17.990455786387127,0.1017448778588325,97.8005828857422,19854,5753,0.0013570365263149,0.0,3099.0,92.0,8433.0,97.9332275390625,0.0005860457895323,20.383951981862385,2.0,0.0,4.0,100.0,0.0,0.9166666666666666,2997.4285714285716,108.57142857142857,9504.857142857143,98.24213300432477,0.0008491801397342286,17.10056155636197,1317.625,47.5,4164.6875,80.48093318939209,0.00037284002816304735,7.80055066694816,287550.0,85.6405292029687,inf,145.65217391304347,496250.0,135.4322305229456,inf,131.55810528011767,-2.1994171142577956,-0.13544397203429925,1.3454957420030444,1.483798450995395,25.34361233480176,0.2897506925207756,0.011382523293880635,0.003126599893358903,-0.23681885855537607,5.552930181166705,1.220688293625225,2.27487226747259,2.277599172808967,2026.124373779156,1955.0899339928073,69.53851016238697,67.339933669901,6281.1889688686615,6069.256975047824,6,1.0
2025-06-29 00:00:00+00:00,1,1,0,7628118889,251,14.721911311149595,0.0924057760881681,97.70580291748048,24865,7381,0.0020300620235502,0.0,5753.0,226.0,19854.0,97.8005828857422,0.0013570365263149,17.990455786387127,60.0,31.0,68.0,100.0,0.0001395907020196,6.013523419698079,4043.285714285714,140.0,13047.285714285714,97.91439056396486,0.0011192474713814572,18.344616969426472,1674.2941176470588,59.470588235294116,5382.35294117647,81.49416082045612,0.00047032367495052687,8.207689528371773,12201.666666666666,28.298279158699803,709.6774193548388,11.061946902654874,36466.17647058824,25.239246499445954,1354.2960198489138,49.595238166723064,-2.2941970825195224,-0.0969114553974082,1.2332608037974424,1.4317088665611841,29.28968253968254,0.2968310142363066,0.010094104399581758,0.001994298470759902,-0.04315893990652902,4.965184361326929,1.2014896475795975,2.4149196199577396,2.3797387437474633,2507.3073041776147,2397.1017334665285,85.08473475255175,81.77569752611318,8087.514227105037,7729.145675147225,7,1.0
2025-06-30 00:00:00+00:00,1,0,0,7628118889,398,18.508547345797226,0.0922035229547551,97.06242370605467,32787,9869,0.003153521567583,0.0,7381.0,251.0,24865.0,97.70580291748048,0.0020300620235502,14.721911311149595,4741.0,116.0,9764.0,98.34436798095705,0.0010765335755422,19.655306975046795,4775.857142857143,180.28571428571428,16336.285714285714,97.73125566755023,0.0014159600416729999,18.180794165247963,2129.5555555555557,78.27777777777777,6904.833333333333,82.35906431410048,0.0006193902245412199,8.779959407117632,108.16283484496942,33.708169624712106,243.10344827586206,58.56573705179282,235.79475624743958,31.860044238889994,192.93295065086267,55.34114381727504,-1.3035258665250682,-0.6584861822067967,1.1690110318633953,1.41956798728528,24.734335839598998,0.30099426619494934,0.012138587288032207,0.0018752327604657777,-0.07301575796944645,4.454335302268266,1.1866484458204065,2.242654402886063,2.2860548739234567,3192.986631958883,3023.0488938121866,118.87912875163265,112.51970052633426,10456.950019952292,9896.900074681733,8,1.0
2025-07-01 00:00:00+00:00,1,0,0,7628118889,685,16.43217142422994,0.1185556153056469,96.15795135498048,55710,17711,0.0059400950558483,0.0,9869.0,398.0,32787.0,97.06242370605467,0.003153521567583,18.508547345797226,3603.0,123.0,9743.0,97.47126770019533,0.0011774884769693,17.783447742462158,6791.285714285715,260.57142857142856,22903.0,97.54363904680527,0.0020963324100842858,17.98775469121479,2949.6315789473683,110.21052631578948,9473.526315789473,83.08532152677837,0.0008994273209258029,9.18270740801828,391.56258673327784,79.46093829162022,456.9105691056911,72.1105527638191,471.7951349686955,69.91490529783147,404.471608175506,88.36386333647481,-1.3473881854644376,-0.9318460394243888,1.255228536378817,1.5686687315833272,25.817784256559765,0.3179084920392741,0.012295596919818349,0.0009277422890825394,-0.27872521536691286,4.004062170731396,1.1740177116046544,2.302418296155248,2.330741307620585,5016.072549732093,4626.994827585495,192.46326893750373,177.00740064483443,15968.988293075914,14760.505736474317,9,1.0
2025-07-02 00:00:00+00:00,1,0,0,7628118889,2745,18.57360657401707,0.2642683265210755,95.25423431396484,178177,68752,0.0227798242121934,0.0,17711.0,685.0,55710.0,96.15795135498048,0.0059400950558483,16.43217142422994,1879.0,97.0,9618.0,97.88461303710938,0.0008399400394409,20.016428867975872,16344.57142857143,638.8571428571429,46982.857142857145,97.16787065778462,0.005230601577620357,17.781637220649248,6239.75,241.95,17908.7,83.69376716613769,0.001993447165489183,9.65225236631822,3558.967535923364,288.18813166958387,2729.8969072164946,300.7299270072993,1752.536909960491,219.82947406210735,2612.0774272597628,283.49258720642194,-2.6872239073441717,-0.93982559765593,2.0100131487988118,2.4660688695112625,25.03714493809177,0.3858613296815544,0.015405942372234508,0.00027014976181427824,-0.4753080095563618,3.605894900443859,1.1609929143815445,2.619427289325923,2.623897772749242,17903.187116351015,15387.6532285329,715.6067470919461,613.8308934792005,46587.62112548642,40366.42981501493,10,1.0
2025-07-03 00:00:00+00:00,1,0,0,7628118889,3836,18.476184407869976,0.2592609197316888,95.2588119506836,365381,138598,0.0339799188077449,0.0,68752.0,2745.0,178177.0,95.25423431396484,0.0227798242121934,18.57360657401707,1847.0,75.0,9054.0,98.26087188720705,0.0007676258683204,17.86081612110138,35880.42857142857,1176.142857142857,97886.71428571429,96.73900495256699,0.009975214854681,17.8695469759019,12542.52380952381,413.0952380952381,34455.0,84.2444835844494,0.0035166124817870743,10.072439606392113,7403.952355170547,101.5912264370491,5014.666666666667,39.744990892531874,3935.5754362712614,105.06631046655852,4326.625027905129,49.16672969564182,-3.0551936685128234,0.004805704178623138,2.0612105721362948,2.594758088065769,36.12144904873599,0.37932355726335726,0.010498601463673634,0.00013330676561786143,-0.5237069811139755,3.264377346286527,1.1483126352788746,2.8607024484325705,2.8365976934745416,38764.74554218755,32544.815099519383,1165.8364186047095,986.4347370587628,101334.22106286495,85424.56988887915,11,1.0
2025-07-04 00:00:00+00:00,1,0,1,7628118889,4974,19.080760836601257,0.1779306394652214,94.7817840576172,436366,164594,0.0414047166705131,0.0,138598.0,3836.0,365381.0,95.2588119506836,0.0339799188077449,18.476184407869976,3099.0,92.0,8433.0,97.9332275390625,0.0005860457895323,20.383951981862385,58951.142857142855,1873.5714285714287,159020.0,96.28879874093194,0.01580645355196397,17.68337681229317,19453.954545454544,620.4090909090909,52723.681818181816,84.72345178777522,0.005238799035820075,10.4819087532198,5211.197160374314,18.756403411304646,5306.521739130435,29.66631908237747,5074.504921143128,19.42766591585221,6965.099248227099,21.850546214595123,-3.217951210878134,-0.500770357406255,1.780562875090822,2.332844784285356,33.08422110552764,0.3771916758141656,0.011398662135312708,0.00011592551922355635,-0.5628059932163689,2.9635372237254507,1.136507032104014,3.0302909734574714,3.017190284240336,54420.23343283834,45383.056395088024,1628.5563906670282,1368.3041871180722,142830.5574818338,119550.19080600032,12,1.0
