timestamp,isSummer,isWeekend,isHoliday,universe_id,visits_visits_gained,sort_sort_position,session_session_length,daily_Estimated Revenue,platform_platform_share,ccu_playing,ratings_like_ratio,daily_rpv,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-08-24 00:00:00+00:00,1,1,0,7943513032,560883,120,11.177990039189655,652231,0.0227768495678901,3030,95.90010833740234,0.040871802291316,815944.0,3647.0,547074.0,95.95389556884766,0.0218327026814222,11.9732240041097,807355.0,5575.0,896435.0,96.03166198730467,0.0378698967397213,11.009961565335592,751590.7142857143,3629.8571428571427,550175.7142857143,95.97733197893415,0.025374589754002388,12.10321537653605,408922.0714285714,3495.6785714285716,475312.14285714284,96.06210054670062,0.023949377870719303,12.612376190367199,-19.213852642270123,-20.06424460502191,-45.65022421524664,-16.91801480669043,-37.43182718211583,2.5241557814847715,-39.85499954110061,4.324461795887924,-0.13698987102787052,-0.05605528689215378,0.27773441991137804,0.6368285981597663,215.1867370504784,1.1628625526846905,0.0054021865483772046,1.7138058297031815e-05,-0.01965931483677613,-0.009287649905280755,0.9991175649159861,1.837980306761208,1.0595093488848226,176168.64863265224,260413.26950444496,1359.8295546069069,1636.9048492352067,154624.47556752776,227199.11021534723,20,0.7993575539497809
2025-08-25 00:00:00+00:00,1,0,0,7943513032,404023,121,14.640371402104696,729953,0.0178838912397623,2274,95.8748779296875,0.0443627920273341,652231.0,3030.0,560883.0,95.90010833740234,0.0227768495678901,11.177990039189655,774628.0,4673.0,705912.0,96.02401733398438,0.0329996347427368,11.57073732217153,745208.5714285715,3287.1428571428573,507048.71428571426,95.95602634974888,0.02321519782500603,12.541734530812217,419992.1034482759,3453.551724137931,472853.8965517241,96.05564459438982,0.023740223159306992,12.682307059737457,-5.767284425556529,11.916330257224828,-51.33747057564734,-24.95049504950495,-42.76581216922223,-27.966616923672138,-45.80579033924449,-21.482155877368136,-0.1553146894262336,-0.026309050273520818,0.20161653912945557,0.6251962024564229,320.85846153846154,1.8067070273053085,0.005628378512167594,2.0056567129031002e-05,-0.02396719796316452,-0.009650075376916374,0.998962911080743,1.7743394823620717,0.977884566173712,134993.95230525863,262577.4681375472,1483.5535227773403,1623.3385481383484,163486.51241226384,223497.49591507806,20,0.8946116400145108
2025-08-26 00:00:00+00:00,1,0,0,7943513032,369102,127,12.811610380808512,619521,0.0177097879350185,2335,95.8561782836914,0.0367841584189349,729953.0,2274.0,404023.0,95.8748779296875,0.0178838912397623,14.640371402104696,724797.0,3650.0,606399.0,96.01809692382812,0.0307063050568103,12.455862760543823,730169.1428571428,3099.285714285714,473149.14285714284,95.93289511544364,0.021358552521892917,12.592555619421459,426643.06666666665,3416.266666666667,469395.5,96.04899571736654,0.02353920865183071,12.686617170439826,-14.524894556682765,-15.128645268941977,-36.02739726027397,2.6824978012313094,-39.13215556094255,-8.643319811000861,-42.32523938567895,-0.9735202613886607,-0.1686334611121998,-0.01950421883176734,0.16451428033450557,0.6107437343056208,265.2059075342466,1.678450188700715,0.006326147443938413,2.0679831193740514e-05,-0.025797980172290437,-0.010003076538492403,0.9987912356495166,1.7114285919654217,0.907360686495797,112694.22094744025,260569.5797516019,1578.7493815961138,1608.1241788844054,177699.56625141093,220425.70879890575,20,0.7592690184620513
2025-08-27 00:00:00+00:00,1,0,0,7943513032,373436,133,14.345225175221762,554994,0.0178492367267608,2387,95.83419799804688,0.0322226100443125,619521.0,2335.0,369102.0,95.8561782836914,0.0177097879350185,12.811610380808512,740996.0,3452.0,509938.0,96.0041732788086,0.0228743720799684,14.412402431170143,703597.4285714285,2947.1428571428573,453648.85714285716,95.90861293247768,0.020640676042863258,12.582958868571689,440173.2,3458.8333333333335,479159.3,96.03551813761393,0.023852384121467625,12.77688148021698,-25.101619981754286,-10.41562755741936,-30.851680185399765,2.2269807280513865,-26.768352231055538,1.1742011693244736,-21.96840785679195,0.7874108501692234,-0.17704988747530015,-0.022930484021055353,0.14867631957861993,0.5819564974942467,232.40954773869348,1.4861783915359217,0.006391975085489654,2.584748542819622e-05,-0.026190076555516882,-0.010081767081153195,0.9986785596871107,1.5984558545850327,0.8653506474552468,102702.43688325105,256161.65376283455,1653.8030979573077,1561.1888061684745,189081.71757200125,208786.55763394115,20,0.6801863853401704
2025-08-28 00:00:00+00:00,1,0,0,7943513032,351351,144,13.631214499473572,506347,0.0179848577827215,2222,95.81114196777344,0.0287771550740026,554994.0,2387.0,373436.0,95.83419799804688,0.0178492367267608,14.345225175221762,761864.0,2874.0,455878.0,95.98719024658205,0.0258422344923019,12.43024734656016,667095.0,2854.0,438716.4285714286,95.88346317836216,0.01951819365578034,12.754525604702177,452069.3333333333,3489.3333333333335,485112.1,96.02193094889323,0.02417007666081186,12.757575217882792,-33.53840055442966,-8.76531998544129,-22.686151704940848,-6.912442396313367,-22.92872215812125,-5.913998650371144,-30.40517534163317,0.7598143160786774,-0.18340809680579273,-0.024058249304603763,0.14620369921661694,0.5539371446906578,227.77642825011247,1.4411388009745212,0.006324142170814454,2.6920644496420587e-05,-0.02540806361606629,-0.010265634640702539,0.9985579568212937,1.4756475407902034,0.8075354468124692,101110.1235965999,250417.99570887585,1442.59648390831,1526.2469934638596,195291.2859064493,202191.3243836741,20,0.6205658721676978
2025-08-29 00:00:00+00:00,1,0,0,7943513032,356838,150,10.483176549275717,474257,0.0168034955859184,3061,95.78607940673828,0.0264283708247523,506347.0,2222.0,351351.0,95.81114196777344,0.0179848577827215,13.631214499473572,790675.0,4083.0,465146.0,95.95384216308594,0.020590029656887,10.702043732007343,621892.4285714285,2708.0,423243.85714285716,95.8594970703125,0.01897726021707054,12.723258864311946,462554.06666666665,3551.133333333333,491093.8,96.00878880818685,0.024431078570584415,12.667335311571756,-40.01871818383027,-6.337551126006469,-25.030614744060742,37.75877587758776,-23.284732105618456,1.561686177070798,-18.390134128350187,-6.568649088446299,-0.17483693468212103,-0.02615829487094823,0.1650526713991556,0.5280777448817575,154.8847158719791,1.3290503560429212,0.008578098245987686,2.21043747269961e-05,-0.025787898472375375,-0.010694756258581168,0.998445020089019,1.3444751076409558,0.7767671886545199,112955.04535652418,244264.50841121943,1152.1851766615837,1467.032113823179,188608.7873202561,195310.9548580028,20,0.5812371927485219
2025-08-30 00:00:00+00:00,1,1,0,7943513032,428503,158,13.074560602506002,232743,0.0221405625343322,3815,95.7396011352539,0.0126814015837205,474257.0,3061.0,356838.0,95.78607940673828,0.0168034955859184,10.483176549275717,815944.0,3647.0,547074.0,95.95389556884766,0.0218327026814222,11.9732240041097,538578.0,2732.0,406305.14285714284,95.82888357979911,0.019021240196057686,12.880592664082844,464670.7,3620.6666666666665,498120.1666666667,95.99355443318684,0.024764917170007984,12.708522109190623,-71.47561597364525,-50.924709598382314,4.606525911708248,24.632473048023517,-21.67366754771749,20.083343141705768,1.4100858579087605,31.76164698068149,-0.22333062386195035,-0.04852299182954711,0.25200377257467027,0.520581352742831,60.99135220125786,0.5431524559864085,0.008903067415940108,5.617571495938028e-05,-0.025148391723631064,-0.011135977977372778,0.9982845634338674,1.1590530670429617,0.7680720296974671,165355.96543011116,241898.9015859582,978.2664753037898,1426.5671680847947,154437.93044143327,188820.6235408372,20,0.2852438402635475
2025-08-31 00:00:00+00:00,1,1,0,7943513032,520051,162,11.106196562449137,403097,0.0224324241280555,3361,95.70013427734376,0.0214244240200038,232743.0,3815.0,428503.0,95.7396011352539,0.0221405625343322,13.074560602506002,652231.0,3030.0,560883.0,95.90010833740234,0.0227768495678901,11.177990039189655,502987.4285714286,2779.285714285714,400472.0,95.8003158569336,0.0189720365617956,12.870336453119915,472130.26666666666,3659.766666666667,507105.9,95.97702484130859,0.02508303771416342,12.564126484923893,-38.19720313815197,73.19403805914679,10.924092409240927,-11.900393184796854,-7.27994965081844,21.364611216257522,-1.5121733091663314,1.3182212207604405,-0.20852328899881867,-0.04122312756911217,0.2743287822763904,0.5002401613270789,119.89797739440809,0.7751090275587826,0.006462815256935845,2.7552100388613034e-05,-0.02876799447195827,-0.01163268296153559,0.9981588407781219,1.0653573051408451,0.7563691757750229,172083.4471002877,236178.52076473014,744.039671635214,1401.806117818731,105556.69707635957,182952.4264781176,20,0.4940253252674203
2025-09-01 00:00:00+00:00,0,0,1,7943513032,433616,177,12.889216661453249,247400,0.0200665779411792,2690,95.67691040039062,0.0128179172368085,403097.0,3361.0,520051.0,95.70013427734376,0.0224324241280555,11.106196562449137,729953.0,2274.0,404023.0,95.8748779296875,0.0178838912397623,14.640371402104696,434051.28571428574,2838.714285714286,404699.5714285714,95.77203478131976,0.019283848947712297,12.620171490169708,474260.23333333334,3696.8,513533.7,95.9613410949707,0.025394586597879684,12.580704000261095,-66.10740691523975,-38.62519443210939,18.293755496921715,-19.964296340374887,7.32458300641301,-16.620485298557252,12.204763897042747,-10.546547146981833,-0.20648529997823184,-0.02426733998703856,0.3284981031910101,0.4928971950722868,91.93608324043106,0.5705495863861426,0.006203631315192901,5.209848246956661e-05,-0.031338282993854355,-0.012393746890534242,0.9980272648184064,0.9152175434646093,0.7593684927055437,193692.31312036503,233761.53874432825,621.6825141112245,1358.9608707670216,82332.06039228926,176548.22214930202,20,0.30320708283901837
2025-09-02 00:00:00+00:00,0,0,0,7943513032,330415,182,11.81510285536448,242149,0.0175249818712472,1947,95.66261291503906,0.0122988084033935,247400.0,2690.0,433616.0,95.67691040039062,0.0200665779411792,12.889216661453249,619521.0,2335.0,369102.0,95.8561782836914,0.0177097879350185,12.811610380808512,380141.0,2783.285714285714,399172.85714285716,95.744382585798,0.019257448081459256,12.477813272249131,475973.2,3688.733333333333,514728.36666666664,95.94564819335938,0.02541707810014482,12.53360594511032,-60.913512213468145,-2.1224737267582894,-16.61670235546039,-27.620817843866174,-10.481384549528316,-23.800090402568173,-1.0435249956092019,-12.665817148206004,-0.20193311700731353,-0.014943506528097839,0.37835544947934535,0.4869863488728951,124.3064681724846,0.7328609994673382,0.005892571788291124,4.8792495789240056e-05,-0.03104155404227128,-0.013134412585162757,0.9979022956084911,0.7986605128187889,0.7576578238294642,210045.94658109522,231792.4508293483,663.1999847558989,1368.90154637876,76340.90449072202,175131.05405213727,20,0.29677159216808996
