timestamp,isSummer,isWeekend,isHoliday,universe_id,session_session_length,ccu_playing,ratings_like_ratio,visits_visits_gained,platform_platform_share,daily_rpv,daily_Estimated Revenue,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2024-05-03 00:00:00+00:00,0,0,0,5203828273,13.159505804379782,73296,90.21955871582033,6145761,3.949608087539673,0.0162160767209988,9353939.0,0.0,8661074.0,67684.0,5616500.0,90.20972442626952,4.349146842956543,13.383625467618309,11218122.0,91165.0,7316768.0,90.10386657714844,4.539440631866455,13.272873361905416,11398092.285714285,81571.57142857143,7276680.857142857,90.17627716064453,4.575751679284232,13.50018606867109,9958406.4,73710.8,6408720.1,89.71851196289063,4.273544716835022,13.016215081063528,-16.617603195971665,7.9997584595166815,-19.60072396204684,8.291472135216594,-16.00442982475322,9.423324134247313,-12.993507177651187,-9.186600725241645,0.12839863933344908,0.010901584738620684,0.24826719200521938,0.30752330928181526,127.61694203036959,1.5220145199244617,0.011926267239115345,1.4068409466363673e-06,0.016726630074641497,0.040741757741892204,1.0051022379633674,1.1445699068592226,1.0707157599775916,2957610.4454320124,3062442.091301209,12629.35868052387,16975.350072871835,1876845.7798842802,1901752.8698423523,11,0.49421956415298673
2024-05-04 00:00:00+00:00,0,1,0,5203828273,13.296764492988586,77711,90.2358856201172,8104986,3.864227056503296,0.0213864839518412,12487273.0,0.0,9353939.0,73296.0,6145761.0,90.21955871582033,3.949608087539673,13.159505804379782,15388403.0,94049.0,9847713.0,90.11988067626952,4.5781331062316895,13.410808563232422,10983645.142857144,79237.57142857143,7027719.857142857,90.19284929547992,4.473765100751605,13.483894058636256,9973766.666666666,73975.4,6486677.7,89.75201136271158,4.27469912370046,13.250911300712163,-18.852703558647377,33.497481649174745,-17.37179555338175,6.023521065269599,-17.69676878276205,31.879290457276156,-15.59382466963739,-2.161759575734601,0.12872292215344583,0.01809685674512007,0.24654782278960446,0.30823913155940386,160.68654776611078,1.5406900714337974,0.009588047457694874,1.0648252367160827e-06,0.01505661010742758,0.04071683618462644,1.0049117331865332,1.1012534692199683,1.0465684183355624,2914184.329216128,3074305.175709463,10743.845352133196,16973.71977722798,1811697.192819934,1922332.4032798307,11,0.6597706719617649
2024-05-05 00:00:00+00:00,0,1,0,5203828273,13.592397292455038,81977,90.25499725341795,8368656,4.565448760986328,0.0222451438546335,13172094.0,0.0,12487273.0,77711.0,8104986.0,90.2358856201172,3.864227056503296,13.296764492988586,15892449.0,96941.0,9894391.0,90.14090728759766,5.160890102386475,13.887118538220724,10595023.0,77099.85714285714,6809757.714285715,90.20914786202567,4.388702051980155,13.441791023526873,10110366.333333334,74312.33333333333,6570786.466666667,89.78564910888672,4.312460017204285,13.256354300181071,-17.117280036575867,5.484151743939614,-15.43619314840986,5.489570331098559,-15.420201202883533,3.253182670519106,-11.537570643575712,18.14649331495446,0.12656846847158842,0.021179637313273325,0.18729609504721387,0.30895017827753724,160.67840152235965,1.5739794330201369,0.009795717520744368,1.0319085378943166e-06,0.014295033046182024,0.04047124096761283,1.0047167755353126,1.0479366079020083,1.017679476324814,2136844.9071465638,3123599.481134544,8984.571423854008,17030.693071796733,1306247.1528470183,1948331.398460637,11,0.6959534967741581
2024-05-06 00:00:00+00:00,0,0,0,5203828273,12.99422331651052,68052,90.2735366821289,6058096,4.2409539222717285,0.0150717336030167,9038770.0,0.0,13172094.0,81977.0,8368656.0,90.25499725341795,4.565448760986328,13.592397292455038,10375374.0,84387.0,6571653.0,90.16441345214844,4.952945709228516,13.588945309321083,10404079.57142857,74766.28571428571,6736392.428571428,90.22473689488002,4.286988939557757,13.356830738839651,10061662.766666668,74337.33333333333,6546708.1,89.81924692789714,4.3433593591054285,13.243116398652395,-12.882465730873893,-31.379399509295936,-19.35724696931992,-16.986471815265258,-7.8147309360369395,-27.609690253727713,-14.375117934973058,-7.107621960135524,0.12102693934605835,0.02054116589123023,0.1983711192542064,0.3109529253232118,132.8195671021116,1.4920147366408956,0.01123323050126137,1.4376095286085377e-06,0.01480320521764073,0.040032371716186614,1.0045145108743607,1.0340318307920533,0.9870214700449558,2227353.477591309,3128703.470910641,9303.970429781351,17020.594967787387,1348028.0872142818,1950113.7265840385,11,0.47756746862248
2024-05-07 00:00:00+00:00,0,0,0,5203828273,13.097948710123696,65789,90.28001403808594,5103540,4.305793762207031,0.0127746457651669,7730386.0,0.0,9038770.0,68052.0,6058096.0,90.2735366821289,4.2409539222717285,12.99422331651052,9855508.0,81976.0,6305752.0,90.18336486816406,4.575725555419922,13.55324379603068,10100490.714285715,72453.85714285714,6564647.857142857,90.23854391915458,4.248427254813058,13.291788583710082,9977318.0,74346.13333333333,6499789.933333334,89.8525166829427,4.370157472292582,13.225291134251487,-21.562784992919692,-14.475243866145505,-19.74602322631014,-3.325398224886855,-19.065323216009766,-15.75669979478701,-5.899212921394681,1.5288975339909028,0.10716962054273527,0.007175254448976709,0.21900821975187795,0.31643070321587613,117.50092719258247,1.5147102766490952,0.01289085362496353,1.6943457953817442e-06,0.014815466744558092,0.03929936936222468,1.0042962317635913,1.0123452729767373,0.9721451187396998,2413998.1568236332,3157129.750948419,10097.709563216835,17015.949312809145,1460488.690752884,1967851.8708308013,11,0.40843841291399813
2024-05-08 00:00:00+00:00,0,0,0,5203828273,13.10976000626882,61920,90.2927017211914,5081950,3.9384026527404785,0.0125514917029217,7658975.0,0.0,7730386.0,65789.0,5103540.0,90.28001403808594,4.305793762207031,13.097948710123696,10259899.0,72668.0,6554996.0,90.1960906982422,4.463812351226807,13.518055001894632,9728930.142857144,70918.42857142857,6354212.714285715,90.25234549386161,4.173368726457868,13.233460727192107,9978050.4,74447.73333333334,6501668.066666666,89.88521245320638,4.390864539146423,13.22038530641132,-25.350386002825175,-0.9237701713730728,-14.790554301755932,-5.88092234264087,-22.472111348351696,-0.4230396940163139,-11.770425303427634,-8.532482737358006,0.10711220652834808,0.014053700855787277,0.2378728538353205,0.31635144034629015,123.68945914956154,1.5070934371464817,0.012184296936353775,1.711685740530956e-06,0.014553342546738204,0.03841038959575422,1.0040844654046555,0.9750331730993405,0.950466289554258,2574683.284967402,3156570.6158878766,10916.25758261015,16929.24801257464,1554602.9812180258,1966422.7504062948,11,0.40466538068706903
2024-05-09 00:00:00+00:00,0,0,0,5203828273,12.967241088549295,61695,90.300537109375,5154076,3.857121229171753,0.0125456680018565,7719823.0,0.0,7658975.0,61920.0,5081950.0,90.2927017211914,3.9384026527404785,13.10976000626882,8661074.0,67684.0,5616500.0,90.20972442626952,4.349146842956543,13.383625467618309,9594465.714285715,70062.85714285714,6288152.142857143,90.26531873430524,4.103079353060041,13.173977244467963,10001846.733333332,74504.63333333333,6518587.0,89.9176523844401,4.399241598447164,13.215957147545286,-10.867601408324191,0.7944666224919184,-8.84847231251108,-0.3633720930232509,-8.233312561203599,1.4192583555524996,-11.313152476827193,-2.0638170023617897,0.10066839654265802,0.008677764685560696,0.25450150737293975,0.31354371361146366,125.12679914419087,1.4978090160469082,0.011970135486916474,1.6797327359469977e-06,0.013628005981444662,0.03724250156967028,1.0038664971854325,0.9592694199472251,0.932678795024201,2705207.2118440047,3136016.16774202,11701.79890650813,16881.77440110734,1629245.8332612277,1952041.6594107964,11,0.4078803120694076
2024-05-10 00:00:00+00:00,0,0,0,5203828273,12.977930466334024,66928,90.30070495605467,5602276,3.6790056228637695,0.0134837404169469,8368247.0,0.0,7719823.0,61695.0,5154076.0,90.300537109375,3.857121229171753,12.967241088549295,9353939.0,73296.0,6145761.0,90.21955871582033,3.949608087539673,13.159505804379782,9453652.57142857,69153.14285714286,6210511.428571428,90.27691105433873,4.064421858106341,13.148037910461426,10042362.766666668,74935.76666666666,6547208.4,89.94978815714518,4.40615713596344,13.214053099685243,-10.537721060614146,8.399467189856558,-8.688059375682167,8.482048788394515,-8.843249843265955,8.696030093463891,-6.851375090343947,-4.6178379087719374,0.08994306931819906,0.00018587561607663616,0.2651179052115251,0.3092541751481626,125.03170523988106,1.4937224632055859,0.011946571010323124,1.550853950114053e-06,0.010882241385324117,0.03570676979684627,1.0036367278222162,0.9413773223576243,0.9224414229197988,2764085.4582654536,3105642.6139441207,11243.772872176929,16500.760604586783,1656961.8759063445,1931304.0504437769,11,0.442140085055562
2024-05-11 00:00:00+00:00,0,1,0,5203828273,12.965307792027792,67957,90.3036651611328,7287498,3.5988693237304688,0.0174608711373379,10949446.0,0.0,8368247.0,66928.0,5602276.0,90.30070495605467,3.6790056228637695,12.977930466334024,12487273.0,77711.0,8104986.0,90.2358856201172,3.864227056503296,13.296764492988586,9233963.0,67759.71428571429,6093727.428571428,90.28659384591239,4.026513610567365,13.100686953181311,10190050.4,75343.33333333333,6646446.0,89.9818728129069,4.410898900032043,13.209627317057716,-12.315154798009143,30.845157892686494,-12.551633616862478,1.5374731054267343,-10.086235805959443,30.081024212302275,-6.867032627553382,-2.178205399722166,0.07511373169311053,0.0032781638632517485,0.2353183367890739,0.2980251429473731,161.12078048206246,1.5024970843906806,0.009325147077207146,1.1841061737663821e-06,0.007887976510178602,0.03379217366355417,1.0033864713356109,0.9061744189214216,0.9128555656848345,2378786.96101519,3036891.2271009367,10001.969918333854,16157.454037951147,1411052.2371214116,1888415.3578495241,11,0.5785188923978084
2024-05-12 00:00:00+00:00,0,1,0,5203828273,13.148488481839498,66851,90.3110122680664,7211364,4.018714904785156,0.0172725161299728,10957489.0,0.0,10949446.0,67957.0,7287498.0,90.3036651611328,3.5988693237304688,12.965307792027792,13172094.0,81977.0,8368656.0,90.25499725341795,4.565448760986328,13.592397292455038,8917590.857142856,65598.85714285714,5928400.0,90.29459599086216,3.948408773967198,13.037271408807664,10320889.866666667,75592.06666666667,6731283.833333333,90.01394526163737,4.440478332837423,13.21491146882375,-16.812854508933817,0.07345577118695878,-18.451516888883468,-1.6274997424842175,-13.828887219166376,-1.0447206983796087,-11.975468016928403,11.666041283752126,0.062063061717432255,0.008136000815128774,0.17774138538393347,0.2887521584889691,163.90667444504277,1.519475023105889,0.009270228313225028,1.1999544130854327e-06,0.005990437098912458,0.03154990224870249,1.00311785833194,0.8640331378735046,0.8891854611176996,1734099.5097151548,2980179.226526929,7496.087539583641,15959.603350298174,1062641.7045158267,1853228.4373566208,11,0.5789438479116815
