timestamp,isSummer,isWeekend,isHoliday,universe_id,sort_sort_position,visits_visits_gained,session_session_length,ccu_playing,platform_platform_share,daily_Estimated Revenue,ratings_like_ratio,daily_rpv,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-09-01 00:00:00+00:00,0,0,1,8093454345,0.0,92972,14.613379405095028,1151,0.0081316148862242,130567,94.91991424560548,0.1072418276107862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130567.0,1151.0,92972.0,94.91991424560548,0.0081316148862242,14.613379405095028,130567.0,1151.0,92972.0,94.91991424560548,0.0081316148862242,14.613379405095028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.33940972222223,1.4043539522226882,0.012379938261645854,0.00011192159951209353,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-09-02 00:00:00+00:00,0,0,0,8093454345,0.0,206890,14.699879129727682,1186,0.0100841335952281,157546,95.19959259033205,0.1159705026762235,130567.0,1151.0,92972.0,94.91991424560548,0.0081316148862242,14.613379405095028,0.0,0.0,0.0,0.0,0.0,0.0,144056.5,1168.5,149931.0,95.05975341796876,0.00910787424072615,14.656629267411354,144056.5,1168.5,149931.0,95.05975341796876,0.00910787424072615,14.656629267411354,0.0,20.66295465163479,0.0,3.040834057341435,0.0,122.52936367938733,0.0,24.011450816635072,0.0,0.29464664707017363,0.13242744235513057,0.13242744235513057,132.726200505476,0.7614927667225737,0.005732487155071995,9.330472258899047e-05,0.0,0.0,1.0,1.0,1.0,19077.033849631865,19077.033849631865,24.748737341529164,24.748737341529164,80552.19029920912,80552.19029920912,2,1.0
2025-09-03 00:00:00+00:00,0,0,0,8093454345,0.0,248162,16.146769245465595,1713,0.0149593101814389,187511,95.54656219482422,0.1180420029230289,157546.0,1186.0,206890.0,95.19959259033205,0.0100841335952281,14.699879129727682,0.0,0.0,0.0,0.0,0.0,0.0,158541.33333333334,1350.0,182674.66666666666,95.2220230102539,0.0110583528876304,15.153342593429436,158541.33333333334,1350.0,182674.66666666666,95.2220230102539,0.0110583528876304,15.153342593429436,0.0,19.019841823975227,0.0,44.43507588532884,0.0,19.948765044226402,0.0,48.345021812461674,0.0,0.3644654299995498,0.17966951965234823,0.17966951965234823,109.39964994165695,0.7555961202919049,0.0069027211953433835,8.611059156462304e-05,0.3133239746093619,0.0,1.0,1.0,1.0,28485.045205042825,28485.045205042825,314.8539343886304,314.8539343886304,80378.92013042557,80378.92013042557,3,1.0
2025-09-04 00:00:00+00:00,0,0,0,8093454345,0.0,345927,17.754048705101013,3037,0.0256964657455682,255858,95.99177551269533,0.13865407112139,187511.0,1713.0,248162.0,95.54656219482422,0.0149593101814389,16.146769245465595,0.0,0.0,0.0,0.0,0.0,0.0,182870.5,1771.75,223487.75,95.41446113586427,0.01471788110211485,15.80351912134733,182870.5,1771.75,223487.75,95.41446113586427,0.01471788110211485,15.80351912134733,0.0,36.449594957095854,0.0,77.2913018096906,0.0,39.39563672117408,0.0,71.77573988305734,0.0,0.46596476905500506,0.2949142478915177,0.2949142478915177,84.21922317314022,0.7396278994472838,0.008779283550334173,6.938997144951326e-05,0.3562553405761601,0.0,1.0,1.0,1.0,53931.11596904579,53931.11596904579,881.8054868658204,881.8054868658204,104737.8232488945,104737.8232488945,4,1.0
2025-09-05 00:00:00+00:00,0,0,0,8093454345,0.0,524731,129.6964791615804,4336,0.031012563034892,388780,96.38243865966795,0.1672891442374807,255858.0,3037.0,345927.0,95.99177551269533,0.0256964657455682,17.754048705101013,0.0,0.0,0.0,0.0,0.0,0.0,224052.4,2284.6,283736.4,95.608056640625,0.01797681748867028,38.582111129393944,224052.4,2284.6,283736.4,95.608056640625,0.01797681748867028,38.582111129393944,0.0,51.95147308272556,0.0,42.77247283503458,0.0,51.6883619954499,0.0,20.688048473127687,0.0,0.4069756444092132,0.4608427941489314,0.4608427941489314,89.64261009914688,0.7409115510393878,0.008263265819504052,0.00033359778168578304,0.3717231750488207,0.3717231750488207,1.0,1.0,1.0,103252.93405177403,103252.93405177403,1377.7740380773619,1377.7740380773619,162409.9992251093,162409.9992251093,5,1.0
2025-09-06 00:00:00+00:00,0,1,0,8093454345,0.0,662720,20.018756276085263,3758,0.0250812843441963,503653,96.73513793945312,0.1720680618899192,388780.0,4336.0,524731.0,96.38243865966795,0.031012563034892,129.6964791615804,0.0,0.0,0.0,0.0,0.0,0.0,270652.5,2530.1666666666665,346900.3333333333,95.79590352376302,0.019160895297924616,35.4882186538425,270652.5,2530.1666666666665,346900.3333333333,95.79590352376302,0.019160895297924616,35.4882186538425,0.0,29.547044601059724,0.0,-13.330258302583031,0.0,26.297093177266074,0.0,-19.125406320085393,0.0,0.3659372855573606,0.5424949785082116,0.5424949785082116,133.98590050545357,0.7599774263981374,0.005670561216560212,3.974704117526171e-05,0.3734248570033496,0.3734248570033496,1.0,1.0,1.0,146827.62217069374,146827.62217069374,1371.2866099640391,1371.2866099640391,212225.59017108814,212225.59017108814,6,1.0
2025-09-07 00:00:00+00:00,0,1,0,8093454345,497.0,560305,25.79269786503004,3534,0.0287414696067571,433790,97.0019073486328,0.1230116486273321,503653.0,3758.0,662720.0,96.73513793945312,0.0250812843441963,20.018756276085263,0.0,0.0,0.0,0.0,0.0,0.0,293957.85714285716,2673.5714285714284,377386.71428571426,95.9681897844587,0.02052954877061497,34.10314425544072,293957.85714285716,2673.5714285714284,377386.71428571426,95.9681897844587,0.02052954877061497,34.10314425544072,0.0,-13.87125659928562,0.0,-5.960617349654074,0.0,-15.453736117817485,0.0,14.59329280084396,0.0,0.2757730178114315,0.5018996677938488,0.5018996677938488,122.7128712871287,0.7742019539323155,0.006307267814372861,5.945881280393102e-05,0.3626052311488556,0.3626052311488556,1.0,1.0,1.0,147537.35084539166,147537.35084539166,1308.043176803026,1308.043176803026,209854.75985683865,209854.75985683865,6,0.8612874340071438
2025-09-08 00:00:00+00:00,0,0,0,8093454345,463.0,380606,86.77478317987351,3996,0.0363657660782337,156851,97.06486511230467,0.038936310993611,433790.0,3534.0,560305.0,97.0019073486328,0.0287414696067571,25.79269786503004,130567.0,1151.0,92972.0,94.91991424560548,0.0081316148862242,14.613379405095028,297712.71428571426,3080.0,418477.28571428574,96.2746113368443,0.024562998940902043,44.41191622326621,276819.5,2838.875,377789.125,96.10527420043945,0.022509075934067313,40.687099120994816,20.130660886747798,-63.84172064823993,247.1763683753258,13.073005093378608,309.37701673622166,-32.07163955345749,347.2145642293154,26.52716293144637,2.2597480030893458,0.06490363477658079,0.5235883201688508,0.5235883201688508,39.24218163622717,0.41210750196396806,0.010499018672804231,0.0005532271388307035,0.33035251072474153,0.33312643141973264,1.001761996288067,1.0754759483552072,1.0912486595563051,144939.45699498118,144939.45699498118,1298.1347539010403,1298.1347539010403,194291.0885879649,194291.0885879649,6,0.3114267164099092
2025-09-09 00:00:00+00:00,0,0,0,8093454345,359.0,415128,31.39236777761708,3407,0.0315467156469821,219783,97.10285949707033,0.0493472148671565,156851.0,3996.0,380606.0,97.06486511230467,0.0363657660782337,86.77478317987351,157546.0,1186.0,206890.0,95.19959259033205,0.0100841335952281,14.699879129727682,306603.71428571426,3397.285714285714,448225.5714285714,96.5465066092355,0.027629082091152612,46.79655745867899,270482.1111111111,2902.0,381937.8888888889,96.21611701117621,0.023513258124391177,39.65435119395285,39.5040178741447,40.1221541462917,187.26812816188868,-14.739739739739743,100.65155396587558,9.0702721449478,212.8351617823695,-13.251612576741456,1.9992384998205992,0.03914329322118881,0.5061517574414757,0.5061517574414757,64.49031690140845,0.5294330196155894,0.008207087435471865,0.0001428328166637111,0.2655192783900649,0.2996941884358712,1.0034338280147068,1.1335452574893752,1.175042690595564,136904.9958953694,136904.9958953694,1228.9721314985136,1228.9721314985136,182168.3531595461,182168.3531595461,6,0.4363778236206277
2025-09-10 00:00:00+00:00,0,0,0,8093454345,280.0,379603,31.236252784729004,2735,0.0255885384976863,285223,97.16304779052734,0.0584137699631254,219783.0,3407.0,415128.0,97.10285949707033,0.0315467156469821,31.39236777761708,187511.0,1713.0,248162.0,95.54656219482422,0.0149593101814389,16.146769245465595,320562.5714285714,3543.285714285714,467002.85714285716,96.77743312290737,0.029147543279187955,48.95219796428804,271956.2,2885.3,381704.4,96.31081008911133,0.02372078616172069,38.81254135303046,52.110009546106625,29.774823348484645,59.661412726211324,-19.72409744643381,52.965804595385265,-8.557601510859303,71.05426779261421,-18.886838224206038,1.6918302014959252,0.06198405872777091,0.47492726340612984,0.47492726340612984,104.24817251461988,0.7513698485790455,0.007204876660941402,0.00010951481216422533,0.18872806004116646,0.2696101795543333,1.0048449705008637,1.1787286755314694,1.228776444442835,129159.41383233013,129159.41383233013,1159.8888883566965,1159.8888883566965,171751.55754700516,171751.55754700516,6,0.5663085497356315
