timestamp,isSummer,isWeekend,isHoliday,universe_id,ratings_like_ratio,platform_platform_share,daily_rpv,ccu_playing,session_session_length,daily_Estimated Revenue,visits_visits_gained,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-04-05 00:00:00+00:00,0,1,0,7429689898,94.30826568603516,0.0638212263584137,0.0309365870212266,6402,8.31264615058899,216938.0,126666,453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216938.0,6402.0,126666.0,94.30826568603516,0.0638212263584137,8.31264615058899,216938.0,6402.0,126666.0,94.30826568603516,0.0638212263584137,8.31264615058899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.88068093081368,1.7126639140423314,0.05054197225796774,3.831789650818428e-05,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-04-06 00:00:00+00:00,0,1,0,7429689898,94.94734954833984,0.0894266068935394,0.1384726390564411,7717,7.145277043183644,1137362.0,2061033,426,216938.0,6402.0,126666.0,94.30826568603516,0.0638212263584137,8.31264615058899,0.0,0.0,0.0,0.0,0.0,0.0,677150.0,7059.5,1093849.5,94.6278076171875,0.07662391662597655,7.728961596886316,677150.0,7059.5,1093849.5,94.6278076171875,0.07662391662597655,7.728961596886316,0.0,424.2797481308023,0.0,20.54045610746642,0.0,1527.1398796835772,0.0,40.12047714553215,0.0,0.6776541352507603,0.9611431026609272,0.9611431026609272,147.36486136304742,0.5518404839512594,0.0037442371159330705,6.282318875489746e-06,0.0,0.0,1.0,1.0,1.0,650838.0519668468,650838.0519668468,929.84541726031,929.84541726031,1367804.0230034783,1367804.0230034783,2,1.0
2025-04-07 00:00:00+00:00,0,0,0,7429689898,95.1142120361328,0.0971745625138282,0.1281939871583641,7642,7.0035954515139265,1354711.0,2509354,339,1137362.0,7717.0,2061033.0,94.94734954833984,0.0894266068935394,7.145277043183644,0.0,0.0,0.0,0.0,0.0,0.0,903003.6666666666,7253.666666666667,1565684.3333333333,94.78994242350261,0.0834741319219271,7.487172881762187,903003.6666666666,7253.666666666667,1565684.3333333333,94.78994242350261,0.0834741319219271,7.487172881762187,0.0,19.109922786236933,0.0,-0.9718802643514324,0.0,21.75224753800642,0.0,8.664038466216862,0.0,0.1757421229625855,0.6688867850447728,0.6688867850447728,177.24859348423394,0.5398642280586047,0.003045404097865786,5.169803952067987e-06,0.4029731750488195,0.0,1.0,1.0,1.0,604007.2194803084,604007.2194803084,738.5176594593614,738.5176594593614,1266225.987931196,1266225.987931196,3,1.0
2025-04-08 00:00:00+00:00,0,0,0,7429689898,95.2600326538086,0.0619844570755958,0.0714255245121453,4173,7.429401417573293,897443.0,1585443,255,1354711.0,7642.0,2509354.0,95.1142120361328,0.0971745625138282,7.0035954515139265,0.0,0.0,0.0,0.0,0.0,0.0,901613.5,6483.5,1570624.0,94.9074649810791,0.07810171321034427,7.472730015714963,901613.5,6483.5,1570624.0,94.9074649810791,0.07810171321034427,7.472730015714963,0.0,-33.75391504165833,0.0,-45.39387594870453,0.0,-36.8186792297938,0.0,-36.21328928877323,0.0,0.15331107155720503,0.5469945456815852,0.5469945456815852,215.0079060852899,0.5660515287831043,0.0026320702591829167,8.2784011231601e-06,0.30221633911130963,0.0,1.0,1.0,1.0,493177.666812884,493177.666812884,1654.1560788913885,1654.1560788913885,1033916.3906728629,1033916.3906728629,3,0.6624608495834167
2025-04-09 00:00:00+00:00,0,0,0,7429689898,95.09416198730467,0.1733356416225433,0.1213399259386841,11554,6.719078024228414,1824744.0,3832849,222,897443.0,4173.0,1585443.0,95.2600326538086,0.0619844570755958,7.429401417573293,0.0,0.0,0.0,0.0,0.0,0.0,1086239.6,7497.6,2023069.0,94.94480438232422,0.09714849889278407,7.321999617417653,1086239.6,7497.6,2023069.0,94.94480438232422,0.09714849889278407,7.321999617417653,0.0,103.32700795482275,0.0,176.87514977234602,0.0,141.75255748708722,0.0,179.6437200557301,0.0,-0.17412409158699127,0.5468531874821697,0.5468531874821697,157.9181306793596,0.4760802014167004,0.0030144670414965365,3.6822010879484057e-06,0.18844757080077254,0.18844757080077254,1.0,1.0,1.0,594013.5876293571,594013.5876293571,2682.194679735235,2682.194679735235,1351025.4317745096,1351025.4317745096,4,1.0
2025-04-10 00:00:00+00:00,0,0,0,7429689898,95.0350570678711,0.1929688900709152,0.1080113541156619,13233,6.764963984489441,2091895.0,4239543,202,1824744.0,11554.0,3832849.0,95.09416198730467,0.1733356416225433,6.719078024228414,0.0,0.0,0.0,0.0,0.0,0.0,1253848.8333333333,8453.5,2392481.3333333335,94.95984649658203,0.11311856408913927,7.229160345262951,1253848.8333333333,8453.5,2392481.3333333335,94.95984649658203,0.11311856408913927,7.229160345262951,0.0,14.640464635039208,0.0,14.531763891293048,0.0,10.610749340764535,0.0,11.326723266254369,0.0,-0.062154098840971894,0.5355074088770367,0.5355074088770367,158.0697445972495,0.4934245286757255,0.0031213262558426095,3.233891161171225e-06,0.12057756696429339,0.12057756696429339,1.0,1.0,1.0,671445.3398618287,671445.3398618287,3352.2833263314724,3352.2833263314724,1509638.5679870087,1509638.5679870087,5,1.0
2025-04-11 00:00:00+00:00,0,0,0,7429689898,94.9541473388672,0.1835693717002868,0.0947198460880678,16315,6.593336264292399,2243532.0,4556140,151,2091895.0,13233.0,4239543.0,95.0350570678711,0.1929688900709152,6.764963984489441,0.0,0.0,0.0,0.0,0.0,0.0,1395232.142857143,9576.57142857143,2701575.4285714286,94.9590323311942,0.12318296517644607,7.13832833369573,1395232.142857143,9576.57142857143,2701575.4285714286,94.9590323311942,0.12318296517644607,7.13832833369573,0.0,7.248786387462092,0.0,23.290259200483643,0.0,7.46771527025436,0.0,-4.871001935687202,0.0,-0.08513671849127435,0.5146594723838851,0.5146594723838851,137.50502574160333,0.4924193522544627,0.00358088127650132,2.9388184904311187e-06,0.07475035531180872,0.07475035531180872,1.0,1.0,1.0,718069.4384958947,718069.4384958947,4265.426389672465,4265.426389672465,1602481.8115261982,1602481.8115261982,6,1.0
2025-04-12 00:00:00+00:00,0,1,0,7429689898,94.874267578125,0.1866549104452133,0.0963486343760972,18131,6.655271331469218,2793945.0,5789684,127,2243532.0,16315.0,4556140.0,94.9541473388672,0.1835693717002868,6.593336264292399,216938.0,6402.0,126666.0,94.30826568603516,0.0638212263584137,8.31264615058899,1763376.0,11252.142857142857,3510578.0,95.03988974434989,0.14073063433170313,6.901560502392905,1570071.25,10645.875,3087589.0,94.94843673706055,0.13111695833504197,7.077946208417416,1187.9002295586756,24.53332513197939,183.2083723836301,11.130861170701811,4470.827214880078,27.07432168458388,192.46525191631036,1.6808570603838113,0.6001614895285501,-0.08412456220278086,0.5277217430018109,0.5277217430018109,154.0891793514229,0.4825728860896577,0.0031316038782766248,2.3820329138319846e-06,-0.027298246111182912,0.042769840785440834,1.000963186024248,1.1231184572037733,1.0733213774841803,828560.7366870319,828560.7366870319,4974.13511326341,4974.13511326341,1842050.5060528917,1842050.5060528917,7,1.0
2025-04-13 00:00:00+00:00,0,1,0,7429689898,94.81771087646484,0.1837770342826843,0.0815330797178124,14567,6.697463870048523,2857545.0,5852482,97,2793945.0,18131.0,5789684.0,94.874267578125,0.1866549104452133,6.655271331469218,1137362.0,7717.0,2061033.0,94.94734954833984,0.0894266068935394,7.145277043183644,2009116.4285714286,12230.714285714286,4052213.5714285714,95.02136993408203,0.1542092668158667,6.837587191945031,1713123.888888889,11081.555555555555,3394799.3333333335,94.9339116414388,0.13696807788478,7.035670393043095,151.24322774982812,2.2763511808571835,88.76506414409744,-19.656941150515696,183.95867509156818,1.0846533247755863,105.50599051741636,-1.5418164760115927,-0.1365374309990619,-0.0596122669548782,0.5171440828152795,0.5171440828152795,196.15218286655684,0.4882619906798533,0.00248902901554776,2.3437816469266016e-06,-0.06432315281458906,0.021223831176755425,1.000921254493058,1.1727794128622635,1.1258774248521637,885931.8822683892,885931.8822683892,4832.972742296171,4832.972742296171,1954075.2310631492,1954075.2310631492,8,1.0
2025-04-14 00:00:00+00:00,0,0,0,7429689898,94.8269271850586,0.164011150598526,0.0541918951160745,12301,6.380194405714671,2158049.0,4339868,89,2857545.0,14567.0,5852482.0,94.81771087646484,0.1837770342826843,6.697463870048523,1354711.0,7642.0,2509354.0,95.1142120361328,0.0971745625138282,7.0035954515139265,2123879.0,12896.285714285714,4313715.571428572,94.98032924107143,0.16375735082796639,6.748529899687994,1757616.4,11203.5,3489306.2,94.92321319580078,0.1396723851561546,6.970122794310252,59.29958492992233,-24.478914592771073,60.965715781209106,-15.555708107365962,72.94761918804599,-25.845683933756646,68.77992177756065,-10.755361115336415,-0.3020419818702491,0.009720028577531181,0.4819207081463141,0.4819207081463141,175.4226142090717,0.49726132286481456,0.0028344173522288347,2.9564627352075582e-06,-0.0718931470598414,0.009599997780541233,1.0006017078789025,1.2083859709092384,1.1724389946150389,847031.7401375752,847031.7401375752,4572.858873590762,4572.858873590762,1866402.3436511813,1866402.3436511813,8,0.7552108540722893
