timestamp,isSummer,isWeekend,isHoliday,universe_id,session_session_length,sort_sort_position,daily_Estimated Revenue,visits_visits_gained,daily_rpv,ratings_like_ratio,platform_platform_share,ccu_playing,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-08-21 00:00:00+00:00,1,0,0,8238863102,11.9628936847051,457,146027,1196110,0.0206048445259136,85.66886901855469,0.0778371915221214,9896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146027.0,9896.0,1196110.0,85.66886901855469,0.0778371915221214,11.9628936847051,146027.0,9896.0,1196110.0,85.66886901855469,0.0778371915221214,11.9628936847051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.754673133272709,0.12208482323128873,0.008273479635251244,8.192191692487127e-05,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-08-22 00:00:00+00:00,1,0,0,8238863102,13.148417790730797,356,156011,1486145,0.0183734692454825,85.32508087158203,0.0733475759625434,11038,146027.0,9896.0,1196110.0,85.66886901855469,0.0778371915221214,11.9628936847051,0.0,0.0,0.0,0.0,0.0,0.0,151019.0,10467.0,1341127.5,85.49697494506836,0.0755923837423324,12.555655737717949,151019.0,10467.0,1341127.5,85.49697494506836,0.0755923837423324,12.555655737717949,0.0,6.837091770699932,0.0,11.540016168148748,0.0,24.24818787569705,0.0,-5.7679567720554825,0.0,-0.4012988042344734,0.046747456302627416,0.046747456302627416,14.132711296313072,0.10497689998156305,0.0074272648851458735,8.427824648572415e-05,0.0,0.0,1.0,1.0,1.0,7059.75410336649,7059.75410336649,807.5159441150373,807.5159441150373,205085.71528144032,205085.71528144032,2,1.0
2025-08-23 00:00:00+00:00,1,1,0,8238863102,12.561688343683878,296,183168,1471686,0.0184377060197492,85.66064453125,0.0621184930205345,9725,156011.0,11038.0,1486145.0,85.32508087158203,0.0733475759625434,13.148417790730797,0.0,0.0,0.0,0.0,0.0,0.0,161735.33333333334,10219.666666666666,1384647.0,85.55153147379558,0.07110108683506644,12.557666606373258,161735.33333333334,10219.666666666666,1384647.0,85.55153147379558,0.07110108683506644,12.557666606373258,0.0,17.407105909198716,0.0,-11.895270882406228,0.0,-0.9729198698646524,0.0,-15.309412471576822,0.0,0.39327669688706823,0.11884111969902428,0.11884111969902428,18.83281924737816,0.12446124753429227,0.006608062719858231,6.857977247069034e-05,-0.004112243652351684,0.0,1.0,1.0,1.0,19220.80810822826,19220.80810822826,713.8363491258575,713.8363491258575,163437.80452208724,163437.80452208724,3,1.0
2025-08-24 00:00:00+00:00,1,1,0,8238863102,12.422382712364197,264,195118,1580821,0.0170282515076054,86.01190185546875,0.0758589059114456,10628,183168.0,9725.0,1471686.0,85.66064453125,0.0621184930205345,12.561688343683878,0.0,0.0,0.0,0.0,0.0,0.0,170081.0,10321.75,1433690.5,85.66662406921387,0.07229054160416123,12.523845632870993,170081.0,10321.75,1433690.5,85.66662406921387,0.07229054160416123,12.523845632870993,0.0,6.5240653389238235,0.0,9.285347043701808,0.0,7.41564436979083,0.0,22.119681632278066,0.0,0.41005683081289934,0.13470379515725256,0.13470379515725256,18.357136136983723,0.12342819115624656,0.006723084572456608,6.366567434419097e-05,0.13646621704100384,0.0,1.0,1.0,1.0,22910.556184140674,22910.556184140674,617.5696317015596,617.5696317015596,165617.03877822074,165617.03877822074,4,1.0
2025-08-25 00:00:00+00:00,1,0,0,8238863102,13.641346653302511,234,207650,1585488,0.0158687540376322,86.1996078491211,0.0832083001732826,10766,195118.0,10628.0,1580821.0,86.01190185546875,0.0758589059114456,12.422382712364197,0.0,0.0,0.0,0.0,0.0,0.0,177594.8,10410.6,1464050.0,85.77322082519531,0.0744740933179855,12.747345836957297,177594.8,10410.6,1464050.0,85.77322082519531,0.0744740933179855,12.747345836957297,0.0,6.4227800612962405,0.0,1.2984569062852946,0.0,0.29522634124925506,0.0,9.688241839944745,0.0,0.21823258130921896,0.1463959335422083,0.1463959335422083,19.28578062598681,0.1309690574958262,0.006790334086203058,6.569362369216864e-05,0.17482986450195295,0.17482986450195295,1.0,1.0,1.0,25999.156538241776,25999.156538241776,570.5399197251669,570.5399197251669,158682.85619908661,158682.85619908661,5,1.0
2025-08-26 00:00:00+00:00,1,0,0,8238863102,15.145549893379211,216,221045,1434007,0.0150712786945981,86.38607788085938,0.0725311934947967,8896,207650.0,10766.0,1585488.0,86.1996078491211,0.0832083001732826,13.641346653302511,0.0,0.0,0.0,0.0,0.0,0.0,184836.5,10158.166666666666,1459042.8333333333,85.87536366780598,0.07415027668078737,13.147046513027616,184836.5,10158.166666666666,1459042.8333333333,85.87536366780598,0.07415027668078737,13.147046513027616,0.0,6.450758487840114,0.0,-17.369496563254692,0.0,-9.554219268767728,0.0,-12.831780791400204,0.0,0.21632352674350042,0.15823462179866718,0.15823462179866718,24.844891536472968,0.15414488622099737,0.006203591611762278,6.85176383801526e-05,0.18745378766741475,0.18745378766741475,1.0,1.0,1.0,29247.533672089347,29247.533672089347,801.7157642622896,801.7157642622896,142459.22009251162,142459.22009251162,6,1.0
2025-08-27 00:00:00+00:00,1,0,0,8238863102,13.500399907430014,214,222179,1410078,0.0138508777851074,86.62183380126953,0.0785189867019653,9374,221045.0,8896.0,1434007.0,86.38607788085938,0.0725311934947967,15.145549893379211,0.0,0.0,0.0,0.0,0.0,0.0,190171.14285714287,10046.142857142857,1452047.857142857,85.98200225830078,0.07477437811238422,13.197525569370814,190171.14285714287,10046.142857142857,1452047.857142857,85.98200225830078,0.07477437811238422,13.197525569370814,0.0,0.5130177113257472,0.0,5.373201438848918,0.0,-1.6686808362860184,0.0,8.255473153903313,0.0,0.2729096240893236,0.15880584191946284,0.15880584191946284,23.699093333333334,0.15756493075919858,0.006647854481912007,6.076334461891265e-05,0.19713756016322972,0.19713756016322972,1.0,1.0,1.0,30200.288450215015,30200.288450215015,789.6004112991648,789.6004112991648,131357.142939175,131357.142939175,7,1.0
2025-08-28 00:00:00+00:00,1,0,0,8238863102,13.149415612220764,211,224497,1590560,0.0127686279269735,86.92264556884766,0.0836334452033042,10121,222179.0,9374.0,1410078.0,86.62183380126953,0.0785189867019653,13.500399907430014,146027.0,9896.0,1196110.0,85.66886901855469,0.0778371915221214,11.9628936847051,201381.14285714287,10078.285714285714,1508397.857142857,86.16111319405692,0.07560241435255319,13.367028701873052,194461.875,10055.5,1469361.875,86.09958267211914,0.07588176149874921,13.191511824727058,53.73663774507453,1.0433029224184098,2.273645917542444,7.968850010667805,32.977736161389835,12.799433790187486,7.446637741979023,6.513658308851911,1.4635147687328764,0.3472701446938453,0.15674159857300424,0.15674159857300424,22.17911479944675,0.14114328215013444,0.006363163688786535,5.8572528985651385e-05,0.253187452043806,0.20981198265439424,1.0007146436722243,1.0355816164846856,0.9963186523259527,30480.265149003728,30480.265149003728,731.5068596495089,731.5068596495089,131102.79827615918,131102.79827615918,8,1.0
2025-08-29 00:00:00+00:00,1,0,0,8238863102,12.345873951911926,210,225260,1618996,0.0116813066200001,87.01988220214844,0.0680751055479049,9951,224497.0,10121.0,1590560.0,86.92264556884766,0.0836334452033042,13.149415612220764,156011.0,11038.0,1486145.0,85.32508087158203,0.0733475759625434,13.148417790730797,211273.85714285713,9923.0,1527376.5714285714,86.40322766985211,0.07484920429331911,13.252379582041785,197883.88888888888,10043.888888888889,1485987.888888889,86.20183817545573,0.07501435528198873,13.097552061080933,44.38725474485774,0.33987091141529646,-9.847798514223594,-1.6796759213516421,8.939302692536732,1.7877980082486644,-7.188336281666641,-18.603011770684073,1.9862874002043451,0.11186570848646937,0.15313821993113108,0.15313821993113108,22.634646302250804,0.1391355265019021,0.006146398047680138,5.480697480661067e-05,0.22576522827148848,0.20822168986002398,1.0023362552198303,1.067665782844437,0.9977984082106846,30303.586497494172,30303.586497494172,685.1480578029187,685.1480578029187,132390.59555671283,132390.59555671283,9,1.0
2025-08-30 00:00:00+00:00,1,1,0,8238863102,12.128183364868164,212,194331,1576320,0.0092793931001222,87.24154663085938,0.0563123226165771,8803,225260.0,9951.0,1618996.0,87.01988220214844,0.0680751055479049,12.345873951911926,183168.0,9725.0,1471686.0,85.66064453125,0.0621184930205345,12.561688343683878,212868.57142857142,9791.285714285714,1542324.2857142857,86.62907082693917,0.07401975137846806,13.190450299353826,197528.6,9919.8,1495021.1,86.3058090209961,0.07314415201544758,13.000615191459655,6.094405136268355,-13.730356033028501,-9.480719794344472,-11.5365289920611,7.1098046730077025,-2.6359546286711,-9.346927334566946,-17.27912551387857,1.845540747749852,0.2547284862969734,0.14475158439795077,0.14475158439795077,22.073034984098136,0.12328136210835229,0.005584522441812296,6.240960503091701e-05,0.20950181143624955,0.20814532655657972,1.0037455393745796,1.0776594955291103,1.0119708731169041,28592.577813909058,28592.577813909058,755.8106464805415,755.8106464805415,128046.02453931251,128046.02453931251,9,0.862696439669715
