timestamp,isSummer,isWeekend,isHoliday,universe_id,daily_Estimated Revenue,session_session_length,platform_platform_share,visits_visits_gained,daily_rpv,ratings_like_ratio,sort_sort_position,ccu_playing,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-09-02 00:00:00+00:00,0,0,0,7738524573,147633,32.0056660440233,0.0098187942057847,80750,0.0814204602832378,90.17359924316406,435,1130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147633.0,1130.0,80750.0,90.17359924316406,0.0098187942057847,32.0056660440233,147633.0,1130.0,80750.0,90.17359924316406,0.0098187942057847,32.0056660440233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.53315649867375,1.8282498049559759,0.013993634753749179,0.00021679061763566184,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-09-03 00:00:00+00:00,0,0,0,7738524573,147989,15.5118079384168,0.0101169776171445,233770,0.0753422350669353,89.837646484375,424,1085,147633.0,1130.0,80750.0,90.17359924316406,0.0098187942057847,32.0056660440233,0.0,0.0,0.0,0.0,0.0,0.0,147811.0,1107.5,157260.0,90.00562286376953,0.009967885911464601,23.75873699122005,147811.0,1107.5,157260.0,90.00562286376953,0.009967885911464601,23.75873699122005,0.0,0.24113849884510596,0.0,-3.9823008849557473,0.0,189.49845201238392,0.0,3.0368638461138797,0.0,-0.37256221511479115,0.0017030533187814905,0.0017030533187814905,136.2697974217311,0.6330511483460309,0.004641294258055961,0.00010481659529979593,0.0,0.0,1.0,1.0,1.0,251.7300141024109,251.7300141024109,31.81980515339464,31.81980515339464,108201.4796571655,108201.4796571655,2,1.0
2025-09-04 00:00:00+00:00,0,0,0,7738524573,156647,23.084337254365284,0.0115034142509102,235695,0.0715069062186133,89.78688049316406,390,1369,147989.0,1085.0,233770.0,89.837646484375,0.0101169776171445,15.5118079384168,0.0,0.0,0.0,0.0,0.0,0.0,150756.33333333334,1194.6666666666667,183405.0,89.93270874023438,0.0104797286912798,23.53393707893513,150756.33333333334,1194.6666666666667,183405.0,89.93270874023438,0.0104797286912798,23.53393707893513,0.0,5.850434829615714,0.0,26.175115207373278,0.0,0.8234589553834937,0.0,13.7040595149307,0.0,-0.05650859433385946,0.03385974772919236,0.03385974772919236,114.34087591240876,0.6646145882832123,0.005808329373430181,0.00014736439184901998,-0.19335937500000352,0.0,1.0,1.0,1.0,5104.571415244701,5104.571415244701,152.64446709046916,152.64446709046916,88907.04794896746,88907.04794896746,3,1.0
2025-09-05 00:00:00+00:00,0,0,0,7738524573,164898,17.640650471051533,0.0166742242872715,304484,0.0668006577425831,89.62644958496094,370,2216,156647.0,1369.0,235695.0,89.78688049316406,0.0115034142509102,23.084337254365284,0.0,0.0,0.0,0.0,0.0,0.0,154291.75,1450.0,213674.75,89.85614395141602,0.012028352590277725,22.06061542696423,154291.75,1450.0,213674.75,89.85614395141602,0.012028352590277725,22.06061542696423,0.0,5.267256953532473,0.0,61.8699780861943,0.0,29.185600033942173,0.0,44.95022020051274,0.0,-0.17867967716657107,0.053196544750940475,0.053196544750940475,74.37889039242219,0.5415636238238337,0.007277862620490336,0.0001069785169773712,-0.16922149658204683,0.0,1.0,1.0,1.0,8207.78798357592,8207.78798357592,525.6557809060982,525.6557809060982,94523.40015528782,94523.40015528782,4,1.0
2025-09-06 00:00:00+00:00,0,1,0,7738524573,210482,12.197540695017034,0.0156814102083444,539394,0.0724614797116174,89.926025390625,336,2446,164898.0,2216.0,304484.0,89.62644958496094,0.0166742242872715,17.640650471051533,0.0,0.0,0.0,0.0,0.0,0.0,165529.8,1649.2,278818.6,89.87012023925782,0.012758964113891061,20.088000480574788,165529.8,1649.2,278818.6,89.87012023925782,0.012758964113891061,20.088000480574788,0.0,27.64375553372387,0.0,10.379061371841146,0.0,77.15019508414235,0.0,-5.954184505512361,0.0,0.33424932824108744,0.15776632240452335,0.15776632240452335,86.016346546792,0.3902186709183437,0.004534710184558626,5.795024156353261e-05,-0.07063446044921638,-0.07063446044921638,1.0,1.0,1.0,26115.027794356265,26115.027794356265,636.8977154928411,636.8977154928411,167091.6241072544,167091.6241072544,5,1.0
2025-09-07 00:00:00+00:00,0,1,0,7738524573,247173,19.295688877934996,0.0159539282321929,565403,0.0712385712868917,89.88151550292969,294,1961,210482.0,2446.0,539394.0,89.926025390625,0.0156814102083444,12.197540695017034,0.0,0.0,0.0,0.0,0.0,0.0,179137.0,1701.1666666666667,326582.6666666667,89.8720194498698,0.013291458133608033,19.95594854680149,179137.0,1701.1666666666667,326582.6666666667,89.8720194498698,0.013291458133608033,19.95594854680149,0.0,17.431894413774106,0.0,-19.82829108748978,0.0,4.821892716641263,0.0,1.7378413052640207,0.0,-0.04949611361334538,0.22720322891143707,0.22720322891143707,125.98012232415903,0.43716174629114757,0.0034683164604424445,7.806520458436161e-05,-0.03873465401785173,-0.03873465401785173,1.0,1.0,1.0,40700.5048175081,40700.5048175081,583.7072611049708,583.7072611049708,189800.2240901382,189800.2240901382,6,1.0
2025-09-08 00:00:00+00:00,0,0,0,7738524573,342284,18.929593909870498,0.0140994796529412,303664,0.0873650769639156,89.86038208007812,230,1528,247173.0,1961.0,565403.0,89.88151550292969,0.0159539282321929,19.295688877934996,0.0,0.0,0.0,0.0,0.0,0.0,202443.7142857143,1676.4285714285713,323308.5714285714,89.87035696847099,0.013406889779227058,19.809326455811348,202443.7142857143,1676.4285714285713,323308.5714285714,89.87035696847099,0.013406889779227058,19.809326455811348,0.0,38.47952648549801,0.0,-22.08057113717491,0.0,-46.29246749663515,0.0,-11.623774109185659,0.0,-0.023512535067204965,0.35561540959971083,0.35561540959971083,223.8613472858077,1.1271763291785355,0.005031860767622215,5.530360345872737e-05,-0.0254560198102614,-0.0254560198102614,1.0,1.0,1.0,71992.10437660111,71992.10437660111,536.8540637028705,536.8540637028705,173479.51498073884,173479.51498073884,7,1.0
2025-09-09 00:00:00+00:00,0,0,0,7738524573,414559,20.632960240046184,0.0149616878479719,271955,0.0989192106253447,89.87841033935547,201,1553,342284.0,1528.0,303664.0,89.86038208007812,0.0140994796529412,18.929593909870498,147633.0,1130.0,80750.0,90.17359924316406,0.0098187942057847,32.0056660440233,240576.0,1736.857142857143,350623.5714285714,89.82818712506976,0.014141588870968086,18.184654198100333,228958.125,1661.0,316889.375,89.87136363983154,0.013601239537820163,19.912280678840702,180.80374983912813,21.115506421568053,37.43362831858408,1.63612565445026,236.78637770897834,-10.442133410611731,52.37805716670674,6.1151774125993485,-0.3273562398375396,0.02006252239310502,0.4382123472425065,0.4382123472425065,266.7689832689833,1.5243605583256115,0.0057104825780640986,4.977074546518281e-05,0.018727166312085878,-0.01629956563313289,0.9995195742780223,1.0507423573633825,1.039727947709869,100332.2773764932,100332.2773764932,498.94230986300266,498.94230986300266,161633.79833256014,161633.79833256014,8,1.0
2025-09-10 00:00:00+00:00,0,0,0,7738524573,445537,33.77830472199813,0.0112606044858694,263279,0.0992374360521508,89.74439239501953,191,1156,414559.0,1553.0,271955.0,89.87841033935547,0.0149616878479719,20.632960240046184,147989.0,1085.0,233770.0,89.837646484375,0.0101169776171445,15.5118079384168,283082.85714285716,1747.0,354839.14285714284,89.81486511230469,0.014304964137928785,20.794153738611953,253022.44444444444,1604.888888888889,310932.6666666667,89.85725572374132,0.013341168976492299,21.452950016969307,201.06088966071803,7.472518990059318,6.543778801843314,-25.563425627817125,12.62309107242161,-3.1902336783659058,11.304036758832803,-24.737071109287932,-0.10380290780623858,-0.14911027445848601,0.4679678513934106,0.4679678513934106,385.07951598962836,1.6922553934974172,0.004390762686113644,7.581464369368748e-05,0.01110049656459497,-0.019874445597334808,0.9995282449803836,1.1188053208655686,1.0722421823106156,118406.36968097527,118406.36968097527,496.1467636809809,496.1467636809809,152246.97217186293,152246.97217186293,9,1.0
2025-09-11 00:00:00+00:00,0,0,0,7738524573,461372,21.14773424048173,0.0168599747121334,217121,0.0977634038812151,89.66349792480469,183,1886,445537.0,1156.0,263279.0,89.74439239501953,0.0112606044858694,33.77830472199813,156647.0,1369.0,235695.0,89.78688049316406,0.0115034142509102,23.084337254365284,326615.0,1820.857142857143,352185.71428571426,89.7972390311105,0.015070187060960671,20.517496165200015,273857.4,1633.0,301551.5,89.83787994384765,0.01369304955005641,21.422428439320548,194.52973883955647,3.55413804016278,37.764791818845865,63.148788927335644,-7.880523557988073,-17.53197178658381,46.5649618833762,49.725307671453024,-0.13741714566948282,-0.09013874633946317,0.4733386767880382,0.4733386767880382,244.5002649708532,2.1249435801070367,0.008686360663590055,4.583652324796147e-05,-0.009115219116202444,-0.025022749467329183,0.9995476194144101,1.1926462458199047,1.100572009607501,129627.2993446125,129627.2993446125,476.143535781666,476.143535781666,146573.3378083401,146573.3378083401,10,1.0
