timestamp,isSummer,isWeekend,isHoliday,universe_id,visits_visits_gained,session_session_length,daily_Estimated Revenue,ccu_playing,ratings_like_ratio,daily_rpv,platform_platform_share,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2024-08-10 00:00:00+00:00,1,1,0,5912620016,27722,13.254338264465332,44687.0,568,86.84566497802734,0.0185214821851514,0.0084515111520886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44687.0,568.0,27722.0,86.84566497802734,0.0084515111520886,13.254338264465332,44687.0,568.0,27722.0,86.84566497802734,0.0084515111520886,13.254338264465332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.5360281195079,1.6119106878764924,0.020488403130974282,0.00029659725797675737,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2024-08-11 00:00:00+00:00,1,1,0,5912620016,60060,10.275222659111025,213647.0,202,86.73763275146484,0.0868447660484875,0.0028659333474934,0.0,44687.0,568.0,27722.0,86.84566497802734,0.0084515111520886,13.254338264465332,0.0,0.0,0.0,0.0,0.0,0.0,129167.0,385.0,43891.0,86.7916488647461,0.005658722249791,11.764780461788177,129167.0,385.0,43891.0,86.7916488647461,0.005658722249791,11.764780461788177,0.0,378.0965381430841,0.0,-64.43661971830986,0.0,116.65103527883991,0.0,-66.08969335874154,0.0,-0.1243956466794649,0.9249480265801565,0.9249480265801565,1052.448275862069,3.5571668803383227,0.003363247365178735,4.809416731778919e-05,0.0,0.0,1.0,1.0,1.0,119472.76174927907,119472.76174927907,258.8010819142764,258.8010819142764,22866.419090010575,22866.419090010575,2,1.0
2024-08-12 00:00:00+00:00,1,0,0,5912620016,29085,11.047271132469175,114099.0,146,86.70037078857422,0.0456165485693442,0.0021122603211551,0.0,213647.0,202.0,60060.0,86.73763275146484,0.0028659333474934,10.275222659111025,0.0,0.0,0.0,0.0,0.0,0.0,124144.33333333333,305.3333333333333,38955.666666666664,86.76122283935547,0.004476568273579034,11.52561068534851,124144.33333333333,305.3333333333333,38955.666666666664,86.76122283935547,0.004476568273579034,11.52561068534851,0.0,-46.59461635314327,0.0,-27.722772277227726,0.0,-51.57342657342657,0.0,-26.29764669849971,0.0,-0.0429593957185781,0.6840968272843856,0.6840968272843856,776.1836734693877,3.9228151000481333,0.00501959705700337,9.682095646335825e-05,-0.07264709472656787,0.0,1.0,1.0,1.0,84926.74455866852,84926.74455866852,229.19278639026433,229.19278639026433,18289.59010840137,18289.59010840137,2,0.5340538364685673
2024-08-13 00:00:00+00:00,1,0,0,5912620016,21425,11.663890480995178,88507.0,149,86.70747375488281,0.0350499046123169,0.0023241115268319,0.0,114099.0,146.0,29085.0,86.70037078857422,0.0021122603211551,11.047271132469175,0.0,0.0,0.0,0.0,0.0,0.0,115235.0,266.25,34573.0,86.7477855682373,0.00393845408689225,11.560180634260178,115235.0,266.25,34573.0,86.7477855682373,0.00393845408689225,11.560180634260178,0.0,-22.429644431590113,0.0,2.0547945205479534,0.0,-26.33659962179817,0.0,10.029597372777822,0.0,0.008192544327068063,0.6212973597818393,0.6212973597818393,590.0466666666666,4.130822365350508,0.00695416783347335,0.00013178346003745624,-0.04518356323243626,0.0,1.0,1.0,1.0,71595.20125446025,71595.20125446025,202.80429811355904,202.80429811355904,17315.80605496993,17315.80605496993,2,0.4142674598754019
2024-08-14 00:00:00+00:00,1,0,0,5912620016,18441,11.656039198239643,76718.0,115,86.69854736328125,0.0301356473693203,0.0017634073738008,0.0,88507.0,149.0,21425.0,86.70747375488281,0.0023241115268319,11.663890480995178,0.0,0.0,0.0,0.0,0.0,0.0,107531.6,236.0,31346.6,86.7379379272461,0.00350344474427396,11.57935234705607,107531.6,236.0,31346.6,86.7379379272461,0.00350344474427396,11.57935234705607,0.0,-13.319850407312417,0.0,-22.818791946308725,0.0,-13.927654609101515,0.0,-24.12552696192771,0.0,-0.01029483528351971,0.5984427580785608,0.5984427580785608,661.3620689655172,4.159960958681271,0.006235766185880056,0.00015193158406965216,-0.032439422607429116,-0.032439422607429116,1.0,1.0,1.0,64351.50728460057,64351.50728460057,188.2086607996561,188.2086607996561,16641.097899477663,16641.097899477663,2,0.3590876539338254
2024-08-15 00:00:00+00:00,1,0,0,5912620016,15459,11.372660279273989,62649.0,102,86.6998291015625,0.0244498350863995,0.0016420098254457,0.0,76718.0,115.0,18441.0,86.69854736328125,0.0017634073738008,11.656039198239643,0.0,0.0,0.0,0.0,0.0,0.0,100051.16666666667,213.66666666666666,28698.666666666668,86.73158645629883,0.003193205591135917,11.54490366909239,100051.16666666667,213.66666666666666,28698.666666666668,86.73158645629883,0.003193205591135917,11.54490366909239,0.0,-18.338590682760238,0.0,-11.304347826086957,0.0,-16.170489669757604,0.0,-6.884259993392405,0.0,0.001478384955944101,0.6037303689054508,0.6037303689054508,608.242718446602,4.052328589909444,0.006597671410090556,0.00018152689990860317,-0.02398093087331976,-0.02398093087331976,1.0,1.0,1.0,60403.92776108742,60403.92776108742,177.00470803531377,177.00470803531377,16236.077637984692,16236.077637984692,2,0.29323603888657457
2024-08-16 00:00:00+00:00,1,0,0,5912620016,15204,10.758997241655983,57809.0,87,86.59506225585938,0.0224280392338704,0.0013317322591319,0.0,62649.0,102.0,15459.0,86.6998291015625,0.0016420098254457,11.372660279273989,0.0,0.0,0.0,0.0,0.0,0.0,94016.57142857143,195.57142857142858,26770.85714285714,86.7120829990932,0.002927280829421057,11.43263132231576,94016.57142857143,195.57142857142858,26770.85714285714,86.7120829990932,0.002927280829421057,11.43263132231576,0.0,-7.725582212006577,0.0,-14.70588235294118,0.0,-1.6495245488065247,0.0,-18.896206435888995,0.0,-0.12083858386894297,0.6105939551925441,0.6105939551925441,656.9204545454545,3.801973035185794,0.005721802038803026,0.00018610962189337456,-0.02961567470005688,-0.02961567470005688,1.0,1.0,1.0,57405.950202213775,57405.950202213775,168.52582111045294,168.52582111045294,15674.512043745532,15674.512043745532,2,0.2705818476271607
2024-08-17 00:00:00+00:00,1,1,0,5912620016,16774,12.924597574316936,63126.0,110,86.62828063964844,0.0243424523188953,0.0013793235411867,0.0,57809.0,87.0,15204.0,86.59506225585938,0.0013317322591319,10.758997241655983,44687.0,568.0,27722.0,86.84566497802734,0.0084515111520886,13.254338264465332,96650.71428571429,130.14285714285714,25206.85714285714,86.6810280936105,0.0019169683135779286,11.385525509437418,90155.25,184.875,25521.25,86.7016077041626,0.0027337861683917625,11.619127103815908,41.26255958108622,9.197529796398474,-80.63380281690141,26.436781609195403,-39.49210013707525,10.326229939489618,-83.67956314125159,3.573637398092533,-0.25031109892923453,0.038360598079956176,0.6018298813096427,0.6018298813096427,568.7027027027027,3.7630998509687035,0.006557377049180328,0.0002047396133875669,-0.01951135907853877,-0.026727313087101467,0.9997626386511502,1.0720475433844872,0.7012136997919068,54258.123406941166,54258.123406941166,158.9307463735609,158.9307463735609,14935.991886810098,14935.991886810098,2,0.29546869368631434
2024-08-18 00:00:00+00:00,1,1,0,5912620016,17436,10.4025829633077,65151.0,136,86.6298828125,0.0249575791817877,0.002293917350471,0.0,63126.0,110.0,16774.0,86.62828063964844,0.0013793235411867,12.924597574316936,213647.0,202.0,60060.0,86.73763275146484,0.0028659333474934,10.275222659111025,75437.0,120.71428571428571,19117.714285714286,86.66563524518695,0.0018352517425747285,11.403719838608371,87377.0,179.44444444444446,24622.88888888889,86.69363827175565,0.0026849118552894555,11.483955532648329,-69.50530548053565,3.207869974337041,-32.67326732673267,23.636363636363633,-70.96903096903098,3.9465839990461493,-19.95915213878565,66.30741678616097,-0.12422513221405085,0.0018494801463653232,0.5886404549937668,0.5886404549937668,475.55474452554745,3.7363652004358547,0.007799506795893789,0.00015966636424526797,-0.016904830932618083,-0.02349077860514634,0.999676988679597,0.8633507673644094,0.6835426418037375,51433.63703599037,51433.63703599037,149.55610244245395,149.55610244245395,14228.908816599784,14228.908816599784,2,0.3049469451946435
2024-08-19 00:00:00+00:00,1,0,0,5912620016,16315,11.401576519012451,65253.0,84,86.652587890625,0.0248272444904713,0.0014215706614777,0.0,65151.0,136.0,17436.0,86.6298828125,0.002293917350471,10.4025829633077,114099.0,146.0,29085.0,86.70037078857422,0.0021122603211551,11.047271132469175,68459.0,111.85714285714286,17293.428571428572,86.65880911690849,0.0017365817911922429,11.45433489382884,85164.6,169.9,23792.1,86.68953323364258,0.00255857773590828,11.475717631284741,-42.81019114979097,0.15655937744623039,-42.465753424657535,-38.23529411764706,-43.90579336427712,-6.429226886900663,-32.69907845921628,-38.028688732581614,-0.05511268004347869,0.026209291052770034,0.5752882133206887,0.5752882133206887,767.6823529411764,3.9993258151507725,0.0051483206668301055,0.00017472609371092118,-0.01334054129464296,-0.019323314319959144,0.9996455844715268,0.8038433809352712,0.6787293451436865,48994.19057217113,48994.19057217113,144.19697176663132,144.19697176663132,13669.97392869171,13669.97392869171,2,0.30542436823358154
