timestamp,isSummer,isWeekend,isHoliday,universe_id,ratings_like_ratio,daily_rpv,ccu_playing,platform_platform_share,session_session_length,sort_sort_position,visits_visits_gained,daily_Estimated Revenue,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-07-29 00:00:00+00:00,1,0,0,7884563721,78.69969177246094,0.0714418695491612,3245,0.0232401434332132,17.726361751556396,472,82262,143136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143136.0,3245.0,82262.0,78.69969177246094,0.0232401434332132,17.726361751556396,143136.0,3245.0,82262.0,78.69969177246094,0.0232401434332132,17.726361751556396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.09611829944547,1.739980307063929,0.03944665280867462,0.00012384192592800183,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-07-30 00:00:00+00:00,1,0,0,7884563721,78.90654754638672,0.0655325176463974,3297,0.0238599590957164,18.792511582374573,460,269609,143634,143136.0,3245.0,82262.0,78.69969177246094,0.0232401434332132,17.726361751556396,0.0,0.0,0.0,0.0,0.0,0.0,143385.0,3271.0,175935.5,78.80311965942383,0.0235500512644648,18.259436666965485,143385.0,3271.0,175935.5,78.80311965942383,0.0235500512644648,18.259436666965485,0.0,0.3479208584842297,0.0,1.6024653312789017,0.0,227.7442804697187,0.0,2.667004462706557,0.0,0.2628419111524005,0.0024558996898622638,0.0024558996898622638,43.55184960582171,0.5327473016579504,0.01222877489707355,0.00013083518350245115,0.0,0.0,1.0,1.0,1.0,352.13917703090067,352.13917703090067,36.76955262170047,36.76955262170047,132474.33413495612,132474.33413495612,2,1.0
2025-07-31 00:00:00+00:00,1,0,0,7884563721,78.96372985839844,0.0612342189273682,3688,0.0275467112660408,16.381580750147503,421,314663,152341,143634.0,3297.0,269609.0,78.90654754638672,0.0238599590957164,18.792511582374573,0.0,0.0,0.0,0.0,0.0,0.0,146370.33333333334,3410.0,222178.0,78.85665639241536,0.024882271264990135,17.633484694692825,146370.33333333334,3410.0,222178.0,78.85665639241536,0.024882271264990135,17.633484694692825,0.0,6.0619351964019685,0.0,11.859265999393397,0.0,16.7108664770093,0.0,15.451628209145941,0.0,0.07246839937851135,0.03536741893600284,0.03536741893600284,41.296015180265655,0.4841386367681082,0.011720438308799227,0.00010753161144101759,0.13201904296874356,0.0,1.0,1.0,1.0,5176.740898802382,5176.740898802382,242.15490909746183,242.15490909746183,123247.03250382948,123247.03250382948,3,1.0
2025-08-01 00:00:00+00:00,1,0,0,7884563721,80.3203353881836,0.0579547943554722,3597,0.0248743090778589,18.079588810602825,376,342500,163438,152341.0,3688.0,314663.0,78.96372985839844,0.0275467112660408,16.381580750147503,0.0,0.0,0.0,0.0,0.0,0.0,150637.25,3456.75,252258.5,79.22257614135742,0.024880280718207325,17.745010723670326,150637.25,3456.75,252258.5,79.22257614135742,0.024880280718207325,17.745010723670326,0.0,7.284316106629207,0.0,-2.4674620390455537,0.0,8.846607322754817,0.0,-9.701347512493797,0.0,1.718010955432181,0.06321967981308702,0.06321967981308702,45.42468037798777,0.47718984762088285,0.010502159117783598,0.00011061979582965403,0.49191131591796183,0.0,1.0,1.0,1.0,9523.238712923941,9523.238712923941,218.711949071528,218.711949071528,117242.90995621015,117242.90995621015,4,1.0
2025-08-02 00:00:00+00:00,1,1,0,7884563721,82.1251220703125,0.0535127898619257,3334,0.0220671668648719,16.13354992866516,345,342146,170314,163438.0,3597.0,342500.0,80.3203353881836,0.0248743090778589,18.079588810602825,0.0,0.0,0.0,0.0,0.0,0.0,154572.6,3432.2,270236.0,79.80308532714844,0.02431765794754024,17.422718564669292,154572.6,3432.2,270236.0,79.80308532714844,0.02431765794754024,17.422718564669292,0.0,4.207099940038428,0.0,-7.311648596052267,0.0,-0.10335766423357207,0.0,-11.285307279090183,0.0,2.2469859885500654,0.0780243671636618,0.0780243671636618,51.068665667166414,0.4977801938932681,0.009744349650881053,9.472771000008902e-05,0.8264648437499943,0.8264648437499943,1.0,1.0,1.0,12060.429295841832,12060.429295841832,197.20471596795042,197.20471596795042,109203.37669916623,109203.37669916623,5,1.0
2025-08-03 00:00:00+00:00,1,1,0,7884563721,83.13567352294922,0.0496477666019701,3997,0.0291448235511779,16.73628358046214,308,353073,174080,170314.0,3334.0,342146.0,82.1251220703125,0.0220671668648719,16.13354992866516,0.0,0.0,0.0,0.0,0.0,0.0,157823.83333333334,3526.3333333333335,284042.1666666667,80.35851669311523,0.025122185548146516,17.308312733968098,157823.83333333334,3526.3333333333335,284042.1666666667,80.35851669311523,0.025122185548146516,17.308312733968098,0.0,2.2112098829221383,0.0,19.886022795440915,0.0,3.1936658619419855,0.0,32.073245875403785,0.0,1.230502222902663,0.0849582732832632,0.0849582732832632,43.54177088544272,0.4930411188589361,0.011320573024351835,9.614078262683543e-05,0.9483496529715476,0.9483496529715476,1.0,1.0,1.0,13408.44036294552,13408.44036294552,290.3071936185301,290.3071936185301,103363.25949856006,103363.25949856006,6,1.0
2025-08-04 00:00:00+00:00,1,0,0,7884563721,83.61841583251953,0.0509617166087655,3620,0.027184497565031,14.912052432696024,263,359594,197536,174080.0,3997.0,353073.0,83.13567352294922,0.0291448235511779,16.73628358046214,0.0,0.0,0.0,0.0,0.0,0.0,163497.0,3539.714285714286,294835.28571428574,80.824216570173,0.025416801550558584,16.965989833786374,163497.0,3539.714285714286,294835.28571428574,80.824216570173,0.025416801550558584,16.965989833786374,0.0,13.474264705882355,0.0,-9.432074055541662,0.0,1.8469268394921246,0.0,-6.726154930067063,0.0,0.5806680683678511,0.11846029080996749,0.11846029080996749,54.55288594310964,0.5493291063557614,0.010066880796451563,7.548992053486701e-05,0.9419934409005353,0.9419934409005353,1.0,1.0,1.0,19367.902166557255,19367.902166557255,267.36723452068344,267.36723452068344,98583.68412963388,98583.68412963388,7,1.0
2025-08-05 00:00:00+00:00,1,0,0,7884563721,84.12882232666016,0.0482710975266943,3549,0.0270446501672267,14.407204866409302,243,351311,204419,197536.0,3620.0,359594.0,83.61841583251953,0.027184497565031,14.912052432696024,143136.0,3245.0,82262.0,78.69969177246094,0.0232401434332132,17.726361751556396,172251.7142857143,3583.1428571428573,333270.85714285716,81.5998066493443,0.025960302512560512,16.491824564479646,168612.25,3540.875,301894.75,81.23729228973389,0.0256202826276421,16.64614171286424,42.81452604515985,3.48442815486798,9.368258859784273,-1.9613259668508243,327.0635287252923,-2.303431091731234,16.37040986836753,-0.5144380449546793,6.898541064043928,0.6103996219719354,0.13664646517106938,0.13664646517106938,57.58281690140845,0.5818730928633238,0.010102131438721136,7.04784505743533e-05,0.9925548008510094,0.9033794403076166,1.0044624131281665,1.0215848153720402,1.0132715118666007,23040.267947040644,23040.267947040644,247.55572965640349,247.55572965640349,93429.32751206734,93429.32751206734,8,1.0
2025-08-06 00:00:00+00:00,1,0,0,7884563721,84.57508087158203,0.0464571320732155,3457,0.0265742614865303,14.484357357025146,233,354558,212526,204419.0,3549.0,351311.0,84.12882232666016,0.0270446501672267,14.407204866409302,143634.0,3297.0,269609.0,78.90654754638672,0.0238599590957164,18.792511582374573,182093.42857142858,3606.0,345406.4285714286,82.40959712437221,0.0263480599969625,15.8763739608583,173491.55555555556,3531.5555555555557,307746.22222222225,81.60815768771701,0.02572628027862968,16.40594345110434,47.9635740841305,3.9658740136680137,4.852896572641785,-2.5922795153564437,31.508221164723736,0.9242523006680603,11.37597252336111,-1.739303994645225,7.183856728572446,0.5304466799607832,0.15016946639911244,0.15016946639911244,61.45922498554077,0.5994094071790591,0.009750140315152062,6.81530222372929e-05,0.9265828813825348,0.8548848470052084,1.0098205799440052,1.0495809319844303,1.024169048599277,26053.13432252975,26053.13432252975,233.2488537544779,233.2488537544779,89140.71392435918,89140.71392435918,9,1.0
2025-08-07 00:00:00+00:00,1,0,0,7884563721,85.13811492919922,0.0432773374002043,2939,0.023058446124196,16.21816821893056,227,325794,213541,212526.0,3457.0,354558.0,84.57508087158203,0.0265742614865303,14.484357357025146,152341.0,3688.0,314663.0,78.96372985839844,0.0275467112660408,16.381580750147503,190836.2857142857,3499.0,346996.5714285714,83.29165213448661,0.025706879262413242,15.853029313541594,177496.5,3472.3,309551.0,81.96115341186524,0.02545949686318631,16.38716592788696,40.17303286705483,0.4775886244506644,-20.30911062906724,-14.984090251663297,3.5374352879111948,-8.112636014417951,-16.29328851091516,-13.230152657737493,7.819267253298423,0.665720980476614,0.1556983034053767,0.1556983034053767,72.6329931972789,0.6554459092374039,0.009021010144415966,7.594837652045294e-05,0.7266573224748923,0.8142775564482712,1.01623328451633,1.0751552042676094,1.0097167041656916,27635.903910392444,27635.903910392444,288.9156162849861,288.9156162849861,84236.23203428161,84236.23203428161,10,1.0
