timestamp,isSummer,isWeekend,isHoliday,universe_id,sort_sort_position,daily_Estimated Revenue,visits_visits_gained,session_session_length,platform_platform_share,ccu_playing,ratings_like_ratio,daily_rpv,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-05-27 00:00:00+00:00,0,0,0,7527828266,0.0,15051,31048,11.1880833307902,0.0019585874397307,158,95.67308044433594,0.031470433032271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15051.0,158.0,31048.0,95.67308044433594,0.0019585874397307,11.1880833307902,15051.0,158.0,31048.0,95.67308044433594,0.0019585874397307,11.1880833307902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.66037735849056,0.4847499114303198,0.005088730715965087,0.0007432954644426122,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-05-28 00:00:00+00:00,0,0,0,7527828266,0.0,39662,103616,12.13793166478475,0.0074236141517758,548,96.31255340576172,0.072505617396146,15051.0,158.0,31048.0,95.67308044433594,0.0019585874397307,11.1880833307902,0.0,0.0,0.0,0.0,0.0,0.0,27356.5,353.0,67332.0,95.99281692504883,0.00469110079575325,11.663007497787476,27356.5,353.0,67332.0,95.99281692504883,0.00469110079575325,11.663007497787476,0.0,163.51737426084645,0.0,246.83544303797467,0.0,233.72842051017778,0.0,279.0289879933328,0.0,0.6683938245281462,0.6361415017192302,0.6361415017192302,72.2440801457195,0.382775027263866,0.00528870745147997,0.0003060265654333951,0.0,0.0,1.0,1.0,1.0,17402.604991782122,17402.604991782122,275.77164466275354,275.77164466275354,51313.32489714538,51313.32489714538,2,1.0
2025-05-29 00:00:00+00:00,0,0,0,7527828266,0.0,49638,97999,12.247296134630838,0.0074341217987239,787,96.28040313720705,0.0762199589645544,39662.0,548.0,103616.0,96.31255340576172,0.0074236141517758,12.13793166478475,0.0,0.0,0.0,0.0,0.0,0.0,34783.666666666664,497.6666666666667,77554.33333333333,96.08867899576823,0.005605441130076799,11.857770376735262,34783.666666666664,497.6666666666667,77554.33333333333,96.08867899576823,0.005605441130076799,11.857770376735262,0.0,25.152538954162672,0.0,43.61313868613139,0.0,-5.420977455219267,0.0,0.14154354918334278,0.0,-0.03338118180630234,0.5117939842316251,0.5117939842316251,62.99238578680203,0.5065102040816326,0.008030612244897959,0.00024672729375351714,0.30366134643554055,0.0,1.0,1.0,1.0,17802.071349518104,17802.071349518104,317.5064303810764,317.5064303810764,40373.46842089906,40373.46842089906,3,1.0
2025-05-30 00:00:00+00:00,0,0,0,7527828266,0.0,53490,110073,12.49065891901652,0.006231274921447,693,96.22425842285156,0.0712817518837542,49638.0,787.0,97999.0,96.28040313720705,0.0074341217987239,12.247296134630838,0.0,0.0,0.0,0.0,0.0,0.0,39460.25,546.5,85684.0,96.12257385253906,0.0057618995779193495,12.015992512305576,39460.25,546.5,85684.0,96.12257385253906,0.0057618995779193495,12.015992512305576,0.0,7.7601837302067045,0.0,-11.944091486658193,0.0,12.320533882998808,0.0,-16.18008030865695,0.0,-0.05831375080085355,0.4380257246741445,0.4380257246741445,77.0749279538905,0.4859458182677108,0.006295764667405564,0.00023350954214758593,0.16213836669921167,0.0,1.0,1.0,1.0,17284.60460207291,17284.60460207291,277.0300826023533,277.0300826023533,36756.54892215354,36756.54892215354,4,1.0
2025-05-31 00:00:00+00:00,0,1,0,7527828266,0.0,36762,126234,13.584282795588177,0.0061508249491453,684,96.34725189208984,0.0418350667578246,53490.0,693.0,110073.0,96.22425842285156,0.006231274921447,12.49065891901652,0.0,0.0,0.0,0.0,0.0,0.0,38920.6,574.0,93794.0,96.16750946044922,0.00583968465216454,12.329650568962098,38920.6,574.0,93794.0,96.16750946044922,0.00583968465216454,12.329650568962098,0.0,-31.27313516545148,0.0,-1.2987012987012991,0.0,14.68207462320461,0.0,-1.2910676116183684,0.0,0.1278196072946436,0.3858487730981272,0.3858487730981272,53.667153284671535,0.2912187586643958,0.0054184655602645855,0.00036950963728716853,0.12600479125975883,0.12600479125975883,1.0,1.0,1.0,15017.465758242968,15017.465758242968,247.67014353773047,247.67014353773047,36635.2755755979,36635.2755755979,4,0.6872686483454852
2025-06-01 00:00:00+00:00,1,1,0,7527828266,0.0,36780,97748,12.122336784998575,0.0055378256365656,567,96.49408721923828,0.0373715715165864,36762.0,684.0,126234.0,96.34725189208984,0.0061508249491453,13.584282795588177,0.0,0.0,0.0,0.0,0.0,0.0,38563.833333333336,572.8333333333334,94453.0,96.22193908691406,0.005789374816231384,12.295098271634842,38563.833333333336,572.8333333333334,94453.0,96.22193908691406,0.005789374816231384,12.295098271634842,0.0,0.04896360372124153,0.0,-17.105263157894733,0.0,-22.566028169906684,0.0,-9.966131659540721,0.0,0.15240219545948896,0.34904278573125974,0.34904278573125974,64.75352112676056,0.3762698339624958,0.0058005708498296655,0.00032958149003557745,0.11865670340402043,0.11865670340402043,1.0,1.0,1.0,13460.427815142679,13460.427815142679,221.54134301901004,221.54134301901004,32807.322646019136,32807.322646019136,4,0.6876051598429613
2025-06-02 00:00:00+00:00,1,0,0,7527828266,0.0,32071,84800,12.0553990205129,0.0050286133773624,522,96.53392028808594,0.0298383280400016,36780.0,567.0,97748.0,96.49408721923828,0.0055378256365656,12.122336784998575,0.0,0.0,0.0,0.0,0.0,0.0,37636.28571428572,565.5714285714286,93074.0,96.26650782993862,0.005680694610678672,12.260855521474566,37636.28571428572,565.5714285714286,93074.0,96.26650782993862,0.005680694610678672,12.260855521474566,0.0,-12.8031538879826,0.0,-7.936507936507942,0.0,-13.246306829807263,0.0,-9.195165984297738,0.0,0.04128032089381062,0.33293128591343135,0.33293128591343135,61.32122370936902,0.3781912949139751,0.00615558778787986,0.0003758854770676259,0.10758699689592668,0.10758699689592668,1.0,1.0,1.0,12530.29699986245,12530.29699986245,203.14925313084234,203.14925313084234,30170.26963198484,30170.26963198484,4,0.5995700130865582
2025-06-03 00:00:00+00:00,1,0,0,7527828266,0.0,24202,83919,11.972227056821188,0.0058345268480479,435,96.67227172851562,0.0208805437890701,32071.0,522.0,84800.0,96.53392028808594,0.0050286133773624,12.0553990205129,15051.0,158.0,31048.0,95.67308044433594,0.0019585874397307,11.1880833307902,38943.57142857143,605.1428571428571,100627.0,96.40924944196429,0.006234400240438272,12.372876053764708,35957.0,549.25,91929.625,96.31722831726074,0.005699923640349825,12.224776963392893,60.79994684738557,-24.536185338779582,175.31645569620252,-16.666666666666664,170.28794125225457,-1.0389150943396208,197.89463210537744,16.026554642548717,1.0443808013070432,0.14331899089647937,0.34862455039539214,0.34862455039539214,55.50917431192661,0.28839370829361294,0.0051835081029551954,0.0004946588049754653,0.06628635951451216,0.1055383228120418,1.000955396311867,1.08305952745144,1.0937690807478333,12535.492958567114,12535.492958567114,193.66226123995204,193.66226123995204,28119.15536700154,28119.15536700154,4,0.4524584034398953
2025-06-04 00:00:00+00:00,1,0,0,7527828266,0.0,36613,93718,12.835200389226278,0.0071890279650688,682,96.8553466796875,0.0293800741201258,24202.0,435.0,83919.0,96.67227172851562,0.0058345268480479,11.972227056821188,39662.0,548.0,103616.0,96.31255340576172,0.0074236141517758,12.13793166478475,38508.0,624.2857142857143,99213.0,96.4867913382394,0.006200887928051557,12.472485871542068,36029.88888888889,564.0,92128.33333333333,96.37701924641927,0.005865379676429711,12.292601788485491,-7.687459028793309,51.280885877200234,24.452554744525546,56.7816091954023,-9.552578752316244,11.676735900094148,-3.159999724000806,23.21526924628148,0.5635747934529478,0.18937689980640382,0.32550526831129645,0.32550526831129645,53.60614934114202,0.39066784750157385,0.007277072952122835,0.00035055444336118093,0.1002687726701983,0.10975138346354016,1.0011389861678484,1.0687793159383103,1.0572014550004496,11727.918650003978,11727.918650003978,186.48056198971517,186.48056198971517,26309.815682554676,26309.815682554676,4,0.6844830809497102
2025-06-05 00:00:00+00:00,1,0,0,7527828266,0.0,62171,121444,12.680330355962118,0.0084376344457268,800,97.08560943603516,0.0458952555282319,36613.0,682.0,93718.0,96.8553466796875,0.0071890279650688,12.835200389226278,49638.0,787.0,97999.0,96.28040313720705,0.0074341217987239,12.247296134630838,40298.42857142857,626.1428571428571,102562.28571428571,96.60182080950055,0.006344246877623401,12.534347903160821,38644.0,587.6,95059.9,96.44787826538087,0.00612260515335942,12.331374645233154,25.24880132156815,69.80580668068718,1.6518424396442244,17.30205278592376,23.923713507280688,29.584498175377206,13.498738306590008,17.36822400364737,0.8363138007229098,0.2377388179809703,0.3572532186813887,0.3572532186813887,77.6167290886392,0.5119272098480794,0.006587344065214706,0.0002039556449199337,0.13494382585797704,0.11846956195253334,1.0015961216243254,1.042812042527393,1.0362005582121145,13805.693382723586,13805.693382723586,190.99924374486702,190.99924374486702,26480.84987495681,26480.84987495681,5,1.0
