timestamp,isSummer,isWeekend,isHoliday,universe_id,ratings_like_ratio,ccu_playing,daily_Estimated Revenue,platform_platform_share,session_session_length,daily_rpv,visits_visits_gained,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2024-07-12 00:00:00+00:00,1,0,0,4257969255,93.95673370361328,1452.0,325319.0,0.0205114409327507,64.51437208387587,0.0109140991426178,67112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325319.0,1452.0,67112.0,93.95673370361328,0.0205114409327507,64.51437208387587,325319.0,1452.0,67112.0,93.95673370361328,0.0205114409327507,64.51437208387587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.89470061940813,4.847332111513418,0.021635152652988245,0.00019831050068817125,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2024-07-13 00:00:00+00:00,1,1,0,4257969255,93.95867919921876,1415.0,576092.0,0.0199550557881593,16.7241849899292,0.0192805619644773,112225.0,0.0,325319.0,1452.0,67112.0,93.95673370361328,0.0205114409327507,64.51437208387587,0.0,0.0,0.0,0.0,0.0,0.0,450705.5,1433.5,89668.5,93.95770645141602,0.020233248360455,40.619278536902534,450705.5,1433.5,89668.5,93.95770645141602,0.020233248360455,40.619278536902534,0.0,77.08526092850403,0.0,-2.5482093663911853,0.0,67.2204672785791,0.0,-2.712560011827425,0.0,0.0020706292447547625,0.3934349344272348,0.3934349344272348,406.8446327683616,5.133320264466344,0.012608486446990893,2.9030356192366856e-05,0.0,0.0,1.0,1.0,1.0,177323.28883849407,177323.28883849407,26.16295090390226,26.16295090390226,31899.70821966872,31899.70821966872,2,1.0
2024-07-14 00:00:00+00:00,1,1,0,4257969255,93.96243286132812,1614.0,600026.0,0.022786321118474,16.87053569157918,0.0200051338027078,115470.0,0.0,576092.0,1415.0,112225.0,93.95867919921876,0.0199550557881593,16.7241849899292,0.0,0.0,0.0,0.0,0.0,0.0,500479.0,1493.6666666666667,98269.0,93.95928192138672,0.021084272613127997,32.70303092179475,500479.0,1493.6666666666667,98269.0,93.95928192138672,0.021084272613127997,32.70303092179475,0.0,4.154544760211909,0.0,14.063604240282679,0.0,2.8915125863221203,0.0,14.188210548600333,0.0,0.003995013703206318,0.3040373591184432,0.3040373591184432,371.5331269349845,5.196335010522122,0.013977535485100155,2.811629425272393e-05,0.0028495788574358326,0.0,1.0,1.0,1.0,152164.31345423934,152164.31345423934,105.84107583227471,105.84107583227471,27031.490765401748,27031.490765401748,3,1.0
2024-07-15 00:00:00+00:00,1,0,0,4257969255,93.97542572021484,1552.0,616380.0,0.0230906661599874,16.64428440729777,0.0204699709459631,119830.0,0.0,600026.0,1614.0,115470.0,93.96243286132812,0.022786321118474,16.87053569157918,0.0,0.0,0.0,0.0,0.0,0.0,529454.25,1508.25,103659.25,93.96331787109375,0.02158587099984285,28.688344293170505,529454.25,1508.25,103659.25,93.96331787109375,0.02158587099984285,28.688344293170505,0.0,2.7255485595624185,0.0,-3.8413878562577497,0.0,3.7758725210011335,0.0,1.3356479965809465,0.0,0.013827716557623937,0.2589309796580494,0.2589309796580494,396.89632968448166,5.143744106283015,0.012951573465964566,2.700324054001952e-05,0.005982971191391992,0.0,1.0,1.0,1.0,137092.1076366178,137092.1076366178,91.20809540093829,91.20809540093829,24563.255258956753,24563.255258956753,4,1.0
2024-07-16 00:00:00+00:00,1,0,0,4257969255,93.98480987548828,1527.0,597217.0,0.0221393145620822,17.363158464431763,0.0197576893661827,112000.0,0.0,616380.0,1552.0,119830.0,93.97542572021484,0.0230906661599874,16.64428440729777,0.0,0.0,0.0,0.0,0.0,0.0,543006.8,1512.0,105327.4,93.96761627197266,0.02169655971229072,26.423307127422753,543006.8,1512.0,105327.4,93.96761627197266,0.02169655971229072,26.423307127422753,0.0,-3.108958759206981,0.0,-1.6108247422680466,0.0,-6.5342568638905085,0.0,-4.120069950834715,0.0,0.00998575446879979,0.22565426833774416,0.22565426833774416,390.8488219895288,5.332247033508629,0.013633806841010348,2.9073401110535453e-05,0.007289886474604922,0.007289886474604922,1.0,1.0,1.0,122531.80215641978,122531.80215641978,79.4323611634452,79.4323611634452,21596.961679828946,21596.961679828946,4,0.9689104124079302
2024-07-17 00:00:00+00:00,1,0,0,4257969255,93.9974136352539,1593.0,618042.0,0.0243757795542478,16.48719012737274,0.0203693165688142,122335.0,0.0,597217.0,1527.0,112000.0,93.98480987548828,0.0221393145620822,17.363158464431763,0.0,0.0,0.0,0.0,0.0,0.0,555512.6666666666,1525.5,108162.0,93.9725824991862,0.0221430963526169,24.76728762741442,555512.6666666666,1525.5,108162.0,93.9725824991862,0.0221430963526169,24.76728762741442,0.0,3.4870072352260584,0.0,4.3222003929273,0.0,9.227678571428566,0.0,10.101780639568547,0.0,0.013410422154724877,0.20484928363176708,0.20484928363176708,387.7302383939774,5.052004315982213,0.013021514517394717,2.667644504892498e-05,0.008422415597106176,0.008422415597106176,1.0,1.0,1.0,113796.37181503927,113796.37181503927,78.36517083500806,78.36517083500806,20526.878622917808,20526.878622917808,5,1.0
2024-07-18 00:00:00+00:00,1,0,0,4257969255,94.00396728515624,1644.0,632644.0,0.0240822080522775,16.280856450398762,0.0207646571844687,126021.0,0.0,618042.0,1593.0,122335.0,93.9974136352539,0.0243757795542478,16.48719012737274,0.0,0.0,0.0,0.0,0.0,0.0,566531.4285714285,1542.4285714285713,110713.28571428571,93.97706604003906,0.022420112309711273,23.554940316412182,566531.4285714285,1542.4285714285713,110713.28571428571,93.97706604003906,0.022420112309711273,23.554940316412182,0.0,2.3626226049362264,0.0,3.201506591337089,0.0,3.0130379695099574,0.0,-1.20435738810718,0.0,0.006972159816820422,0.19044762358177356,0.19044762358177356,384.58601823708204,5.020107600260272,0.013045341289616099,2.5734584878405366e-05,0.008626665387835948,0.008626665387835948,1.0,1.0,1.0,107894.56425581586,107894.56425581586,84.40153462834101,84.40153462834101,19917.09566941832,19917.09566941832,6,1.0
2024-07-19 00:00:00+00:00,1,0,0,4257969255,94.0054168701172,1604.0,634961.0,0.0221382360905408,16.421547452608745,0.0207542055929083,125414.0,0.0,632644.0,1644.0,126021.0,94.00396728515624,0.0240822080522775,16.280856450398762,325319.0,1452.0,67112.0,93.95673370361328,0.0205114409327507,64.51437208387587,610766.0,1564.142857142857,119042.14285714286,93.98402077811105,0.022652511617967,16.68453679765974,575085.125,1550.125,112550.875,93.98060989379883,0.022384877782314964,22.663266208436752,95.18103768916049,0.3662407293833603,10.468319559228645,-2.4330900243308973,86.87269042794135,-0.48166575412034174,7.931159800638832,-8.07223306731981,0.05181445180659772,0.0015420465782733928,0.17871968010608108,0.17871968010608108,395.6143302180685,5.062879240920145,0.012789538731411714,2.586225231212064e-05,0.00875963483537849,0.008113679431738255,1.00003629348986,1.0620445103670522,1.0119560105824423,102779.02957376566,102779.02957376566,81.11620852649787,81.11620852649787,19158.143829247732,19158.143829247732,7,1.0
2024-07-20 00:00:00+00:00,1,1,0,4257969255,94.01307678222656,1797.0,704301.0,0.0264525711536407,14.931968609491983,0.0229193554876845,153855.0,0.0,634961.0,1604.0,125414.0,94.0054168701172,0.0221382360905408,16.421547452608745,576092.0,1415.0,112225.0,93.95867919921876,0.0199550557881593,16.7241849899292,629081.5714285715,1618.7142857142858,124989.28571428571,93.99179186139789,0.02358072809875006,16.428505886168708,589442.4444444445,1577.5555555555557,117140.22222222222,93.98421732584636,0.022836843712462265,21.804233141887337,22.25495233400221,10.920355738383925,26.996466431095413,12.032418952618462,37.095121407885934,22.677691485799034,32.560747684488156,19.488160869977,0.057895218910486435,0.00814837310911809,0.17872547538781708,0.17872547538781708,391.7135706340378,4.57766352953411,0.011679752495840266,2.120108789907168e-05,0.008252552577431363,0.00784403483072866,1.000080593697187,1.0672485114666068,1.0325738703497738,105348.3810970903,105348.3810970903,111.93425649807915,111.93425649807915,22598.98530785054,22598.98530785054,8,1.0
2024-07-21 00:00:00+00:00,1,1,0,4257969255,94.02307891845705,1891.0,847735.0,0.0275643523782491,14.33013399442037,0.0274293405253489,183451.0,0.0,704301.0,1797.0,153855.0,94.01307678222656,0.0264525711536407,14.931968609491983,600026.0,1614.0,115470.0,93.96243286132812,0.022786321118474,16.87053569157918,664468.5714285715,1658.2857142857142,134700.85714285713,94.00045558384487,0.02426330399300364,16.065591358003164,615271.7,1608.9,123771.3,93.98810348510742,0.02330959457904095,21.056823227140637,41.28304440140926,20.365440344398202,17.162329615861218,5.230940456316091,58.873300424352635,19.2362939131,20.968857741152934,4.202923103962175,0.06454287663923974,0.010639090404040985,0.20900503161367712,0.20900503161367712,448.0628964059197,4.6210180319647645,0.010307873449185618,1.6904005485694096e-05,0.007410594395237255,0.007824475837477474,1.000131421938303,1.0799595876562689,1.0409148863884672,128594.88110950086,128594.88110950086,144.782173549708,144.782173549708,29894.481876723967,29894.481876723967,9,1.0
