timestamp,isSummer,isWeekend,isHoliday,universe_id,platform_platform_share,daily_Estimated Revenue,ratings_like_ratio,visits_visits_gained,sort_sort_position,daily_rpv,session_session_length,ccu_playing,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-09-08 00:00:00+00:00,0,0,0,7660436108,0.1539282947778701,893418,98.84517669677734,136886,98,0.5232625961949006,55.25968488057455,16465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,893418.0,16465.0,136886.0,98.84517669677734,0.1539282947778701,55.25968488057455,893418.0,16465.0,136886.0,98.84517669677734,0.1539282947778701,55.25968488057455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.25835054050771,6.526682592211094,0.12028169219867482,6.185192488695064e-05,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-09-09 00:00:00+00:00,0,0,0,7660436108,0.1960482150316238,923244,98.8452606201172,1205683,95,0.4087290827006615,65.27290642779806,20426,893418.0,16465.0,136886.0,98.84517669677734,0.1539282947778701,55.25968488057455,0.0,0.0,0.0,0.0,0.0,0.0,908331.0,18445.5,671284.5,98.84521865844727,0.17498825490474695,60.26629565418631,908331.0,18445.5,671284.5,98.84521865844727,0.17498825490474695,60.26629565418631,0.0,3.3384149412704955,0.0,24.05709079866383,0.0,780.7935070058297,0.0,27.363338439197204,0.0,8.490382905623761e-05,0.023218591962258214,0.023218591962258214,45.19723894845058,0.7657429309835745,0.01694142080346094,7.069944210669764e-05,0.0,0.0,1.0,1.0,1.0,21090.166855669966,21090.166855669966,2800.8499602799147,2800.8499602799147,755753.6064118384,755753.6064118384,2,1.0
2025-09-10 00:00:00+00:00,0,0,0,7660436108,0.233903706073761,2310466,98.85413360595705,1500033,41,0.6204687520007741,42.878864702971086,24320,923244.0,20426.0,1205683.0,98.8452606201172,0.1960482150316238,65.27290642779806,0.0,0.0,0.0,0.0,0.0,0.0,1375709.3333333333,20403.666666666668,947534.0,98.84819030761719,0.19462673862775162,54.470485337114575,1375709.3333333333,20403.666666666668,947534.0,98.84819030761719,0.19462673862775162,54.470485337114575,0.0,150.25518714446017,0.0,19.0639381180848,0.0,24.41354817145136,0.0,19.30927605539834,0.0,0.008976642667724022,0.5885402910036065,0.5885402910036065,94.99880761481847,1.5402757537495817,0.016212965839440974,1.855852721677959e-05,0.004478454589845539,0.0,1.0,1.0,1.0,809660.3713763774,809660.3713763774,3927.5476233055824,3927.5476233055824,717302.6666289482,717302.6666289482,3,1.0
2025-09-11 00:00:00+00:00,0,0,0,7660436108,0.2582402229309082,3549364,98.81243896484376,1616378,27,0.6750097505039275,36.114458887200605,26477,2310466.0,24320.0,1500033.0,98.85413360595705,0.233903706073761,42.878864702971086,0.0,0.0,0.0,0.0,0.0,0.0,1919123.0,21922.0,1114745.0,98.83925247192384,0.21053010970354077,49.881478724636075,1919123.0,21922.0,1114745.0,98.83925247192384,0.21053010970354077,49.881478724636075,0.0,53.62113097530974,0.0,8.86924342105264,0.0,7.756162697753988,0.0,10.404502461997222,0.0,-0.04217794399926644,0.6628525049989062,0.6628525049989062,134.04955057028477,2.195873616274401,0.016380440478377906,1.0174907029060298e-05,-0.008934020996099834,0.0,1.0,1.0,1.0,1272095.487951016,1272095.487951016,4416.457630273384,4416.457630273384,674428.2648678558,674428.2648678558,4,1.0
2025-09-12 00:00:00+00:00,0,0,0,7660436108,0.2305113822221756,4828919,98.76290130615234,1701094,20,0.6852409901434924,40.50033959475431,29189,3549364.0,26477.0,1616378.0,98.81243896484376,0.2582402229309082,36.114458887200605,0.0,0.0,0.0,0.0,0.0,0.0,2501082.2,23375.4,1232014.8,98.82398223876955,0.21452636420726776,48.005250898659725,2501082.2,23375.4,1232014.8,98.82398223876955,0.21452636420726776,48.005250898659725,0.0,36.05026139894358,0.0,10.242852286890503,0.0,5.241100782119035,0.0,-10.737614920721095,0.0,-0.05013301888949773,0.6817081573172564,0.6817081573172564,165.43059266872217,2.838712123661524,0.017158947619033624,8.38703883989677e-06,-0.01973724365234675,-0.01973724365234675,1.0,1.0,1.0,1705008.13786099,1705008.13786099,5019.031908645331,5019.031908645331,640235.2249757115,640235.2249757115,5,1.0
2025-09-13 00:00:00+00:00,0,1,0,7660436108,0.2375851571559906,7724906,98.74657440185548,2613128,17,0.8384567824637769,60.49167936498469,35736,4828919.0,29189.0,1701094.0,98.76290130615234,0.2305113822221756,40.50033959475431,0.0,0.0,0.0,0.0,0.0,0.0,3371719.5,25435.5,1462200.3333333333,98.81108093261719,0.21836949636538824,50.086322309713886,3371719.5,25435.5,1462200.3333333333,98.81108093261719,0.21836949636538824,50.086322309713886,0.0,59.97174522910822,0.0,22.42968241460823,0.0,53.61455627966474,0.0,3.06873129891565,0.0,-0.016531414206077955,0.777577682949164,0.777577682949164,216.159890309763,2.9561900694531347,0.013675559071136557,7.830732378394289e-06,-0.022336687360480022,-0.022336687360480022,1.0,1.0,1.0,2621773.8363645137,2621773.8363645137,6754.007484449509,6754.007484449509,803637.4762139124,803637.4762139124,6,1.0
2025-09-14 00:00:00+00:00,0,1,0,7660436108,0.3515012264251709,7897490,98.6984405517578,2603476,15,0.6601304842320687,45.63712656497955,39220,7724906.0,35736.0,2613128.0,98.74657440185548,0.2375851571559906,60.49167936498469,0.0,0.0,0.0,0.0,0.0,0.0,4018258.1428571427,27404.714285714286,1625239.7142857143,98.79498944963727,0.2373883149453572,49.45072291760898,4018258.1428571427,27404.714285714286,1625239.7142857143,98.79498944963727,0.2373883149453572,49.45072291760898,0.0,2.2341242728390442,0.0,9.74927244235504,0.0,-0.3693657562890196,0.0,47.94746887087173,0.0,-0.0487448302781579,0.7321074190596777,0.7321074190596777,201.35871089467378,3.033439511852803,0.015064469553600818,5.778686745572683e-06,-0.026029041835240397,-0.026029041835240397,1.0,1.0,1.0,2941796.5980826765,2941796.5980826765,8072.080395087867,8072.080395087867,851038.8979568274,851038.8979568274,7,1.0
2025-09-15 00:00:00+00:00,0,0,0,7660436108,0.3207017779350281,10343316,98.6513214111328,2596569,11,0.7030368888834588,178.62089903458306,35671,7897490.0,39220.0,2603476.0,98.6984405517578,0.3515012264251709,45.63712656497955,893418.0,16465.0,136886.0,98.84517669677734,0.1539282947778701,55.25968488057455,5368243.571428572,30148.428571428572,1976623.0,98.76729583740234,0.2612130982535226,67.07375351103876,4808890.375,28438.0,1746655.875,98.77703094482422,0.24780249781906605,65.59699493223074,1057.7241559941706,30.969662513026286,116.64743395080475,-9.048954614992354,1796.884268661514,-0.26529916158243294,108.34491696138416,-8.762259182813848,-0.19612012656846645,-0.047740511766536375,0.7328116345854201,0.7328116345854201,289.95615608880917,3.9834535560373876,0.013737738632118525,1.726920861408222e-05,-0.034252439226426235,-0.02932503109886324,0.9999014436116498,1.1163164790232034,1.054118100311678,3524010.8162458437,3524010.8162458437,8024.435325037786,8024.435325037786,859497.2570087432,859497.2570087432,8,1.0
2025-09-16 00:00:00+00:00,0,0,0,7660436108,0.2119183093309402,11495156,98.6259994506836,2075948,9,0.6792769550825158,140.0339114147684,28332,10343316.0,35671.0,2596569.0,98.6513214111328,0.3207017779350281,178.62089903458306,923244.0,20426.0,1205683.0,98.8452606201172,0.1960482150316238,65.27290642779806,6878516.714285715,31277.85714285714,2100946.5714285714,98.73597281319755,0.26348025458199636,77.75389708060595,5551808.777777778,28426.222222222223,1783243.888888889,98.76024966769748,0.24381536576482984,73.86776343029048,1145.083206606271,11.136080537421456,38.705571330656994,-20.57413585265342,72.180249700792,-20.050343356945266,8.094995558493823,-33.92044450284484,-0.2218226428440273,-0.025668141173373904,0.7167311866638412,0.7167311866638412,405.7161613666043,5.537301735254575,0.013647734120635911,1.2181992069770635e-05,-0.038253511701309036,-0.03059628804524309,0.9997541839497003,1.2389685937704393,1.0806548379569076,3979154.4934273968,3979154.4934273968,7506.255087887997,7506.255087887997,811444.2296287904,811444.2296287904,9,1.0
2025-09-17 00:00:00+00:00,0,0,0,7660436108,0.335881769657135,10754467,98.62032318115234,1578456,9,0.5748074160323635,37.45541524887085,28434,11495156.0,28332.0,2075948.0,98.6259994506836,0.2119183093309402,140.0339114147684,2310466.0,24320.0,1500033.0,98.85413360595705,0.233903706073761,42.878864702971086,8084802.571428572,31865.571428571428,2112149.8571428573,98.70257132393974,0.27804854937962126,76.97911858716306,6072074.6,28427.0,1762765.1,98.74625701904297,0.25302200615406034,70.22652861214851,365.4674424986128,-6.443488022259114,16.91611842105263,0.3600169419737398,5.228084982130388,-23.964569440082318,43.5983103026232,58.49587075206819,-0.23652063527934697,-0.005755348045000108,0.6746423794409137,0.6746423794409137,378.21230877439774,6.813278410498354,0.01801379448410695,3.4827771349425048e-06,-0.033764430454791695,-0.029884199662644204,0.999557596445455,1.3314728661977526,1.098910539861591,4096478.8562867334,4096478.8562867334,7076.965592681654,7076.965592681654,767772.9824972787,767772.9824972787,9,0.9355651197774089
