timestamp,isSummer,isWeekend,isHoliday,universe_id,session_session_length,visits_visits_gained,daily_Estimated Revenue,sort_sort_position,ccu_playing,platform_platform_share,ratings_like_ratio,daily_rpv,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-07-13 00:00:00+00:00,1,1,0,7938272070,105.59336839403424,447728,238040,420,12885,0.1024208962917327,96.94769287109376,0.0175420518244298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238040.0,12885.0,447728.0,96.94769287109376,0.1024208962917327,105.59336839403424,238040.0,12885.0,447728.0,96.94769287109376,0.1024208962917327,105.59336839403424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.472761136116716,0.5316608930848795,0.02877856917912398,0.0004435931977853993,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-07-14 00:00:00+00:00,1,0,0,7938272070,17.65117331345876,1953159,256720,377,11354,0.0889015942811966,96.99811553955078,0.0172051778188,238040.0,12885.0,447728.0,96.94769287109376,0.1024208962917327,105.59336839403424,0.0,0.0,0.0,0.0,0.0,0.0,247380.0,12119.5,1200443.5,96.97290420532227,0.09566124528646465,61.6222708537465,247380.0,12119.5,1200443.5,96.97290420532227,0.09566124528646465,61.6222708537465,0.0,7.847420601579569,0.0,-11.882033372138146,0.0,336.2378497659293,0.0,-13.199749758123701,0.0,0.052010178853922895,0.05339459403575353,0.05339459403575353,22.608542492294145,0.1314382846259395,0.005813143828462594,6.87562502228441e-05,0.0,0.0,1.0,1.0,1.0,13208.754672564708,13208.754672564708,1082.5804819966042,1082.5804819966042,1064500.4687084453,1064500.4687084453,2,1.0
2025-07-15 00:00:00+00:00,1,0,0,7938272070,16.450891653696697,1939975,336199,298,13153,0.1059795469045639,96.99762725830078,0.0200401678867155,256720.0,11354.0,1953159.0,96.99811553955078,0.0889015942811966,17.65117331345876,0.0,0.0,0.0,0.0,0.0,0.0,276986.3333333333,12464.0,1446954.0,96.98114522298177,0.09910067915916439,46.56514445372991,276986.3333333333,12464.0,1446954.0,96.98114522298177,0.09910067915916439,46.56514445372991,0.0,30.95941103147397,0.0,15.84463625154131,0.0,-0.6750090494424654,0.0,19.20995091420923,0.0,-0.0005033925115749405,0.18818011590896375,0.18818011590896375,25.55868937205413,0.17330059753316535,0.006779980783267422,4.8931860956861084e-05,0.024967193603509772,0.0,1.0,1.0,1.0,52123.32031186553,52123.32031186553,970.5828146016187,970.5828146016187,865380.2076376603,865380.2076376603,3,1.0
2025-07-16 00:00:00+00:00,1,0,0,7938272070,13.638453602790833,2090325,197536,261,14857,0.1114006340503692,96.94152069091795,0.0104901014249083,336199.0,13153.0,1939975.0,96.99762725830078,0.1059795469045639,16.450891653696697,0.0,0.0,0.0,0.0,0.0,0.0,257123.75,13062.25,1607796.75,96.97123908996582,0.1021756678819656,38.33347174099514,257123.75,13062.25,1607796.75,96.97123908996582,0.1021756678819656,38.33347174099514,0.0,-41.24432255896061,0.0,12.95521934159507,0.0,7.750099872421035,0.0,5.115220157231892,0.0,-0.057843236962296096,0.22641950147038004,0.22641950147038004,13.294925292771572,0.09450009233009588,0.007107503805626491,6.904252673064202e-05,-0.0019004821777611521,0.0,1.0,1.0,1.0,58217.83129119463,58217.83129119463,1435.142124204661,1435.142124204661,776361.2754967345,776361.2754967345,3,0.5875567744103939
2025-07-17 00:00:00+00:00,1,0,0,7938272070,16.123851736386616,2127775,205786,245,14906,0.114527478814125,96.90386962890624,0.00982075592783,197536.0,14857.0,2090325.0,96.94152069091795,0.1114006340503692,13.638453602790833,0.0,0.0,0.0,0.0,0.0,0.0,246856.2,13431.0,1711792.4,96.9577651977539,0.10464603006839748,33.89154774007343,246856.2,13431.0,1711792.4,96.9577651977539,0.10464603006839748,33.89154774007343,0.0,4.176453912198275,0.0,0.32981086356600464,0.0,1.7915874325762804,0.0,2.8068464694213757,0.0,-0.0388389430487357,0.22441995341204776,0.22441995341204776,13.80465553095861,0.09671412780292662,0.007005436662505827,7.835213952478348e-05,-0.014424133300793198,-0.014424133300793198,1.0,1.0,1.0,55399.45690347515,55399.45690347515,1491.5118169159773,1491.5118169159773,711426.8048526144,711426.8048526144,3,0.6120958123016428
2025-07-18 00:00:00+00:00,1,0,0,7938272070,15.061621904373167,2329979,213477,237,17288,0.1202446371316909,96.85863494873048,0.0092105373827127,205786.0,14906.0,2127775.0,96.90386962890624,0.114527478814125,16.123851736386616,0.0,0.0,0.0,0.0,0.0,0.0,241293.0,14073.833333333334,1814823.5,96.94124348958333,0.10724579791227971,30.75322676745672,241293.0,14073.833333333334,1814823.5,96.94124348958333,0.10724579791227971,30.75322676745672,0.0,3.737377664175412,0.0,15.98014222460753,0.0,9.503072458319139,0.0,4.991953351950307,0.0,-0.046679952357919774,0.2129793141274684,0.2129793141274684,12.347562033663023,0.09162181649627894,0.007419806178593807,7.055350857874426e-05,-0.0224038260323627,-0.0224038260323627,1.0,1.0,1.0,51390.41764375923,51390.41764375923,2063.7572935465705,2063.7572935465705,684539.9362590177,684539.9362590177,3,0.6349721444739573
2025-07-19 00:00:00+00:00,1,1,0,7938272070,14.696208238601685,2718166,223911,210,18968,0.1303854137659073,96.7580795288086,0.008682172671271,213477.0,17288.0,2329979.0,96.85863494873048,0.1202446371316909,15.061621904373167,0.0,0.0,0.0,0.0,0.0,0.0,238809.85714285713,14773.0,1943872.4285714286,96.91507720947266,0.1105514573199408,28.459366977620284,238809.85714285713,14773.0,1943872.4285714286,96.91507720947266,0.1105514573199408,28.459366977620284,0.0,4.887645975913091,0.0,9.717723276260992,0.0,16.66053642543559,0.0,8.433454394402883,0.0,-0.10381668085154283,0.1983611926792119,0.1983611926792119,11.804048711054879,0.08237573335266009,0.0069782320217999854,6.5633857223381e-05,-0.03362710135323263,-0.03362710135323263,1.0,1.0,1.0,47370.60808640935,47370.60808640935,2640.2809193972776,2640.2809193972776,712089.2865617011,712089.2865617011,3,0.6660073349415079
2025-07-20 00:00:00+00:00,1,1,0,7938272070,14.341742753982544,2991363,226281,207,18431,0.1370933949947357,96.6864242553711,0.0078522173194536,223911.0,18968.0,2718166.0,96.7580795288086,0.1303854137659073,14.696208238601685,238040.0,12885.0,447728.0,96.94769287109376,0.1024208962917327,105.59336839403424,237130.0,15565.285714285714,2307248.8571428573,96.87775312151227,0.1155046714203698,15.4234204576129,237243.75,15230.25,2074808.75,96.88649559020996,0.11386919952929016,26.694663949665568,-4.9399260628465775,1.058456261639673,43.042297244858354,-2.831083930830869,568.1206000071472,10.050784242022015,33.85295379982114,5.144732861661838,-0.26949441289960685,-0.07405611374931009,0.1857996014271686,0.1857996014271686,12.276529947916666,0.0756447560377139,0.00616140329294596,6.337995401305691e-05,-0.05346625191824229,-0.04147248041061757,0.9999097658693873,0.9995205353144182,1.0143627240539173,44079.794191086825,44079.794191086825,2765.4718920492187,2765.4718920492187,756165.972644092,756165.972644092,3,0.6730567312811757
2025-07-21 00:00:00+00:00,1,0,0,7938272070,14.179119030634562,2919085,227492,206,20291,0.1565546542406082,96.64935302734376,0.0072000305941102,226281.0,18431.0,2991363.0,96.6864242553711,0.1370933949947357,14.341742753982544,256720.0,11354.0,1953159.0,96.99811553955078,0.0889015942811966,17.65117331345876,232954.57142857142,16842.0,2445238.285714286,96.8279299054827,0.1251693942717143,14.92741270292373,236160.22222222222,15792.555555555555,2168617.222222222,96.86014641655817,0.11861202783054771,25.30404784755101,-11.385166718603923,0.5351752908993701,78.71234807116434,10.091693342737784,49.45455029518846,-2.416222972604798,76.09881521969596,14.195621347490729,-0.3595559669041348,-0.03834170961728445,0.1751387363362558,0.1751387363362558,11.210920559826533,0.07793261315356931,0.006951148407412457,6.23277157127233e-05,-0.06074305943079884,-0.04484024047850728,0.9996673914683454,0.9864259494529339,1.055284160983527,41360.802892889355,41360.802892889355,3088.2913200955927,3088.2913200955927,761258.0843956236,761258.0843956236,3,0.6766587646007275
2025-07-22 00:00:00+00:00,1,0,0,7938272070,21.718245069185897,2886473,228722,205,17410,0.1332082003355026,96.62249755859376,0.0065974109044863,227492.0,20291.0,2919085.0,96.64935302734376,0.1565546542406082,14.179119030634562,336199.0,13153.0,1939975.0,96.99762725830078,0.1059795469045639,16.450891653696697,217600.7142857143,17450.14285714286,2580452.285714286,96.7743399483817,0.12905920190470557,15.679891762279329,235416.4,15954.3,2240402.8,96.83638153076171,0.1200716450810432,24.945467569714502,-31.968268793184983,0.5406783535245152,32.365239869231345,-14.19841308954709,48.789185427647254,-1.1171993963861926,25.692366335042436,-14.912653998280067,-0.38674110935524864,-0.027786496141779526,0.16594517308650114,0.16594517308650114,13.13663775773936,0.07923923790756474,0.006031580398784122,9.495435557065052e-05,-0.058511189052023634,-0.045573748964248297,0.9993593153585535,0.9243226652251683,1.0748516172789684,39066.215245400985,39066.215245400985,2956.252509512677,2956.252509512677,752764.9916866928,752764.9916866928,3,0.6803173120681502
