timestamp,isSummer,isWeekend,isHoliday,universe_id,visits_visits_gained,session_session_length,daily_Estimated Revenue,platform_platform_share,ccu_playing,daily_rpv,ratings_like_ratio,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2024-06-27 00:00:00+00:00,1,0,0,3990106548,0,0.0,3023000.0,0.2261358946561813,15115,0.516102200869435,78.5584487915039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3023000.0,15115.0,0.0,78.5584487915039,0.2261358946561813,0.0,3023000.0,15115.0,0.0,78.5584487915039,0.2261358946561813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.98676898650436,3023000.0,15115.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2024-06-28 00:00:00+00:00,1,0,0,3990106548,1247475,0.0,4168223.0,0.2474151998758316,17335,0.5875574332152913,77.8434066772461,0.0,3023000.0,15115.0,0.0,78.5584487915039,0.2261358946561813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3595611.5,16225.0,623737.5,78.200927734375,0.23677554726600647,0.0,3595611.5,16225.0,623737.5,78.200927734375,0.23677554726600647,0.0,0.0,37.88365861726761,0.0,14.687396625868331,0.0,inf,0.0,9.409963531885769,0.0,-0.9102039631097458,0.22521758795987873,0.22521758795987873,240.43741347485002,3.3413252038516172,0.013896058922175656,0.0,0.0,0.0,1.0,1.0,1.0,809794.9492708015,809794.9492708015,1569.7770542341354,1569.7770542341354,882098.0318606884,882098.0318606884,2,1.0
2024-06-29 00:00:00+00:00,1,1,0,3990106548,1388541,0.0,4437654.0,0.2207306772470474,16573,0.4913566051256376,77.09803009033203,0.0,4168223.0,17335.0,1247475.0,77.8434066772461,0.2474151998758316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3876292.3333333335,16341.0,878672.0,77.83329518636067,0.2314272572596868,0.0,3876292.3333333335,16341.0,878672.0,77.83329518636067,0.2314272572596868,0.0,0.0,6.463929593018425,0.0,-4.395731179694263,0.0,11.308122407262665,0.0,-10.785320644073671,0.0,-0.9575333592535817,0.1937810149246774,0.1937810149246774,267.74791842645106,3.195909090254382,0.011935541020725336,0.0,-0.7302093505859314,0.0,1.0,1.0,1.0,751151.8624980792,751151.8624980792,1128.037233428046,1128.037233428046,764214.1498146969,764214.1498146969,3,1.0
2024-06-30 00:00:00+00:00,1,1,0,3990106548,1429614,0.0,4483315.0,0.2231797724962234,17122,0.406615610445679,76.36993408203125,0.0,4437654.0,16573.0,1388541.0,77.09803009033203,0.2207306772470474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4028048.0,16536.25,1016407.5,77.46745491027832,0.22936538606882093,0.0,4028048.0,16536.25,1016407.5,77.46745491027832,0.22936538606882093,0.0,0.0,1.0289445729658064,0.0,3.3126169070174294,0.0,2.957996919068284,0.0,1.1095400420644275,0.0,-0.9443769282401981,0.16988475205639592,0.16988475205639592,261.8299947439117,3.1360296303550257,0.011976651056403297,0.0,-0.7310920715332134,0.0,1.0,1.0,1.0,684303.9357512614,684303.9357512614,1000.4010445816218,1000.4010445816218,682079.9926394264,682079.9926394264,4,1.0
2024-07-01 00:00:00+00:00,1,0,0,3990106548,1315485,0.0,4320857.0,0.2433635294437408,18148,0.3333445977765609,75.95274353027344,0.0,4483315.0,17122.0,1429614.0,76.36993408203125,0.2231797724962234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4086609.8,16858.6,1076223.0,77.16451263427734,0.23216501474380488,0.0,4086609.8,16858.6,1076223.0,77.16451263427734,0.23216501474380488,0.0,0.0,-3.623613330760833,0.0,5.992290620254637,0.0,-7.983203857824561,0.0,9.043721445615759,0.0,-0.546275909194438,0.1485141892369301,0.1485141892369301,238.07686373904897,3.2846088821925887,0.013795661831444804,0.0,-0.668488311767577,-0.668488311767577,1.0,1.0,1.0,606919.541174693,606919.541174693,1127.0090061751948,1127.0090061751948,605651.9689314152,605651.9689314152,4,0.9637638666923917
2024-07-02 00:00:00+00:00,1,0,0,3990106548,1492628,0.0,4853487.0,0.2726871967315674,19824,0.3230093875404939,75.76701354980469,0.0,4320857.0,18148.0,1315485.0,75.95274353027344,0.2433635294437408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4214422.666666667,17352.833333333332,1145623.8333333333,76.93159612019856,0.2389187117417653,0.0,4214422.666666667,17352.833333333332,1145623.8333333333,76.93159612019856,0.2389187117417653,0.0,0.0,12.326952731830755,0.0,9.235177430019847,0.0,13.465984028704248,0.0,12.049326928670068,0.0,-0.2445336031801415,0.1486932196888114,0.1486932196888114,244.81649432534678,3.251636541967227,0.013281264131944375,0.0,-0.5816360473632782,-0.5816360473632782,1.0,1.0,1.0,626656.0754361731,626656.0754361731,1575.3472527245124,1575.3472527245124,567759.0157633489,567759.0157633489,5,1.0
2024-07-03 00:00:00+00:00,1,0,0,3990106548,1496282,0.0,4869407.0,0.2545146644115448,18472,0.2830999768254649,75.53295135498047,0.0,4853487.0,19824.0,1492628.0,75.76701354980469,0.2726871967315674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4307991.857142857,17512.714285714286,1195717.857142857,76.73178972516742,0.24114670498030524,0.0,4307991.857142857,17512.714285714286,1195717.857142857,76.73178972516742,0.24114670498030524,0.0,0.0,0.32801159249009615,0.0,-6.820016142050045,0.0,0.24480312576207197,0.0,-6.664241129704218,0.0,-0.30892361181737993,0.14469047719489458,0.14469047719489458,263.59589671412334,3.2543355768928737,0.012345258216527221,0.0,-0.5133773258754164,-0.5133773258754164,1.0,1.0,1.0,623325.3975617201,623325.3975617201,1499.0105307930874,1499.0105307930874,534968.3434875464,534968.3434875464,6,1.0
2024-07-04 00:00:00+00:00,1,0,1,3990106548,1250376,0.0,4170661.0,0.2037016153335571,14647,0.2176559064666081,75.5660400390625,0.0,4869407.0,18472.0,1496282.0,75.53295135498047,0.2545146644115448,0.0,3023000.0,15115.0,0.0,78.5584487915039,0.2261358946561813,0.0,4471943.428571428,17445.85714285714,1374343.0,76.30430276053292,0.23794180793421607,0.0,4290825.5,17154.5,1202550.125,76.5860710144043,0.23646606877446172,0.0,37.96430697982136,-14.349714451882944,-3.096261991399274,-20.707016024252923,inf,-16.43446890358903,-9.920706908000366,-19.964684233606313,-3.8091494912066426,0.04380695244718957,0.13496846699573614,0.13496846699573614,284.72562807209175,3.3355228063216136,0.011714067037381527,0.0,-0.377327782767155,-0.4393973577590159,0.9963208942548002,1.0422105090434062,1.0062408072642417,579126.1398812131,579126.1398812131,1718.3037316742684,1718.3037316742684,495661.2963233887,495661.2963233887,6,0.8565028554811706
2024-07-05 00:00:00+00:00,1,0,0,3990106548,974942,0.0,3333237.0,0.1825974285602569,13593,0.1609999367815981,75.61547088623047,0.0,4170661.0,14647.0,1250376.0,75.5660400390625,0.2037016153335571,0.0,4168223.0,17335.0,1247475.0,77.8434066772461,0.2474151998758316,0.0,4352659.714285715,16911.285714285714,1335409.7142857143,75.98602621895927,0.2286821263177054,0.0,4184426.777777778,16758.777777777777,1177260.3333333333,76.47822655571832,0.23048066430621672,0.0,-20.032181579536413,-20.078927536906022,-21.58638592443034,-7.196012835392917,-21.846770476362252,-22.028093949340043,-26.1979746386254,-10.36034335748518,-2.862073855854075,0.06541410287268512,0.15026396354322133,0.15026396354322133,245.19913196998675,3.4189044898009424,0.013942353552976943,0.0,-0.23125920976910677,-0.3722848256429047,0.9935641769046454,1.0402045358760657,0.992196577557058,628768.5527852791,628768.5527852791,1998.214564165832,1998.214564165832,469815.1419992229,469815.1419992229,6,0.6845262677775754
2024-07-06 00:00:00+00:00,1,1,0,3990106548,1113656,0.0,3671499.0,0.1744303256273269,13593,0.165041701670235,75.5376968383789,0.0,3333237.0,13593.0,974942.0,75.61547088623047,0.1825974285602569,0.0,4437654.0,16573.0,1388541.0,77.09803009033203,0.2207306772470474,0.0,4243209.0,16485.571428571428,1296140.4285714286,75.76312146868024,0.22206779037203103,0.0,4133134.0,16442.2,1170899.9,76.38417358398438,0.22487563043832776,0.0,-17.26486562494507,10.148153281629835,-17.981053520786826,0.0,-19.796678672073785,14.227923302104116,-20.975947791751647,-4.472737101133307,-2.023830245889502,-0.10285467635132717,0.14870041600514183,0.14870041600514183,270.08231572752686,3.296795153265323,0.012205733003968008,0.0,-0.1204368046351785,-0.32205422141334966,0.991869361332799,1.0266323327528215,0.9875138090293569,614598.7452049959,614598.7452049959,2133.4069153976857,2133.4069153976857,443402.3882698799,443402.3882698799,6,0.7539930426846636
