timestamp,isSummer,isWeekend,isHoliday,universe_id,ratings_like_ratio,visits_visits_gained,ccu_playing,platform_platform_share,session_session_length,daily_Estimated Revenue,daily_rpv,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2024-06-03 00:00:00+00:00,1,0,0,2619619496,82.5756607055664,3778721,33915,1.956531047821045,12.69578512509664,2909847.0,0.000320289067288,0.0,4138545.0,37957.0,5609232.0,82.5760498046875,2.06030011177063,12.148918747901917,3944939.0,67110.0,3738279.0,82.59664154052734,1.0767441987991333,0.0,3581976.714285714,41342.28571428572,4679906.714285715,82.57710375104632,1.9861485617501395,9.451539476712544,3330838.8333333335,39359.333333333336,3901837.3333333335,82.62562052408855,1.5815984666347505,7.001468755896129,-26.23847922616801,-29.689129875354748,-49.463567277603936,-10.64889216745264,1.0818347159214259,-32.633897118179455,81.708064924159,-5.036599442806677,-0.025401559397109086,-0.00047120093782382355,0.22716402773156733,0.2578807863173685,85.79570114400283,0.7700611476578589,0.008975256713777833,4.3630406554213965e-06,-0.0007220676967070795,-0.0031803865188757634,0.9994128119978466,1.075397788220529,1.255785588851873,800769.083009714,858959.3374364263,11996.095692917448,10918.3082949238,1266560.4270257386,1316572.6363333024,6,0.40992496006543366
2024-06-04 00:00:00+00:00,1,0,0,2619619496,82.57438659667969,3586473,33307,1.9488980770111084,12.57598888874054,2747060.0,0.0003022498783756,0.0,2909847.0,33915.0,3778721.0,82.5756607055664,1.956531047821045,12.69578512509664,4215332.0,48831.0,4690883.0,82.58055114746094,0.9185746908187866,0.0,3372223.5714285714,39124.57142857143,4522133.857142857,82.57622310093471,2.133337616920471,11.248109317961193,3263095.8666666667,38858.8,3804780.033333333,82.62289606730143,1.5583345035711924,7.016492995383247,-34.83170483368807,-5.5943491186993715,-31.79128012942598,-1.7927170868347386,-23.543754981737976,-5.087647381217087,112.16544462747238,-0.3901277630343425,-0.0074648942100741245,-0.001542959360945062,0.21596380425462178,0.25130712213587786,82.47448060526,0.7659500668344452,0.009286837155378792,4.5779794801573535e-06,-0.000520706176752472,-0.003300584701859837,0.9994351085644747,1.0334429968413343,1.3689856779988891,766796.3013307945,820039.2315054783,11172.659270305154,10837.103625651866,1143409.9261938124,1222537.4293490967,6,0.38699232667468436
2024-06-05 00:00:00+00:00,1,0,0,2619619496,82.57315063476562,3688795,38614,2.2267215251922607,12.783295472462973,2857008.0,0.0003142221193201,0.0,2747060.0,33307.0,3586473.0,82.57438659667969,1.9488980770111084,12.57598888874054,3121561.0,34709.0,4063698.0,82.57743072509766,2.045675277709961,4.884384632110596,3334430.285714286,39682.42857142857,4468576.285714285,82.5756116594587,2.1592013665608,12.376525152297248,3253048.433333333,38968.0,3792448.1333333333,82.62015686035156,1.5588514268398286,7.013579145499638,-8.475022592862992,4.002388007542601,11.250684260566434,15.933587534151972,-9.225660962010462,2.8529979174526154,8.850194820996848,14.255411889329327,-0.005183123638563547,-0.0014967860676895484,0.2039998234713495,0.25305688546997224,73.98699987051664,0.7745096231941262,0.010467914192056161,4.47436303927043e-06,-0.0006773812430228689,-0.0033978624524196393,0.9994608434238614,1.0250171044325838,1.3851232576654382,730070.182243061,823206.3048223059,9952.443061937336,10816.889396074544,1002512.6661737075,1221752.891573837,6,0.402481261147622
2024-06-06 00:00:00+00:00,1,0,0,2619619496,82.57135009765625,4044099,36996,2.122575283050537,12.52138614654541,3084088.0,0.0003390494880838,0.0,2857008.0,38614.0,3688795.0,82.57315063476562,2.2267215251922607,12.783295472462973,2957294.0,34457.0,3931208.0,82.57776641845703,1.926559329032898,12.392405072848002,3352543.714285714,40045.142857142855,4484703.571428572,82.57469504220145,2.1872036457061768,12.394951019968305,3272854.6333333333,39099.9,3823471.2666666666,82.61737874348958,1.556962603330612,6.987790244912344,4.287500667840272,7.948175153867254,7.368604347447549,-4.190190086497125,2.8716618403299865,9.631980091059544,10.17440527596085,-4.677111213209805,-0.007770034331355813,-0.002180535798301797,0.19490444110461863,0.24787948189153824,83.36048868827203,0.7626141786800524,0.009148141737345763,4.059995073600473e-06,-0.0008261544363790156,-0.003474560356775053,0.9994833568682849,1.0243484938624419,1.404788811900408,702654.3163674565,811273.510816987,10080.55114188612,10766.105184872451,818764.1612045568,1215717.175192945,6,0.4344711767451289
2024-06-07 00:00:00+00:00,1,0,0,2619619496,82.57044982910156,4663065,58829,3.0581650733947754,12.270744999249777,3442279.0,0.000378254675594,0.0,3084088.0,36996.0,4044099.0,82.57135009765625,2.122575283050537,12.52138614654541,3344929.0,53402.0,4522592.0,82.57728576660156,2.701073169708252,12.33207356929779,3366450.8571428573,40820.42857142857,4504771.142857143,82.57371847970145,2.2382167748042514,12.386189795675731,3305461.7666666666,39966.3,3876379.3,82.61459986368816,1.5825736860434214,6.952024554638636,2.910375676135435,11.614162760595681,10.162540728811663,59.01448805276246,3.1060285783020003,15.305411662770862,13.220371357992256,44.07804980182475,-0.008278229826208516,-0.0010902916733446233,0.19516941665828735,0.24117094029719494,58.51230664626891,0.7382007889229961,0.012615948391037142,3.564714375137925e-06,-0.0009108952113530237,-0.0035260345832383196,0.9995051554561282,1.018451004664832,1.4142891383465357,703164.0138250726,797181.3223834272,10794.386587583529,11278.382750139044,809288.244792344,1216595.6267767444,6,0.4849313663601835
2024-06-08 00:00:00+00:00,1,1,0,2619619496,82.5667953491211,6873713,50743,2.4620347023010254,11.95647688706716,4988800.0,0.0005478246473612,0.0,3442279.0,58829.0,4663065.0,82.57044982910156,3.0581650733947754,12.270744999249777,4386329.0,46125.0,6163013.0,82.57498168945312,2.2943263053894043,11.70720918973287,3452518.1428571427,41480.142857142855,4606299.714285715,82.57254900251117,2.2621751172201976,12.421799466723488,3387908.2666666666,40570.333333333336,4000619.3,82.61170654296875,1.5962997059027353,6.907698874435727,13.735198613692678,44.927241516448845,10.01192411924119,-13.744921722279823,11.531697239645599,47.4076170930493,7.309701175359051,-19.493073682644734,-0.009913826396978909,-0.0044258932681562335,0.20011289133701868,0.2477742914778437,98.31310105628252,0.7257793966987861,0.007382180870487192,2.396663424150845e-06,-0.001472200666152572,-0.003565519033735931,0.9995260049441393,1.0190707277484952,1.417136837684812,722977.2162469401,839436.5703652628,10597.115875516618,11356.463204086047,1003489.6149276153,1324975.9896192334,6,0.7027976525138385
2024-06-09 00:00:00+00:00,1,1,0,2619619496,82.56417083740234,6301386,44134,2.315490484237671,12.310774604479471,4723972.0,0.0005183708806341,0.0,4988800.0,50743.0,6873713.0,82.5667953491211,2.4620347023010254,11.95647688706716,4138545.0,37957.0,5609232.0,82.5760498046875,2.06030011177063,12.148918747901917,3536150.5714285714,42362.57142857143,4705178.857142857,82.57085200718471,2.298630884715489,12.444921731948853,3445986.5,40134.8,4079096.6666666665,82.60876592000325,1.568701022863388,6.892905840041146,14.14572029541783,-5.308450930083386,16.273678109439626,-13.024456575291177,12.339550227196883,-8.326315049813694,12.386077688833863,-5.952158916622652,-0.014385487454593449,-0.0031786527594501734,0.2067827111756119,0.2524887030623456,107.03459839129943,0.7496717786100108,0.007003854865603398,2.6060213732126477e-06,-0.0018697466169086056,-0.0035916287058311382,0.9995410424983802,1.026164952018405,1.4653084629980941,751241.3386077059,870072.6621553516,10462.503265324634,10939.601686628366,1100708.3480862721,1389829.7867919286,6,0.6654899839923635
2024-06-10 00:00:00+00:00,1,0,0,2619619496,82.56306457519531,4641840,39958,2.207633256912231,12.548192699750263,3542856.0,0.0003885376219686,0.0,4723972.0,44134.0,6301386.0,82.56417083740234,2.315490484237671,12.310774604479471,2909847.0,33915.0,3778721.0,82.5756607055664,1.956531047821045,12.69578512509664,3626580.4285714286,43225.857142857145,4828481.571428572,82.56905255998883,2.334502628871373,12.423837099756513,3411582.7666666666,39871.3,4029090.2666666666,82.60589853922527,1.5580098489920298,6.902276414727408,21.75403036654504,-25.002603741089068,17.818074598260345,-9.462092717632665,22.84156464581535,-26.336206034672372,12.83405184757147,-4.6580725794237,-0.015254047334856136,-0.0013398816893661625,0.2069946737232796,0.24736435030273993,88.6622788358067,0.7632437216182114,0.008608222470351742,3.5418287274226036e-06,-0.0020171574183857075,-0.0036084065845729428,0.9995539546220306,1.063019916739358,1.4983875938792703,746066.4669006654,843903.954580524,8156.049726942433,10841.801101007452,1066594.9070800866,1339108.5161126347,6,0.4991001603581158
2024-06-11 00:00:00+00:00,1,0,0,2619619496,82.56184387207031,4285198,37633,2.1605300903320312,12.73140545686086,3316150.0,0.0003634985940787,0.0,3542856.0,39958.0,4641840.0,82.56306457519531,2.207633256912231,12.548192699750263,2747060.0,33307.0,3586473.0,82.57438659667969,1.9488980770111084,12.57598888874054,3707879.0,43843.857142857145,4928299.428571428,82.5672607421875,2.3647357736315047,12.446039466630847,3384344.7333333334,39919.46666666667,3990740.1333333333,82.60303039550782,1.5559183537960053,6.908963601551359,20.716329457674743,-6.398961741600562,12.988260725973522,-5.818609540017016,19.482232265515442,-7.6832032125191745,10.859060092331173,-2.133649981613428,-0.015189606761034646,-0.0014785099502812038,0.20561815690035853,0.2461103769232101,88.11579954296647,0.77386137726626,0.008782089233195471,3.839211621202068e-06,-0.0020275115966786627,-0.0036030464893717813,0.9995669692364911,1.09559731415068,1.519832816331404,727898.820701316,832922.3579587477,8012.434108008074,10828.074254020794,1073932.9011283289,1313668.849532874,6,0.46716293204453285
2024-06-12 00:00:00+00:00,1,0,0,2619619496,82.56086730957031,4200466,36938,2.112933874130249,12.66473070780436,3235065.0,0.0003544459249256,0.0,3316150.0,37633.0,4285198.0,82.56184387207031,2.1605300903320312,12.73140545686086,2857008.0,38614.0,3688795.0,82.57315063476562,2.2267215251922607,12.783295472462973,3761887.1428571427,43604.42857142857,5001395.285714285,82.56550598144531,2.34848039490836,12.429101643108185,3412460.2,40041.5,4034635.466666667,82.60015360514323,1.5555998186270397,6.871840900277334,13.232619579644167,-2.4451547728540635,-4.340394675506298,-1.846783408178987,13.87095243839791,-1.9773182009326096,-5.110097952288262,-2.202987887776542,-0.014875689132465286,-0.0011828254484202994,0.20390798004012062,0.23802045020450083,87.57857548932023,0.770167936089011,0.008793784119718116,3.914829158911862e-06,-0.0018711090087876502,-0.0035706482951970197,0.9995805380234092,1.1023973679919088,1.5096944386256812,723497.8762917514,812235.313108941,7888.638136481981,10771.11172423141,1068058.432780571,1297298.0472965215,6,0.455740075314641
