timestamp,isSummer,isWeekend,isHoliday,universe_id,sort_sort_position,daily_rpv,ccu_playing,session_session_length,platform_platform_share,daily_Estimated Revenue,ratings_like_ratio,visits_visits_gained,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2020-02-24 00:00:00+00:00,0,0,0,115797356,0.0,0.0,5406,0.0,0.6787287592887878,0.0,83.69149017333984,223526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5406.0,223526.0,83.69149017333984,0.6787287592887878,0.0,0.0,5406.0,223526.0,83.69149017333984,0.6787287592887878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024184997785502423,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2020-02-25 00:00:00+00:00,0,0,0,115797356,0.0,0.0,5401,0.0,0.6804263591766357,0.0,83.68605041503906,258345,0.0,5406.0,223526.0,83.69149017333984,0.6787287592887878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5403.5,240935.5,83.68877029418945,0.6795775592327118,0.0,0.0,5403.5,240935.5,83.68877029418945,0.6795775592327118,0.0,0.0,0.0,0.0,-0.09248982611912426,0.0,15.577158809266045,0.0,0.25011462452639854,0.0,-0.006499774695745142,0.0,0.0,0.0,0.0,0.020906071702290727,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.5355339059327378,3.5355339059327378,24620.7510141344,24620.7510141344,0,0.0
2020-02-26 00:00:00+00:00,0,0,0,115797356,0.0,0.0,5781,0.0,0.7237857580184937,0.0,83.68431854248047,261641,0.0,5401.0,258345.0,83.68605041503906,0.6804263591766357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5529.333333333333,247837.33333333334,83.68728637695312,0.694313625494639,0.0,0.0,5529.333333333333,247837.33333333334,83.68728637695312,0.694313625494639,0.0,0.0,0.0,0.0,7.035734123310489,0.0,1.2758133503648184,0.0,6.372386703878696,0.0,-0.0020694877461702177,0.0,0.0,0.0,0.0,0.022095076478547023,0.0,-0.003585815429681625,0.0,1.0,0.0,1.0,0.0,0.0,217.9640643164221,217.9640643164221,21118.631592348338,21118.631592348338,0,0.0
2020-02-27 00:00:00+00:00,0,0,0,115797356,0.0,0.0,5581,0.0,0.6921415328979492,0.0,83.67556762695312,252762,0.0,5781.0,261641.0,83.68431854248047,0.7237857580184937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5542.25,249068.5,83.68435668945312,0.6937706023454666,0.0,0.0,5542.25,249068.5,83.68435668945312,0.6937706023454666,0.0,0.0,0.0,0.0,-3.4596090641757504,0.0,-3.393581281221214,0.0,-4.372043076279475,0.0,-0.010457055371615454,0.0,0.0,0.0,0.0,0.022079972147822268,0.0,-0.00494995117188865,0.0,1.0,0.0,1.0,0.0,0.0,179.83209761700877,179.83209761700877,17418.213235958883,17418.213235958883,0,0.0
2020-02-28 00:00:00+00:00,0,0,0,115797356,0.0,0.0,6872,0.0,0.7631197571754456,0.0,83.67560577392578,300981,0.0,5581.0,252762.0,83.67556762695312,0.6921415328979492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5808.2,259451.0,83.68260650634765,0.7076404333114624,0.0,0.0,5808.2,259451.0,83.68260650634765,0.7076404333114624,0.0,0.0,0.0,0.0,23.13205518724244,0.0,19.076839081824005,0.0,10.254871424969302,0.0,4.55891411732523e-05,0.0,0.0,0.0,0.0,0.022831930148646762,0.0,-0.004225158691408509,-0.004225158691408509,1.0,0.0,1.0,0.0,0.0,614.7370982786057,614.7370982786057,27686.22663889032,27686.22663889032,0,0.0
2020-02-29 00:00:00+00:00,0,1,0,115797356,0.0,0.0,7068,0.0,0.4844968616962433,0.0,83.66922760009766,391117,0.0,6872.0,300981.0,83.67560577392578,0.7631197571754456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6018.166666666667,281395.3333333333,83.68037668863933,0.6704498380422592,0.0,0.0,6018.166666666667,281395.3333333333,83.68037668863933,0.6704498380422592,0.0,0.0,0.0,0.0,2.852153667054713,0.0,29.947405317943666,0.0,-36.51103157261662,0.0,-0.007622500929793663,0.0,0.0,0.0,0.0,0.018071272608266558,0.0,-0.004325648716514937,-0.004325648716514937,1.0,0.0,1.0,0.0,0.0,752.8860250175102,752.8860250175102,59182.29726080821,59182.29726080821,0,0.0
2020-03-01 00:00:00+00:00,0,1,0,115797356,0.0,0.0,6502,0.0,0.4533544182777405,0.0,83.66667938232422,368565,0.0,7068.0,391117.0,83.66922760009766,0.4844968616962433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6087.285714285715,293848.14285714284,83.6784199305943,0.6394362066473279,0.0,0.0,6087.285714285715,293848.14285714284,83.6784199305943,0.6394362066473279,0.0,0.0,0.0,0.0,-8.007923033389929,0.0,-5.76604954527673,0.0,-6.427790535004052,0.0,-0.0030455853920585696,0.0,0.0,0.0,0.0,0.01764134510508294,0.0,-0.0041710989815880945,-0.0041710989815880945,1.0,0.0,1.0,0.0,0.0,711.2007954358401,711.2007954358401,63279.49256651945,63279.49256651945,0,0.0
2020-03-02 00:00:00+00:00,0,0,0,115797356,0.0,0.0,5495,0.0,0.7173816561698914,0.0,83.66431427001953,253778,0.0,6502.0,368565.0,83.66667938232422,0.4533544182777405,0.0,0.0,5406.0,223526.0,83.69149017333984,0.6787287592887878,0.0,0.0,6100.0,298169.85714285716,83.6745376586914,0.6449580490589142,0.0,0.0,6013.25,288839.375,83.67665672302246,0.6491793878376484,0.0,0.0,0.0,1.646318904920463,-15.487542294678558,13.533996045202802,-31.144302904508024,5.6948959878473815,58.23859374640499,-0.03247152519810781,-0.002826827026181089,0.0,0.0,0.0,0.0,0.02165269781975656,0.0,-0.003815242222374329,-0.0039562043689478354,0.9999746755616914,0.0,0.9934974232734113,0.0,0.0,690.9405080861058,690.9405080861058,60273.99271170539,60273.99271170539,0,0.0
2020-03-03 00:00:00+00:00,0,0,0,115797356,0.0,0.0,5391,0.0,0.7421561479568481,0.0,83.66057586669922,253490,0.0,5495.0,253778.0,83.66431427001953,0.7173816561698914,0.0,0.0,5401.0,258345.0,83.68605041503906,0.6804263591766357,0.0,0.0,6098.571428571428,297476.28571428574,83.6708984375,0.6537765903132302,0.0,0.0,5944.111111111111,284911.6666666667,83.67486996120877,0.6595101389620039,0.0,0.0,0.0,-0.18515089798185613,-1.892629663330303,-1.8792699684530345,-0.11348501446145631,9.072221842626703,3.453460452171031,-0.03044061490953265,-0.00446833677288927,0.0,0.0,0.0,0.0,0.021267027231736037,0.0,-0.0036664690290166926,-0.0038414001464859393,0.9999525362428335,0.0,0.9913063525334156,0.0,0.0,678.7824475567347,678.7824475567347,57599.27914045453,57599.27914045453,0,0.0
2020-03-04 00:00:00+00:00,0,0,0,115797356,0.0,0.0,5521,0.0,0.7907453775405884,0.0,83.65812683105469,253298,0.0,5391.0,253490.0,83.66057586669922,0.7421561479568481,0.0,0.0,5781.0,261641.0,83.68431854248047,0.7237857580184937,0.0,0.0,6061.428571428572,296284.4285714286,83.66715676443917,0.6633422502449581,0.0,0.0,5901.8,281750.3,83.67319564819336,0.6726336628198624,0.0,0.0,0.0,-4.497491783428476,2.411426451493237,-3.1887204222579846,-0.07574263284547689,9.251303825790913,6.5470359192612015,-0.03129823111660546,-0.002927347342707165,0.0,0.0,0.0,0.0,0.021796375035037643,0.0,-0.00311769757951389,-0.0037070072058460637,0.999927827738532,0.0,0.9861865186230018,0.0,0.0,653.799629516227,653.799629516227,55217.64732814643,55217.64732814643,0,0.0
