timestamp,isSummer,isWeekend,isHoliday,universe_id,ratings_like_ratio,visits_visits_gained,platform_platform_share,daily_Estimated Revenue,session_session_length,ccu_playing,sort_sort_position,daily_rpv,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-08-22 00:00:00+00:00,1,0,0,8315041579,90.14186096191406,268496,0.0080354241654276,145505,6.072316130002339,1181,391,0.1000910224118673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145505.0,1181.0,268496.0,90.14186096191406,0.0080354241654276,6.072316130002339,145505.0,1181.0,268496.0,90.14186096191406,0.0080354241654276,6.072316130002339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.10067681895093,0.5419241183327933,0.004398559388000611,4.173241055353277e-05,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-08-23 00:00:00+00:00,1,1,0,8315041579,90.2358627319336,303313,0.0056594773195683,178073,6.152652581532796,899,299,0.1020079666037582,145505.0,1181.0,268496.0,90.14186096191406,0.0080354241654276,6.072316130002339,0.0,0.0,0.0,0.0,0.0,0.0,161789.0,1040.0,285904.5,90.18886184692383,0.00684745074249795,6.112484355767568,161789.0,1040.0,285904.5,90.18886184692383,0.00684745074249795,6.112484355767568,0.0,22.382735988453994,0.0,-23.878069432684168,0.0,12.967418509028072,0.0,-29.56840605977974,0.0,0.10428203835202154,0.14234004567482017,0.14234004567482017,197.85888888888888,0.5870912651575595,0.0029639251732528006,3.4551100000745737e-05,0.0,0.0,1.0,1.0,1.0,23029.05364968348,23029.05364968348,199.4041122946064,199.4041122946064,24619.336800572026,24619.336800572026,2,1.0
2025-08-24 00:00:00+00:00,1,1,0,8315041579,90.30104064941406,287461,0.005783149972558,203077,5.786407848199208,834,245,0.09870731941831,178073.0,899.0,303313.0,90.2358627319336,0.0056594773195683,6.152652581532796,0.0,0.0,0.0,0.0,0.0,0.0,175551.66666666666,971.3333333333334,286423.3333333333,90.22625478108723,0.006492683819184633,6.0037921865781145,175551.66666666666,971.3333333333334,286423.3333333333,90.22625478108723,0.006492683819184633,6.0037921865781145,0.0,14.041432446243963,0.0,-7.23025583982202,0.0,-5.226284399283909,0.0,2.185231002907062,0.0,0.07223061375729589,0.16444558484334282,0.16444558484334282,243.2059880239521,0.7064481566259192,0.0029012530351837807,2.8493523908051134e-05,0.07958984375000143,0.0,1.0,1.0,1.0,28868.69649522357,28868.69649522357,184.46228160069293,184.46228160069293,17431.679102522896,17431.679102522896,3,1.0
2025-08-25 00:00:00+00:00,1,0,0,8315041579,90.28448486328124,265761,0.0074179242365062,218281,6.968008438746135,978,218,0.0935902524905227,203077.0,834.0,287461.0,90.30104064941406,0.005783149972558,5.786407848199208,0.0,0.0,0.0,0.0,0.0,0.0,186234.0,973.0,281257.75,90.24081230163574,0.006723993923515025,6.244846249620119,186234.0,973.0,281257.75,90.24081230163574,0.006723993923515025,6.244846249620119,0.0,7.486815345903275,0.0,17.266187050359715,0.0,-7.5488501048837975,0.0,28.267886389000353,0.0,-0.01833399262485269,0.1708213025135702,0.1708213025135702,222.9632277834525,0.8213401464468209,0.0036799843468968475,3.19220478039698e-05,0.04930496215818974,0.0,1.0,1.0,1.0,31812.73445231223,31812.73445231223,150.64970405989297,150.64970405989297,17587.172283134845,17587.172283134845,4,1.0
2025-08-26 00:00:00+00:00,1,0,0,8315041579,90.3143081665039,218990,0.0070792222395539,223911,6.324254473050435,836,209,0.0869231328426141,218281.0,978.0,265761.0,90.28448486328124,0.0074179242365062,6.968008438746135,0.0,0.0,0.0,0.0,0.0,0.0,193769.4,945.6,268804.2,90.25551147460938,0.0067950395867228,6.260727894306183,193769.4,945.6,268804.2,90.25551147460938,0.0067950395867228,6.260727894306183,0.0,2.5792441852474646,0.0,-14.519427402862984,0.0,-17.59889524798597,0.0,-4.565994288340525,0.0,0.03303258945082099,0.16666572821291542,0.16666572821291542,267.51612903225805,1.0224666767127417,0.0038175084820837387,2.824437490197236e-05,0.03935165405273336,0.03935165405273336,1.0,1.0,1.0,32294.71815637969,32294.71815637969,144.13639373870848,144.13639373870848,31740.132477669344,31740.132477669344,5,1.0
2025-08-27 00:00:00+00:00,1,0,0,8315041579,90.22681427001952,219226,0.0069934078492224,228105,7.347537358601888,795,205,0.0814241315033388,223911.0,836.0,218990.0,90.3143081665039,0.0070792222395539,6.324254473050435,0.0,0.0,0.0,0.0,0.0,0.0,199492.0,920.5,260541.16666666666,90.25072860717773,0.006828100963806066,6.441862805022133,199492.0,920.5,260541.16666666666,90.25072860717773,0.006828100963806066,6.441862805022133,0.0,1.8730656376864108,0.0,-4.904306220095689,0.0,0.10776747796703567,0.0,-1.2122008241530646,0.0,-0.09687711533269416,0.1609429004712924,0.1609429004712924,286.5640703517588,1.0404968366122787,0.0036263781377293856,3.221106572646878e-05,0.01838705880301174,0.01838705880301174,1.0,1.0,1.0,32106.821100819063,32106.821100819063,142.82961877705898,142.82961877705898,34865.67261600825,34865.67261600825,6,1.0
2025-08-28 00:00:00+00:00,1,0,0,8315041579,90.19202423095705,192786,0.0059289787895977,230603,5.805263197940329,765,198,0.0766127643901609,228105.0,795.0,219226.0,90.22681427001952,0.0069934078492224,7.347537358601888,0.0,0.0,0.0,0.0,0.0,0.0,203936.42857142858,898.2857142857143,250861.85714285713,90.24234226771763,0.006699654938919157,6.350920004010447,203936.42857142858,898.2857142857143,250861.85714285713,90.24234226771763,0.006699654938919157,6.350920004010447,0.0,1.0951097082483985,0.0,-3.7735849056603765,0.0,-12.060613248428565,0.0,-15.220463078569823,0.0,-0.038558425612100766,0.15485327858300496,0.15485327858300496,301.04830287206266,1.1961543050101926,0.003968109882927791,2.5174165226710416e-05,0.005202157156809021,0.005202157156809021,1.0,1.0,1.0,31580.22458679452,31580.22458679452,143.01947919277092,143.01947919277092,40851.38719565744,40851.38719565744,7,1.0
2025-08-29 00:00:00+00:00,1,0,0,8315041579,90.19821166992188,217845,0.0061069540679454,239993,5.997772375742595,851,190,0.074774176954771,230603.0,765.0,192786.0,90.19202423095705,0.0059289787895977,5.805263197940329,145505.0,1181.0,268496.0,90.14186096191406,0.0080354241654276,6.072316130002339,217434.7142857143,851.1428571428571,243626.0,90.25039236886161,0.006424159210707415,6.340270896259055,208443.5,892.375,246734.75,90.23682594299316,0.006625567330047438,6.3067765504769655,64.93797464004673,4.071933149178464,-27.942421676545305,11.241830065359482,-18.864713068351115,12.998350502629851,-23.999605469235085,3.001786389587946,0.06251336216769321,0.006860295040045372,0.15301930935825242,0.15301930935825242,281.6819248826291,1.1016635604968648,0.003906429312450079,2.4991343015836206e-05,-0.013880593436100808,-0.00020944504510234365,1.0001503424541662,1.0431350187735011,0.9696013776168838,31895.880410216887,31895.880410216887,133.4615380656807,133.4615380656807,39581.49597169293,39581.49597169293,8,1.0
2025-08-30 00:00:00+00:00,1,1,0,8315041579,90.03063201904297,241460,0.0041163084097206,207180,5.228809575239818,589,188,0.0600831365930534,239993.0,851.0,217845.0,90.19821166992188,0.0061069540679454,5.997772375742595,178073.0,899.0,303313.0,90.2358627319336,0.0056594773195683,6.152652581532796,221592.85714285713,806.8571428571429,234789.85714285713,90.22107369559151,0.0062037065093006,6.208293323931487,208303.11111111112,858.6666666666666,246148.66666666666,90.2139155069987,0.006346760783344455,6.187002442117282,16.34554368152388,-13.672482114061657,-34.48275862068966,-30.787309048178614,-20.39246586859119,10.840276343271583,-27.266986378972035,-32.59637514998577,-0.22743807913746528,-0.18579043616979707,0.14324719611102102,0.14324719611102102,351.1525423728813,0.8580267620858026,0.002439317322466154,2.523788173259043e-05,-0.03950200762067309,-0.013892873128259048,1.0000793468341618,1.0638000362109672,0.977460270061026,29838.836607869136,29838.836607869136,160.66035603097612,160.66035603097612,37066.823623019016,37066.823623019016,8,0.8632751788593834
2025-08-31 00:00:00+00:00,1,1,0,8315041579,89.86756896972656,228196,0.0047641638666391,242949,6.801419446865718,626,186,0.065950959094462,207180.0,589.0,241460.0,90.03063201904297,0.0041163084097206,5.228809575239818,203077.0,834.0,287461.0,90.30104064941406,0.005783149972558,5.786407848199208,227288.85714285713,777.1428571428571,226323.42857142858,90.15914916992188,0.0060581370655979,6.353294980883845,211767.7,835.4,244353.4,90.17928085327148,0.00618850109167392,6.248444142592126,19.633931956843952,17.26469736461049,-24.940047961630697,6.281833616298815,-20.616709744974106,-5.493249399486455,-17.619914938297587,15.738749200341706,-0.48002955067861786,-0.18111952083366134,0.1425638572064589,0.1425638572064589,387.47846889952154,1.0646458980617624,0.0027432437762109057,2.7995140756804767e-05,-0.06595366341726748,-0.028995537035389287,0.999776759326986,1.0732933168885392,0.9789344747387355,30190.420143740226,30190.420143740226,168.39582998267966,168.39582998267966,35405.05884192258,35405.05884192258,9,1.0
