timestamp,isSummer,isWeekend,isHoliday,universe_id,sort_sort_position,daily_rpv,session_session_length,ccu_playing,daily_Estimated Revenue,platform_platform_share,visits_visits_gained,ratings_like_ratio,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2020-09-07 00:00:00+00:00,0,0,1,1480782352,0.0,0.0,0.0,8243,0.0,0.2681460380554199,0,83.45635986328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8243.0,0.0,83.45635986328125,0.2681460380554199,0.0,0.0,8243.0,0.0,83.45635986328125,0.2681460380554199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8243.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2020-09-08 00:00:00+00:00,0,0,0,1480782352,0.0,0.0,0.0,6159,0.0,0.2445999532938003,357996,83.47290802001953,0.0,8243.0,0.0,83.45635986328125,0.2681460380554199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7201.0,178998.0,83.46463394165039,0.25637299567461014,0.0,0.0,7201.0,178998.0,83.46463394165039,0.25637299567461014,0.0,0.0,0.0,0.0,-25.282057503336162,0.0,inf,0.0,-8.78106756019016,0.0,0.01982851488537829,0.0,0.0,0.0,0.0,0.017204054782581978,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1473.6105319927651,1473.6105319927651,253141.39923765927,253141.39923765927,0,0.0
2020-09-09 00:00:00+00:00,0,0,0,1480782352,0.0,0.0,0.0,3596,0.0,0.2261133193969726,183551,83.5081558227539,0.0,6159.0,357996.0,83.47290802001953,0.2445999532938003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5999.333333333333,180515.66666666666,83.47914123535156,0.24628643691539762,0.0,0.0,5999.333333333333,180515.66666666666,83.47914123535156,0.24628643691539762,0.0,0.0,0.0,0.0,-41.61389836012339,0.0,-48.72819808042548,0.0,-7.557905734602722,0.0,0.04222663804396287,0.0,0.0,0.0,0.0,0.019591178521617854,0.0,0.02589797973633711,0.0,1.0,0.0,1.0,0.0,0.0,2327.6108638115034,2327.6108638115034,179017.30067324033,179017.30067324033,0,0.0
2020-09-10 00:00:00+00:00,0,0,0,1480782352,0.0,0.0,0.0,5571,0.0,0.2254930585622787,318941,83.5829086303711,0.0,3596.0,183551.0,83.5081558227539,0.2261133193969726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5892.25,215122.0,83.50508308410645,0.24108809232711786,0.0,0.0,5892.25,215122.0,83.50508308410645,0.24108809232711786,0.0,0.0,0.0,0.0,54.92213570634037,0.0,73.76151587297264,0.0,-0.27431415201373266,0.0,0.08951557710823455,0.0,0.0,0.0,0.0,0.017467125684293695,0.0,0.04148941040038258,0.0,1.0,0.0,1.0,0.0,0.0,1912.5155119196638,1912.5155119196638,161725.66026247453,161725.66026247453,0,0.0
2020-09-11 00:00:00+00:00,0,0,0,1480782352,0.0,0.0,0.0,5884,0.0,0.2221694439649582,337123,83.64334106445312,0.0,5571.0,318941.0,83.5829086303711,0.2254930585622787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5890.6,239522.2,83.53273468017578,0.23730436265468594,0.0,0.0,5890.6,239522.2,83.53273468017578,0.23730436265468594,0.0,0.0,0.0,0.0,5.618380901094966,0.0,5.700740889380795,0.0,-1.4739321105986747,0.0,0.0723023822361668,0.0,0.0,0.0,0.0,0.017453518586632813,0.0,0.04839630126952118,0.04839630126952118,1.0,0.0,1.0,0.0,0.0,1656.2911277912467,1656.2911277912467,150310.4809742155,150310.4809742155,0,0.0
2020-09-12 00:00:00+00:00,0,1,0,1480782352,0.0,0.0,0.0,8442,0.0,0.2615552842617035,583553,83.68914794921875,0.0,5884.0,337123.0,83.64334106445312,0.2221694439649582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6315.833333333333,296860.6666666667,83.55880355834961,0.2413461829225222,0.0,0.0,6315.833333333333,296860.6666666667,83.55880355834961,0.2413461829225222,0.0,0.0,0.0,0.0,43.47382732834806,0.0,73.09794941312222,0.0,17.727838533438224,0.0,0.05476453257686753,0.0,0.0,0.0,0.0,0.014466527519304126,0.0,0.049999782017306045,0.049999782017306045,1.0,0.0,1.0,0.0,0.0,1810.9612272676259,1810.9612272676259,194424.25545869183,194424.25545869183,0,0.0
2020-09-13 00:00:00+00:00,0,1,0,1480782352,0.0,0.0,0.0,7715,0.0,0.248307317495346,517580,83.71031951904297,0.0,8442.0,583553.0,83.68914794921875,0.2615552842617035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6515.714285714285,328392.0,83.58044869559151,0.2423406307186399,0.0,0.0,6515.714285714285,328392.0,83.58044869559151,0.2423406307186399,0.0,0.0,0.0,0.0,-8.61170338782279,0.0,-11.305399852284193,0.0,-5.0650732611855815,0.0,0.025297867576656863,0.0,0.0,0.0,0.0,0.014905879466209153,0.0,0.04748371669224259,0.04748371669224259,1.0,0.0,1.0,0.0,0.0,1735.6988711837578,1735.6988711837578,196112.80970740624,196112.80970740624,0,0.0
2020-09-14 00:00:00+00:00,0,0,0,1480782352,0.0,0.0,0.0,5709,0.0,0.2361498326063156,339553,83.73512268066406,0.0,7715.0,517580.0,83.71031951904297,0.248307317495346,0.0,0.0,8243.0,0.0,83.45635986328125,0.2681460380554199,0.0,0.0,6153.714285714285,376899.5714285714,83.62027195521763,0.2377697442259107,0.0,0.0,6414.875,329787.125,83.59978294372559,0.24156678095459935,0.0,0.0,0.0,-30.741234987261922,-26.001296176279975,inf,-34.396035395494415,-11.932380459968384,-4.896144427664028,0.334022257667943,0.02962975385065736,0.0,0.0,0.0,0.0,0.016813231474227957,0.0,0.04632895333426497,0.04454530988420995,1.0002450845058515,0.0,0.9842816271604734,0.0,0.0,1632.0601737418522,1632.0601737418522,181608.05587814457,181608.05587814457,0,0.0
2020-09-15 00:00:00+00:00,0,0,0,1480782352,0.0,0.0,0.0,6152,0.0,0.2581543922424316,391187,83.76429748535156,0.0,5709.0,339553.0,83.73512268066406,0.2361498326063156,0.0,0.0,6159.0,357996.0,83.47290802001953,0.2445999532938003,0.0,0.0,6152.714285714285,381641.14285714284,83.66189902169364,0.23970609264714374,0.0,0.0,6385.666666666667,336609.3333333333,83.61806233723958,0.24340984887546957,0.0,0.0,0.0,-0.11365481409320033,7.759677701874224,9.27133264058817,15.206462614083804,5.541472418987103,9.318050067306082,0.34908268112827656,0.03484177696706503,0.0,0.0,0.0,0.0,0.015726453776700716,0.0,0.0407082693917376,0.042149353027339985,1.0005242489867472,0.0,0.9847838686666261,0.0,0.0,1529.1651316976854,1529.1651316976854,171107.22648021035,171107.22648021035,0,0.0
2020-09-16 00:00:00+00:00,0,0,0,1480782352,0.0,0.0,0.0,5789,0.0,0.2458248138427734,353401,83.7729721069336,0.0,6152.0,391187.0,83.76429748535156,0.2581543922424316,0.0,0.0,3596.0,183551.0,83.5081558227539,0.2261133193969726,0.0,0.0,6466.0,405905.4285714286,83.6997299194336,0.2425220204251153,0.0,0.0,6326.0,338288.5,83.63355331420898,0.24365134537219996,0.0,0.0,0.0,60.984427141268085,-5.900520156046818,92.5355895636635,-9.659318944647953,8.71752911255732,-4.776048275823841,0.31711427652858504,0.010355989177313063,0.0,0.0,0.0,0.0,0.01638077882977459,0.0,0.030645642961779632,0.03910369873046819,1.000791268606943,0.0,0.9953649960546719,0.0,0.0,1454.0051199665318,1454.0051199665318,161408.80730909464,161408.80730909464,0,0.0
