timestamp,isSummer,isWeekend,isHoliday,universe_id,sort_sort_position,ratings_like_ratio,daily_Estimated Revenue,platform_platform_share,ccu_playing,session_session_length,visits_visits_gained,daily_rpv,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2023-09-02 00:00:00+00:00,0,1,0,4777817887,0.0,77.55695343017578,0.0,0.0720905885100364,4610,0.0,70622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4610.0,70622.0,77.55695343017578,0.0720905885100364,0.0,0.0,4610.0,70622.0,77.55695343017578,0.0720905885100364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06527618481231327,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2023-09-03 00:00:00+00:00,0,1,0,4777817887,0.0,74.5963134765625,0.0,0.1531015187501907,9569,0.0,661515,0.0,0.0,4610.0,70622.0,77.55695343017578,0.0720905885100364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7089.5,366068.5,76.07663345336914,0.11259605363011355,0.0,0.0,7089.5,366068.5,76.07663345336914,0.11259605363011355,0.0,0.0,0.0,0.0,107.57049891540129,0.0,836.6981960295659,0.0,112.37379512982616,0.0,-3.817375261237843,0.0,0.0,0.0,0.0,0.014465258587849727,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3506.542527904089,3506.542527904089,417824.44725566264,417824.44725566264,0,0.0
2023-09-04 00:00:00+00:00,0,0,1,4777817887,0.0,75.06941223144531,0.0,0.1562439501285553,8425,0.0,669063,0.0,0.0,9569.0,661515.0,74.5963134765625,0.1531015187501907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7534.666666666667,467066.6666666667,75.7408930460612,0.12714535246292746,0.0,0.0,7534.666666666667,467066.6666666667,75.7408930460612,0.12714535246292746,0.0,0.0,0.0,0.0,-11.955272233253211,0.0,1.1410172104940886,0.0,2.0525148306934637,0.0,0.634211977554977,0.0,0.0,0.0,0.0,0.012592218382695825,0.0,-1.243770599365235,0.0,1.0,0.0,1.0,0.0,0.0,2596.6209452543,2596.6209452543,343351.89437708555,343351.89437708555,0,0.0
2023-09-05 00:00:00+00:00,0,0,0,4777817887,0.0,88.44717407226562,0.0,0.1922458708286285,7164,0.0,545753,0.0,0.0,8425.0,669063.0,75.06941223144531,0.1562439501285553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7442.0,486738.25,78.9174633026123,0.14342048205435273,0.0,0.0,7442.0,486738.25,78.9174633026123,0.14342048205435273,0.0,0.0,0.0,0.0,-14.967359050445106,0.0,-18.430252457541364,0.0,23.042121420030238,0.0,17.820522957573658,0.0,0.0,0.0,0.0,0.013126793390428654,0.0,3.3143760681152177,0.0,1.0,0.0,1.0,0.0,0.0,2128.217250815026,2128.217250815026,283092.85934403806,283092.85934403806,0,0.0
2023-09-06 00:00:00+00:00,0,0,0,4777817887,0.0,92.2725830078125,0.0,0.2851057350635528,10414,0.0,714706,0.0,0.0,7164.0,545753.0,88.44717407226562,0.1922458708286285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8036.4,532331.8,81.58848724365234,0.17175753265619273,0.0,0.0,8036.4,532331.8,81.58848724365234,0.17175753265619273,0.0,0.0,0.0,0.0,45.36571747627025,0.0,30.957777602688385,0.0,48.30265733910159,0.0,4.325077624776719,0.0,0.0,0.0,0.0,0.014571006020649022,0.0,4.32821197509765,4.32821197509765,1.0,0.0,1.0,0.0,0.0,2272.342029712957,2272.342029712957,265518.42547495646,265518.42547495646,0,0.0
2023-09-07 00:00:00+00:00,0,0,0,4777817887,0.0,94.1225814819336,0.0,0.5995955467224121,23258,0.0,1308582,0.0,0.0,10414.0,714706.0,92.2725830078125,0.2851057350635528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10573.333333333334,661706.8333333334,83.67750295003255,0.24306386833389595,0.0,0.0,10573.333333333334,661706.8333333334,83.67750295003255,0.24306386833389595,0.0,0.0,0.0,0.0,123.33397349721528,0.0,83.09374763888928,0.0,110.30637864536695,0.0,2.004927589340877,0.0,0.0,0.0,0.0,0.017773423619288957,0.0,4.263848876953129,4.263848876953129,1.0,0.0,1.0,0.0,0.0,6538.120147769286,6538.120147769286,396014.42260777147,396014.42260777147,0,0.0
2023-09-08 00:00:00+00:00,0,0,0,4777817887,0.0,95.6232681274414,0.0,1.1755577325820925,51660,0.0,2890548,0.0,0.0,23258.0,1308582.0,94.1225814819336,0.5995955467224121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16442.85714285714,980112.7142857143,85.38404083251953,0.37627727751220974,0.0,0.0,16442.85714285714,980112.7142857143,85.38404083251953,0.37627727751220974,0.0,0.0,0.0,0.0,122.11712099062689,0.0,120.89162161790395,0.0,96.05844956789298,0.0,1.594395969468665,0.0,0.0,0.0,0.0,0.01787203745724428,0.0,3.944808959960938,3.944808959960938,1.0,0.0,1.0,0.0,0.0,16636.756919830375,16636.756919830375,916714.5980455993,916714.5980455993,0,0.0
2023-09-09 00:00:00+00:00,0,1,0,4777817887,0.0,96.47889709472656,0.0,1.664086103439331,108540,0.0,7086032,0.0,0.0,51660.0,2890548.0,95.6232681274414,1.1755577325820925,0.0,0.0,4610.0,70622.0,77.55695343017578,0.0720905885100364,0.0,0.0,31290.0,1982314.142857143,88.08717564174107,0.6037052082163947,0.0,0.0,27955.0,1743352.625,86.77089786529541,0.5372533807530999,0.0,0.0,0.0,2254.4468546637745,110.10452961672472,9933.745858231145,145.1449344553351,2208.3264235076376,41.55715685559691,24.397481886116278,0.8947915962721709,0.0,0.0,0.0,0.0,0.015317456184581697,0.0,4.015388216291158,3.55444399515788,1.0151695765380815,0.0,1.1236880582680473,0.0,0.0,36020.50674268756,36020.50674268756,2319610.895905354,2319610.895905354,0,0.0
2023-09-10 00:00:00+00:00,0,1,0,4777817887,0.0,96.6497039794922,0.0,2.1652190685272217,140922,0.0,9838539,0.0,0.0,108540.0,7086032.0,96.47889709472656,1.664086103439331,0.0,0.0,9569.0,661515.0,74.5963134765625,0.1531015187501907,0.0,0.0,50054.71428571428,3293317.5714285714,91.23765999930245,0.8911505724702563,0.0,0.0,40506.88888888889,2642817.777777778,87.86854298909505,0.7181384571724467,0.0,0.0,0.0,1372.6930713763193,29.834162520729677,1387.273757964672,38.844123198992044,1314.2374851683335,30.11460549139553,29.563646613526927,0.1770406689018511,0.0,0.0,0.0,0.0,0.014323466693228874,0.0,3.0055359431675575,3.1466978708903004,1.0383426980304604,0.0,1.2409174910072587,0.0,0.0,50529.610377095836,50529.610377095836,3462565.294605496,3462565.294605496,0,0.0
2023-09-11 00:00:00+00:00,0,0,0,4777817887,0.0,96.73340606689452,0.0,2.706730604171753,102362,0.0,7746563,0.0,0.0,140922.0,9838539.0,96.6497039794922,2.1652190685272217,0.0,0.0,8425.0,669063.0,75.06941223144531,0.1562439501285553,0.0,0.0,63474.28571428572,4304389.0,94.33251626150948,1.2555058087621416,0.0,0.0,46692.4,3153192.3,88.755029296875,0.9169976718723774,0.0,0.0,0.0,1114.979228486647,-27.362654518102214,1057.8226564613497,-21.263075747323867,1632.3746627915473,25.009549542387255,28.85861656763382,0.0866035631315265,0.0,0.0,0.0,0.0,0.013213858428072111,0.0,1.2846161978585442,2.7720455285274603,1.0628413624424422,0.0,1.3691483056860758,0.0,0.0,51499.063090075295,51499.063090075295,3641706.881841598,3641706.881841598,0,0.0
