timestamp,isSummer,isWeekend,isHoliday,universe_id,visits_visits_gained,session_session_length,ccu_playing,platform_platform_share,ratings_like_ratio,daily_rpv,daily_Estimated Revenue,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2022-02-08 00:00:00+00:00,0,0,0,1802741133,0,0.0,514,0.0139131899923086,92.66427612304688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514.0,0.0,92.66427612304688,0.0139131899923086,0.0,0.0,514.0,0.0,92.66427612304688,0.0139131899923086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2022-02-09 00:00:00+00:00,0,0,0,1802741133,35032,0.0,796,0.0225092489272356,92.6509017944336,0.0,0.0,0.0,0.0,514.0,0.0,92.66427612304688,0.0139131899923086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,655.0,17516.0,92.65758895874023,0.0182112194597721,0.0,0.0,655.0,17516.0,92.65758895874023,0.0182112194597721,0.0,0.0,0.0,0.0,54.86381322957199,0.0,inf,0.0,61.783522971216655,0.0,-0.014433101053445974,0.0,0.0,0.0,0.0,0.022721434076442212,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,199.4041122946064,199.4041122946064,24771.364758527132,24771.364758527132,0,0.0
2022-02-10 00:00:00+00:00,0,0,0,1802741133,39080,0.0,618,0.0169168151915073,92.62825012207033,0.0,0.0,0.0,0.0,796.0,35032.0,92.6509017944336,0.0225092489272356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.6666666666666,24704.0,92.64780934651692,0.0177797513703505,0.0,0.0,642.6666666666666,24704.0,92.64780934651692,0.0177797513703505,0.0,0.0,0.0,0.0,-22.36180904522613,0.0,11.555149577529122,0.0,-24.845048156900518,0.0,-0.024448410025756928,0.0,0.0,0.0,0.0,0.015813310815997544,0.0,-0.018013000488270193,0.0,1.0,0.0,1.0,0.0,0.0,142.6090226224601,142.6090226224601,21489.818240273697,21489.818240273697,0,0.0
2022-02-11 00:00:00+00:00,0,0,0,1802741133,42968,0.0,824,0.0233933012932539,92.59139251708984,0.0,0.0,0.0,0.0,618.0,39080.0,92.62825012207033,0.0169168151915073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,688.0,29270.0,92.63370513916016,0.01918313885107635,0.0,0.0,688.0,29270.0,92.63370513916016,0.01918313885107635,0.0,0.0,0.0,0.0,33.33333333333333,0.0,9.94882292732855,0.0,38.28431077853216,0.0,-0.03979088985478496,0.0,0.0,0.0,0.0,0.019176615699690473,0.0,-0.0241302490234551,0.0,1.0,0.0,1.0,0.0,0.0,147.5759691368031,147.5759691368031,19780.5025888289,19780.5025888289,0,0.0
2022-02-12 00:00:00+00:00,0,1,0,1802741133,68212,0.0,934,0.0211945362389087,92.51052856445312,0.0,0.0,0.0,0.0,824.0,42968.0,92.59139251708984,0.0233933012932539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,737.2,37058.4,92.60906982421875,0.01958541832864282,0.0,0.0,737.2,37058.4,92.60906982421875,0.01958541832864282,0.0,0.0,0.0,0.0,13.349514563106801,0.0,58.75069819400485,0.0,-9.399122538464777,0.0,-0.08733420077011722,0.0,0.0,0.0,0.0,0.013692404673595943,0.0,-0.036700439453130285,-0.036700439453130285,1.0,0.0,1.0,0.0,0.0,168.63333003887456,168.63333003887456,24428.407332448016,24428.407332448016,0,0.0
2022-02-13 00:00:00+00:00,0,1,0,1802741133,56384,0.0,1194,0.021530358120799,92.46043395996094,0.0,0.0,0.0,0.0,934.0,68212.0,92.51052856445312,0.0211945362389087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,813.3333333333334,40279.333333333336,92.58429718017578,0.01990957496066885,0.0,0.0,813.3333333333334,40279.333333333336,92.58429718017578,0.01990957496066885,0.0,0.0,0.0,0.0,27.83725910064241,0.0,-17.34005746789421,0.0,1.5844738384688029,0.0,-0.05415016568334208,0.0,0.0,0.0,0.0,0.02117584463953179,0.0,-0.042205374581466185,-0.042205374581466185,1.0,0.0,1.0,0.0,0.0,239.84884128689606,239.84884128689606,23230.24186414482,23230.24186414482,0,0.0
2022-02-14 00:00:00+00:00,0,0,0,1802741133,18994,0.0,479,0.0151871601119637,92.44985961914062,0.0,0.0,0.0,0.0,1194.0,56384.0,92.46043395996094,0.021530358120799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,765.5714285714286,37238.57142857143,92.56509181431362,0.019234944267996684,0.0,0.0,765.5714285714286,37238.57142857143,92.56509181431362,0.019234944267996684,0.0,0.0,0.0,0.0,-59.882747068676714,0.0,-66.31313847900114,0.0,-29.461646542272657,0.0,-0.01143661171316701,0.0,0.0,0.0,0.0,0.025217162411160832,0.0,-0.04078238351004075,-0.04078238351004075,1.0,0.0,1.0,0.0,0.0,252.80022227235557,252.80022227235557,22680.984949638194,22680.984949638194,0,0.0
2022-02-15 00:00:00+00:00,0,0,0,1802741133,29882,0.0,491,0.0133815249428153,92.4391098022461,0.0,0.0,0.0,0.0,479.0,18994.0,92.44985961914062,0.0151871601119637,0.0,0.0,514.0,0.0,92.66427612304688,0.0139131899923086,0.0,0.0,762.2857142857143,41507.42857142857,92.53292519705636,0.01915899211806907,0.0,0.0,731.25,36319.0,92.54934406280518,0.01850326685234901,0.0,0.0,0.0,-4.47470817120622,2.5052192066805867,inf,57.32336527324418,-3.8213023022557024,-11.889221920601267,-0.24299150678281922,-0.011627726573970598,0.0,0.0,0.0,0.0,0.016430746578322122,0.0,-0.04011126926966626,-0.03768675667898682,0.9998225933861004,0.0,1.035438351019448,0.0,0.0,253.3809948899652,253.3809948899652,21158.978911361213,21158.978911361213,0,0.0
2022-02-16 00:00:00+00:00,0,0,0,1802741133,32659,0.0,597,0.0160961598157882,92.4565200805664,0.0,0.0,0.0,0.0,491.0,29882.0,92.4391098022461,0.0133815249428153,0.0,0.0,796.0,35032.0,92.6509017944336,0.0225092489272356,0.0,0.0,733.8571428571429,41168.42857142857,92.50515638078961,0.018242836530719442,0.0,0.0,716.3333333333334,35912.333333333336,92.53903028700087,0.018235810514953366,0.0,0.0,0.0,-25.0,21.588594704684326,-6.773806805206672,9.293219998661396,-28.4909067031896,20.286438836931065,-0.20980013157180233,0.018834320622040934,0.0,0.0,0.0,0.0,0.018279240661359462,0.0,-0.03144373212541875,-0.03256899515788083,0.9996339500629496,0.0,1.0003852867280187,0.0,0.0,241.20375204378558,241.20375204378558,19829.977054953946,19829.977054953946,0,0.0
2022-02-17 00:00:00+00:00,0,0,0,1802741133,33030,0.0,577,0.0150858704000711,92.4772491455078,0.0,0.0,0.0,0.0,597.0,32659.0,92.4565200805664,0.0160961598157882,0.0,0.0,618.0,39080.0,92.62825012207033,0.0169168151915073,0.0,0.0,728.0,40304.142857142855,92.48358481270927,0.0179812729890857,0.0,0.0,702.4,35624.1,92.53285217285156,0.01792081650346514,0.0,0.0,0.0,-6.6343042071197456,-3.350083752093802,-15.481064483111561,1.135980893474997,-10.823223938483316,-6.276586634820425,-0.1630182761344745,0.02242033868820048,0.0,0.0,0.0,0.0,0.01746843873936605,0.0,-0.01684897286551319,-0.027056422378080282,0.99946756898782,0.0,1.0033735341025822,0.0,0.0,231.6382236736128,231.6382236736128,18718.086858852737,18718.086858852737,0,0.0
