timestamp,isSummer,isWeekend,isHoliday,universe_id,daily_Estimated Revenue,session_session_length,visits_visits_gained,daily_rpv,ratings_like_ratio,ccu_playing,platform_platform_share,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-08-28 00:00:00+00:00,1,0,0,8422427616,9752,11.417460838953652,6956,0.1295873445828793,92.52873229980467,187,0.0014221963938325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9752.0,187.0,6956.0,92.52873229980467,0.0014221963938325,11.417460838953652,9752.0,187.0,6956.0,92.52873229980467,0.0014221963938325,11.417460838953652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.87234042553192,1.4017536294379762,0.026879402041109675,0.0011706614209939148,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-08-29 00:00:00+00:00,1,0,0,8422427616,13136,12.199732542037964,35973,0.1374572787547469,92.7125473022461,411,0.0026751621626317,0.0,9752.0,187.0,6956.0,92.52873229980467,0.0014221963938325,11.417460838953652,0.0,0.0,0.0,0.0,0.0,0.0,11444.0,299.0,21464.5,92.62063980102539,0.0020486792782321,11.808596690495808,11444.0,299.0,21464.5,92.62063980102539,0.0020486792782321,11.808596690495808,0.0,34.70057424118129,0.0,119.78609625668449,0.0,417.15066129959746,0.0,88.10075558008823,0.0,0.19865721476204357,0.20909204365040868,0.20909204365040868,31.883495145631066,0.36515261021849116,0.011424917996330683,0.0009286543763445203,0.0,0.0,1.0,1.0,1.0,2392.849347535277,2392.849347535277,158.39191898578665,158.39191898578665,20518.11746969005,20518.11746969005,2,1.0
2025-08-30 00:00:00+00:00,1,1,0,8422427616,16813,11.454732577006022,47906,0.1188961577371527,91.79566192626952,287,0.001753992633894,0.0,13136.0,411.0,35973.0,92.7125473022461,0.0026751621626317,12.199732542037964,0.0,0.0,0.0,0.0,0.0,0.0,13233.666666666666,295.0,30278.333333333332,92.34564717610677,0.0019504503967860667,11.690641985999212,13233.666666666666,295.0,30278.333333333332,92.34564717610677,0.0019504503967860667,11.690641985999212,0.0,27.99177831912303,0.0,-30.17031630170316,0.0,33.17210129819588,0.0,-34.4341566132012,0.0,-0.9889550041026207,0.2668582431727927,0.2668582431727927,58.37847222222222,0.35095080050932015,0.0059907737908865095,0.0006812616020581671,-0.366535186767593,0.0,1.0,1.0,1.0,3531.513037401014,3531.513037401014,112.2140811128443,112.2140811128443,21060.568518758777,21060.568518758777,3,1.0
2025-08-31 00:00:00+00:00,1,1,0,8422427616,35817,12.451849500338236,97862,0.169288370444597,91.4913101196289,662,0.0047981394454836,0.0,16813.0,287.0,47906.0,91.79566192626952,0.001753992633894,11.454732577006022,0.0,0.0,0.0,0.0,0.0,0.0,18879.5,386.75,47174.25,92.1320629119873,0.00266237265896045,11.88094386458397,18879.5,386.75,47174.25,92.1320629119873,0.00266237265896045,11.88094386458397,0.0,113.03158270386011,0.0,130.66202090592336,0.0,104.27921345969189,0.0,173.555279125167,0.0,-0.3315535835288874,0.6172842276655824,0.6172842276655824,54.022624434389144,0.3659912326415499,0.006764558617659381,0.0003476422329649404,-0.4029151916504039,0.0,1.0,1.0,1.0,11654.017576212364,11654.017576212364,205.10221029200702,205.10221029200702,37915.516141152555,37915.516141152555,4,1.0
2025-09-01 00:00:00+00:00,0,0,1,8422427616,44012,12.242650190989176,119913,0.1383636288299998,91.43389129638672,852,0.0064860717393457,0.0,35817.0,662.0,97862.0,91.4913101196289,0.0047981394454836,12.451849500338236,0.0,0.0,0.0,0.0,0.0,0.0,23906.0,479.8,61722.0,91.99242858886718,0.0034271124750374997,11.95328512986501,23906.0,479.8,61722.0,91.99242858886718,0.0034271124750374997,11.95328512986501,0.0,22.880196554708654,0.0,28.70090634441087,0.0,22.532750199260178,0.0,35.178892006794804,0.0,-0.0627587725731682,0.6318907023673779,0.6318907023673779,51.59671746776085,0.3670297046216455,0.007105091982587521,0.0002781598661983772,-0.3410919189453167,-0.3410919189453167,1.0,1.0,1.0,15105.979130794534,15105.979130794534,273.5721111517035,273.5721111517035,46220.93598684475,46220.93598684475,5,1.0
2025-09-02 00:00:00+00:00,0,0,0,8422427616,40046,15.051634669303894,115142,0.0910290889966452,91.31293487548828,992,0.0080600762739777,0.0,44012.0,852.0,119913.0,91.43389129638672,0.0064860717393457,12.242650190989176,0.0,0.0,0.0,0.0,0.0,0.0,26596.0,565.1666666666666,70625.33333333333,91.87917963663737,0.0041992731081942,12.46967671977149,26596.0,565.1666666666666,70625.33333333333,91.87917963663737,0.0041992731081942,12.46967671977149,0.0,-9.01117876942652,0.0,16.4319248826291,0.0,-3.9787179038136,0.0,24.267454907780305,0.0,-0.1322883880183423,0.5652078547768563,0.5652078547768563,40.328298086606246,0.34779361315928886,0.008615373926335079,0.0003758492438710489,-0.2919801984514454,-0.2919801984514454,1.0,1.0,1.0,15032.26810564527,15032.26810564527,321.86669083126117,321.86669083126117,46740.94570573713,46740.94570573713,5,0.9098882123057348
2025-09-03 00:00:00+00:00,0,0,0,8422427616,53974,14.087008873621622,150244,0.0948197507186163,91.3691635131836,1005,0.0091405911371111,0.0,40046.0,992.0,115142.0,91.31293487548828,0.0080600762739777,15.051634669303894,0.0,0.0,0.0,0.0,0.0,0.0,30507.14285714286,628.0,81999.42857142857,91.80632019042969,0.004905175683753758,12.700724170321509,30507.14285714286,628.0,81999.42857142857,91.80632019042969,0.004905175683753758,12.700724170321509,0.0,34.780002996553975,0.0,1.310483870967749,0.0,30.485834882145536,0.0,13.405764739744331,0.0,0.06157795472458982,0.5633704133143201,0.5633704133143201,53.6520874751491,0.35923990815002166,0.006689074511631003,0.00026099136403189666,-0.23713220868791537,-0.23713220868791537,1.0,1.0,1.0,17186.821680467583,17186.821680467583,337.5914690865277,337.5914690865277,52212.90040420133,52212.90040420133,6,1.0
2025-09-04 00:00:00+00:00,0,0,0,8422427616,41103,14.7621591091156,130955,0.0595733119430295,91.22098541259766,2281,0.0184158962219953,0.0,53974.0,1005.0,150244.0,91.3691635131836,0.0091405911371111,14.087008873621622,9752.0,187.0,6956.0,92.52873229980467,0.0014221963938325,11.417460838953652,34985.857142857145,927.1428571428571,99713.57142857143,91.61949920654297,0.007332847087777014,13.178538208916072,31831.625,834.625,88118.875,91.73315334320068,0.00659401575103395,12.95840353767077,321.4827727645611,-23.84666691369919,1119.7860962566845,126.96517412935324,1782.6193214491088,-12.838449455552304,1194.8912190930673,101.47379907658443,-1.413341407261215,-0.16217517473995358,0.5135442832837379,0.5135442832837379,18.011831726555652,0.3138687803537066,0.017418064082592628,0.00035914166769938693,-0.1966449192592097,-0.2068660372779504,0.9987610353234833,1.099091144195659,1.1120457342897936,16346.949046381713,16346.949046381713,662.7503165920459,662.7503165920459,51345.03563271721,51345.03563271721,6,0.7615333308630081
2025-09-05 00:00:00+00:00,0,0,0,8422427616,235359,24.61595189571381,639023,0.2280827335844175,91.56417846679688,6721,0.050504233688116,0.0,41103.0,2281.0,130955.0,91.22098541259766,0.0184158962219953,14.7621591091156,13136.0,411.0,35973.0,92.7125473022461,0.0026751621626317,12.199732542037964,66732.0,1828.5714285714287,185863.57142857142,91.4554465157645,0.014165571591417628,14.952283830869764,54445.77777777778,1488.6666666666667,149330.44444444444,91.7143783569336,0.011472928855154179,14.253686688564443,1691.7098051157127,472.60783884388,1535.2798053527981,194.6514686540991,1676.3961860284103,387.9714405711886,1787.894288936574,174.24260584068404,-1.2386336788973051,0.376221603666016,1.2773142446050973,1.2773142446050973,35.01324010711098,0.368310110418388,0.010517601842810287,0.00010458851077376704,-0.0464224134172735,-0.15607121785482206,0.9971767584777015,1.2256597797604956,1.234695322376534,69544.36751415922,69544.36751415922,2057.733644085162,2057.733644085162,189811.69538065293,189811.69538065293,7,1.0
2025-09-06 00:00:00+00:00,0,1,0,8422427616,358281,19.391419908274777,929956,0.1922021062375611,92.340087890625,4869,0.0323140248656272,0.0,235359.0,6721.0,639023.0,91.56417846679688,0.050504233688116,24.61595189571381,16813.0,287.0,47906.0,91.79566192626952,0.001753992633894,11.454732577006022,115513.14285714286,2483.1428571428573,311870.71428571426,91.53322165352958,0.018531290481665224,16.086096306765302,84829.3,1826.7,227393.0,91.77694931030274,0.013557038456201482,14.767460010535476,2030.976030452626,52.22744828113648,1596.5156794425088,-27.555423300104152,1841.2098693274327,45.52778225509879,1742.3124613635093,-36.0171959737488,0.5930846326842376,0.8473940757405263,1.3712385673551462,1.3712385673551462,73.56899383983573,0.38526620048023724,0.005235725952920404,5.412334392538497e-05,0.0969627925327868,-0.07937672932942452,0.9973443478062328,1.361712790947737,1.3669128800905879,116321.2078017399,116321.2078017399,2215.052798467793,2215.052798467793,304898.2471094979,304898.2471094979,8,1.0
