timestamp,isSummer,isWeekend,isHoliday,universe_id,daily_rpv,ratings_like_ratio,ccu_playing,session_session_length,platform_platform_share,daily_Estimated Revenue,visits_visits_gained,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-04-30 00:00:00+00:00,0,0,0,5039839070,7.076136328157092e-05,93.872314453125,0,9.266269221025354,0.0,18,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,17.0,93.872314453125,0.0,9.266269221025354,18.0,0.0,17.0,93.872314453125,0.0,9.266269221025354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,0.487698380053966,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-05-01 00:00:00+00:00,0,0,0,5039839070,0.0001557118091527,93.872314453125,3,18.875121633211773,1.3969897736387791e-05,39,35,18.0,0.0,17.0,93.872314453125,0.0,9.266269221025354,0.0,0.0,0.0,0.0,0.0,0.0,28.5,1.5,26.0,93.872314453125,6.984948868193896e-06,14.070695427118563,28.5,1.5,26.0,93.872314453125,6.984948868193896e-06,14.070695427118563,0.0,116.66666666666666,0.0,inf,0.0,105.88235294117645,0.0,inf,0.0,0.0,0.5210260492953508,0.5210260492953508,9.75,1.0833333333333333,0.08333333333333333,0.47187804083029433,0.0,0.0,1.0,1.0,1.0,14.849242404917497,14.849242404917497,2.1213203435596424,2.1213203435596424,12.727922061357855,12.727922061357855,2,1.0
2025-05-02 00:00:00+00:00,0,0,0,5039839070,8.226035150867597e-05,93.872314453125,1,11.410571167866388,3.907521204382647e-06,21,40,39.0,3.0,35.0,93.872314453125,1.3969897736387791e-05,18.875121633211773,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1.3333333333333333,30.666666666666668,93.872314453125,5.95913964692348e-06,13.183987340701172,26.0,1.3333333333333333,30.666666666666668,93.872314453125,5.95913964692348e-06,13.183987340701172,0.0,-46.15384615384615,0.0,-66.66666666666667,0.0,14.28571428571428,0.0,-72.02899206481223,0.0,0.0,0.43683910352309796,0.43683910352309796,10.5,0.5121951219512195,0.024390243902439025,0.5186623258121086,-6.35528743231302e-15,0.0,1.0,1.0,1.0,11.357816691600547,11.357816691600547,1.5275252316519468,1.5275252316519468,12.096831541082702,12.096831541082702,2,0.5384615384615384
2025-05-03 00:00:00+00:00,0,1,0,5039839070,0.0005057082114631,93.872314453125,0,19.764407108227413,2.131309338437859e-05,125,146,21.0,1.0,40.0,93.872314453125,3.907521204382647e-06,11.410571167866388,0.0,0.0,0.0,0.0,0.0,0.0,50.75,1.0,59.5,93.872314453125,9.797628081287257e-06,14.829092282582732,50.75,1.0,59.5,93.872314453125,9.797628081287257e-06,14.829092282582732,0.0,495.23809523809524,0.0,-100.0,0.0,265.0,0.0,445.43768976797827,0.0,0.0,0.9923388252016161,0.9923388252016161,125.0,0.8503401360544217,0.0,0.15686037387482074,-1.1394032039465759e-14,0.0,1.0,1.0,1.0,50.36119537898202,50.36119537898202,1.4142135623730951,1.4142135623730951,58.5064099052403,58.5064099052403,3,1.0
2025-05-04 00:00:00+00:00,0,1,0,5039839070,0.0001957682794248,93.872314453125,0,12.232371777296066,0.0,49,70,125.0,0.0,146.0,93.872314453125,2.131309338437859e-05,19.764407108227413,0.0,0.0,0.0,0.0,0.0,0.0,50.4,0.8,61.6,93.872314453125,7.838102465029807e-06,14.309748181525398,50.4,0.8,61.6,93.872314453125,7.838102465029807e-06,14.309748181525398,0.0,-60.8,0.0,0.0,0.0,-52.05479452054795,0.0,-100.0,0.0,0.0,0.8654979328142381,0.8654979328142381,49.0,0.6901408450704225,0.0,0.24464743554592133,0.0,0.0,1.0,1.0,1.0,43.6210958138376,43.6210958138376,1.3038404810405297,1.3038404810405297,50.88516483219839,50.88516483219839,3,0.392
2025-05-05 00:00:00+00:00,0,0,0,5039839070,0.0001407328708487,93.872314453125,0,11.708475788434349,7.992885002749972e-06,35,62,49.0,0.0,70.0,93.872314453125,0.0,12.232371777296066,0.0,0.0,0.0,0.0,0.0,0.0,47.833333333333336,0.6666666666666666,61.666666666666664,93.872314453125,7.863899554649834e-06,13.87620278267689,47.833333333333336,0.6666666666666666,61.666666666666664,93.872314453125,7.863899554649834e-06,13.87620278267689,0.0,-28.57142857142857,0.0,0.0,0.0,-11.428571428571432,0.0,inf,0.0,0.0,0.8261852330800084,0.8261852330800084,35.0,0.5555555555555556,0.0,0.3252354385676208,9.580956294474306e-15,9.580956294474306e-15,1.0,1.0,1.0,39.519193648993735,39.519193648993735,1.2110601416389966,1.2110601416389966,45.51336799959619,45.51336799959619,3,0.28
2025-05-06 00:00:00+00:00,0,0,0,5039839070,0.0002147248132694,93.872314453125,1,9.636111830671627,1.691547004156746e-05,53,122,35.0,0.0,62.0,93.872314453125,7.992885002749972e-06,11.708475788434349,0.0,0.0,0.0,0.0,0.0,0.0,48.57142857142857,0.7142857142857143,70.28571428571429,93.872314453125,9.156981052780924e-06,13.270475503818997,48.57142857142857,0.7142857142857143,70.28571428571429,93.872314453125,9.156981052780924e-06,13.270475503818997,0.0,51.42857142857142,0.0,inf,0.0,96.7741935483871,0.0,111.63159529691282,0.0,0.0,0.7438269601949118,0.7438269601949118,26.5,0.43089430894308944,0.008130081300813009,0.1784465153828079,5.958809405921774e-15,5.958809405921774e-15,1.0,1.0,1.0,36.12873806661,36.12873806661,1.1126972805283735,1.1126972805283735,47.39449435575924,47.39449435575924,3,0.424
2025-05-07 00:00:00+00:00,0,0,0,5039839070,9.194491333773972e-05,93.872314453125,0,7.894922650378684,0.0,23,65,53.0,1.0,122.0,93.872314453125,1.691547004156746e-05,9.636111830671627,18.0,0.0,17.0,93.872314453125,0.0,9.266269221025354,49.285714285714285,0.7142857142857143,77.14285714285714,93.872314453125,9.156981052780924e-06,13.07456885086947,45.375,0.625,69.625,93.872314453125,8.012358421183308e-06,12.598531397138956,27.777777777777768,-56.60377358490566,0.0,-100.0,282.3529411764706,-46.721311475409834,0.0,-100.0,0.0,0.0,0.7636144428747875,0.7636144428747875,23.0,0.3484848484848485,0.0,0.32895511043244513,5.958809405921774e-15,9.60829146070542e-15,1.0,1.0861865407319953,1.142857142857143,34.649005345443484,34.649005345443484,1.0606601717798212,1.0606601717798212,43.91855286452738,43.91855286452738,3,0.184
2025-05-08 00:00:00+00:00,0,0,0,5039839070,0.0001205386925084,93.872314453125,3,8.776314799984297,2.2404523406294174e-05,30,62,23.0,0.0,65.0,93.872314453125,0.0,7.894922650378684,39.0,3.0,35.0,93.872314453125,1.3969897736387791e-05,18.875121633211773,48.0,0.7142857142857143,81.0,93.872314453125,1.0361927577053263e-05,11.631882160408404,43.666666666666664,0.8888888888888888,68.77777777777777,93.872314453125,9.611487863973403e-06,12.173840664121773,-23.076923076923073,30.434782608695656,0.0,inf,77.14285714285714,-4.61538461538461,60.377146841501016,inf,0.0,0.0,0.7514626492914415,0.7514626492914415,7.5,0.47619047619047616,0.047619047619047616,0.2831069290317515,5.958809405921774e-15,-1.9899176834712903e-15,1.0,1.099236641221374,1.0780773719636811,32.81386901905961,32.81386901905961,1.2692955176439846,1.2692955176439846,41.1605933441738,41.1605933441738,3,0.24
2025-05-09 00:00:00+00:00,0,0,0,5039839070,4.684151057125914e-05,93.872314453125,0,10.368055562178291,2.41004568124481e-06,12,27,30.0,3.0,62.0,93.872314453125,2.2404523406294174e-05,8.776314799984297,21.0,1.0,40.0,93.872314453125,3.907521204382647e-06,11.410571167866388,46.714285714285715,0.5714285714285714,79.14285714285714,93.872314453125,1.0148002502319287e-05,11.482951359595818,40.5,0.8,64.6,93.872314453125,8.891343645700544e-06,11.993262153927423,-42.85714285714286,-60.0,-100.0,-100.0,-32.49999999999999,-56.4516129032258,-38.32290203462695,-89.2430397311297,0.0,0.0,0.8029016456053053,0.8029016456053053,12.0,0.42857142857142855,0.0,0.7975427355521763,5.958809405921774e-15,5.050670305528449e-15,1.0,1.1534391534391535,1.1413350902511126,32.517516647014865,32.517516647014865,1.2292725943057181,1.2292725943057181,40.993766463803844,40.993766463803844,3,0.096
