timestamp,isSummer,isWeekend,isHoliday,universe_id,platform_platform_share,daily_Estimated Revenue,ratings_like_ratio,visits_visits_gained,daily_rpv,ccu_playing,session_session_length,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2024-07-12 00:00:00+00:00,1,0,0,5170731021,0.1374307721853256,2190653.0,96.01742553710938,624214,0.0760538898938554,9827,48.42302332984077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2190653.0,9827.0,624214.0,96.01742553710938,0.1374307721853256,48.42302332984077,2190653.0,9827.0,624214.0,96.01742553710938,0.1374307721853256,48.42302332984077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.89916564916564,3.509452672556731,0.01574297317430693,2.2104368526403882e-05,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2024-07-13 00:00:00+00:00,1,1,0,5170731021,0.1388815492391586,4732521.0,96.01905822753906,1155974,0.1602408274106141,9516,13.079808632532757,0.0,2190653.0,9827.0,624214.0,96.01742553710938,0.1374307721853256,48.42302332984077,0.0,0.0,0.0,0.0,0.0,0.0,3461587.0,9671.5,890094.0,96.01824188232422,0.1381561607122421,30.75141598118676,3461587.0,9671.5,890094.0,96.01824188232422,0.1381561607122421,30.75141598118676,0.0,116.03243416460755,0.0,-3.1647501780807996,0.0,85.1887333510623,0.0,1.055642074015739,0.0,0.0017004105458573449,0.5192335479885634,0.5192335479885634,497.2702532310602,4.093964834879647,0.008232011937974437,2.763813592949543e-06,0.0,0.0,1.0,1.0,1.0,1797372.099681087,1797372.099681087,219.9102089490163,219.9102089490163,376011.1019637585,376011.1019637585,2,1.0
2024-07-14 00:00:00+00:00,1,1,0,5170731021,0.1350096613168716,4836117.0,96.02075958251952,1157960,0.1574670346388989,9277,13.24131441116333,0.0,4732521.0,9516.0,1155974.0,96.01905822753906,0.1388815492391586,13.079808632532757,0.0,0.0,0.0,0.0,0.0,0.0,3919763.6666666665,9540.0,979382.6666666666,96.01908111572266,0.13710732758045194,24.914715457845617,3919763.6666666665,9540.0,979382.6666666666,96.01908111572266,0.13710732758045194,24.914715457845617,0.0,2.189023566931869,0.0,-2.511559478772596,0.0,0.1718031720436608,0.0,-2.7879066323054147,0.0,0.0017718930094279273,0.38225502552649143,0.38225502552649143,521.2456348350938,4.176407495589229,0.00801149606938403,2.7380048235306353e-06,0.0016670227050731288,0.0,1.0,1.0,1.0,1498349.3604594802,1498349.3604594802,275.78433603089206,275.78433603089206,307586.69084557827,307586.69084557827,3,1.0
2024-07-15 00:00:00+00:00,1,0,0,5170731021,0.128518521785736,4239300.0,96.01654052734376,1021437,0.1333915530574361,9092,13.18594773610433,0.0,4836117.0,9277.0,1157960.0,96.02075958251952,0.1350096613168716,13.24131441116333,0.0,0.0,0.0,0.0,0.0,0.0,3999647.75,9428.0,989896.25,96.01844596862793,0.13496012613177294,21.982523527410297,3999647.75,9428.0,989896.25,96.01844596862793,0.13496012613177294,21.982523527410297,0.0,-12.340830463779106,0.0,-1.9941791527433472,0.0,-11.789958202355866,0.0,-4.807907425158775,0.0,-0.004393898979859756,0.3084735140525135,0.3084735140525135,466.21577037281423,4.150325325668322,0.008901176576551881,3.110406110843351e-06,-9.53674316582448e-05,0.0,1.0,1.0,1.0,1233785.396414729,1233785.396414729,317.6171699808854,317.6171699808854,252022.20139288658,252022.20139288658,3,0.8765916953622089
2024-07-16 00:00:00+00:00,1,0,0,5170731021,0.1265083253383636,4152212.0,96.01790618896484,996616,0.1266480162521024,8705,13.248229742050173,0.0,4239300.0,9092.0,1021437.0,96.01654052734376,0.128518521785736,13.18594773610433,0.0,0.0,0.0,0.0,0.0,0.0,4030160.6,9283.4,991240.2,96.01833801269531,0.1332697659730911,20.23566477033827,4030160.6,9283.4,991240.2,96.01833801269531,0.1332697659730911,20.23566477033827,0.0,-2.054301417686877,0.0,-4.256489221293447,0.0,-2.430007920214361,0.0,-1.564129760785593,0.0,0.0014223191270756885,0.2656632761355899,0.2656632761355899,476.93682517803813,4.16630661527949,0.008734548979196621,3.190643096115294e-06,-0.00015563964844259238,-0.00015563964844259238,1.0,1.0,1.0,1070665.6683485745,1070665.6683485745,424.50712597081326,424.50712597081326,218278.3166148209,218278.3166148209,3,0.8585838597370576
2024-07-17 00:00:00+00:00,1,0,0,5170731021,0.1253340691328048,3964810.0,96.01017761230467,954374,0.1173977057671437,8172,13.193507552146912,0.0,4152212.0,8705.0,996616.0,96.01790618896484,0.1265083253383636,13.248229742050173,0.0,0.0,0.0,0.0,0.0,0.0,4019268.8333333335,9098.166666666666,985095.8333333334,96.01697794596355,0.13194714983304337,19.061971900639712,4019268.8333333335,9098.166666666666,985095.8333333334,96.01697794596355,0.13194714983304337,19.061971900639712,0.0,-4.5133051973261455,0.0,-6.1229178632969505,0.0,-4.238543230291302,0.0,-0.9282046872552407,0.0,-0.008049099347118283,0.23835281763046925,0.23835281763046925,485.1107304539337,4.154352324819908,0.008562671905697447,3.3276510663804432e-06,-0.001254708426326834,-0.001254708426326834,1.0,1.0,1.0,958004.0512393289,958004.0512393289,591.6361776181933,591.6361776181933,195813.32501585962,195813.32501585962,3,0.8198333497721416
2024-07-18 00:00:00+00:00,1,0,0,5170731021,0.1434449255466461,4406144.0,96.00823211669922,1093472,0.1267463379587202,9413,12.790918231010435,0.0,3964810.0,8172.0,954374.0,96.01017761230467,0.1253340691328048,13.193507552146912,0.0,0.0,0.0,0.0,0.0,0.0,4074536.714285714,9143.142857142857,1000578.1428571428,96.01572854178292,0.13358968922070089,18.166107090692673,4074536.714285714,9143.142857142857,1000578.1428571428,96.01572854178292,0.13358968922070089,18.166107090692673,0.0,11.131277413041229,0.0,15.18600097895253,0.0,14.574789338351636,0.0,14.45006656143184,0.0,-0.0020263430959510664,0.21761356143669516,0.21761356143669516,468.04164011047374,4.029495012679782,0.00860835155509098,2.902972605533961e-06,-0.0017212459019288638,-0.0017212459019288638,1.0,1.0,1.0,886674.4456002843,886674.4456002843,553.04111618439,553.04111618439,183385.6462089555,183385.6462089555,3,0.9110912742599073
2024-07-19 00:00:00+00:00,1,0,0,5170731021,0.1276675164699554,4467907.0,96.0069351196289,1084042,0.1245085144773855,9101,13.020364125569662,0.0,4406144.0,9413.0,1093472.0,96.00823211669922,0.1434449255466461,12.790918231010435,2190653.0,9827.0,624214.0,96.01742553710938,0.1374307721853256,48.42302332984077,4399858.714285715,9039.42857142857,1066267.857142857,96.01422991071429,0.13219493840421942,13.10858434722537,4123708.0,9137.875,1011011.125,96.01462936401367,0.1328494176268577,17.522889220052296,103.95320482066306,1.4017471966417894,-7.387809097384757,-3.314564963348565,73.66512125649216,-0.8623906236282175,-7.104126361310437,-10.998931482982389,-0.010925535049277624,-0.0013509227716368422,0.20190540919025463,0.20190540919025463,490.8709074928587,4.121521932248075,0.008395423428775427,2.914197007988898e-06,-0.0024209703717901136,-0.001880282447446761,0.999995839662122,1.0669666024572337,0.995073525843549,832598.9511211265,832598.9511211265,512.2333278329876,512.2333278329876,172327.43332342443,172327.43332342443,3,0.9238624706556934
2024-07-20 00:00:00+00:00,1,1,0,5170731021,0.1266045570373535,4298303.0,96.00238037109376,1046552,0.116330077262251,8924,13.031972924868263,0.0,4467907.0,9101.0,1084042.0,96.0069351196289,0.1276675164699554,13.020364125569662,4732521.0,9516.0,1155974.0,96.01905822753906,0.1388815492391586,13.079808632532757,4337827.571428572,8954.857142857143,1050636.142857143,96.01184735979352,0.13044108237539012,13.101750674701874,4143107.4444444445,9114.111111111111,1014960.1111111111,96.01326836480035,0.1321555442280239,17.0238985205874,-9.175194362581806,-3.7960503654171807,-6.221101303068521,-1.9448412262388803,-9.465783832508345,-3.4583530896404424,-8.839901534122241,-0.8325997575523103,-0.017369318917681564,-0.00474418700010526,0.18850499203172585,0.18850499203172585,481.6025770308123,4.107104943562343,0.00852704067543641,3.0318872105994047e-06,-0.0030008043561628446,-0.0021327972412108764,0.9999851999100642,1.0469985704197053,0.9870269396365573,780996.435801584,780996.435801584,484.4250314662848,484.4250314662848,161632.30389718237,161632.30389718237,3,0.8887921859624157
2024-07-21 00:00:00+00:00,1,1,0,5170731021,0.1350938975811004,4635776.0,96.0092544555664,1104058,0.1217478881834885,9213,12.855635086695353,0.0,4298303.0,8924.0,1046552.0,96.00238037109376,0.1266045570373535,13.031972924868263,4836117.0,9277.0,1157960.0,96.02075958251952,0.1350096613168716,13.24131441116333,4309207.428571428,8945.714285714286,1042935.8571428572,96.0102037702288,0.1304531161274228,13.046653628349304,4192374.3,9124.0,1023869.9,96.01286697387695,0.13244937956333155,16.607072177198198,-4.142600354788772,7.8513078300901595,-0.6898781933814768,3.238458090542351,-4.654910359597919,5.4948058003806866,0.06239276760431345,6.705398875367674,-0.011981916205550114,0.007160327114874576,0.1795240325320123,0.1795240325320123,503.123073583677,4.198848068807917,0.008344662739944152,2.7731349214371945e-06,-0.0020054408482092384,-0.001770065770002199,0.9999722620130812,1.0278680099177757,0.9849281027779052,752631.9402195723,752631.9402195723,457.7896168911362,457.7896168911362,154971.18145316208,154971.18145316208,3,0.9585739964521123
